Date,Close,Open,High,Low,Volume,Change
2000-01-03,41.81,42.94,42.94,41.28,4390000.0,-0.0346
2000-01-04,41.81,41.47,42.06,41.25,3700000.0,0.0
2000-01-05,42.56,41.53,43.28,41.53,5570000.0,0.0179
2000-01-06,44.38,42.66,44.59,42.66,4350000.0,0.042800000000000005
2000-01-07,45.16,45.0,45.44,44.5,4490000.0,0.0176
2000-01-10,43.94,45.03,45.03,43.84,2100000.0,-0.027000000000000003
2000-01-11,43.53,43.94,44.44,43.47,2790000.0,-0.009300000000000001
2000-01-12,43.38,43.53,43.81,42.94,2990000.0,-0.0034000000000000002
2000-01-13,43.78,43.25,44.62,43.06,3250000.0,0.0092
2000-01-14,43.5,42.91,43.72,42.78,3670000.0,-0.0064
2000-01-18,44.66,43.75,44.75,43.47,4320000.0,0.026699999999999998
2000-01-19,43.97,44.5,44.5,43.88,5030000.0,-0.0155
2000-01-20,43.75,44.09,44.09,43.41,3420000.0,-0.005
2000-01-21,44.28,43.94,44.94,43.91,3950000.0,0.0121
2000-01-24,44.41,44.75,45.19,43.97,3540000.0,0.0029
2000-01-25,44.28,44.41,45.25,43.81,3850000.0,-0.0029
2000-01-26,43.88,44.62,44.88,43.25,2680000.0,-0.009000000000000001
2000-01-27,42.16,43.66,43.81,41.78,3550000.0,-0.0392
2000-01-28,41.28,41.78,41.84,40.94,4070000.0000000005,-0.0209
2000-01-31,41.81,41.03,41.97,40.38,3660000.0,0.0128
2000-02-01,41.59,41.69,42.22,41.25,2610000.0,-0.0053
2000-02-02,41.31,41.34,41.97,41.22,3420000.0,-0.0067
2000-02-03,40.72,41.06,41.25,40.31,3510000.0,-0.0143
2000-02-04,39.28,40.62,40.62,39.19,4220000.0,-0.0354
2000-02-07,39.53,39.56,40.0,39.22,3140000.0,0.0064
2000-02-08,39.16,40.06,40.34,39.16,3570000.0,-0.009399999999999999
2000-02-09,37.5,39.22,39.34,37.47,4800000.0,-0.0424
2000-02-10,38.41,37.78,38.72,37.44,3830000.0,0.024300000000000002
2000-02-11,37.0,38.69,38.81,36.09,5020000.0,-0.036699999999999997
2000-02-14,36.91,37.09,37.72,36.81,5040000.0,-0.0024
2000-02-15,38.75,37.22,38.84,37.22,6140000.0,0.0499
2000-02-16,38.91,38.88,39.47,38.66,4750000.0,0.0040999999999999995
2000-02-17,38.88,39.06,39.09,38.28,3740000.0,-0.0008
2000-02-18,38.09,38.75,38.88,37.91,3570000.0,-0.0203
2000-02-22,37.84,37.53,38.09,37.12,3530000.0,-0.0066
2000-02-23,36.62,37.5,37.53,36.41,3770000.0,-0.0322
2000-02-24,35.72,36.66,36.78,35.69,5420000.0,-0.0246
2000-02-25,35.53,36.0,36.38,34.97,6450000.0,-0.0053
2000-02-28,37.28,35.53,37.47,35.44,5100000.0,0.0493
2000-02-29,37.34,37.28,37.72,36.72,4300000.0,0.0016
2000-03-01,37.62,37.28,37.81,36.31,4630000.0,0.0075
2000-03-02,37.84,37.69,38.72,37.47,4050000.0,0.0058
2000-03-03,37.28,37.28,37.69,36.78,4640000.0,-0.0148
2000-03-06,37.0,37.22,37.38,36.84,2810000.0,-0.0075
2000-03-07,40.5,37.28,41.0,37.25,5600000.0,0.0946
2000-03-08,40.53,40.06,42.19,39.88,7260000.0,0.0007000000000000001
2000-03-09,41.62,40.16,42.0,39.88,4310000.0,0.0269
2000-03-10,40.19,41.78,42.41,39.72,5380000.0,-0.0344
2000-03-13,39.91,40.47,41.88,39.88,4170000.0,-0.006999999999999999
2000-03-14,41.44,40.0,41.56,39.66,4210000.0,0.0383
2000-03-15,41.97,41.44,42.0,40.44,3760000.0,0.0128
2000-03-16,42.06,41.59,43.5,40.84,5190000.0,0.0021
2000-03-17,41.66,41.97,42.0,41.16,4250000.0,-0.0095
2000-03-20,41.47,41.78,42.03,40.84,2280000.0,-0.0046
2000-03-21,43.0,41.5,43.25,41.5,3550000.0,0.0369
2000-03-22,42.0,42.25,42.88,41.22,2790000.0,-0.0233
2000-03-23,42.31,41.5,42.91,41.12,4200000.0,0.0074
2000-03-24,42.81,42.38,42.97,42.38,2820000.0,0.0118
2000-03-27,42.28,42.09,42.94,41.22,3770000.0,-0.0124
2000-03-28,42.44,41.78,42.88,41.62,3260000.0,0.0038
2000-03-29,44.25,42.41,44.5,42.34,5310000.0,0.0426
2000-03-30,46.09,44.59,46.12,44.53,7820000.0,0.0416
2000-03-31,46.22,46.12,47.12,45.94,6280000.0,0.0028000000000000004
2000-04-03,46.16,46.31,46.88,45.75,3580000.0,-0.0013
2000-04-04,44.91,46.28,46.62,44.69,7640000.0,-0.0271
2000-04-05,43.75,44.81,45.34,43.69,2880000.0,-0.0258
2000-04-06,44.47,44.0,44.91,43.66,2300000.0,0.0165
2000-04-07,43.22,44.47,44.47,43.16,2880000.0,-0.0281
2000-04-10,43.03,42.72,43.72,42.56,2420000.0,-0.0044
2000-04-11,44.34,43.28,44.75,43.28,3440000.0,0.0304
2000-04-12,44.5,44.66,45.22,44.22,2800000.0,0.0036
2000-04-13,43.47,44.47,44.47,43.47,5010000.0,-0.0231
2000-04-14,42.84,43.5,43.53,42.72,3770000.0,-0.014499999999999999
2000-04-17,41.47,42.5,42.84,41.16,3980000.0,-0.032
2000-04-18,42.28,41.38,42.47,41.16,3010000.0,0.0195
2000-04-19,42.38,42.16,43.06,41.97,3030000.0,0.0024
2000-04-20,43.16,41.56,43.16,41.56,2230000.0,0.0184
2000-04-24,42.62,42.66,43.66,42.47,3000000.0,-0.0125
2000-04-25,42.41,42.69,43.09,42.03,3210000.0,-0.0049
2000-04-26,43.16,43.09,43.28,42.72,2060000.0,0.0177
2000-04-27,44.22,43.16,44.5,43.16,2900000.0,0.0246
2000-04-28,42.56,43.72,44.22,42.56,2810000.0,-0.0375
2000-05-01,43.16,42.75,44.25,42.75,2960000.0,0.0141
2000-05-02,44.66,43.59,44.97,43.56,3560000.0,0.0348
2000-05-03,43.66,44.72,44.72,43.66,2790000.0,-0.022400000000000003
2000-05-04,44.19,43.78,44.56,43.78,1930000.0,0.0121
2000-05-05,45.38,44.31,45.38,44.03,2410000.0,0.0269
2000-05-08,45.91,45.53,46.47,45.38,3290000.0,0.011699999999999999
2000-05-09,45.06,45.84,45.88,44.44,1990000.0,-0.018500000000000003
2000-05-10,45.44,44.72,45.94,44.72,2680000.0,0.0084
2000-05-11,46.69,45.44,46.72,45.44,3400000.0,0.0275
2000-05-12,47.14,46.5,47.16,46.31,3320000.0,0.0096
2000-05-15,47.0,46.91,47.38,46.72,3340000.0,-0.003
2000-05-16,46.47,47.0,47.0,46.03,3080000.0,-0.0113
2000-05-17,45.66,45.38,45.84,45.03,3000000.0,-0.0174
2000-05-18,45.44,45.78,46.03,45.19,1770000.0,-0.0048
2000-05-19,46.66,45.5,46.97,45.34,2770000.0,0.0268
2000-05-22,47.03,46.91,47.44,46.66,3360000.0,0.0079
2000-05-23,46.62,46.84,46.84,45.78,2440000.0,-0.0087
2000-05-24,47.12,46.69,47.22,46.38,3430000.0,0.010700000000000001
2000-05-25,46.59,46.94,46.94,45.72,2940000.0,-0.011200000000000002
2000-05-26,45.69,46.91,47.0,45.56,2300000.0,-0.019299999999999998
2000-05-30,45.66,45.72,45.84,45.28,2049999.9999999998,-0.0007000000000000001
2000-05-31,46.22,45.91,46.72,45.78,2580000.0,0.0123
2000-06-01,45.5,46.22,46.22,44.72,2460000.0,-0.015600000000000001
2000-06-02,45.28,45.0,45.28,44.41,4550000.0,-0.0048
2000-06-05,45.22,45.38,45.62,45.12,2700000.0,-0.0013
2000-06-06,46.44,45.25,46.59,45.22,2580000.0,0.027000000000000003
2000-06-07,46.19,46.94,46.97,45.84,3030000.0,-0.0054
2000-06-08,46.28,46.22,46.5,45.91,2089999.9999999998,0.0019
2000-06-09,46.0,46.5,46.59,45.75,3250000.0,-0.0060999999999999995
2000-06-12,46.44,46.41,47.25,46.38,4400000.0,0.0096
2000-06-13,45.88,46.0,46.16,45.72,3730000.0,-0.0121
2000-06-14,46.62,46.03,47.22,46.03,4139999.9999999995,0.0161
2000-06-15,46.56,46.53,46.97,46.0,2940000.0,-0.0013
2000-06-16,46.38,46.31,47.34,46.31,4890000.0,-0.0039000000000000003
2000-06-19,45.69,46.66,46.72,45.22,3060000.0,-0.0149
2000-06-20,45.12,45.69,45.69,44.84,3540000.0,-0.0125
2000-06-21,45.63,45.06,45.94,44.75,3510000.0,0.0113
2000-06-22,44.78,45.91,46.28,44.69,2520000.0,-0.018600000000000002
2000-06-23,44.88,44.78,45.25,44.72,2060000.0,0.0022
2000-06-26,44.37,44.84,45.25,44.34,2190000.0,-0.011399999999999999
2000-06-27,44.22,44.44,44.44,44.12,3090000.0,-0.0034000000000000002
2000-06-28,43.79,44.12,44.19,43.53,2900000.0,-0.0097
2000-06-29,43.32,43.44,43.97,43.25,2380000.0,-0.010700000000000001
2000-06-30,42.41,43.31,43.56,42.28,5210000.0,-0.021
2000-07-03,42.96,42.44,43.31,42.44,1700000.0,0.013000000000000001
2000-07-05,41.25,42.53,42.53,41.03,4520000.0,-0.0398
2000-07-06,41.78,41.41,42.69,41.41,3420000.0,0.0128
2000-07-07,41.98,42.0,42.59,41.88,2850000.0,0.0048
2000-07-10,42.0,42.03,42.59,42.0,1890000.0,0.0005
2000-07-11,43.5,42.06,43.78,42.06,2680000.0,0.035699999999999996
2000-07-12,42.84,43.53,43.53,42.84,3280000.0,-0.0152
2000-07-13,41.98,42.91,42.97,41.62,3750000.0,-0.020099999999999996
2000-07-14,41.88,41.84,41.88,41.34,2710000.0,-0.0024
2000-07-17,41.34,42.0,42.25,41.31,2860000.0,-0.0129
2000-07-18,40.72,41.03,41.72,40.47,3790000.0,-0.015
2000-07-19,40.97,40.94,41.12,40.81,2490000.0,0.0060999999999999995
2000-07-20,40.0,41.0,41.0,40.0,2730000.0,-0.023700000000000002
2000-07-21,39.25,40.0,40.12,39.25,3370000.0,-0.018799999999999997
2000-07-24,38.69,39.34,39.47,38.66,4470000.0,-0.0143
2000-07-25,38.66,39.0,39.06,38.44,4070000.0000000005,-0.0008
2000-07-26,38.66,39.25,39.5,38.66,5400000.0,0.0
2000-07-27,40.47,39.0,40.56,38.97,4900000.0,0.046799999999999994
2000-07-28,40.29,40.62,41.19,40.12,2870000.0,-0.0044
2000-07-31,39.49,40.0,40.91,39.34,3120000.0,-0.0199
2000-08-01,39.44,39.25,40.09,39.25,2890000.0,-0.0013
2000-08-02,39.91,39.69,40.12,39.69,3740000.0,0.011899999999999999
2000-08-03,40.0,40.12,40.5,39.44,3110000.0,0.0023
2000-08-04,39.66,39.34,40.12,38.81,3280000.0,-0.0085
2000-08-07,40.35,39.84,40.78,39.81,2210000.0,0.0174
2000-08-08,40.18,40.0,40.38,39.84,2110000.0,-0.0042
2000-08-09,41.3,40.75,41.62,40.53,4059999.9999999995,0.0279
2000-08-10,41.94,41.31,42.16,41.31,2550000.0,0.0155
2000-08-11,42.0,41.91,42.28,41.56,3090000.0,0.0014000000000000002
2000-08-14,42.19,41.62,42.34,41.62,2510000.0,0.0045000000000000005
2000-08-15,41.75,42.25,42.62,41.75,2120000.0,-0.0104
2000-08-16,42.73,41.81,42.81,41.81,3550000.0,0.0235
2000-08-17,43.59,42.72,43.88,42.56,3080000.0,0.020099999999999996
2000-08-18,43.02,42.84,43.44,42.84,3110000.0,-0.0131
2000-08-21,43.38,43.09,43.59,42.75,1500000.0,0.0084
2000-08-22,43.31,43.5,43.84,43.12,1900000.0,-0.0016
2000-08-23,44.44,43.81,44.84,43.59,4680000.0,0.026099999999999998
2000-08-24,43.09,43.31,43.47,42.94,3080000.0,-0.0304
2000-08-25,43.44,43.28,43.75,42.84,2520000.0,0.008100000000000001
2000-08-28,43.47,43.06,44.03,42.94,1840000.0,0.0007000000000000001
2000-08-29,43.0,43.44,43.69,42.97,1720000.0,-0.0108
2000-08-30,42.55,42.91,42.97,42.47,1890000.0,-0.0105
