Date,Close,Open,High,Low,Volume,Change
2007-08-06,12.7,13.0,13.23,12.07,796500.0,-0.0155
2007-08-07,12.6,12.64,12.9,12.37,450100.0,-0.0079
2007-08-08,12.88,12.65,13.0,12.52,225500.0,0.0222
2007-08-09,12.94,12.45,13.1,12.27,131900.0,0.004699999999999999
2007-08-10,12.81,12.72,13.2,12.61,236000.0,-0.01
2007-08-13,13.07,12.91,13.21,12.9,240400.0,0.0203
2007-08-14,13.01,13.45,13.49,12.81,45600.0,-0.0046
2007-08-15,12.88,12.99,13.1,12.6,298900.0,-0.01
2007-08-16,12.7,12.6,12.73,12.5,78900.0,-0.013999999999999999
2007-08-17,13.0,12.49,13.0,12.49,297300.0,0.0236
2007-08-20,12.75,12.89,12.89,12.45,88600.0,-0.0192
2007-08-21,12.9,12.7,13.0,12.56,280800.0,0.0118
2007-08-22,12.63,12.99,12.99,12.5,158900.0,-0.0209
2007-08-23,12.9,12.51,12.99,12.5,351400.0,0.021400000000000002
2007-08-24,12.99,12.83,13.0,12.77,40200.0,0.006999999999999999
2007-08-27,13.1,12.99,13.1,12.6,104900.0,0.0085
2007-08-28,12.76,13.16,13.2,12.76,17800.0,-0.026000000000000002
2007-08-29,12.77,12.76,13.2,12.76,47400.0,0.0008
2007-08-30,12.54,12.61,12.85,12.54,38100.0,-0.018000000000000002
2007-08-31,12.69,12.69,12.82,12.53,22600.0,0.012
2007-09-04,13.75,12.68,13.8,12.5,154200.0,0.08349999999999999
2007-09-05,14.55,13.77,15.0,13.1,451200.0,0.0582
2007-09-06,14.5,14.53,14.78,13.95,73600.0,-0.0034000000000000002
2007-09-07,14.5,14.5,14.7,14.25,93800.0,0.0
2007-09-10,14.83,14.53,15.29,14.5,358900.0,0.022799999999999997
2007-09-11,15.2,14.84,15.95,14.84,126600.0,0.024900000000000002
2007-09-12,15.22,15.29,15.5,15.1,216000.0,0.0013
2007-09-13,15.55,15.34,15.56,15.22,459700.0,0.0217
2007-09-14,15.89,15.55,16.0,15.47,210200.0,0.0219
2007-09-17,15.7,15.84,15.9,15.65,517600.0,-0.012
2007-09-18,15.4,15.59,15.91,15.25,391600.0,-0.0191
2007-09-19,15.7,15.3,15.7,15.0,72100.0,0.0195
2007-09-20,15.85,15.74,15.91,15.65,44200.0,0.0096
2007-09-21,16.13,15.94,16.32,15.75,489600.0,0.0177
2007-09-24,16.17,16.23,16.44,16.02,214700.0,0.0025
2007-09-25,15.65,16.14,16.14,15.65,67900.0,-0.0322
2007-09-26,16.1,16.0,16.39,16.0,301100.0,0.0288
2007-09-27,15.42,16.17,16.38,15.15,203200.0,-0.042199999999999994
2007-09-28,14.81,15.3,15.5,14.81,1450000.0,-0.039599999999999996
2007-10-01,15.8,14.79,16.21,14.3,298900.0,0.0668
2007-10-02,16.03,15.71,16.34,15.71,130600.0,0.0146
2007-10-03,16.42,16.0,16.55,16.0,220100.0,0.024300000000000002
2007-10-04,16.95,16.51,17.24,16.26,210800.0,0.0323
2007-10-05,17.25,17.15,17.31,16.71,154600.0,0.0177
2007-10-08,16.7,17.24,17.43,16.7,160600.0,-0.0319
2007-10-09,17.07,16.8,17.18,16.01,156500.0,0.0222
2007-10-10,17.54,17.0,17.55,16.51,366300.0,0.0275
2007-10-11,18.6,17.55,18.69,17.44,713200.0,0.0604
2007-10-12,18.46,18.65,18.83,18.35,216600.0,-0.0075
2007-10-15,18.03,18.46,18.5,17.77,100000.0,-0.0233
2007-10-16,18.82,18.2,18.94,18.1,409000.0,0.0438
