Date,Close,Open,High,Low,Volume,Change
2000-01-03,18.17,18.87,18.92,18.04,933600.0,-0.039599999999999996
2000-01-04,17.81,18.17,18.21,17.67,1190000.0,-0.019799999999999998
2000-01-05,17.67,17.71,17.83,17.54,2400000.0,-0.0079
2000-01-06,18.04,17.83,18.23,17.75,4520000.0,0.0209
2000-01-07,18.81,18.25,18.81,18.25,1800000.0,0.042699999999999995
2000-01-10,18.58,18.75,18.75,18.46,801600.0,-0.012199999999999999
2000-01-11,18.44,18.52,18.67,18.27,1030000.0,-0.0075
2000-01-12,18.31,18.5,18.81,18.29,1710000.0,-0.006999999999999999
2000-01-13,18.94,18.5,19.17,18.5,1750000.0,0.0344
2000-01-14,19.02,18.96,19.1,18.75,1990000.0,0.0042
2000-01-18,19.25,19.06,19.46,19.02,1320000.0,0.0121
2000-01-19,19.4,19.37,19.42,19.15,2140000.0,0.0078000000000000005
2000-01-20,19.15,19.33,19.42,18.87,1170000.0,-0.0129
2000-01-21,19.52,19.33,19.67,19.31,3000000.0,0.019299999999999998
2000-01-24,18.98,19.87,19.92,18.9,2500000.0,-0.0277
2000-01-25,18.65,18.62,18.96,18.33,2170000.0,-0.0174
2000-01-26,18.1,18.65,18.92,18.06,1550000.0,-0.029500000000000002
2000-01-27,17.87,18.19,18.42,17.67,1250000.0,-0.0127
2000-01-28,17.58,17.77,17.92,17.52,966300.0,-0.016200000000000003
2000-01-31,17.73,17.62,17.81,17.52,708300.0,0.0085
2000-02-01,17.6,17.79,17.85,17.48,614400.0,-0.0073
2000-02-02,17.67,17.69,17.9,17.46,1350000.0,0.004
2000-02-03,17.31,17.71,17.71,17.17,1580000.0,-0.0204
2000-02-04,17.33,17.46,17.46,17.17,1380000.0,0.0012
2000-02-07,17.42,17.33,17.54,17.27,2240000.0,0.0052
2000-02-08,17.1,17.46,17.52,17.04,1460000.0,-0.0184
2000-02-09,16.62,17.17,17.25,16.52,1350000.0,-0.0281
2000-02-10,16.75,16.62,16.85,16.33,2570000.0,0.0078000000000000005
2000-02-11,16.08,16.67,16.69,15.94,1880000.0,-0.04
2000-02-14,16.29,16.17,16.33,16.08,1550000.0,0.0131
2000-02-15,16.81,16.67,17.0,16.67,1700000.0,0.0319
2000-02-16,17.02,17.0,17.1,16.92,1620000.0,0.0125
2000-02-17,17.17,17.21,17.31,17.06,1840000.0,0.0088
2000-02-18,17.08,17.25,17.25,16.96,2170000.0,-0.0052
2000-02-22,17.0,17.08,17.1,16.92,1960000.0,-0.004699999999999999
2000-02-23,16.75,17.0,17.02,16.69,1490000.0,-0.0147
2000-02-24,16.56,16.77,16.79,16.46,1670000.0,-0.0113
2000-02-25,16.25,16.56,16.71,16.17,2069999.9999999998,-0.0187
2000-02-28,16.62,16.25,16.67,16.25,1080000.0,0.022799999999999997
2000-02-29,16.85,16.71,17.04,16.65,1150000.0,0.0138
2000-03-01,17.31,17.12,17.5,17.02,2250000.0,0.0273
