Date,Close,Open,High,Low,Volume,Change
2011-02-14,30.7,31.05,31.3,30.7,6280000.0,-0.0113
2011-02-15,30.94,30.9,31.15,30.73,4340000.0,0.0078000000000000005
2011-02-16,30.72,31.05,31.44,30.66,4630000.0,-0.0070999999999999995
2011-02-17,30.55,30.68,31.09,30.51,3290000.0,-0.0055000000000000005
2011-02-18,31.37,30.65,31.39,30.4,6940000.0,0.0268
2011-02-22,30.72,31.14,31.43,30.71,2450000.0,-0.0207
2011-02-23,30.42,30.76,30.9,30.25,2670000.0,-0.0098
2011-02-24,30.46,30.55,30.65,30.3,1700000.0,0.0013
2011-02-25,30.5,30.53,30.75,30.3,2230000.0,0.0013
2011-02-28,30.5,30.57,30.79,30.42,2380000.0,0.0
2011-03-01,30.45,30.65,30.78,30.23,1910000.0,-0.0016
2011-03-02,30.57,30.57,30.69,30.26,2200000.0,0.0039000000000000003
2011-03-03,30.77,30.68,30.77,30.53,1900000.0,0.006500000000000001
2011-03-04,30.85,30.8,30.94,30.66,892280.0,0.0026
2011-03-07,30.9,30.94,31.04,30.7,1050000.0,0.0016
2011-03-08,30.97,30.8,31.04,30.8,827310.0,0.0023
2011-03-09,30.75,30.9,30.98,30.74,294090.0,-0.0070999999999999995
2011-03-10,30.1,30.71,30.71,29.75,2720000.0,-0.021099999999999997
2011-03-11,30.1,30.1,30.48,29.97,1900000.0,0.0
2011-03-14,29.99,30.0,30.22,29.8,1970000.0,-0.0037
2011-03-15,29.88,29.81,30.2,29.6,1970000.0,-0.0037
2011-03-16,30.05,29.89,30.16,29.76,2060000.0,0.005699999999999999
2011-03-17,30.15,30.2,30.41,30.06,1510000.0,0.0033
2011-03-18,30.5,30.21,30.5,30.08,1910000.0,0.0116
2011-03-21,30.82,30.53,31.0,30.4,1250000.0,0.0105
2011-03-22,30.7,30.9,30.98,30.57,1010000.0,-0.0039000000000000003
2011-03-23,30.02,30.53,30.67,29.95,2570000.0,-0.022099999999999998
2011-03-24,30.05,30.1,30.25,29.9,1410000.0,0.001
2011-03-25,29.52,30.01,30.09,29.5,2690000.0,-0.0176
2011-03-28,29.62,29.74,29.93,29.56,1550000.0,0.0034000000000000002
2011-03-29,29.79,29.75,29.88,29.54,1310000.0,0.005699999999999999
2011-03-30,29.69,29.87,29.89,29.58,770020.0,-0.0034000000000000002
2011-03-31,29.64,29.8,29.87,29.51,884320.0,-0.0017000000000000001
2011-04-01,29.5,29.79,29.85,29.49,1870000.0,-0.004699999999999999
2011-04-04,29.44,29.44,29.7,29.25,1180000.0,-0.002
2011-04-05,29.44,29.49,29.64,29.0,1020000.0,0.0
2011-04-06,29.46,29.46,29.49,29.21,725080.0,0.0007000000000000001
2011-04-07,29.22,29.52,29.56,29.13,1230000.0,-0.008100000000000001
2011-04-08,29.33,29.22,29.42,29.12,934710.0,0.0038
2011-04-11,29.25,29.3,29.41,29.07,1160000.0,-0.0027
2011-04-12,28.73,29.1,29.24,28.27,1280000.0,-0.0178
2011-04-13,28.83,28.74,29.02,28.66,2770000.0,0.0034999999999999996
2011-04-14,29.12,28.79,29.16,28.57,785750.0,0.0101
2011-04-15,28.88,29.11,29.15,28.69,863860.0,-0.008199999999999999
2011-04-18,28.52,28.79,28.84,28.23,882330.0,-0.0125
2011-04-19,28.78,28.59,28.86,28.53,1120000.0,0.0091
2011-04-20,29.45,28.98,29.6,28.79,2049999.9999999998,0.0233
2011-04-21,29.63,29.32,29.93,29.07,1520000.0,0.0060999999999999995
2011-04-25,29.36,29.81,29.81,29.07,604090.0,-0.0091
2011-04-26,29.12,29.54,29.59,29.05,1120000.0,-0.008199999999999999
2011-04-27,28.86,29.3,29.49,28.75,1480000.0,-0.0089
2011-04-28,28.83,28.84,28.95,28.69,1040000.0,-0.001
2011-04-29,28.58,29.04,29.29,28.35,1840000.0,-0.0087
2011-05-02,28.82,28.73,28.99,28.38,1040000.0,0.0084
2011-05-03,28.19,28.84,28.89,28.05,1160000.0,-0.0219
2011-05-04,27.96,28.2,28.36,27.31,2540000.0,-0.008199999999999999
2011-05-05,27.98,28.02,28.26,27.41,1620000.0,0.0007000000000000001
2011-05-06,28.0,28.08,28.41,27.85,653520.0,0.0007000000000000001
2011-05-09,28.29,28.11,28.45,28.01,752060.0,0.0104
2011-05-10,28.52,28.27,28.69,28.08,778070.0,0.008100000000000001
2011-05-11,28.31,28.53,28.63,28.01,1400000.0,-0.0074
2011-05-12,28.45,28.2,28.45,27.82,1790000.0,0.0049
2011-05-13,27.93,28.37,28.37,27.75,1340000.0,-0.0183
2011-05-16,27.54,28.06,28.48,27.4,1740000.0,-0.013999999999999999
2011-05-17,27.5,27.6,27.71,26.87,2310000.0,-0.0015
2011-05-18,27.56,27.77,27.88,27.42,895110.0,0.0022
2011-05-19,28.29,27.68,28.34,27.53,1100000.0,0.0265
2011-05-20,28.5,28.25,28.9,27.97,1540000.0,0.0074
2011-05-23,28.33,28.41,28.57,28.19,2930000.0,-0.006
2011-05-24,29.06,28.53,29.06,28.47,2590000.0,0.0258
2011-05-25,29.02,28.98,29.28,28.8,3300000.0,-0.0014000000000000002
2011-05-26,28.69,29.1,29.22,28.61,1510000.0,-0.011399999999999999
2011-05-27,29.18,28.9,29.18,28.5,1900000.0,0.0171
2011-05-31,29.29,29.53,29.76,29.0,5490000.0,0.0038
2011-06-01,29.0,29.4,29.47,28.85,1040000.0,-0.009899999999999999
2011-06-02,29.38,29.15,29.38,28.44,978330.0,0.0131
2011-06-03,29.75,29.06,29.76,28.73,1570000.0,0.0126
2011-06-06,29.52,29.6,29.77,29.25,1400000.0,-0.0077
2011-06-07,29.79,29.58,29.97,29.42,1980000.0,0.0091
2011-06-08,29.73,29.58,29.86,29.46,766730.0,-0.002
2011-06-09,29.69,29.72,29.89,29.64,1220000.0,-0.0013
2011-06-10,29.53,29.74,29.85,29.43,895780.0,-0.0054
2011-06-13,29.45,29.62,29.93,29.2,901810.0,-0.0027
2011-06-14,29.5,29.41,29.86,29.06,760140.0,0.0017000000000000001
2011-06-15,29.36,29.42,29.65,28.89,1150000.0,-0.004699999999999999
2011-06-16,29.21,29.4,29.44,29.07,792040.0,-0.0051
2011-06-17,29.7,29.36,29.74,29.15,2450000.0,0.0168
2011-06-20,29.61,29.61,29.67,29.4,866620.0,-0.003
2011-06-21,29.62,29.7,29.7,29.34,631280.0,0.0003
2011-06-22,29.62,29.62,29.97,29.45,1590000.0,0.0
2011-06-23,29.1,29.59,29.59,28.91,1960000.0,-0.0176
2011-06-24,28.6,29.19,29.3,28.59,11550000.0,-0.0172
2011-06-27,28.26,28.68,28.79,28.22,1890000.0,-0.011899999999999999
2011-06-28,28.3,28.39,28.67,28.1,2240000.0,0.0014000000000000002
2011-06-29,28.4,28.48,28.8,28.32,1590000.0,0.0034999999999999996
2011-06-30,28.73,28.43,28.78,28.31,809450.0,0.0116
2011-07-01,29.27,28.67,29.28,28.37,846520.0,0.018799999999999997
2011-07-05,29.26,29.22,29.39,29.04,505760.0,-0.0003
2011-07-06,29.11,29.17,29.24,28.92,1240000.0,-0.0051
2011-07-07,28.98,29.26,29.45,28.86,876280.0,-0.0045000000000000005
2011-07-08,28.92,28.8,29.33,28.68,757410.0,-0.0021
2011-07-11,28.36,28.7,28.74,28.16,725370.0,-0.0194
2011-07-12,28.17,28.25,28.37,28.1,665820.0,-0.0067
2011-07-13,28.19,28.34,28.48,28.06,556720.0,0.0007000000000000001
2011-07-14,28.03,28.3,28.41,28.02,799590.0,-0.005699999999999999
2011-07-15,28.59,28.24,28.63,28.0,785050.0,0.02
2011-07-18,28.19,28.4,28.41,27.98,695160.0,-0.013999999999999999
2011-07-19,28.35,28.41,28.49,28.24,390090.0,0.005699999999999999
2011-07-20,28.5,28.57,28.93,28.25,578920.0,0.0053
2011-07-21,28.51,28.68,28.87,28.22,1280000.0,0.0004
2011-07-22,28.36,28.55,28.63,28.24,1020000.0,-0.0053
2011-07-25,27.5,28.3,28.39,27.48,2750000.0,-0.030299999999999997
2011-07-26,27.57,27.61,27.74,27.36,2920000.0,0.0025
2011-07-27,28.18,27.27,28.4,27.1,3650000.0,0.022099999999999998
2011-07-28,28.16,27.9,28.24,27.64,985120.0,-0.0007000000000000001
2011-07-29,28.23,27.96,28.3,27.8,999250.0,0.0025
2011-08-01,28.23,28.42,28.5,28.12,612270.0,0.0
2011-08-02,27.85,28.06,28.17,27.64,893470.0,-0.013500000000000002
2011-08-03,27.72,27.82,27.87,27.25,1390000.0,-0.004699999999999999
2011-08-04,26.47,27.6,27.6,26.33,1810000.0,-0.0451
2011-08-05,25.92,26.47,26.79,24.96,3010000.0,-0.0208
2011-08-08,23.66,25.21,25.59,23.66,2020000.0,-0.0872
2011-08-09,25.92,24.05,25.96,24.0,1690000.0,0.0955
2011-08-10,26.05,25.58,27.08,25.24,1910000.0,0.005
2011-08-11,27.45,26.2,27.81,26.18,1370000.0,0.0537
2011-08-12,26.77,27.83,27.99,26.53,1140000.0,-0.0248
2011-08-15,27.08,27.19,27.3,26.86,676880.0,0.0116
2011-08-16,26.5,26.89,26.9,26.38,645940.0,-0.021400000000000002
2011-08-17,26.28,26.66,26.66,26.22,671950.0,-0.0083
