Date,Close,Open,High,Low,Volume,Change
2000-01-03,9.98,10.28,10.4,9.95,1110000.0,-0.037599999999999995
2000-01-04,9.77,9.8,10.07,9.74,1510000.0,-0.021
2000-01-05,9.83,9.77,9.92,9.68,1120000.0,0.0060999999999999995
2000-01-06,10.1,9.74,10.28,9.71,3200000.0,0.0275
2000-01-07,10.4,10.34,10.79,10.22,3190000.0,0.0297
2000-01-10,10.07,10.4,10.4,9.98,2160000.0,-0.0317
2000-01-11,10.46,10.07,10.52,10.04,2100000.0,0.0387
2000-01-12,10.4,10.52,10.55,10.37,2020000.0,-0.005699999999999999
2000-01-13,10.73,10.4,10.79,10.37,2870000.0,0.0317
2000-01-14,10.55,10.73,10.76,10.34,1840000.0,-0.0168
2000-01-18,10.55,10.31,10.61,10.19,2530000.0,0.0
2000-01-19,10.7,10.55,10.79,10.46,2900000.0,0.014199999999999999
2000-01-20,10.61,10.85,10.85,10.49,1580000.0,-0.0084
2000-01-21,10.4,10.61,10.67,10.31,3080000.0,-0.019799999999999998
2000-01-24,10.01,10.55,10.55,9.89,2610000.0,-0.0375
2000-01-25,9.5,10.43,10.43,9.47,4099999.9999999995,-0.0509
2000-01-26,9.74,9.59,9.86,9.53,2580000.0,0.0253
2000-01-27,9.65,9.86,9.86,9.56,2180000.0,-0.0092
2000-01-28,9.59,9.47,9.77,9.47,2120000.0,-0.0062
2000-01-31,9.53,9.68,9.68,9.23,2170000.0,-0.0063
2000-02-01,9.5,9.5,9.59,9.29,1530000.0,-0.0031
2000-02-02,9.41,9.5,9.65,9.35,2420000.0,-0.0095
2000-02-03,9.35,9.35,9.47,9.26,1660000.0,-0.0064
2000-02-04,9.35,9.44,9.5,9.32,1830000.0,0.0
2000-02-07,9.32,9.26,9.38,9.23,1640000.0,-0.0032
2000-02-08,9.26,9.26,9.38,9.17,1420000.0,-0.0064
2000-02-09,9.11,9.35,9.35,9.05,4179999.9999999995,-0.016200000000000003
2000-02-10,9.08,9.11,9.35,9.08,2210000.0,-0.0033
2000-02-11,8.87,9.11,9.2,8.81,4400000.0,-0.0231
2000-02-14,8.27,8.87,8.9,8.03,9430000.0,-0.0676
2000-02-15,8.6,8.24,8.63,8.12,11660000.0,0.039900000000000005
