Date,Close,Open,High,Low,Volume,Change
2000-01-03,25.31,25.31,25.98,24.75,1770000.0,0.013999999999999999
2000-01-04,24.75,24.09,25.62,24.09,2520000.0,-0.022099999999999998
2000-01-05,26.28,24.91,26.33,24.91,2040000.0,0.061799999999999994
2000-01-06,26.84,26.28,27.05,26.28,6480000.0,0.0213
2000-01-07,27.56,26.95,27.71,26.95,1740000.0,0.0268
2000-01-10,27.05,27.66,28.07,27.0,1260000.0,-0.018500000000000003
2000-01-11,26.74,26.95,27.05,26.49,1060000.0,-0.0115
2000-01-12,26.39,26.95,27.2,25.88,2370000.0,-0.0131
2000-01-13,27.0,26.54,27.41,26.54,1890000.0,0.0231
2000-01-14,28.53,27.56,28.58,27.51,2520000.0,0.0567
2000-01-18,29.86,29.24,30.01,28.73,1910000.0,0.0466
2000-01-19,29.24,29.75,29.75,29.14,1600000.0,-0.0208
2000-01-20,31.03,29.24,31.23,29.24,1880000.0,0.061200000000000004
2000-01-21,32.0,33.07,33.28,31.49,3710000.0,0.0313
2000-01-24,30.67,32.66,32.66,30.32,2080000.0,-0.0416
2000-01-25,30.21,30.67,30.67,29.81,1580000.0,-0.015
2000-01-26,33.17,30.21,33.48,30.16,4110000.0000000005,0.098
2000-01-27,31.69,33.07,33.12,31.08,2029999.9999999998,-0.0446
2000-01-28,30.88,31.64,31.8,29.91,1700000.0,-0.0256
2000-01-31,31.08,31.08,31.85,30.06,2029999.9999999998,0.006500000000000001
2000-02-01,31.03,31.69,31.85,30.83,2680000.0,-0.0016
2000-02-02,31.54,30.77,31.69,30.62,1720000.0,0.016399999999999998
2000-02-03,31.18,31.13,31.74,30.98,1480000.0,-0.011399999999999999
2000-02-04,30.67,31.13,31.34,30.52,1800000.0,-0.016399999999999998
2000-02-07,31.39,30.67,31.85,30.67,1390000.0,0.0235
2000-02-08,33.89,32.66,34.09,32.05,3400000.0,0.0796
2000-02-09,33.43,34.25,34.3,32.31,2560000.0,-0.013600000000000001
2000-02-10,34.5,34.19,35.01,33.38,3350000.0,0.032
2000-02-11,34.3,35.06,35.11,33.73,2950000.0,-0.0058
2000-02-14,34.25,34.5,35.11,34.04,1490000.0,-0.0015
2000-02-15,35.21,34.25,35.52,34.25,3410000.0,0.027999999999999997
2000-02-16,36.75,36.54,36.9,35.62,3230000.0,0.0437
2000-02-17,35.47,36.39,36.49,35.01,1610000.0,-0.0348
