Date,Close,Open,High,Low,Volume,Change,Symbol
2012-10-12,17.5,17.82,18.28,17.5,6470000.0,-0.733,FANG
2012-10-15,17.75,17.55,17.83,17.5,633050.0,0.0143,FANG
2012-10-16,17.79,17.57,17.95,17.25,180250.0,0.0023,FANG
2012-10-17,17.7,17.7,18.07,17.5,120960.0,-0.0051,FANG
2012-10-18,17.7,17.6,17.87,17.52,146010.0,0.0,FANG
2012-10-19,17.41,17.72,17.8,17.41,298000.0,-0.016399999999999998,FANG
2012-10-22,17.03,17.5,17.51,16.93,359740.0,-0.0218,FANG
2012-10-23,17.13,16.85,17.3,16.75,166060.0,0.0059,FANG
2012-10-24,17.39,16.92,17.47,16.92,158170.0,0.0152,FANG
2012-10-25,17.03,17.98,17.98,16.25,206840.0,-0.0207,FANG
2012-10-26,17.14,17.51,17.51,16.6,199410.0,0.006500000000000001,FANG
2012-10-31,17.03,16.5,17.03,16.5,36350.0,-0.0064,FANG
2012-11-01,17.23,17.1,17.48,16.51,202950.0,0.011699999999999999,FANG
2012-11-02,17.0,16.99,17.23,16.56,72010.0,-0.013300000000000001,FANG
2012-11-05,16.71,16.79,17.0,16.5,33300.0,-0.0171,FANG
2012-11-06,17.01,16.52,17.48,16.09,370540.0,0.018000000000000002,FANG
2012-11-07,17.06,16.75,17.4,16.75,155770.0,0.0029,FANG
2012-11-08,16.75,16.29,17.27,16.29,141580.0,-0.0182,FANG
2012-11-09,16.55,16.33,16.94,16.33,209550.0,-0.011899999999999999,FANG
2012-11-12,16.5,16.46,16.55,16.36,12780.0,-0.003,FANG
2012-11-13,16.04,16.52,16.76,15.97,47580.0,-0.0279,FANG
2012-11-14,16.05,15.97,16.47,15.65,123380.0,0.0006,FANG
2012-11-15,16.7,16.38,17.26,15.71,366960.0,0.0405,FANG
2012-11-16,16.82,16.91,17.69,16.27,104600.0,0.0072,FANG
2012-11-19,17.12,16.85,17.25,16.5,77190.0,0.0178,FANG
2012-11-20,17.13,17.14,17.29,16.83,251390.0,0.0006,FANG
2012-11-21,17.2,17.12,17.48,16.85,33050.0,0.0040999999999999995,FANG
2012-11-23,17.32,17.25,17.55,17.06,93970.0,0.006999999999999999,FANG
2012-11-26,17.26,17.3,17.42,17.06,77340.0,-0.0034999999999999996,FANG
2012-11-27,17.23,17.07,17.33,16.93,55710.0,-0.0017000000000000001,FANG
2012-11-28,17.25,17.45,17.49,16.98,93910.0,0.0012,FANG
2012-11-29,18.16,17.46,18.35,17.2,164380.0,0.0528,FANG
2012-11-30,18.0,18.44,18.48,17.77,44180.0,-0.0088,FANG
2012-12-03,18.1,18.01,18.5,17.39,47580.0,0.005600000000000001,FANG
2012-12-04,17.83,18.23,18.23,17.41,30010.0,-0.0149,FANG
2012-12-05,17.98,17.58,18.1,17.58,32980.0,0.0084,FANG
2012-12-06,17.62,17.76,17.78,17.32,41900.0,-0.02,FANG
2012-12-07,17.75,17.68,17.85,17.6,42420.0,0.0074,FANG
2012-12-10,17.62,17.89,17.92,17.36,72260.0,-0.0073,FANG
2012-12-11,17.54,17.41,17.84,17.2,72140.0,-0.0045000000000000005,FANG
2012-12-12,17.64,17.47,17.78,17.47,57930.0,0.005699999999999999,FANG
2012-12-13,17.88,17.41,17.98,17.29,135810.0,0.013600000000000001,FANG
2012-12-14,17.57,17.43,17.65,17.25,44650.0,-0.0173,FANG
2012-12-17,17.98,17.66,18.5,17.5,107590.0,0.0233,FANG
2012-12-18,18.8,17.93,19.25,17.7,142520.0,0.045599999999999995,FANG
2012-12-19,19.18,18.8,19.89,18.13,192560.0,0.0202,FANG
2012-12-20,19.02,18.95,19.02,18.44,200480.0,-0.0083,FANG
2012-12-21,18.98,18.62,19.18,17.68,1940000.0,-0.0021,FANG
2012-12-24,18.64,19.05,19.45,18.01,158970.0,-0.0179,FANG
2012-12-26,18.65,18.75,19.0,18.27,81270.0,0.0005,FANG
2012-12-27,18.54,18.57,19.49,18.39,162080.0,-0.0059,FANG
2012-12-28,18.78,18.41,18.92,18.31,66400.0,0.0129,FANG
2012-12-31,19.12,18.74,19.22,18.57,125600.0,0.0181,FANG
2013-01-02,19.24,19.46,19.92,18.6,189640.0,0.0063,FANG
2013-01-03,19.14,19.24,19.45,18.65,89040.0,-0.0052,FANG
2013-01-04,20.05,19.25,20.49,18.97,173260.0,0.0475,FANG
2013-01-07,20.77,19.89,21.24,19.64,210270.0,0.0359,FANG
2013-01-08,20.6,20.69,21.1,20.38,229400.0,-0.008199999999999999,FANG
2013-01-09,20.47,20.71,20.97,20.4,171760.0,-0.0063,FANG
2013-01-10,21.63,20.54,21.99,20.34,235120.0,0.0567,FANG
2013-01-11,21.67,21.6,21.78,20.55,166210.0,0.0018,FANG
2013-01-14,21.8,21.68,22.47,21.68,130389.99999999999,0.006,FANG
2013-01-15,21.72,21.67,22.9,21.17,59260.0,-0.0037,FANG
2013-01-16,21.28,21.08,21.52,20.06,239500.0,-0.0203,FANG
2013-01-17,21.12,21.37,21.81,20.76,129699.99999999999,-0.0075,FANG
2013-01-18,20.54,21.17,21.79,20.31,119330.0,-0.0275,FANG
2013-01-22,21.79,20.6,21.89,20.6,160070.0,0.060899999999999996,FANG
2013-01-23,21.43,21.74,21.74,20.95,42700.0,-0.0165,FANG
2013-01-24,21.43,21.24,22.59,21.19,114480.0,0.0,FANG
2013-01-25,22.0,21.55,22.71,21.55,71170.0,0.026600000000000002,FANG
2013-01-28,21.64,22.2,22.25,21.34,90920.0,-0.016399999999999998,FANG
2013-01-29,22.13,21.68,22.16,21.63,113680.0,0.0226,FANG
2013-01-30,22.67,22.04,22.88,22.04,340440.0,0.024399999999999998,FANG
2013-01-31,22.42,22.53,22.53,21.55,260329.99999999997,-0.011000000000000001,FANG
2013-02-01,22.7,22.56,22.95,22.36,93560.0,0.0125,FANG
2013-02-04,22.54,22.65,22.71,21.84,80060.0,-0.006999999999999999,FANG
2013-02-05,22.63,22.58,22.65,22.16,38700.0,0.004,FANG
2013-02-06,22.63,22.49,22.83,22.21,136010.0,0.0,FANG
2013-02-07,22.42,22.06,22.69,22.0,61300.0,-0.009300000000000001,FANG
2013-02-08,22.05,22.39,22.75,22.04,96360.0,-0.0165,FANG
2013-02-11,21.56,22.13,22.13,21.3,59100.0,-0.0222,FANG
2013-02-12,21.57,21.52,21.76,21.05,154660.0,0.0005,FANG
2013-02-13,21.56,21.55,22.01,21.23,321610.0,-0.0005,FANG
2013-02-14,22.0,21.55,22.93,21.55,379430.0,0.0204,FANG
2013-02-15,22.3,22.07,22.65,21.7,146480.0,0.013600000000000001,FANG
2013-02-19,22.82,22.32,22.82,22.23,101910.0,0.0233,FANG
2013-02-20,21.28,22.81,23.28,21.21,96160.0,-0.0675,FANG
2013-02-21,20.73,21.29,21.29,20.55,76890.0,-0.0258,FANG
2013-02-22,20.98,22.25,22.63,20.23,310530.0,0.0121,FANG
2013-02-25,19.74,21.0,21.08,19.57,167600.0,-0.0591,FANG
2013-02-26,20.05,19.84,20.52,19.7,119260.0,0.015700000000000002,FANG
2013-02-27,20.96,20.09,21.5,19.85,158490.0,0.0454,FANG
2013-02-28,22.71,20.98,23.31,20.2,204940.0,0.08349999999999999,FANG
2013-03-01,22.34,22.5,22.81,21.91,45930.0,-0.0163,FANG
2013-03-04,22.39,22.37,22.87,21.83,38950.0,0.0022,FANG
2013-03-05,23.7,22.41,23.88,22.39,108680.0,0.058499999999999996,FANG
2013-03-06,23.55,23.83,24.03,23.38,13730.0,-0.0063,FANG
2013-03-07,24.51,23.5,24.89,22.53,129660.0,0.0408,FANG
2013-03-08,24.9,24.77,24.96,23.89,127120.0,0.0159,FANG
2013-03-11,24.49,24.92,24.99,24.08,218100.0,-0.0165,FANG
2013-03-12,24.93,24.52,24.99,24.3,107230.0,0.018000000000000002,FANG
2013-03-13,25.75,24.87,26.39,24.67,308780.0,0.0329,FANG
2013-03-14,24.86,25.86,25.86,24.22,152900.0,-0.0346,FANG
2013-03-15,24.15,24.92,24.96,23.5,186150.0,-0.0286,FANG
2013-03-18,23.99,23.87,24.55,23.63,38800.0,-0.0066,FANG
2013-03-19,23.76,24.23,25.14,23.57,87200.0,-0.0096,FANG
2013-03-20,24.0,24.04,24.3,23.65,80940.0,0.0101,FANG
2013-03-21,24.31,23.92,24.47,23.89,132950.0,0.0129,FANG
2013-03-22,24.55,24.39,24.62,24.24,48090.0,0.009899999999999999,FANG
2013-03-25,25.2,24.69,25.33,24.62,196970.0,0.0265,FANG
2013-03-26,25.65,25.23,25.87,25.08,191340.0,0.0179,FANG
2013-03-27,26.11,25.44,26.27,25.44,83520.0,0.0179,FANG
2013-03-28,26.84,26.24,27.21,26.04,157470.0,0.027999999999999997,FANG
