Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,5.3,5.59,5.62,5.25,944800.0,-0.056900000000000006,FAST
2000-01-04,5.0,5.27,5.31,4.99,845600.0,-0.056600000000000004,FAST
2000-01-05,5.21,4.99,5.24,4.97,1940000.0,0.042,FAST
2000-01-06,5.21,5.23,5.3,5.16,717600.0,0.0,FAST
2000-01-07,5.2,5.21,5.28,5.19,2400000.0,-0.0019,FAST
2000-01-10,5.07,5.22,5.22,5.06,1290000.0,-0.025,FAST
2000-01-11,5.11,5.06,5.16,5.06,2370000.0,0.0079,FAST
2000-01-12,5.01,5.08,5.12,4.98,1940000.0,-0.0196,FAST
2000-01-13,5.78,5.01,6.09,5.01,6080000.0,0.1537,FAST
2000-01-14,5.62,5.78,5.81,5.61,2520000.0,-0.0277,FAST
2000-01-18,5.55,5.61,5.69,5.55,1380000.0,-0.0125,FAST
2000-01-19,5.98,5.7,6.24,5.67,3810000.0,0.0775,FAST
2000-01-20,6.1,6.12,6.3,6.03,4780000.0,0.020099999999999996,FAST
2000-01-21,6.12,6.09,6.18,6.03,3460000.0,0.0033,FAST
2000-01-24,5.76,6.11,6.12,5.69,1280000.0,-0.0588,FAST
2000-01-25,5.88,5.78,5.95,5.73,1420000.0,0.0208,FAST
2000-01-26,6.14,5.89,6.16,5.88,1410000.0,0.044199999999999996,FAST
2000-01-27,6.16,6.09,6.27,5.94,1820000.0,0.0033,FAST
2000-01-28,5.86,6.16,6.16,5.84,1970000.0,-0.0487,FAST
2000-01-31,5.47,5.94,5.94,5.43,2980000.0,-0.0666,FAST
2000-02-01,5.65,5.48,5.86,5.48,1600000.0,0.0329,FAST
2000-02-02,5.98,5.66,6.06,5.65,2040000.0,0.0584,FAST
2000-02-03,6.06,5.95,6.22,5.95,1320000.0,0.0134,FAST
2000-02-04,6.15,6.02,6.2,5.98,508800.0,0.0149,FAST
2000-02-07,6.13,6.14,6.17,6.02,884800.0,-0.0033,FAST
2000-02-08,6.13,6.16,6.2,5.98,1390000.0,0.0,FAST
2000-02-09,5.98,6.1,6.12,5.98,1050000.0,-0.0245,FAST
2000-02-10,5.88,5.95,5.95,5.77,2240000.0,-0.0167,FAST
2000-02-11,5.81,5.86,5.88,5.8,908000.0,-0.011899999999999999,FAST
2000-02-14,5.88,5.82,5.9,5.8,822400.0,0.012,FAST
2000-02-15,5.74,5.88,5.88,5.72,2350000.0,-0.023799999999999998,FAST
2000-02-16,5.59,5.66,5.71,5.59,1070000.0,-0.026099999999999998,FAST
2000-02-17,5.61,5.59,5.7,5.42,1030000.0,0.0036,FAST
2000-02-18,5.52,5.61,5.67,5.52,1260000.0,-0.016,FAST
2000-02-22,5.3,5.5,5.52,5.23,1330000.0,-0.039900000000000005,FAST
2000-02-23,5.43,5.25,5.47,5.23,1090000.0,0.0245,FAST
2000-02-24,5.27,5.47,5.47,5.25,1100000.0,-0.029500000000000002,FAST
2000-02-25,5.25,5.27,5.41,5.25,994400.0,-0.0038,FAST
2000-02-28,5.23,5.23,5.27,5.05,1710000.0,-0.0038,FAST
