Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,2.09,2.02,2.16,2.0,105600.0,0.0296,FLIR
2000-01-04,1.93,2.02,2.03,1.93,40000.0,-0.0766,FLIR
2000-01-05,2.03,1.92,2.03,1.92,234400.0,0.0518,FLIR
2000-01-06,2.02,1.95,2.02,1.95,679200.0,-0.0049,FLIR
2000-01-07,2.03,1.95,2.12,1.95,284000.0,0.005,FLIR
2000-01-10,2.06,2.0,2.09,2.0,106400.0,0.0148,FLIR
2000-01-11,2.09,2.09,2.2,2.0,142400.0,0.0146,FLIR
2000-01-12,2.16,2.09,2.16,2.09,220000.0,0.0335,FLIR
2000-01-13,2.25,2.13,2.28,2.11,303200.0,0.0417,FLIR
2000-01-14,2.23,2.27,2.27,2.21,43200.0,-0.0089,FLIR
2000-01-18,2.23,2.23,2.28,2.23,145600.0,0.0,FLIR
2000-01-19,2.3,2.24,2.38,2.24,222400.0,0.031400000000000004,FLIR
2000-01-20,2.25,2.3,2.31,2.23,729600.0,-0.0217,FLIR
2000-01-21,2.25,2.23,2.27,2.22,106400.0,0.0,FLIR
2000-01-24,2.25,2.25,2.28,2.22,103200.0,0.0,FLIR
2000-01-25,2.19,2.2,2.25,2.19,50400.0,-0.026699999999999998,FLIR
2000-01-26,2.19,2.18,2.19,2.11,56800.0,0.0,FLIR
2000-01-27,2.09,2.12,2.22,2.09,77600.0,-0.045700000000000005,FLIR
2000-01-28,2.31,2.09,2.33,2.05,240000.0,0.10529999999999999,FLIR
2000-01-31,2.3,2.25,2.38,2.23,152000.0,-0.0043,FLIR
2000-02-01,2.12,2.27,2.27,2.12,155200.0,-0.0783,FLIR
2000-02-02,2.25,2.12,2.27,2.12,46400.0,0.0613,FLIR
2000-02-03,2.33,2.25,2.33,2.22,170400.0,0.0356,FLIR
2000-02-04,2.17,2.28,2.28,2.17,118400.0,-0.0687,FLIR
2000-02-07,2.14,2.23,2.23,2.08,53600.0,-0.0138,FLIR
2000-02-08,2.19,2.14,2.19,2.06,170400.0,0.023399999999999997,FLIR
2000-02-09,1.8,1.69,1.88,1.67,2760000.0,-0.17809999999999998,FLIR
2000-02-10,1.9,1.79,1.91,1.78,959200.0,0.0556,FLIR
2000-02-11,1.91,1.9,1.94,1.83,970400.0,0.0053,FLIR
2000-02-14,1.84,1.87,1.89,1.8,682400.0,-0.0366,FLIR
2000-02-15,1.78,1.81,1.84,1.78,204800.0,-0.0326,FLIR
2000-02-16,1.75,1.74,1.75,1.7,2049999.9999999998,-0.0169,FLIR
2000-02-17,1.73,1.7,1.75,1.7,357600.0,-0.011399999999999999,FLIR
2000-02-18,1.8,1.73,1.8,1.72,191200.0,0.0405,FLIR
2000-02-22,1.84,1.81,1.89,1.77,840800.0,0.0222,FLIR
2000-02-23,1.83,1.81,1.89,1.77,420800.0,-0.0054,FLIR
2000-02-24,1.97,1.83,1.97,1.83,336800.0,0.0765,FLIR
2000-02-25,1.92,1.95,1.96,1.89,327200.0,-0.0254,FLIR
2000-02-28,1.89,1.92,1.95,1.88,117600.0,-0.015600000000000001,FLIR
2000-02-29,1.98,1.94,2.0,1.9,257600.00000000003,0.047599999999999996,FLIR
2000-03-01,2.22,1.96,2.41,1.95,816800.0,0.12119999999999999,FLIR
2000-03-02,2.19,2.19,2.25,2.12,147200.0,-0.013500000000000002,FLIR
2000-03-03,2.14,2.12,2.14,2.06,152000.0,-0.022799999999999997,FLIR
2000-03-06,1.25,1.62,1.62,1.12,12400000.0,-0.41590000000000005,FLIR
2000-03-07,1.2,1.25,1.27,1.2,3320000.0,-0.04,FLIR
2000-03-08,1.16,1.23,1.23,1.09,1810000.0,-0.0333,FLIR
2000-03-09,1.12,1.16,1.17,1.09,3560000.0,-0.0345,FLIR
2000-03-10,1.23,1.16,1.23,1.12,1450000.0,0.09820000000000001,FLIR
2000-03-13,1.25,1.23,1.27,1.19,1080000.0,0.0163,FLIR
2000-03-14,1.18,1.23,1.23,1.11,1440000.0,-0.055999999999999994,FLIR
2000-03-15,1.12,1.19,1.2,1.12,548000.0,-0.0508,FLIR
2000-03-16,1.16,1.14,1.19,1.12,728800.0,0.035699999999999996,FLIR
2000-03-17,1.17,1.15,1.18,1.12,370400.0,0.0086,FLIR
2000-03-20,1.12,1.19,1.19,1.11,1480000.0,-0.042699999999999995,FLIR
2000-03-21,1.12,1.14,1.14,1.09,344000.0,0.0,FLIR
2000-03-22,1.1,1.11,1.13,1.09,285600.0,-0.0179,FLIR
2000-03-23,1.1,1.11,1.15,1.1,414400.0,0.0,FLIR
2000-03-24,1.14,1.1,1.23,1.09,245600.0,0.0364,FLIR
2000-03-27,1.11,1.22,1.22,1.09,632000.0,-0.0263,FLIR
2000-03-28,1.12,1.12,1.17,1.1,559200.0,0.009000000000000001,FLIR
2000-03-29,1.17,1.2,1.2,1.12,183200.0,0.0446,FLIR
2000-03-30,1.11,1.18,1.18,1.11,246400.0,-0.0513,FLIR
2000-03-31,1.15,1.13,1.22,1.11,442400.0,0.036000000000000004,FLIR
2000-04-03,1.12,1.19,1.19,1.11,200000.0,-0.026099999999999998,FLIR
2000-04-04,1.04,1.12,1.15,0.94,1120000.0,-0.07139999999999999,FLIR
2000-04-05,1.06,1.07,1.09,1.0,386400.0,0.0192,FLIR
2000-04-06,1.05,1.08,1.08,1.01,1420000.0,-0.009399999999999999,FLIR
