Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,5.48,5.67,5.67,5.48,203700.0,-0.0335,FLS
2000-01-04,5.37,5.5,5.67,5.37,111300.0,-0.020099999999999996,FLS
2000-01-05,5.46,5.37,5.5,5.35,118200.0,0.0168,FLS
2000-01-06,5.48,5.46,5.48,5.37,49800.0,0.0037,FLS
2000-01-07,5.52,5.5,5.52,5.46,84300.0,0.0073,FLS
2000-01-10,5.42,5.5,5.5,5.33,93900.0,-0.0181,FLS
2000-01-11,5.33,5.44,5.44,5.33,66300.0,-0.0166,FLS
2000-01-12,5.44,5.35,5.48,5.33,94200.0,0.0206,FLS
2000-01-13,5.4,5.44,5.46,5.27,78900.0,-0.0074,FLS
2000-01-14,5.33,5.42,5.44,5.31,58800.0,-0.013000000000000001,FLS
2000-01-18,5.33,5.29,5.4,5.25,148200.0,0.0,FLS
2000-01-19,5.46,5.33,5.5,5.33,186000.0,0.024399999999999998,FLS
2000-01-20,5.44,5.48,5.48,5.29,96000.0,-0.0037,FLS
2000-01-21,5.4,5.46,5.48,5.4,202500.0,-0.0074,FLS
2000-01-24,5.12,5.37,5.44,5.12,266100.0,-0.0519,FLS
2000-01-25,5.19,5.12,5.21,5.12,85200.0,0.0137,FLS
2000-01-26,5.19,5.21,5.23,5.17,40200.0,0.0,FLS
2000-01-27,5.1,5.23,5.37,5.08,86400.0,-0.0173,FLS
2000-01-28,5.12,5.06,5.23,5.06,143700.0,0.0039000000000000003,FLS
2000-01-31,5.1,5.12,5.17,5.06,139500.0,-0.0039000000000000003,FLS
2000-02-01,5.06,5.15,5.17,5.06,76200.0,-0.0078000000000000005,FLS
2000-02-02,5.02,5.1,5.1,5.02,134400.0,-0.0079,FLS
2000-02-03,5.04,5.04,5.06,4.96,116400.0,0.004,FLS
2000-02-04,5.19,5.04,5.21,5.04,67800.0,0.0298,FLS
2000-02-07,5.15,5.25,5.25,5.12,45000.0,-0.0077,FLS
2000-02-08,5.04,5.08,5.23,5.04,136800.0,-0.021400000000000002,FLS
2000-02-09,4.94,5.06,5.06,4.92,161400.0,-0.019799999999999998,FLS
2000-02-10,4.52,5.08,5.08,4.5,3350000.0,-0.085,FLS
2000-02-11,4.31,4.52,4.54,4.29,366900.0,-0.04650000000000001,FLS
2000-02-14,4.12,4.19,4.19,4.1,594900.0,-0.0441,FLS
2000-02-15,4.02,4.12,4.12,4.0,1380000.0,-0.024300000000000002,FLS
2000-02-16,4.0,4.0,4.0,3.96,515400.0,-0.005,FLS
2000-02-17,4.0,4.0,4.1,3.96,689400.0,0.0,FLS
2000-02-18,3.92,4.0,4.0,3.9,355200.0,-0.02,FLS
2000-02-22,4.0,3.96,4.0,3.94,271800.0,0.0204,FLS
2000-02-23,3.98,4.0,4.0,3.94,227100.0,-0.005,FLS
2000-02-24,3.85,4.0,4.0,3.81,294300.0,-0.0327,FLS
2000-02-25,3.83,3.85,3.85,3.79,185400.0,-0.0052,FLS
2000-02-28,3.83,3.83,3.87,3.81,171900.0,0.0,FLS
2000-02-29,3.83,3.85,3.85,3.81,148500.0,0.0,FLS
2000-03-01,3.83,3.83,3.85,3.77,388200.0,0.0,FLS
2000-03-02,3.75,3.83,3.83,3.73,232800.0,-0.0209,FLS
2000-03-03,3.75,3.73,3.77,3.67,238200.0,0.0,FLS
2000-03-06,3.69,3.83,3.83,3.67,273000.0,-0.016,FLS
2000-03-07,3.52,3.69,3.69,3.52,487200.0,-0.0461,FLS
2000-03-08,3.73,3.54,3.75,3.54,419100.0,0.059699999999999996,FLS
2000-03-09,3.85,3.75,3.85,3.73,1980000.0,0.0322,FLS
2000-03-10,3.79,3.9,3.94,3.79,1600000.0,-0.015600000000000001,FLS
2000-03-13,3.83,3.79,3.92,3.79,342600.0,0.0106,FLS
2000-03-14,3.81,3.87,3.9,3.79,553200.0,-0.0052,FLS
2000-03-15,3.96,3.81,4.02,3.81,900300.0,0.0394,FLS
2000-03-16,3.98,3.96,4.08,3.94,1670000.0,0.0051,FLS
2000-03-17,4.19,3.96,4.21,3.94,2160000.0,0.0528,FLS
2000-03-20,4.19,4.21,4.23,4.04,756300.0,0.0,FLS
2000-03-21,4.19,4.19,4.21,4.1,164400.0,0.0,FLS
2000-03-22,4.17,4.19,4.27,4.12,733800.0,-0.0048,FLS
2000-03-23,4.23,4.12,4.23,4.12,402600.0,0.0144,FLS
2000-03-24,4.52,4.27,4.52,4.17,2910000.0,0.06860000000000001,FLS
2000-03-27,4.37,4.5,4.52,4.29,297600.0,-0.0332,FLS
2000-03-28,4.25,4.4,4.44,4.25,130800.00000000001,-0.0275,FLS
2000-03-29,4.35,4.29,4.35,4.27,290100.0,0.0235,FLS
2000-03-30,4.46,4.4,4.5,4.4,369900.0,0.0253,FLS
2000-03-31,4.29,4.48,4.54,4.29,1030000.0,-0.0381,FLS
2000-04-03,4.4,4.29,4.44,4.27,602700.0,0.0256,FLS
2000-04-04,4.46,4.4,4.46,4.29,373500.0,0.013600000000000001,FLS
2000-04-05,4.35,4.44,4.44,4.33,220800.0,-0.024700000000000003,FLS
2000-04-06,4.33,4.35,4.4,4.31,221400.0,-0.0046,FLS
2000-04-07,4.5,4.33,4.5,4.33,347400.0,0.0393,FLS
2000-04-10,4.35,4.52,4.54,4.35,193200.0,-0.0333,FLS
2000-04-11,4.25,4.35,4.35,4.23,276000.0,-0.023,FLS
2000-04-12,4.27,4.27,4.29,4.19,392700.0,0.004699999999999999,FLS
2000-04-13,4.42,4.33,4.44,4.31,573900.0,0.0351,FLS
2000-04-14,4.48,4.58,4.58,4.35,661800.0,0.013600000000000001,FLS
2000-04-17,4.42,4.48,4.48,4.33,429600.0,-0.0134,FLS
2000-04-18,4.46,4.4,4.46,4.37,183300.0,0.009000000000000001,FLS
2000-04-19,4.4,4.46,4.46,4.33,157800.0,-0.013500000000000002,FLS
2000-04-20,4.37,4.4,4.4,4.27,95100.0,-0.0068000000000000005,FLS
2000-04-24,4.15,4.4,4.4,4.0,1440000.0,-0.050300000000000004,FLS
2000-04-25,4.1,4.17,4.21,4.04,1010000.0,-0.012,FLS
2000-04-26,4.33,4.1,4.33,4.1,4130000.0,0.056100000000000004,FLS
2000-04-27,4.71,4.33,4.71,4.31,2410000.0,0.08779999999999999,FLS
2000-04-28,4.71,4.67,4.81,4.6,1070000.0,0.0,FLS
2000-05-01,4.65,4.69,4.71,4.65,849900.0,-0.0127,FLS
2000-05-02,4.67,4.65,4.71,4.65,607800.0,0.0043,FLS
2000-05-03,4.87,4.67,4.87,4.65,901200.0,0.042800000000000005,FLS
2000-05-04,5.37,4.85,5.4,4.85,2170000.0,0.1027,FLS
2000-05-05,5.42,5.29,5.42,5.25,567900.0,0.009300000000000001,FLS
2000-05-08,5.35,5.37,5.42,5.33,349500.0,-0.0129,FLS
2000-05-09,5.33,5.35,5.42,5.31,280200.0,-0.0037,FLS
2000-05-10,5.37,5.37,5.42,5.27,225900.0,0.0075,FLS
2000-05-11,5.62,5.37,5.65,5.37,699300.0,0.0466,FLS
2000-05-12,5.77,5.67,5.9,5.65,555600.0,0.026699999999999998,FLS
2000-05-15,5.54,5.77,5.77,5.5,420600.0,-0.039900000000000005,FLS
2000-05-16,5.71,5.58,5.75,5.58,338700.0,0.030699999999999998,FLS
2000-05-17,5.73,5.69,5.75,5.67,364500.0,0.0034999999999999996,FLS
2000-05-18,5.77,5.73,5.77,5.73,200400.0,0.006999999999999999,FLS
2000-05-19,5.6,5.73,5.73,5.6,146700.0,-0.029500000000000002,FLS
2000-05-22,5.62,5.56,5.67,5.56,351900.0,0.0036,FLS
2000-05-23,5.62,5.58,5.67,5.58,152100.0,0.0,FLS
2000-05-24,5.48,5.62,5.62,5.35,216000.0,-0.024900000000000002,FLS
2000-05-25,5.33,5.5,5.5,5.33,152100.0,-0.0274,FLS
2000-05-26,5.37,5.33,5.37,5.25,336900.0,0.0075,FLS
2000-05-30,5.44,5.37,5.48,5.35,214200.0,0.013000000000000001,FLS
2000-05-31,5.33,5.46,5.65,5.33,227100.0,-0.0202,FLS
2000-06-01,5.48,5.35,5.54,5.35,195300.0,0.0281,FLS
2000-06-02,5.79,5.5,5.85,5.5,359400.0,0.056600000000000004,FLS
2000-06-05,5.87,5.85,5.9,5.81,593400.0,0.0138,FLS
2000-06-06,5.73,5.87,5.87,5.73,163500.0,-0.0239,FLS
2000-06-07,5.73,5.75,5.75,5.71,214200.0,0.0,FLS
2000-06-08,5.6,5.77,5.77,5.6,118200.0,-0.0227,FLS
2000-06-09,5.56,5.6,5.65,5.56,244200.0,-0.0070999999999999995,FLS
2000-06-12,5.54,5.58,5.6,5.52,151200.0,-0.0036,FLS
2000-06-13,5.56,5.54,5.58,5.54,153000.0,0.0036,FLS
2000-06-14,5.5,5.56,5.58,5.5,376500.0,-0.0108,FLS
2000-06-15,5.37,5.5,5.5,5.37,448200.0,-0.0236,FLS
2000-06-16,5.23,5.33,5.42,5.23,373200.0,-0.026099999999999998,FLS
2000-06-19,5.31,5.29,5.35,5.27,86400.0,0.015300000000000001,FLS
2000-06-20,5.12,5.33,5.4,5.12,124800.0,-0.0358,FLS
2000-06-21,5.17,5.12,5.17,5.12,425100.0,0.0098,FLS
2000-06-22,4.96,5.15,5.17,4.96,247800.0,-0.0406,FLS
2000-06-23,4.94,5.0,5.0,4.83,432600.0,-0.004,FLS
2000-06-26,4.94,4.9,5.02,4.9,441300.0,0.0,FLS
2000-06-27,5.1,4.92,5.17,4.92,360900.0,0.032400000000000005,FLS
2000-06-28,5.31,5.12,5.31,5.1,144900.0,0.0412,FLS
2000-06-29,5.25,5.31,5.31,5.25,87900.0,-0.0113,FLS
2000-06-30,5.02,5.21,5.27,5.02,253800.0,-0.0438,FLS
2000-07-03,5.12,5.04,5.15,5.02,77100.0,0.0199,FLS
2000-07-05,5.1,5.17,5.25,5.08,191400.0,-0.0039000000000000003,FLS
2000-07-06,5.08,5.12,5.17,5.06,142500.0,-0.0039000000000000003,FLS
2000-07-07,5.02,5.1,5.17,5.0,315000.0,-0.0118,FLS
2000-07-10,4.98,5.04,5.04,4.96,235200.0,-0.008,FLS
2000-07-11,5.06,4.96,5.06,4.92,1570000.0,0.0161,FLS
2000-07-12,5.15,5.06,5.17,5.06,569400.0,0.0178,FLS
2000-07-13,5.29,5.19,5.29,5.17,226800.0,0.027200000000000002,FLS
2000-07-14,5.12,5.27,5.29,5.1,148500.0,-0.0321,FLS
2000-07-17,5.08,5.12,5.12,5.06,309600.0,-0.0078000000000000005,FLS
2000-07-18,4.87,5.12,5.12,4.87,286800.0,-0.041299999999999996,FLS
2000-07-19,5.0,4.9,5.0,4.87,590100.0,0.026699999999999998,FLS
2000-07-20,5.0,5.0,5.02,4.98,501000.0,0.0,FLS
2000-07-21,4.98,5.0,5.0,4.83,221700.0,-0.004,FLS
2000-07-24,4.98,5.0,5.02,4.92,179100.0,0.0,FLS
2000-07-25,5.06,5.02,5.1,4.94,233700.0,0.0161,FLS
2000-07-26,5.02,5.12,5.12,5.02,288600.0,-0.0079,FLS
2000-07-27,5.1,5.1,5.12,5.08,129900.0,0.0159,FLS
2000-07-28,5.04,5.1,5.1,4.96,237300.0,-0.0118,FLS
2000-07-31,5.17,5.06,5.23,5.0,691500.0,0.0258,FLS
2000-08-01,5.31,5.21,5.37,5.21,184200.0,0.0271,FLS
2000-08-02,5.23,5.33,5.33,5.19,440700.0,-0.0151,FLS
2000-08-03,5.25,5.23,5.29,5.17,612300.0,0.0038,FLS
2000-08-04,5.21,5.23,5.31,5.17,198300.0,-0.0076,FLS
2000-08-07,5.25,5.29,5.31,5.23,245400.0,0.0077,FLS
2000-08-08,5.44,5.31,5.48,5.27,265200.0,0.0362,FLS
2000-08-09,5.56,5.44,5.56,5.4,109800.0,0.022099999999999998,FLS
2000-08-10,5.5,5.52,5.58,5.44,393600.0,-0.0108,FLS
2000-08-11,5.58,5.48,5.58,5.48,112500.0,0.014499999999999999,FLS
2000-08-14,5.6,5.6,5.69,5.58,333600.0,0.0036,FLS
2000-08-15,5.58,5.62,5.65,5.56,263400.0,-0.0036,FLS
2000-08-16,5.56,5.58,5.62,5.54,543900.0,-0.0036,FLS
2000-08-17,5.83,5.6,5.87,5.6,945300.0,0.048600000000000004,FLS
2000-08-18,5.77,5.83,5.96,5.77,730800.0,-0.0103,FLS
2000-08-21,5.79,5.79,5.83,5.75,519900.0,0.0034999999999999996,FLS
2000-08-22,5.94,5.79,5.94,5.79,135600.0,0.0259,FLS
2000-08-23,5.79,5.9,5.94,5.77,508200.0,-0.0253,FLS
2000-08-24,5.87,5.79,5.87,5.79,153600.0,0.0138,FLS
2000-08-25,5.9,5.92,5.94,5.87,106200.0,0.0051,FLS
2000-08-28,5.81,5.92,5.94,5.77,152100.0,-0.015300000000000001,FLS
2000-08-29,6.1,5.87,6.29,5.87,589800.0,0.0499,FLS
2000-08-30,6.17,6.21,6.29,6.12,891600.0,0.0115,FLS
2000-08-31,6.17,6.17,6.25,6.12,393600.0,0.0,FLS
2000-09-01,6.1,6.12,6.17,6.04,164700.0,-0.0113,FLS
2000-09-05,6.15,6.12,6.17,6.1,171900.0,0.008199999999999999,FLS
2000-09-06,6.21,6.21,6.25,6.15,304800.0,0.0098,FLS
2000-09-07,6.15,6.17,6.21,6.1,74400.0,-0.0097,FLS
2000-09-08,6.06,6.15,6.15,6.04,139500.0,-0.0146,FLS
2000-09-11,5.92,6.06,6.06,5.92,124500.0,-0.0231,FLS
2000-09-12,5.98,5.92,6.02,5.9,593100.0,0.0101,FLS
2000-09-13,6.08,6.02,6.12,6.02,180600.0,0.0167,FLS
2000-09-14,6.06,6.06,6.08,6.02,160500.0,-0.0033,FLS
2000-09-15,5.98,6.0,6.02,5.96,362400.0,-0.0132,FLS
2000-09-18,5.81,5.98,5.98,5.81,251700.0,-0.028399999999999998,FLS
2000-09-19,5.6,5.81,5.81,5.6,697800.0,-0.0361,FLS
2000-09-20,5.79,5.65,5.81,5.62,188100.0,0.0339,FLS
2000-09-21,5.58,5.81,5.81,5.56,254400.0,-0.0363,FLS
2000-09-22,5.35,5.54,5.54,5.33,626100.0,-0.0412,FLS
2000-09-25,5.5,5.4,5.5,5.4,177600.0,0.027999999999999997,FLS
