Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,18.81,18.81,18.88,18.62,110000.0,0.0,FRT
2000-01-04,18.75,18.75,18.81,18.62,176500.0,-0.0032,FRT
2000-01-05,18.69,18.75,18.88,18.62,135400.0,-0.0032,FRT
2000-01-06,19.25,18.75,19.25,18.62,186800.0,0.03,FRT
2000-01-07,20.25,19.25,20.38,19.19,190200.0,0.0519,FRT
2000-01-10,20.38,20.31,20.5,20.06,64400.00000000001,0.0064,FRT
2000-01-11,19.62,20.25,20.25,19.5,56900.0,-0.0373,FRT
2000-01-12,20.0,19.75,20.25,19.75,96100.0,0.0194,FRT
2000-01-13,19.94,19.88,20.06,19.62,164200.0,-0.003,FRT
2000-01-14,19.75,20.0,20.06,19.75,53400.0,-0.0095,FRT
2000-01-18,20.0,20.0,20.06,19.81,64000.0,0.0127,FRT
2000-01-19,20.12,19.88,20.12,19.75,154100.0,0.006,FRT
2000-01-20,20.19,20.19,20.25,20.12,51900.0,0.0034999999999999996,FRT
2000-01-21,20.19,20.19,20.19,20.06,29200.0,0.0,FRT
2000-01-24,20.0,20.12,20.19,20.0,52600.0,-0.009399999999999999,FRT
2000-01-25,20.0,20.0,20.12,19.88,66700.0,0.0,FRT
2000-01-26,20.0,20.06,20.06,20.0,34200.0,0.0,FRT
2000-01-27,20.06,20.06,20.12,20.0,61000.0,0.003,FRT
2000-01-28,20.06,20.0,20.06,20.0,33400.0,0.0,FRT
2000-01-31,19.94,19.94,20.06,19.94,57100.0,-0.006,FRT
2000-02-01,20.06,20.06,20.06,19.88,49100.0,0.006,FRT
2000-02-02,19.69,20.06,20.06,19.62,171500.0,-0.0184,FRT
2000-02-03,19.75,19.75,19.81,19.69,34500.0,0.003,FRT
2000-02-04,19.44,19.62,19.69,19.44,73000.0,-0.015700000000000002,FRT
2000-02-07,19.19,19.38,19.5,19.19,99200.0,-0.0129,FRT
2000-02-08,19.12,19.19,19.25,19.0,73600.0,-0.0036,FRT
2000-02-09,19.12,19.19,19.25,18.88,70600.0,0.0,FRT
2000-02-10,19.31,19.0,19.38,18.94,33400.0,0.009899999999999999,FRT
2000-02-11,18.75,19.19,19.25,18.75,77400.0,-0.028999999999999998,FRT
2000-02-14,18.0,18.75,18.75,17.75,143600.0,-0.04,FRT
2000-02-15,18.0,18.0,18.25,17.88,249000.0,0.0,FRT
2000-02-16,17.88,18.0,18.12,17.88,97100.0,-0.0067,FRT
2000-02-17,18.06,17.94,18.06,17.94,70100.0,0.0101,FRT
2000-02-18,18.19,18.06,18.38,18.06,113000.0,0.0072,FRT
2000-02-22,18.5,18.12,18.5,18.06,83500.0,0.017,FRT
2000-02-23,18.62,18.38,18.69,18.12,85000.0,0.006500000000000001,FRT
2000-02-24,18.25,18.5,18.5,18.06,49900.0,-0.0199,FRT
2000-02-25,18.38,18.25,18.5,18.25,37200.0,0.0070999999999999995,FRT
2000-02-28,18.62,18.38,18.75,18.38,57300.0,0.0131,FRT
2000-02-29,19.25,18.75,19.25,18.62,114200.0,0.0338,FRT
2000-03-01,19.12,19.19,19.25,18.94,109400.0,-0.0068000000000000005,FRT
2000-03-02,19.0,19.06,19.06,19.0,39600.0,-0.0063,FRT
2000-03-03,19.06,19.25,19.25,18.94,135200.0,0.0032,FRT
2000-03-06,19.19,19.0,19.19,18.81,184300.0,0.0068000000000000005,FRT
2000-03-07,18.75,19.19,19.25,18.75,128000.0,-0.0229,FRT
2000-03-08,19.0,18.88,19.0,18.88,58400.0,0.013300000000000001,FRT
2000-03-09,18.88,18.94,19.0,18.75,31800.0,-0.0063,FRT
2000-03-10,18.75,18.81,18.94,18.69,42500.0,-0.0069,FRT
2000-03-13,18.75,18.75,18.88,18.69,17600.0,0.0,FRT
2000-03-14,18.88,18.75,19.0,18.75,49800.0,0.0069,FRT
2000-03-15,18.75,18.94,18.94,18.62,285500.0,-0.0069,FRT
2000-03-16,19.0,18.88,19.0,18.88,68400.0,0.013300000000000001,FRT
2000-03-17,19.19,19.0,19.25,19.0,61800.0,0.01,FRT
2000-03-20,19.31,19.06,19.38,19.0,111500.0,0.0063,FRT
2000-03-21,19.69,19.19,19.69,19.0,53200.0,0.0197,FRT
2000-03-22,19.0,19.06,19.12,18.5,66600.0,-0.035,FRT
2000-03-23,18.81,18.88,19.0,18.5,59800.0,-0.01,FRT
2000-03-24,18.56,18.62,18.94,18.56,71900.0,-0.013300000000000001,FRT
2000-03-27,18.81,18.69,18.94,18.62,80500.0,0.013500000000000002,FRT
2000-03-28,18.88,18.75,19.0,18.75,76200.0,0.0037,FRT
2000-03-29,19.0,18.94,19.06,18.88,142300.0,0.0064,FRT
2000-03-30,19.12,19.0,19.12,19.0,39400.0,0.0063,FRT
2000-03-31,19.31,19.06,19.31,19.0,41400.0,0.009899999999999999,FRT
2000-04-03,19.12,19.25,19.31,19.06,42500.0,-0.0098,FRT
2000-04-04,19.38,19.06,19.38,18.94,71400.0,0.013600000000000001,FRT
2000-04-05,19.75,19.25,19.88,19.25,115700.0,0.0191,FRT
2000-04-06,20.31,19.81,20.31,19.75,120100.0,0.028399999999999998,FRT
2000-04-07,21.0,20.38,21.0,20.38,111600.0,0.034,FRT
2000-04-10,20.69,20.88,20.94,20.56,102800.0,-0.0148,FRT
2000-04-11,20.62,20.75,21.12,20.44,97000.0,-0.0034000000000000002,FRT
2000-04-12,21.06,20.56,21.12,20.56,141500.0,0.0213,FRT
2000-04-13,21.06,21.06,21.06,20.94,68400.0,0.0,FRT
2000-04-14,20.69,21.0,21.0,20.62,114400.0,-0.0176,FRT
2000-04-17,20.56,20.75,20.75,20.44,120000.0,-0.0063,FRT
2000-04-18,20.31,20.44,20.44,19.88,340800.0,-0.012199999999999999,FRT
2000-04-19,20.25,20.5,20.5,20.19,34200.0,-0.003,FRT
2000-04-20,20.38,20.31,20.75,20.12,99000.0,0.0064,FRT
2000-04-24,20.31,20.25,20.44,20.0,68500.0,-0.0034000000000000002,FRT
2000-04-25,20.62,20.44,20.62,20.12,34300.0,0.015300000000000001,FRT
2000-04-26,21.0,20.56,21.12,20.31,97300.0,0.0184,FRT
2000-04-27,21.31,21.75,21.75,21.31,39500.0,0.0148,FRT
2000-04-28,21.25,21.25,21.5,21.12,69800.0,-0.0028000000000000004,FRT
2000-05-01,21.62,21.5,21.62,21.25,58500.0,0.0174,FRT
2000-05-02,22.0,21.62,22.12,21.5,237600.0,0.0176,FRT
2000-05-03,22.06,22.0,22.25,21.88,167100.0,0.0027,FRT
2000-05-04,22.06,22.12,22.19,22.0,52300.0,0.0,FRT
2000-05-05,22.0,22.06,22.19,21.94,84400.0,-0.0027,FRT
2000-05-08,21.81,22.0,22.0,21.75,73800.0,-0.0086,FRT
2000-05-09,21.81,21.94,21.94,21.44,34200.0,0.0,FRT
2000-05-10,21.5,21.69,21.69,21.31,49800.0,-0.014199999999999999,FRT
2000-05-11,21.75,21.56,21.75,21.5,20300.0,0.0116,FRT
2000-05-12,21.81,21.62,22.0,21.62,32900.0,0.0028000000000000004,FRT
2000-05-15,21.94,21.81,21.94,21.56,39700.0,0.006,FRT
2000-05-16,21.81,21.81,21.94,21.62,32400.0,-0.0059,FRT
2000-05-17,21.56,21.69,21.81,21.38,65000.0,-0.0115,FRT
2000-05-18,22.31,21.69,22.31,21.62,96400.0,0.0348,FRT
2000-05-19,22.0,22.25,22.31,22.0,52600.0,-0.0139,FRT
2000-05-22,22.06,21.88,22.06,21.56,41100.0,0.0027,FRT
2000-05-23,21.75,21.94,22.0,21.56,34000.0,-0.0141,FRT
2000-05-24,22.12,21.62,22.12,21.31,53000.0,0.017,FRT
2000-05-25,21.88,22.06,22.12,21.88,74100.0,-0.0108,FRT
2000-05-26,22.06,21.75,22.06,21.62,39300.0,0.008199999999999999,FRT
2000-05-30,22.06,22.0,22.06,21.69,32000.0,0.0,FRT
2000-05-31,21.94,22.06,22.06,21.5,152300.0,-0.0054,FRT
2000-06-01,21.94,21.81,21.94,21.69,132500.0,0.0,FRT
2000-06-02,22.0,21.94,22.0,21.69,29700.0,0.0027,FRT
2000-06-05,21.62,21.88,21.94,21.56,26900.0,-0.0173,FRT
2000-06-06,21.75,21.56,22.0,21.56,104500.0,0.006,FRT
2000-06-07,21.94,21.75,21.94,21.62,252900.0,0.0087,FRT
2000-06-08,21.75,21.94,22.0,21.69,36400.0,-0.0087,FRT
2000-06-09,21.88,21.81,21.88,21.69,45400.0,0.006,FRT
2000-06-12,21.56,21.88,21.88,21.56,171700.0,-0.0146,FRT
2000-06-13,21.81,21.62,21.81,21.56,91600.0,0.0116,FRT
2000-06-14,21.81,21.75,21.94,21.62,106400.0,0.0,FRT
2000-06-15,21.62,21.81,21.88,21.5,103200.0,-0.0087,FRT
2000-06-16,21.38,21.62,21.62,21.25,111200.0,-0.0111,FRT
2000-06-19,21.25,21.44,21.44,21.12,73900.0,-0.0060999999999999995,FRT
2000-06-20,21.25,21.25,21.31,21.12,144300.0,0.0,FRT
2000-06-21,21.25,21.38,21.38,21.12,137000.0,0.0,FRT
2000-06-22,20.62,20.75,20.81,20.56,91900.0,-0.0296,FRT
2000-06-23,20.75,20.75,20.81,20.5,41200.0,0.0063,FRT
2000-06-26,20.69,20.75,20.75,20.62,142100.0,-0.0029,FRT
2000-06-27,20.75,20.62,20.88,20.62,35000.0,0.0029,FRT
2000-06-28,20.88,20.75,20.94,20.75,80600.0,0.0063,FRT
2000-06-29,20.81,20.75,21.0,20.75,39600.0,-0.0034000000000000002,FRT
2000-06-30,20.02,20.88,21.12,20.0,414100.0,-0.038,FRT
2000-07-03,20.88,20.25,20.88,20.25,26900.0,0.043,FRT
2000-07-05,21.19,21.0,21.31,20.75,103900.0,0.0148,FRT
2000-07-06,21.62,21.06,21.69,21.06,55600.0,0.0203,FRT
2000-07-07,21.56,21.62,21.94,21.5,613000.0,-0.0028000000000000004,FRT
2000-07-10,21.62,21.44,21.62,21.44,29700.0,0.0028000000000000004,FRT
2000-07-11,21.38,21.69,21.69,21.31,83600.0,-0.0111,FRT
2000-07-12,21.62,21.5,21.75,21.38,72900.0,0.011200000000000002,FRT
2000-07-13,21.5,21.5,21.75,21.44,80000.0,-0.005600000000000001,FRT
2000-07-14,21.19,21.62,21.62,21.19,35900.0,-0.0144,FRT
2000-07-17,21.12,21.31,21.31,21.0,53600.0,-0.0033,FRT
2000-07-18,21.06,21.25,21.25,20.88,37500.0,-0.0028000000000000004,FRT
2000-07-19,21.0,21.0,21.19,20.81,24200.0,-0.0028000000000000004,FRT
2000-07-20,21.19,21.12,21.19,20.81,85400.0,0.009000000000000001,FRT
2000-07-21,20.94,21.12,21.5,20.94,142700.0,-0.0118,FRT
2000-07-24,20.94,21.0,21.0,20.75,66000.0,0.0,FRT
2000-07-25,20.94,21.0,21.0,20.75,79500.0,0.0,FRT
2000-07-26,20.94,20.94,21.0,20.81,53200.0,0.0,FRT
2000-07-27,20.94,20.94,21.0,20.88,43100.0,0.0,FRT
2000-07-28,21.06,21.0,21.25,20.94,52900.0,0.005699999999999999,FRT
2000-07-31,21.38,20.94,21.38,20.94,84100.0,0.0152,FRT
2000-08-01,21.62,21.38,21.69,21.19,110600.0,0.011200000000000002,FRT
