Date,Close,Open,High,Low,Volume,Change,Symbol
2001-06-14,5.22,5.11,5.32,5.08,24850000.0,-0.7861,FTI
2001-06-15,5.19,5.17,5.34,5.16,4940000.0,-0.005699999999999999,FTI
2001-06-18,5.1,5.19,5.22,5.08,3220000.0,-0.0173,FTI
2001-06-19,4.95,5.14,5.14,4.94,4010000.0,-0.0294,FTI
2001-06-20,4.94,4.92,4.94,4.7,5230000.0,-0.002,FTI
2001-06-21,4.75,4.91,4.91,4.74,4320000.0,-0.0385,FTI
2001-06-22,4.75,4.75,4.77,4.75,1360000.0,0.0,FTI
2001-06-25,4.75,4.75,4.75,4.75,130800.00000000001,0.0,FTI
2001-06-26,4.75,4.75,4.76,4.75,728800.0,0.0,FTI
2001-06-27,4.7,4.75,4.75,4.65,4139999.9999999995,-0.0105,FTI
2001-06-28,4.68,4.7,4.75,4.68,2250000.0,-0.0043,FTI
2001-06-29,4.9,4.68,4.9,4.68,780800.0,0.047,FTI
2001-07-02,4.7,4.9,4.9,4.68,380400.0,-0.0408,FTI
2001-07-03,4.54,4.69,4.69,4.51,919200.0,-0.034,FTI
2001-07-05,4.63,4.57,4.63,4.57,673200.0,0.019799999999999998,FTI
2001-07-06,4.61,4.62,4.63,4.6,391600.0,-0.0043,FTI
2001-07-09,4.54,4.62,4.69,4.54,2060000.0,-0.0152,FTI
2001-07-10,4.27,4.54,4.54,4.26,3030000.0,-0.059500000000000004,FTI
2001-07-11,4.3,4.29,4.37,4.26,2620000.0,0.006999999999999999,FTI
2001-07-12,4.3,4.3,4.3,4.26,1440000.0,0.0,FTI
2001-07-13,4.44,4.32,4.49,4.32,1690000.0,0.0326,FTI
2001-07-16,4.26,4.39,4.39,4.23,695600.0,-0.0405,FTI
2001-07-17,4.17,4.24,4.29,4.13,1400000.0,-0.021099999999999997,FTI
2001-07-18,4.23,4.15,4.28,4.15,549600.0,0.0144,FTI
2001-07-19,4.31,4.26,4.4,4.25,695200.0,0.0189,FTI
2001-07-20,4.29,4.3,4.31,4.25,1540000.0,-0.0046,FTI
2001-07-23,4.27,4.29,4.3,4.25,308000.0,-0.004699999999999999,FTI
2001-07-24,4.27,4.25,4.49,4.24,851200.0,0.0,FTI
2001-07-25,4.56,4.28,4.6,4.21,1180000.0,0.0679,FTI
2001-07-26,4.53,4.53,4.56,4.49,384400.0,-0.0066,FTI
2001-07-27,4.38,4.5,4.5,4.38,343600.0,-0.0331,FTI
2001-07-30,4.39,4.4,4.41,4.32,106800.0,0.0023,FTI
2001-07-31,4.29,4.4,4.42,4.21,1670000.0,-0.022799999999999997,FTI
2001-08-01,4.27,4.31,4.34,4.27,490800.0,-0.004699999999999999,FTI
2001-08-02,4.32,4.27,4.33,4.27,692000.0,0.011699999999999999,FTI
2001-08-03,4.26,4.33,4.33,4.26,274400.0,-0.0139,FTI
2001-08-06,4.18,4.24,4.24,4.17,196400.0,-0.018799999999999997,FTI
2001-08-07,4.09,4.18,4.18,4.09,111200.0,-0.0215,FTI
2001-08-08,4.03,4.09,4.15,4.03,737600.0,-0.0147,FTI
2001-08-09,3.85,4.03,4.03,3.84,1320000.0,-0.0447,FTI
2001-08-10,3.86,3.83,3.86,3.8,368000.0,0.0026,FTI
2001-08-13,3.8,3.87,3.87,3.8,34800.0,-0.0155,FTI
2001-08-14,3.83,3.8,3.83,3.75,56800.0,0.0079,FTI
2001-08-15,4.01,3.87,4.05,3.87,946800.0,0.047,FTI
2001-08-16,3.98,4.02,4.03,3.98,934400.0,-0.0075,FTI
2001-08-17,3.95,3.98,3.99,3.95,149600.0,-0.0075,FTI
2001-08-20,4.0,3.96,4.0,3.96,324400.0,0.0127,FTI
2001-08-21,3.96,4.03,4.03,3.96,94400.0,-0.01,FTI
2001-08-22,3.95,3.96,4.02,3.94,95200.0,-0.0025,FTI
2001-08-23,3.91,3.94,3.95,3.9,319200.0,-0.0101,FTI
2001-08-24,3.85,3.9,3.9,3.84,358400.0,-0.015300000000000001,FTI
2001-08-27,3.92,3.84,4.03,3.84,305200.0,0.0182,FTI
2001-08-28,3.9,3.9,3.9,3.86,302400.0,-0.0051,FTI
2001-08-29,3.9,3.88,3.92,3.86,546800.0,0.0,FTI
2001-08-30,3.79,3.88,3.88,3.75,674000.0,-0.0282,FTI
2001-08-31,3.86,3.81,3.86,3.81,286400.0,0.018500000000000003,FTI
2001-09-04,3.97,3.86,4.02,3.86,666000.0,0.0285,FTI
2001-09-05,3.92,3.96,3.97,3.87,330000.0,-0.0126,FTI
2001-09-06,3.82,3.92,3.92,3.82,1450000.0,-0.0255,FTI
2001-09-07,3.76,3.8,3.8,3.75,220000.0,-0.015700000000000002,FTI
2001-09-10,3.7,3.74,3.79,3.69,461200.0,-0.016,FTI
2001-09-17,3.3,3.67,3.67,3.23,1530000.0,-0.1081,FTI
2001-09-18,3.38,3.28,3.42,3.28,1160000.0,0.0242,FTI
2001-09-19,3.32,3.37,3.37,3.29,420000.0,-0.0178,FTI
2001-09-20,3.38,3.3,3.41,3.29,887200.0,0.0181,FTI
2001-09-21,3.32,3.36,3.41,3.3,906800.0,-0.0178,FTI
2001-09-24,3.32,3.37,3.37,3.3,279200.0,0.0,FTI
2001-09-25,3.06,3.32,3.32,3.06,288000.0,-0.0783,FTI
2001-09-26,2.73,3.04,3.04,2.68,588000.0,-0.10779999999999999,FTI
2001-09-27,2.8,2.71,2.8,2.61,2770000.0,0.0256,FTI
2001-09-28,2.74,2.8,2.8,2.73,650400.0,-0.021400000000000002,FTI
2001-10-01,2.7,2.74,2.74,2.7,161600.0,-0.0146,FTI
2001-10-02,2.68,2.7,2.7,2.68,523600.0,-0.0074,FTI
2001-10-03,2.84,2.67,2.84,2.62,541600.0,0.059699999999999996,FTI
2001-10-04,2.95,2.82,2.95,2.82,762400.0,0.0387,FTI
2001-10-05,2.79,2.97,2.99,2.78,799600.0,-0.0542,FTI
2001-10-08,2.87,2.78,2.87,2.78,240800.0,0.0287,FTI
2001-10-09,2.88,2.88,2.88,2.82,119200.0,0.0034999999999999996,FTI
2001-10-10,3.02,2.91,3.06,2.9,145600.0,0.048600000000000004,FTI
2001-10-11,3.25,3.04,3.31,3.04,122000.0,0.0762,FTI
2001-10-12,3.11,3.23,3.23,3.11,80000.0,-0.0431,FTI
2001-10-15,3.0,3.09,3.11,3.0,114000.0,-0.0354,FTI
2001-10-16,2.99,2.98,3.02,2.95,205600.0,-0.0033,FTI
2001-10-17,2.97,3.01,3.01,2.95,140800.0,-0.0067,FTI
2001-10-18,2.99,2.99,2.99,2.94,1000000.0,0.0067,FTI
2001-10-19,3.0,2.98,3.0,2.97,397600.0,0.0033,FTI
2001-10-22,3.06,3.01,3.06,3.01,14400.0,0.02,FTI
2001-10-23,3.11,3.09,3.12,3.09,101600.0,0.0163,FTI
2001-10-24,3.09,3.11,3.11,3.09,70000.0,-0.0064,FTI
2001-10-25,3.2,3.09,3.2,3.09,140800.0,0.0356,FTI
2001-10-26,3.26,3.2,3.27,3.18,285600.0,0.0187,FTI
2001-10-29,3.23,3.25,3.25,3.19,248400.0,-0.0092,FTI
2001-10-30,3.17,3.24,3.24,3.17,240800.0,-0.018600000000000002,FTI
2001-10-31,3.11,3.17,3.24,3.07,278400.0,-0.0189,FTI
2001-11-01,3.09,3.09,3.11,2.94,92400.0,-0.0064,FTI
2001-11-02,3.17,3.09,3.17,3.09,58800.0,0.0259,FTI
2001-11-05,3.28,3.19,3.28,3.19,2100000.0,0.0347,FTI
2001-11-06,3.26,3.26,3.28,3.24,541200.0,-0.0060999999999999995,FTI
2001-11-07,3.23,3.26,3.26,3.21,263200.0,-0.0092,FTI
2001-11-08,3.22,3.22,3.23,3.22,308400.0,-0.0031,FTI
2001-11-09,3.25,3.19,3.25,3.19,54000.0,0.009300000000000001,FTI
2001-11-12,3.24,3.28,3.28,3.24,206800.0,-0.0031,FTI
2001-11-13,3.23,3.24,3.24,3.23,656000.0,-0.0031,FTI
2001-11-14,3.21,3.23,3.23,3.21,262000.0,-0.0062,FTI
2001-11-15,3.09,3.18,3.18,3.06,1140000.0,-0.0374,FTI
2001-11-16,3.12,3.21,3.21,3.12,647200.0,0.0097,FTI
2001-11-19,3.23,3.12,3.24,3.12,821200.0,0.0353,FTI
2001-11-20,3.14,3.22,3.23,3.14,530000.0,-0.0279,FTI
2001-11-21,3.14,3.16,3.16,3.13,716000.0,0.0,FTI
2001-11-23,3.14,3.13,3.14,3.13,130400.0,0.0,FTI
2001-11-26,3.13,3.14,3.14,3.13,147200.0,-0.0032,FTI
2001-11-27,3.11,3.12,3.14,3.11,858000.0,-0.0064,FTI
2001-11-28,3.09,3.11,3.13,3.09,500000.0,-0.0064,FTI
2001-11-29,3.04,3.09,3.1,3.04,1560000.0,-0.016200000000000003,FTI
2001-11-30,2.99,2.98,3.01,2.86,948400.0,-0.016399999999999998,FTI
2001-12-03,2.97,2.97,2.97,2.91,627600.0,-0.0067,FTI
2001-12-04,2.97,2.94,2.97,2.91,2640000.0,0.0,FTI
2001-12-05,3.13,2.99,3.18,2.97,637600.0,0.053899999999999997,FTI
2001-12-06,3.11,3.14,3.14,3.11,516000.0,-0.0064,FTI
2001-12-07,3.14,3.09,3.18,2.95,656400.0,0.0096,FTI
2001-12-10,3.13,3.16,3.16,3.11,23200.0,-0.0032,FTI
