Date,Close,Open,High,Low,Volume,Change,Symbol
2016-06-14,46.95,45.0,46.95,45.0,200.0,0.0919,FTV
2016-06-15,47.0,47.0,47.0,47.0,1400.0,0.0011,FTV
2016-06-17,50.0,49.0,50.0,49.0,500.0,0.0638,FTV
2016-06-22,48.0,50.0,50.0,48.0,250100.0,-0.04,FTV
2016-06-23,48.5,48.6,48.6,48.5,236790.0,0.0104,FTV
2016-06-24,46.0,47.55,47.55,46.0,1450.0,-0.051500000000000004,FTV
2016-06-27,46.17,46.53,48.01,46.0,9090.0,0.0037,FTV
2016-06-28,48.0,48.0,49.5,46.13,671680.0,0.039599999999999996,FTV
2016-06-29,48.41,48.2,50.0,48.1,5500.0,0.0085,FTV
2016-06-30,49.26,48.74,50.0,48.1,29100.0,0.0176,FTV
2016-07-01,49.54,49.87,50.0,48.23,326900.0,0.005699999999999999,FTV
2016-07-05,48.6,49.4,54.34,48.4,6230000.0,-0.019,FTV
2016-07-06,47.75,47.07,48.6,46.29,6710000.0,-0.0175,FTV
2016-07-07,47.74,47.62,48.0,47.34,5490000.0,-0.0002,FTV
2016-07-08,50.2,47.96,50.61,47.53,4240000.0,0.051500000000000004,FTV
2016-07-11,51.12,49.21,51.23,48.98,6040000.0,0.0183,FTV
2016-07-12,50.57,51.0,51.06,50.26,5550000.0,-0.0108,FTV
2016-07-13,50.62,50.57,51.1,49.83,4860000.0,0.001,FTV
2016-07-14,51.57,50.33,51.74,49.95,3480000.0,0.018799999999999997,FTV
2016-07-15,51.23,51.78,51.91,50.61,3690000.0,-0.0066,FTV
2016-07-18,51.29,50.77,51.58,50.51,1560000.0,0.0012,FTV
2016-07-19,51.55,51.04,51.56,50.44,1950000.0,0.0051,FTV
2016-07-20,50.34,51.84,51.92,50.01,3350000.0,-0.0235,FTV
2016-07-21,50.24,50.4,50.62,49.99,3040000.0,-0.002,FTV
2016-07-22,49.4,50.0,50.29,49.29,2450000.0,-0.0167,FTV
2016-07-25,48.98,49.22,49.45,47.86,3040000.0,-0.0085,FTV
2016-07-26,49.28,48.56,49.42,48.28,1570000.0,0.0060999999999999995,FTV
2016-07-27,48.92,49.08,49.5,48.72,1630000.0,-0.0073,FTV
2016-07-28,48.65,48.74,49.09,48.34,2920000.0,-0.0055000000000000005,FTV
2016-07-29,48.21,48.46,48.8,48.01,4480000.0,-0.009000000000000001,FTV
2016-08-01,47.8,48.11,48.51,47.59,2980000.0,-0.0085,FTV
2016-08-02,47.5,47.5,48.02,47.18,3270000.0,-0.0063,FTV
2016-08-03,49.28,47.5,49.48,47.35,4710000.0,0.0375,FTV
2016-08-04,50.03,49.59,50.11,49.48,3050000.0,0.0152,FTV
2016-08-05,50.58,50.26,50.98,50.26,2670000.0,0.011000000000000001,FTV
2016-08-08,50.05,50.63,50.87,49.94,2120000.0,-0.0105,FTV
2016-08-09,50.46,48.73,50.53,48.42,1080000.0,0.008199999999999999,FTV
2016-08-10,50.45,50.47,50.8,50.1,1180000.0,-0.0002,FTV
2016-08-11,52.55,50.73,52.71,50.7,1990000.0,0.0416,FTV
2016-08-12,52.71,52.0,52.87,51.8,1290000.0,0.003,FTV
2016-08-15,53.66,52.95,53.77,52.86,1460000.0,0.018000000000000002,FTV
2016-08-16,53.55,53.58,53.95,53.27,1000000.0,-0.002,FTV
2016-08-17,53.41,53.67,53.73,53.34,1030000.0,-0.0026,FTV
2016-08-18,53.16,53.22,53.52,52.93,874670.0,-0.004699999999999999,FTV
2016-08-19,51.92,52.95,52.95,51.71,1200000.0,-0.0233,FTV
2016-08-22,51.26,51.92,52.04,51.08,1080000.0,-0.0127,FTV
2016-08-23,51.9,51.36,52.1,51.14,2510000.0,0.0125,FTV
2016-08-24,51.37,51.26,51.78,50.6,692790.0,-0.0102,FTV
2016-08-25,51.62,51.18,51.89,50.98,1380000.0,0.0049,FTV
2016-08-26,51.87,51.64,52.34,51.53,937560.0,0.0048,FTV
2016-08-29,52.41,51.78,52.79,51.56,1040000.0,0.0104,FTV
2016-08-30,52.61,52.19,53.47,52.19,952120.0,0.0038,FTV
2016-08-31,52.67,52.47,52.82,52.0,1650000.0,0.0011,FTV
2016-09-01,52.63,52.96,53.11,52.14,959370.0,-0.0008,FTV
2016-09-02,53.38,53.02,53.47,52.81,840800.0,0.0143,FTV
2016-09-06,52.73,53.5,53.55,52.29,1290000.0,-0.012199999999999999,FTV
2016-09-07,52.94,52.43,53.12,52.02,1740000.0,0.004,FTV
2016-09-08,52.33,52.68,52.96,52.27,1100000.0,-0.0115,FTV
2016-09-09,50.55,51.77,52.01,50.55,2170000.0,-0.034,FTV
2016-09-12,51.21,50.02,51.44,49.86,1860000.0,0.0131,FTV
2016-09-13,50.04,50.86,51.4,49.97,1610000.0,-0.022799999999999997,FTV
2016-09-14,50.02,50.05,50.5,49.64,1150000.0,-0.0004,FTV
2016-09-15,50.49,49.98,50.6,49.5,1420000.0,0.009399999999999999,FTV
2016-09-16,50.26,50.11,50.39,49.42,2350000.0,-0.0046,FTV
2016-09-19,50.78,50.41,51.41,50.38,975310.0,0.0103,FTV
2016-09-20,50.25,50.78,51.08,50.21,1070000.0,-0.0104,FTV
2016-09-21,50.98,50.47,51.01,50.22,850840.0,0.014499999999999999,FTV
2016-09-22,51.64,51.35,51.99,51.29,1650000.0,0.0129,FTV
2016-09-23,50.88,51.3,51.58,50.65,807190.0,-0.0147,FTV
2016-09-26,51.22,50.66,51.49,50.3,1070000.0,0.0067,FTV
2016-09-27,51.61,51.1,51.78,51.05,1200000.0,0.0076,FTV
2016-09-28,51.72,51.74,51.77,51.35,905670.0,0.0021,FTV
2016-09-29,50.7,51.09,51.61,50.63,1460000.0,-0.0197,FTV
2016-09-30,50.9,51.12,51.27,50.28,1950000.0,0.0039000000000000003,FTV
2016-10-03,51.39,50.61,51.66,50.61,1360000.0,0.0096,FTV
2016-10-04,50.81,51.26,51.45,50.56,1210000.0,-0.0113,FTV
2016-10-05,50.94,51.02,51.3,50.6,884500.0,0.0026,FTV
