Date,Close,Open,High,Low,Volume,Change
2000-01-03,39.0,39.38,39.62,38.31,659800.0,-0.025
2000-01-04,38.12,38.88,38.94,38.0,1160000.0,-0.0226
2000-01-05,39.25,38.75,39.5,38.19,2720000.0,0.0296
2000-01-06,40.62,39.12,40.75,38.94,3120000.0,0.0349
2000-01-07,42.75,40.5,42.75,40.5,1660000.0,0.0524
2000-01-10,30.12,33.0,34.75,28.12,8580000.0,-0.2954
2000-01-11,28.25,29.62,29.62,27.38,6610000.0,-0.0621
2000-01-12,27.88,28.5,28.62,27.5,3030000.0,-0.0131
2000-01-13,30.38,28.38,30.38,27.94,2640000.0,0.0897
2000-01-14,29.94,30.25,30.38,29.5,1800000.0,-0.014499999999999999
2000-01-18,28.75,29.25,29.38,28.69,1500000.0,-0.0397
2000-01-19,27.31,28.25,28.94,27.06,2810000.0,-0.0501
2000-01-20,26.38,27.31,27.44,25.62,1380000.0,-0.0341
2000-01-21,25.56,26.75,26.75,25.06,1160000.0,-0.0311
2000-01-24,24.25,25.75,26.19,23.94,1440000.0,-0.0513
2000-01-25,23.44,24.38,24.62,22.75,2220000.0,-0.0334
2000-01-26,25.25,23.0,25.25,23.0,2250000.0,0.07719999999999999
2000-01-27,26.44,26.12,27.25,26.06,2530000.0,0.0471
2000-01-28,25.88,26.44,26.44,24.84,1010000.0,-0.0212
2000-01-31,25.88,25.88,25.88,24.94,648300.0,0.0
2000-02-01,26.31,26.12,26.75,25.88,820300.0,0.0166
2000-02-02,27.31,26.31,27.31,26.25,1260000.0,0.038
2000-02-03,27.31,27.19,27.62,26.44,1130000.0,0.0
2000-02-04,27.19,27.19,27.56,26.94,656000.0,-0.0044
2000-02-07,27.62,27.06,27.69,27.0,871300.0,0.0158
2000-02-08,26.56,27.88,28.44,25.62,1040000.0,-0.0384
2000-02-09,24.44,26.38,26.44,24.25,833900.0,-0.07980000000000001
2000-02-10,23.44,24.5,25.06,23.44,1070000.0,-0.0409
2000-02-11,23.94,24.0,24.19,23.69,1160000.0,0.0213
2000-02-14,24.38,23.69,24.94,23.25,1590000.0,0.0184
2000-02-15,23.81,24.38,24.69,23.44,1200000.0,-0.023399999999999997
2000-02-16,23.38,23.94,24.0,23.06,813400.0,-0.0181
2000-02-17,23.12,23.5,23.5,23.0,1220000.0,-0.0111
2000-02-18,22.69,23.06,23.44,22.69,1050000.0,-0.018600000000000002
2000-02-22,22.94,22.75,23.19,22.75,1090000.0,0.011000000000000001
2000-02-23,22.38,22.81,23.19,22.38,1800000.0,-0.024399999999999998
2000-02-24,22.12,22.5,22.81,21.81,1130000.0,-0.0116
2000-02-25,21.38,22.12,22.12,21.38,1330000.0,-0.0335
2000-02-28,21.5,21.62,21.94,21.38,769800.0,0.005600000000000001
2000-02-29,21.06,21.38,21.44,20.69,1230000.0,-0.020499999999999997
2000-03-01,23.06,21.0,23.38,20.94,1220000.0,0.095
2000-03-02,23.12,23.06,23.12,22.88,1180000.0,0.0026
2000-03-03,23.81,23.38,24.38,23.06,717900.0,0.0298
2000-03-06,23.31,23.69,23.81,23.0,573200.0,-0.021
2000-03-07,22.38,23.19,23.19,22.38,693400.0,-0.039900000000000005
