Date,Close,Open,High,Low,Volume,Change
2000-01-03,46.08,48.21,48.21,45.72,5660000.0,-0.0542
2000-01-04,44.34,45.52,45.68,43.7,9140000.0,-0.0378
2000-01-05,43.15,44.11,44.87,43.15,7570000.0,-0.0268
2000-01-06,44.03,42.64,44.65,42.64,9620000.0,0.0204
2000-01-07,44.67,44.18,44.98,43.52,5270000.0,0.014499999999999999
2000-01-10,45.3,44.84,45.88,44.51,4290000.0,0.0141
2000-01-11,45.72,45.24,46.89,45.06,6270000.0,0.009300000000000001
2000-01-12,45.48,45.7,46.56,44.97,5090000.0,-0.0052
2000-01-13,45.72,45.86,46.38,45.2,5100000.0,0.0053
2000-01-14,46.74,46.29,47.22,46.21,5510000.0,0.0223
2000-01-18,44.42,46.3,46.3,44.4,5140000.0,-0.0496
2000-01-19,43.65,44.98,45.35,43.59,5780000.0,-0.0173
2000-01-20,44.37,44.03,45.31,43.48,9900000.0,0.0165
2000-01-21,44.45,44.84,45.06,44.23,5520000.0,0.0018
2000-01-24,44.55,45.2,46.3,44.14,8780000.0,0.0022
2000-01-25,46.41,44.44,46.52,44.44,8890000.0,0.0418
2000-01-26,46.82,46.89,48.08,46.74,11550000.0,0.0088
2000-01-27,47.75,47.18,48.13,46.91,5460000.0,0.0199
2000-01-28,46.38,47.22,47.55,46.23,6310000.0,-0.0287
2000-01-31,48.28,46.01,48.57,45.96,6530000.0,0.040999999999999995
2000-02-01,49.53,48.23,49.67,48.01,8119999.999999999,0.0259
2000-02-02,48.12,49.38,49.38,47.95,7840000.0,-0.0285
2000-02-03,47.73,48.21,48.5,47.07,6530000.0,-0.008100000000000001
2000-02-04,47.31,47.73,47.95,47.07,4510000.0,-0.0088
2000-02-07,47.6,47.31,48.03,47.16,3910000.0,0.0060999999999999995
2000-02-08,47.77,47.92,48.45,47.7,4610000.0,0.0036
2000-02-09,45.88,47.73,47.73,45.42,6290000.0,-0.039599999999999996
2000-02-10,45.28,45.9,46.74,45.02,5240000.0,-0.0131
2000-02-11,44.98,45.42,46.32,44.53,5710000.0,-0.0066
2000-02-14,45.13,44.98,46.29,44.98,4740000.0,0.0033
2000-02-15,46.63,45.2,46.78,45.08,4090000.0,0.0332
2000-02-16,45.09,45.86,45.94,44.58,6670000.0,-0.033
2000-02-17,43.35,45.2,45.57,41.87,12430000.0,-0.038599999999999995
2000-02-18,40.52,43.34,43.35,39.67,13670000.0,-0.0653
2000-02-22,40.77,40.88,41.1,40.33,12060000.0,0.0062
2000-02-23,40.48,40.74,41.23,40.06,9540000.0,-0.0070999999999999995
2000-02-24,38.1,40.33,40.61,37.77,17380000.0,-0.0588
2000-02-25,36.56,38.43,39.27,36.34,14510000.0,-0.0404
2000-02-28,38.87,37.07,39.71,37.07,14320000.0,0.0632
2000-02-29,39.32,39.86,39.91,38.54,7490000.0,0.0116
2000-03-01,39.71,40.15,40.28,38.74,6820000.0,0.009899999999999999
2000-03-02,39.14,40.15,40.28,38.79,7620000.0,-0.0144
2000-03-03,39.12,40.37,40.55,38.46,7680000.0,-0.0005
2000-03-06,37.88,39.12,39.2,37.69,6390000.0,-0.0317
2000-03-07,37.04,37.95,38.1,36.38,9760000.0,-0.0222
2000-03-08,35.97,37.11,37.11,35.48,9940000.0,-0.028900000000000002
2000-03-09,35.97,36.3,36.45,35.02,11240000.0,0.0
