Date,Close,Open,High,Low,Volume,Change
2000-01-03,10.47,10.57,10.72,10.28,1190000.0,-0.0113
2000-01-04,10.28,10.45,10.49,10.1,1570000.0,-0.0181
2000-01-05,10.45,10.26,10.47,10.06,2460000.0,0.0165
2000-01-06,11.09,10.43,11.36,10.43,3630000.0,0.061200000000000004
2000-01-07,11.17,11.42,11.42,10.9,1440000.0,0.0072
2000-01-10,11.23,11.25,11.32,11.11,748800.0,0.0054
2000-01-11,11.05,11.09,11.21,10.99,826200.0,-0.016
2000-01-12,11.09,10.92,11.17,10.92,864600.0,0.0036
2000-01-13,11.09,11.21,11.3,11.03,2900000.0,0.0
2000-01-14,11.03,11.09,11.13,10.84,5080000.0,-0.0054
2000-01-18,11.01,10.97,11.13,10.86,1300000.0,-0.0018
2000-01-19,11.01,10.99,11.09,10.92,1100000.0,0.0
2000-01-20,11.32,10.99,11.38,10.95,2080000.0,0.0282
2000-01-21,11.69,11.77,11.96,11.56,2890000.0,0.0327
2000-01-24,11.83,11.71,12.0,11.71,1770000.0,0.012
2000-01-25,12.72,11.92,12.95,11.87,4830000.0,0.07519999999999999
2000-01-26,12.56,12.14,12.72,11.94,2700000.0,-0.0126
2000-01-27,12.18,12.51,12.51,12.08,1980000.0,-0.030299999999999997
2000-01-28,11.81,12.14,12.14,11.75,1400000.0,-0.0304
2000-01-31,11.79,11.81,11.85,11.65,1670000.0,-0.0017000000000000001
2000-02-01,11.56,11.79,11.79,11.5,1580000.0,-0.0195
2000-02-02,11.75,11.56,11.96,11.32,7220000.0,0.016399999999999998
2000-02-03,11.69,11.83,11.92,11.61,800700.0,-0.0051
2000-02-04,12.0,11.67,12.08,11.67,2300000.0,0.0265
2000-02-07,11.75,11.89,12.04,11.75,1300000.0,-0.0208
2000-02-08,11.61,11.81,11.83,11.56,1020000.0,-0.011899999999999999
2000-02-09,11.09,11.61,11.61,11.07,1070000.0,-0.044800000000000006
2000-02-10,10.97,11.13,11.46,10.92,976500.0,-0.0108
2000-02-11,10.9,10.88,11.21,10.74,959700.0,-0.0064
2000-02-14,10.53,10.9,10.9,10.45,1510000.0,-0.0339
2000-02-15,10.64,10.53,10.7,10.45,2180000.0,0.0104
2000-02-16,10.66,10.61,11.19,10.24,2100000.0,0.0019
2000-02-17,10.22,10.59,10.59,10.18,1390000.0,-0.041299999999999996
2000-02-18,9.85,10.2,10.3,9.75,2029999.9999999998,-0.0362
2000-02-22,9.81,9.91,10.02,9.69,5860000.0,-0.0040999999999999995
2000-02-23,9.69,9.81,10.08,9.52,994800.0,-0.012199999999999999
2000-02-24,9.52,9.73,9.73,9.29,3220000.0,-0.0175
2000-02-25,9.15,9.52,9.54,9.15,2170000.0,-0.038900000000000004
2000-02-28,9.21,9.23,9.29,9.09,2650000.0,0.0066
2000-02-29,8.98,8.88,9.13,8.78,2580000.0,-0.025
2000-03-01,8.98,8.84,9.07,8.14,5560000.0,0.0
2000-03-02,9.05,8.98,9.07,8.78,2810000.0,0.0078000000000000005
2000-03-03,9.19,8.94,9.33,8.9,1230000.0,0.0155
2000-03-06,9.17,9.85,9.89,9.09,2680000.0,-0.0022
2000-03-07,8.71,9.21,9.25,8.69,1710000.0,-0.050199999999999995
2000-03-08,8.36,8.71,8.74,8.32,1730000.0,-0.04019999999999999
2000-03-09,8.69,8.36,8.71,8.2,2640000.0,0.0395
2000-03-10,8.67,8.43,8.99,8.32,2580000.0,-0.0023
2000-03-13,8.51,8.53,8.59,8.36,3210000.0,-0.018500000000000003
2000-03-14,8.32,8.43,8.47,8.26,3880000.0,-0.0223
2000-03-15,9.25,8.9,9.35,8.34,2320000.0,0.1118
2000-03-16,10.06,9.17,10.12,9.15,3480000.0,0.0876
2000-03-17,9.91,10.57,10.57,9.91,3330000.0,-0.0149
2000-03-20,9.73,9.91,10.16,9.6,1450000.0,-0.0182
2000-03-21,9.91,9.64,9.93,9.46,1170000.0,0.018500000000000003
2000-03-22,9.95,9.83,10.04,9.56,1340000.0,0.004
2000-03-23,10.53,9.87,10.53,9.79,1930000.0,0.0583
2000-03-24,11.23,10.45,11.46,10.41,3630000.0,0.0665
2000-03-27,10.76,11.19,11.25,10.57,2240000.0,-0.04190000000000001
2000-03-28,10.51,10.8,10.92,10.41,1920000.0,-0.0232
2000-03-29,10.51,10.53,10.97,10.49,2350000.0,0.0
2000-03-30,10.84,10.55,10.95,10.37,2000000.0,0.031400000000000004
2000-03-31,11.05,10.66,11.15,10.53,1880000.0,0.0194
2000-04-03,11.15,11.05,11.54,11.05,1800000.0,0.009000000000000001
2000-04-04,10.8,11.23,11.32,10.57,2100000.0,-0.031400000000000004
2000-04-05,11.25,10.82,11.4,10.72,2089999.9999999998,0.0417
2000-04-06,11.48,11.28,11.56,11.23,1090000.0,0.0204
2000-04-07,11.21,11.4,11.48,11.13,1110000.0,-0.0235
2000-04-10,10.95,10.95,11.15,10.82,1470000.0,-0.0232
2000-04-11,11.3,11.11,11.36,10.99,1930000.0,0.032
2000-04-12,11.98,11.34,11.98,11.32,3300000.0,0.0602
2000-04-13,11.48,11.77,11.79,11.48,3440000.0,-0.0417
2000-04-14,10.51,11.4,11.4,10.37,2029999.9999999998,-0.08449999999999999
2000-04-17,10.3,10.26,10.53,10.16,1890000.0,-0.02
2000-04-18,10.95,10.14,10.99,9.93,1390000.0,0.06309999999999999
2000-04-19,10.82,10.86,11.19,10.53,1130000.0,-0.011899999999999999
2000-04-20,11.01,10.61,11.01,10.61,871500.0,0.0176
2000-04-24,11.13,11.05,11.19,10.84,1730000.0,0.0109
2000-04-25,11.44,10.95,11.48,10.84,1440000.0,0.0279
