Date,Close,Open,High,Low,Volume,Change
2000-01-03,35.3,36.5,36.58,34.82,873500.0,-0.0355
2000-01-04,34.08,34.5,34.66,33.9,1380000.0,-0.0346
2000-01-05,34.64,34.14,35.46,33.9,997000.0,0.016399999999999998
2000-01-06,36.08,34.9,36.08,34.54,917000.0,0.0416
2000-01-07,36.4,36.6,36.96,36.1,1000000.0,0.0089
2000-01-10,36.26,36.9,37.76,36.12,1010000.0,-0.0038
2000-01-11,35.58,35.8,35.96,35.3,722500.0,-0.018799999999999997
2000-01-12,34.9,35.5,35.68,34.72,515500.0,-0.0191
2000-01-13,35.2,35.2,35.46,35.02,613500.0,0.0086
2000-01-14,34.02,35.6,35.7,34.02,1340000.0,-0.0335
2000-01-18,34.0,34.08,34.38,33.8,1370000.0,-0.0006
2000-01-19,34.18,34.1,34.26,33.54,883500.0,0.0053
2000-01-20,34.0,34.18,34.68,34.0,814500.0,-0.0053
2000-01-21,34.22,34.0,34.26,33.88,707500.0,0.006500000000000001
2000-01-24,34.0,34.7,34.8,33.76,660500.0,-0.0064
2000-01-25,34.06,33.9,34.46,33.8,623500.0,0.0018
2000-01-26,34.14,34.16,34.48,34.0,530000.0,0.0023
2000-01-27,33.92,34.14,34.4,33.72,470000.0,-0.0064
2000-01-28,33.2,33.8,33.86,33.08,984000.0,-0.0212
2000-01-31,32.92,33.24,33.66,32.92,1120000.0,-0.0084
2000-02-01,33.5,33.32,33.56,33.06,527000.0,0.0176
2000-02-02,32.8,33.3,33.36,32.7,1040000.0,-0.0209
2000-02-03,33.4,33.0,33.48,33.0,600000.0,0.0183
2000-02-04,33.1,33.54,33.66,33.0,620000.0,-0.009000000000000001
2000-02-07,33.28,32.98,33.4,32.82,771000.0,0.0054
2000-02-08,32.7,32.9,33.1,32.6,1040000.0,-0.0174
2000-02-09,31.76,32.26,32.76,31.54,1760000.0,-0.0287
2000-02-10,30.96,31.9,31.96,30.0,2220000.0,-0.0252
2000-02-11,30.14,31.2,31.36,29.7,2530000.0,-0.0265
2000-02-14,28.48,29.5,29.58,28.32,2710000.0,-0.055099999999999996
2000-02-15,30.64,30.4,30.8,30.02,2290000.0,0.0758
2000-02-16,33.28,31.34,34.0,31.2,2220000.0,0.0862
2000-02-17,33.26,34.0,34.18,32.1,973500.0,-0.0006
2000-02-18,33.72,33.18,33.72,31.0,1010000.0,0.0138
2000-02-22,32.4,32.6,32.66,32.0,823500.0,-0.0391
2000-02-23,32.32,32.4,32.58,32.0,611000.0,-0.0025
2000-02-24,30.78,32.1,32.1,30.4,746000.0,-0.047599999999999996
2000-02-25,29.8,30.88,30.94,29.6,1770000.0,-0.0318
2000-02-28,29.2,29.7,29.76,29.04,2220000.0,-0.020099999999999996
2000-02-29,28.8,29.6,29.62,28.7,1900000.0,-0.0137
2000-03-01,29.34,28.74,29.46,28.74,1110000.0,0.018799999999999997
2000-03-02,29.36,29.4,29.58,29.04,713500.0,0.0007000000000000001
2000-03-03,29.38,29.6,29.94,29.2,724000.0,0.0007000000000000001
2000-03-06,28.9,29.0,29.4,28.68,886000.0,-0.0163
2000-03-07,29.0,29.1,29.22,28.54,951500.0,0.0034999999999999996
2000-03-08,28.78,29.04,29.04,28.5,1010000.0,-0.0076
