Date,Close,Open,High,Low,Volume,Change
2000-01-03,16.31,17.06,17.12,16.12,1370000.0,-0.022799999999999997
2000-01-04,16.19,16.19,16.25,15.44,1280000.0,-0.0074
2000-01-05,15.25,16.19,16.19,15.19,1870000.0,-0.0581
2000-01-06,16.06,15.25,16.19,15.25,1080000.0,0.053099999999999994
2000-01-07,18.12,16.25,19.0,16.25,5430000.0,0.1283
2000-01-10,18.69,18.62,19.06,18.44,1610000.0,0.0315
2000-01-11,17.81,18.88,18.88,17.75,939000.0,-0.0471
2000-01-12,18.44,17.81,18.69,17.81,1010000.0,0.0354
2000-01-13,19.75,18.62,19.75,18.44,1080000.0,0.071
2000-01-14,20.56,20.0,20.88,20.0,1700000.0,0.040999999999999995
2000-01-18,19.19,20.5,20.5,19.06,493600.0,-0.0666
2000-01-19,19.75,19.19,20.0,19.12,734100.0,0.0292
2000-01-20,19.75,19.62,19.94,19.56,656400.0,0.0
2000-01-21,20.06,20.0,20.31,19.75,909300.0,0.015700000000000002
2000-01-24,20.06,20.25,20.5,20.0,599200.0,0.0
2000-01-25,19.56,20.12,20.19,19.19,854600.0,-0.024900000000000002
2000-01-26,18.94,19.56,19.56,18.19,1770000.0,-0.0317
2000-01-27,18.44,18.94,19.0,18.25,687900.0,-0.0264
2000-01-28,18.0,18.5,18.5,17.75,442000.0,-0.0239
2000-01-31,17.69,18.0,18.06,17.5,679200.0,-0.0172
2000-02-01,18.0,17.69,18.19,17.5,1110000.0,0.0175
2000-02-02,17.38,18.0,18.12,16.94,1280000.0,-0.0344
2000-02-03,17.0,17.62,17.88,16.81,960600.0,-0.0219
2000-02-04,16.88,17.19,17.31,16.75,891000.0,-0.0070999999999999995
2000-02-07,16.75,17.06,17.06,16.38,429500.0,-0.0077
2000-02-08,16.44,16.69,16.75,16.25,598500.0,-0.018500000000000003
2000-02-09,15.94,16.38,16.56,15.81,417400.0,-0.0304
2000-02-10,15.44,16.0,16.06,15.0,755800.0,-0.031400000000000004
2000-02-11,14.94,15.5,15.81,14.88,3770000.0,-0.032400000000000005
2000-02-14,14.94,15.06,15.19,14.81,521799.99999999994,0.0
2000-02-15,15.19,15.0,15.19,14.88,1230000.0,0.0167
2000-02-16,18.12,15.5,18.31,15.5,5840000.0,0.1929
2000-02-17,19.0,19.38,19.38,18.62,2029999.9999999998,0.048600000000000004
2000-02-18,18.25,19.0,19.0,18.0,822300.0,-0.0395
2000-02-22,17.44,18.25,18.5,17.38,788300.0,-0.0444
2000-02-23,17.0,17.5,17.5,16.75,649100.0,-0.0252
2000-02-24,17.12,17.19,17.38,16.81,1220000.0,0.0070999999999999995
2000-02-25,16.75,17.12,17.25,16.75,543900.0,-0.0216
2000-02-28,17.0,17.0,17.12,16.75,719800.0,0.0149
2000-02-29,17.88,17.5,17.88,17.25,1160000.0,0.0518
2000-03-01,16.94,17.62,17.62,16.62,1170000.0,-0.0526
2000-03-02,16.5,16.94,16.94,16.25,1220000.0,-0.026000000000000002
2000-03-03,16.5,16.38,16.5,16.25,752200.0,0.0
2000-03-06,15.69,16.0,16.56,15.38,1350000.0,-0.049100000000000005
2000-03-07,14.69,15.5,15.5,14.12,2140000.0,-0.0637
2000-03-08,14.75,14.94,14.94,14.06,983100.0,0.0040999999999999995
2000-03-09,15.25,14.75,15.31,14.69,1050000.0,0.0339
2000-03-10,15.12,15.19,15.31,14.25,1880000.0,-0.0085
2000-03-13,14.94,15.0,15.38,14.75,496600.0,-0.011899999999999999
2000-03-14,14.94,15.06,15.5,14.88,649800.0,0.0
2000-03-15,15.44,14.94,15.69,14.88,2960000.0,0.0335
2000-03-16,17.62,15.69,17.94,15.69,3530000.0,0.1412
2000-03-17,17.06,17.38,18.44,17.0,1490000.0,-0.0318
2000-03-20,16.56,16.81,17.0,16.06,720600.0,-0.029300000000000003
2000-03-21,18.19,16.44,18.25,16.44,1080000.0,0.0984
2000-03-22,17.75,19.0,19.0,17.0,1930000.0,-0.0242
2000-03-23,18.69,17.94,19.0,17.38,842600.0,0.053
2000-03-24,19.0,18.69,20.0,18.38,1620000.0,0.0166
2000-03-27,18.5,19.0,19.0,18.0,516200.00000000006,-0.0263
2000-03-28,19.0,18.38,19.25,18.31,917000.0,0.027000000000000003
2000-03-29,19.0,18.88,19.25,18.75,882200.0,0.0
2000-03-30,20.94,19.0,20.94,18.88,1700000.0,0.10210000000000001
2000-03-31,22.88,21.0,23.06,21.0,3410000.0,0.0926
2000-04-03,22.5,22.75,22.81,22.25,1340000.0,-0.0166
2000-04-04,21.81,22.5,22.88,20.88,1660000.0,-0.030699999999999998
2000-04-05,21.81,22.06,22.06,21.25,1190000.0,0.0
2000-04-06,21.06,21.88,22.0,20.31,1850000.0,-0.0344
2000-04-07,21.25,21.25,21.44,21.19,1060000.0,0.009000000000000001
2000-04-10,21.62,21.38,21.62,21.12,654200.0,0.0174
2000-04-11,21.0,21.38,21.5,21.0,627600.0,-0.0287
2000-04-12,21.56,21.12,22.44,21.12,1150000.0,0.026699999999999998
2000-04-13,22.0,21.81,22.25,21.69,901900.0,0.0204
2000-04-14,21.06,21.5,21.62,20.88,1190000.0,-0.042699999999999995
2000-04-17,20.62,20.5,21.0,20.25,315100.0,-0.0209
2000-04-18,20.81,20.5,21.38,20.5,536400.0,0.0092
2000-04-19,20.5,20.88,21.0,20.38,469900.0,-0.0149
2000-04-20,20.75,20.5,20.75,20.0,804200.0,0.012199999999999999
2000-04-24,23.06,20.75,23.19,20.62,1020000.0,0.11130000000000001
2000-04-25,25.25,24.0,25.5,23.62,1480000.0,0.095
2000-04-26,24.0,25.5,27.25,24.0,2320000.0,-0.0495
2000-04-27,24.44,23.75,25.12,23.44,965300.0,0.0183
2000-04-28,23.94,24.44,24.5,23.12,704900.0,-0.020499999999999997
2000-05-01,25.81,24.38,26.25,24.31,1480000.0,0.0781
2000-05-02,25.0,25.56,25.75,23.44,1640000.0,-0.031400000000000004
2000-05-03,24.69,25.0,26.0,24.69,763000.0,-0.0124
2000-05-04,25.38,24.75,25.44,24.56,521600.0,0.0279
2000-05-05,24.81,25.31,25.44,24.75,670900.0,-0.0225
2000-05-08,24.44,25.25,25.44,23.88,800900.0,-0.0149
2000-05-09,26.0,25.06,26.69,24.81,1770000.0,0.0638
2000-05-10,25.69,26.25,27.0,25.31,2190000.0,-0.011899999999999999
2000-05-11,26.0,25.5,26.19,25.5,789900.0,0.0121
2000-05-12,26.06,26.0,26.25,25.75,1480000.0,0.0023
2000-05-15,26.69,26.12,26.69,25.88,795600.0,0.0242
2000-05-16,26.69,26.69,26.81,26.31,539700.0,0.0
2000-05-17,26.38,26.69,26.69,25.88,935900.0,-0.0116
2000-05-18,27.62,26.5,27.75,26.5,1680000.0,0.047
2000-05-19,27.19,27.62,27.62,26.56,931900.0,-0.015600000000000001
2000-05-22,26.88,27.12,27.5,26.62,1060000.0,-0.011399999999999999
2000-05-23,27.19,27.12,27.38,26.88,1380000.0,0.0115
2000-05-24,28.0,27.06,28.0,27.0,2450000.0,0.0298
2000-05-25,26.94,27.94,27.94,25.94,1580000.0,-0.0379
2000-05-26,26.19,26.69,26.69,25.5,830700.0,-0.0278
2000-05-30,27.94,26.19,28.5,26.06,1430000.0,0.0668
2000-05-31,26.94,27.94,27.94,26.81,917700.0,-0.0358
2000-06-01,28.31,27.19,28.44,27.19,1130000.0,0.0509
2000-06-02,30.44,29.0,31.44,29.0,1880000.0,0.07519999999999999
2000-06-05,29.06,29.5,30.19,29.0,934700.0,-0.0453
2000-06-06,29.88,28.81,30.5,28.75,1200000.0,0.0282
2000-06-07,30.19,29.88,30.5,29.88,597500.0,0.0104
2000-06-08,28.94,30.19,30.19,28.94,472600.0,-0.0414
2000-06-09,28.44,29.19,29.19,28.38,400000.0,-0.0173
2000-06-12,28.38,28.69,28.81,27.94,1190000.0,-0.0021
2000-06-13,28.44,28.38,28.62,27.5,587200.0,0.0021
2000-06-14,29.0,28.44,29.19,28.44,868200.0,0.0197
2000-06-15,28.19,29.44,29.5,27.62,1170000.0,-0.0279
2000-06-16,28.25,28.06,28.38,27.88,1020000.0,0.0021
2000-06-19,29.0,27.62,29.12,27.56,806500.0,0.0265
2000-06-20,28.25,29.0,29.0,27.75,684400.0,-0.0259
2000-06-21,27.25,28.06,28.19,27.0,612100.0,-0.0354
2000-06-22,26.56,27.25,27.25,25.94,548300.0,-0.0253
2000-06-23,26.88,26.5,27.38,26.5,510100.0,0.012
2000-06-26,26.31,27.0,27.19,26.12,531600.0,-0.0212
2000-06-27,26.62,26.75,27.0,26.44,802500.0,0.0118
2000-06-28,27.38,26.81,27.75,26.5,647600.0,0.0285
2000-06-29,28.0,27.38,28.56,27.38,627700.0,0.0226
2000-06-30,28.0,28.0,28.75,27.94,729300.0,0.0
