Date,Close,Open,High,Low,Volume,Change
2010-06-15,32.18,32.49,33.43,31.99,17030000.0,-0.7211
2010-06-16,31.76,32.06,32.48,31.66,2160000.0,-0.0131
2010-06-17,31.2,32.04,32.17,30.95,1470000.0,-0.0176
2010-06-18,30.71,31.15,31.35,30.47,1130000.0,-0.015700000000000002
2010-06-21,31.73,31.36,32.68,30.71,1070000.0,0.0332
2010-06-22,32.38,32.07,32.83,31.51,1010000.0,0.020499999999999997
2010-06-23,33.16,32.68,33.18,31.69,1030000.0,0.0241
2010-06-24,32.97,33.17,33.85,32.45,1600000.0,-0.005699999999999999
2010-06-25,31.76,32.98,33.03,31.76,641500.0,-0.036699999999999997
2010-06-28,32.47,32.16,32.73,31.46,718130.0,0.022400000000000003
2010-06-29,31.46,31.94,31.99,30.97,622460.0,-0.0311
2010-06-30,32.24,31.68,32.34,31.35,402500.0,0.0248
2010-07-01,30.02,31.94,32.19,29.71,1020000.0,-0.0689
2010-07-02,30.56,29.96,30.7,29.73,483750.0,0.018000000000000002
2010-07-06,29.51,31.1,31.1,29.42,805170.0,-0.0344
2010-07-07,28.95,29.51,30.14,28.89,583700.0,-0.019
2010-07-08,28.73,28.77,30.03,28.18,2180000.0,-0.0076
2010-07-09,28.69,28.94,29.05,28.39,448590.0,-0.0014000000000000002
2010-07-12,26.54,28.47,28.56,26.41,1200000.0,-0.07490000000000001
2010-07-13,27.58,27.12,27.7,26.66,878070.0,0.0392
2010-07-14,27.08,27.6,27.6,26.87,370260.0,-0.0181
2010-07-15,26.25,26.94,26.99,25.85,646360.0,-0.030600000000000002
2010-07-16,26.2,26.01,26.89,25.96,708700.0,-0.0019
2010-07-19,26.24,26.67,26.67,25.81,305970.0,0.0015
2010-07-20,25.83,25.99,26.44,25.75,490100.0,-0.015600000000000001
2010-07-21,26.36,25.86,26.82,25.86,854390.0,0.020499999999999997
2010-07-22,26.77,26.64,27.34,26.49,322520.0,0.015600000000000001
2010-07-23,26.89,26.63,26.93,26.38,233280.0,0.0045000000000000005
2010-07-26,26.25,26.74,26.88,25.86,631260.0,-0.023799999999999998
2010-07-27,26.93,26.16,27.39,26.0,537870.0,0.0259
2010-07-28,26.89,26.79,26.96,26.32,131260.0,-0.0015
2010-07-29,26.41,26.74,26.95,26.05,296180.0,-0.0179
2010-07-30,26.35,26.22,26.93,26.07,220140.0,-0.0023
2010-08-02,27.28,26.88,27.37,26.42,356880.0,0.0353
2010-08-03,26.99,27.08,27.37,26.89,254060.0,-0.0106
2010-08-04,26.45,27.04,27.24,26.39,412410.0,-0.02
2010-08-05,24.56,26.01,26.01,24.01,1550000.0,-0.07150000000000001
2010-08-06,23.57,24.02,24.12,22.9,1220000.0,-0.0403
2010-08-09,23.74,23.77,23.96,23.3,436780.0,0.0072
2010-08-10,22.78,23.66,23.66,22.78,396730.0,-0.0404
2010-08-11,22.73,22.64,22.95,22.17,578830.0,-0.0022
2010-08-12,23.09,22.72,23.32,22.48,515110.0,0.0158
2010-08-13,22.78,22.88,23.14,22.58,321940.0,-0.0134
2010-08-16,22.57,22.57,23.0,22.51,190650.0,-0.0092
2010-08-17,22.9,22.65,22.93,22.25,329450.0,0.0146
2010-08-18,22.89,22.66,22.96,22.28,361610.0,-0.0004
2010-08-19,22.78,23.21,23.42,22.58,654960.0,-0.0048
2010-08-20,22.65,22.69,22.79,22.41,326770.0,-0.005699999999999999
2010-08-23,22.78,22.56,22.98,22.56,279430.0,0.005699999999999999
2010-08-24,21.58,22.28,22.45,21.05,762380.0,-0.0527
2010-08-25,21.46,21.09,21.62,21.05,242830.0,-0.005600000000000001
2010-08-26,21.08,21.55,22.07,21.05,213870.0,-0.0177
2010-08-27,20.67,21.16,21.21,20.06,378670.0,-0.0194
2010-08-30,20.42,20.67,20.97,20.16,273140.0,-0.0121
2010-08-31,20.71,20.31,20.78,20.21,110270.0,0.014199999999999999
2010-09-01,21.41,20.86,21.78,20.75,256959.99999999997,0.0338
2010-09-02,21.46,21.58,21.7,20.83,144560.0,0.0023
2010-09-03,21.96,21.54,22.22,21.34,233370.0,0.0233
2010-09-07,22.02,22.02,22.02,21.5,188060.0,0.0027
2010-09-08,21.84,22.01,22.36,21.6,262920.0,-0.008199999999999999
2010-09-09,21.59,22.29,22.29,21.3,214320.0,-0.011399999999999999
2010-09-10,21.73,21.58,22.04,21.49,136060.0,0.006500000000000001
2010-09-13,21.62,21.97,21.97,21.16,237620.0,-0.0051
