Date,Close,Open,High,Low,Volume,Change
2000-01-03,45.0,46.25,46.25,44.56,1100000.0,-0.0362
2000-01-04,43.12,44.62,44.62,42.94,665700.0,-0.0418
2000-01-05,43.0,42.62,43.5,42.62,774000.0,-0.0028000000000000004
2000-01-06,44.25,43.0,44.5,43.0,573100.0,0.0291
2000-01-07,44.19,44.38,44.5,43.88,490800.0,-0.0014000000000000002
2000-01-10,42.75,42.75,44.0,42.44,592100.0,-0.0326
2000-01-11,41.62,42.25,42.25,41.44,646700.0,-0.0264
2000-01-12,42.38,41.62,42.5,41.56,572700.0,0.0183
2000-01-13,42.81,42.5,43.25,42.44,1150000.0,0.0101
2000-01-14,44.06,43.75,44.38,43.56,698400.0,0.0292
2000-01-18,43.06,44.0,44.0,42.5,462200.0,-0.0227
2000-01-19,43.19,43.25,44.12,43.12,986900.0,0.003
2000-01-20,41.31,43.19,43.19,41.31,734800.0,-0.0435
2000-01-21,40.81,41.31,41.38,40.56,646900.0,-0.0121
2000-01-24,40.44,41.06,41.31,40.06,491400.0,-0.0091
2000-01-25,40.38,40.19,41.0,40.06,513900.0,-0.0015
2000-01-26,42.19,40.0,42.38,39.94,501700.0,0.044800000000000006
2000-01-27,42.88,42.31,43.0,42.12,454100.0,0.016399999999999998
2000-01-28,42.5,42.88,43.06,42.12,1040000.0,-0.0089
2000-01-31,44.19,42.88,44.44,42.75,542400.0,0.0398
2000-02-01,44.06,44.25,44.5,43.88,713300.0,-0.0029
2000-02-02,43.81,44.06,44.12,43.56,673800.0,-0.005699999999999999
2000-02-03,44.0,43.75,44.06,43.25,838100.0,0.0043
2000-02-04,43.31,43.75,44.25,43.31,698000.0,-0.015700000000000002
2000-02-07,42.44,43.31,43.38,42.25,397800.0,-0.020099999999999996
2000-02-08,42.75,42.69,43.38,42.62,344100.0,0.0073
2000-02-09,41.94,42.62,42.75,41.88,409300.0,-0.0189
2000-02-10,40.31,41.75,41.81,40.0,531800.0,-0.038900000000000004
2000-02-11,40.38,40.25,41.44,39.88,660500.0,0.0017000000000000001
2000-02-14,39.81,40.38,40.75,39.5,390800.0,-0.0141
2000-02-15,40.62,39.88,40.94,39.44,414700.0,0.0203
2000-02-16,40.56,40.38,40.94,39.69,520100.0,-0.0015
2000-02-17,39.75,40.88,41.25,39.44,490800.0,-0.02
2000-02-18,38.0,39.5,39.5,37.31,946500.0,-0.044000000000000004
2000-02-22,37.75,38.0,38.5,36.88,1060000.0,-0.0066
2000-02-23,37.06,37.12,37.25,36.44,799700.0,-0.0183
2000-02-24,36.75,37.19,37.19,35.75,801000.0,-0.0084
2000-02-25,35.31,36.5,37.75,35.0,1300000.0,-0.0392
2000-02-28,37.62,36.25,38.0,36.12,997700.0,0.0654
2000-02-29,36.81,37.62,37.62,36.19,461200.0,-0.0215
2000-03-01,36.25,36.56,36.69,35.69,483600.0,-0.0152
2000-03-02,35.81,35.88,36.0,34.94,457200.0,-0.0121
2000-03-03,36.69,36.81,36.88,35.69,633700.0,0.0246
2000-03-06,36.19,36.38,36.69,35.88,351700.0,-0.013600000000000001
2000-03-07,34.75,36.12,36.12,34.31,412500.0,-0.0398
2000-03-08,33.81,35.0,35.0,33.44,605000.0,-0.0271
