Date,Close,Open,High,Low,Volume,Change
2000-01-03,46.58,48.5,48.5,45.79,1470000.0,-0.0478
2000-01-04,44.63,45.54,45.67,43.92,1570000.0,-0.04190000000000001
2000-01-05,43.96,44.75,44.96,43.67,1120000.0,-0.015
2000-01-06,45.5,44.0,45.54,43.33,1780000.0,0.035
2000-01-07,45.21,45.33,46.0,44.54,848700.0,-0.0064
2000-01-10,44.02,45.08,45.33,43.54,925350.0,-0.0263
2000-01-11,42.71,43.83,44.0,42.42,842400.0,-0.0298
2000-01-12,42.46,42.67,42.92,42.17,1390000.0,-0.0059
2000-01-13,43.67,42.67,43.92,42.58,1690000.0,0.0285
2000-01-14,44.25,43.96,44.71,43.75,1820000.0,0.013300000000000001
2000-01-18,43.33,44.25,44.25,42.96,1410000.0,-0.0208
2000-01-19,41.21,43.5,43.83,40.46,1750000.0,-0.0489
2000-01-20,40.0,41.38,41.38,39.79,1930000.0,-0.0294
2000-01-21,40.08,40.67,40.75,39.75,1890000.0,0.002
2000-01-24,38.48,40.04,40.42,38.38,826650.0,-0.039900000000000005
2000-01-25,40.38,38.83,40.92,38.71,1270000.0,0.049400000000000006
2000-01-26,42.13,40.71,42.29,40.08,1370000.0,0.0433
2000-01-27,42.63,42.13,43.13,42.08,1030000.0,0.011899999999999999
2000-01-28,41.96,42.58,42.58,41.25,1110000.0,-0.015700000000000002
2000-01-31,44.25,41.75,44.25,41.5,1350000.0,0.0546
2000-02-01,42.96,44.0,44.0,42.25,980100.0,-0.0292
2000-02-02,41.67,43.5,43.5,41.46,960000.0,-0.03
2000-02-03,43.63,41.67,43.75,41.63,1410000.0,0.047
2000-02-04,41.5,43.58,43.92,41.38,1090000.0,-0.048799999999999996
2000-02-07,41.25,41.75,41.75,40.33,1300000.0,-0.006
2000-02-08,41.29,41.08,41.67,40.88,1230000.0,0.001
2000-02-09,40.38,41.17,41.38,40.0,778500.0,-0.022000000000000002
2000-02-10,40.17,40.54,41.29,40.13,808500.0,-0.0052
2000-02-11,40.02,40.42,41.04,39.92,1030000.0,-0.0037
2000-02-14,38.67,39.96,40.08,38.25,1190000.0,-0.0337
2000-02-15,39.17,38.71,39.17,38.08,1710000.0,0.0129
2000-02-16,39.48,39.25,39.5,38.29,953550.0,0.0079
2000-02-17,38.25,39.46,39.58,38.25,1610000.0,-0.031200000000000002
2000-02-18,36.96,38.58,38.71,36.96,2670000.0,-0.0337
2000-02-22,36.29,37.25,37.25,35.92,4190000.0000000005,-0.0181
2000-02-23,35.25,36.33,36.33,35.0,1520000.0,-0.0287
2000-02-24,34.96,35.33,35.38,33.75,1930000.0,-0.008199999999999999
2000-02-25,33.42,34.96,35.42,33.0,1630000.0,-0.0441
2000-02-28,35.17,33.58,35.21,33.13,2410000.0,0.0524
2000-02-29,34.71,35.21,35.21,33.21,1310000.0,-0.0131
2000-03-01,33.38,34.58,34.92,33.21,1630000.0,-0.0383
2000-03-02,32.96,33.5,33.58,32.96,1900000.0,-0.0126
2000-03-03,32.79,33.46,33.46,32.42,1060000.0,-0.0052
2000-03-06,31.17,33.0,33.0,31.08,1490000.0,-0.049400000000000006
2000-03-07,30.75,31.29,31.29,29.92,929100.0,-0.013500000000000002
2000-03-08,30.0,30.75,30.79,29.33,1170000.0,-0.024399999999999998
2000-03-09,31.51,30.08,31.58,29.79,1080000.0,0.050300000000000004
2000-03-10,30.58,31.79,32.08,30.42,1080000.0,-0.029500000000000002
2000-03-13,30.67,30.29,31.33,29.96,967050.0,0.0029
2000-03-14,32.29,31.08,32.83,30.75,2550000.0,0.0528
2000-03-15,35.33,32.33,35.83,32.08,1990000.0,0.0941
2000-03-16,39.29,36.08,40.92,35.83,4720000.0,0.1121
2000-03-17,40.17,39.58,40.5,38.79,3060000.0,0.022400000000000003
2000-03-20,37.92,39.79,39.83,37.08,1360000.0,-0.055999999999999994
2000-03-21,39.79,37.29,40.29,36.75,2000000.0,0.0493
2000-03-22,40.17,39.67,40.75,39.67,1170000.0,0.0096
2000-03-23,42.04,39.83,42.46,39.33,1370000.0,0.0466
2000-03-24,42.29,41.92,43.29,41.25,1620000.0,0.0059
2000-03-27,41.46,42.17,42.21,40.71,1250000.0,-0.0196
2000-03-28,42.33,40.92,42.92,40.67,1430000.0,0.021
2000-03-29,41.71,42.38,42.63,41.58,1010000.0,-0.0146
2000-03-30,41.0,41.54,42.17,40.88,805800.0,-0.017
2000-03-31,42.0,41.04,43.42,39.83,1470000.0,0.024399999999999998
2000-04-03,44.75,42.25,44.99,42.25,2320000.0,0.0655
2000-04-04,43.4,44.54,45.54,42.0,1490000.0,-0.0302
2000-04-05,42.17,43.0,44.47,41.83,823650.0,-0.028300000000000002
2000-04-06,42.97,42.21,43.13,41.75,544500.0,0.019
2000-04-07,41.38,43.0,43.08,41.21,644850.0,-0.037000000000000005
2000-04-10,42.88,41.0,43.38,40.5,1060000.0,0.0362
2000-04-11,42.88,42.54,44.0,42.5,703800.0,0.0
2000-04-12,42.88,43.29,45.0,42.83,1700000.0,0.0
2000-04-13,42.21,42.88,43.08,41.75,1280000.0,-0.015600000000000001
2000-04-14,39.38,41.71,41.71,38.46,2840000.0,-0.067
2000-04-17,41.29,39.58,41.79,39.33,1760000.0,0.048499999999999995
2000-04-18,43.33,41.08,43.96,40.92,1960000.0,0.049400000000000006
2000-04-19,42.0,43.0,43.04,41.0,669750.0,-0.030699999999999998
2000-04-20,42.42,41.92,42.67,41.58,1020000.0,0.01
2000-04-24,43.05,41.58,43.33,41.54,1220000.0,0.0149
2000-04-25,45.33,43.38,46.17,43.38,2400000.0,0.053
2000-04-26,43.67,45.0,45.0,43.42,1400000.0,-0.0366
2000-04-27,42.29,42.42,42.83,41.5,1820000.0,-0.0316
2000-04-28,42.08,42.29,42.29,40.33,1610000.0,-0.005
2000-05-01,42.13,41.79,43.08,41.46,1390000.0,0.0012
2000-05-02,42.25,42.13,42.42,41.13,2009999.9999999998,0.0028000000000000004
2000-05-03,40.67,42.25,42.29,39.88,882300.0,-0.0374
2000-05-04,39.17,40.67,41.0,39.17,982650.0,-0.0369
2000-05-05,39.42,39.17,39.71,37.75,848250.0,0.0064
2000-05-08,40.63,39.25,41.02,38.33,978750.0,0.030699999999999998
2000-05-09,41.42,40.63,41.54,40.0,692100.0,0.0194
2000-05-10,41.21,41.21,41.79,40.58,858150.0,-0.0051
2000-05-11,42.83,41.45,43.44,41.38,1550000.0,0.0393
2000-05-12,44.08,42.83,44.38,42.67,2110000.0,0.0292
2000-05-15,44.58,44.1,44.63,43.5,815400.0,0.0113
2000-05-16,44.17,44.58,44.67,43.42,1140000.0,-0.0092
2000-05-17,43.67,43.38,43.79,42.75,563100.0,-0.0113
2000-05-18,44.63,43.67,45.08,43.5,1090000.0,0.022000000000000002
2000-05-19,43.79,43.92,44.63,43.42,1390000.0,-0.018799999999999997
2000-05-22,44.96,43.79,45.08,43.46,727350.0,0.026699999999999998
2000-05-23,44.63,44.83,45.27,44.33,1180000.0,-0.0073
2000-05-24,45.13,44.83,45.25,44.0,2980000.0,0.011200000000000002
2000-05-25,44.92,45.17,45.29,44.63,2020000.0,-0.004699999999999999
2000-05-26,45.42,45.0,45.5,44.42,1020000.0,0.0111
2000-05-30,45.71,45.46,45.96,44.96,1250000.0,0.0064
2000-05-31,45.33,45.58,45.71,45.0,1070000.0,-0.0083
2000-06-01,46.67,45.46,47.33,45.33,3300000.0,0.0296
2000-06-02,47.71,47.21,48.0,47.17,2069999.9999999998,0.0223
2000-06-05,46.71,47.25,47.46,46.38,1270000.0,-0.021
2000-06-06,46.67,46.52,46.79,46.38,3510000.0,-0.0009
2000-06-07,47.29,46.38,47.79,46.21,1910000.0,0.013300000000000001
2000-06-08,45.83,47.25,47.29,45.33,863700.0,-0.030899999999999997
2000-06-09,44.75,45.96,46.58,44.29,578100.0,-0.0236
2000-06-12,45.29,45.17,45.83,44.88,538800.0,0.0121
2000-06-13,45.17,44.92,45.25,44.33,672900.0,-0.0026
2000-06-14,44.96,45.25,45.33,44.17,751500.0,-0.0046
2000-06-15,42.71,44.63,44.67,42.04,2240000.0,-0.05
2000-06-16,40.04,41.08,42.0,39.58,3450000.0,-0.0625
2000-06-19,42.41,40.04,42.58,39.75,2740000.0,0.0592
2000-06-20,41.33,42.29,42.29,40.17,1360000.0,-0.0255
2000-06-21,40.5,41.29,41.33,39.58,946350.0,-0.020099999999999996
