Date,Close,Open,High,Low,Volume,Change
2000-01-03,20.4,21.53,21.82,19.55,1180000.0,-0.0599
2000-01-04,19.77,20.23,20.45,19.6,1330000.0,-0.030899999999999997
2000-01-05,19.26,19.66,19.77,19.26,838200.0,-0.0258
2000-01-06,19.94,19.55,20.23,19.37,401940.0,0.0353
2000-01-07,20.11,20.11,20.23,19.94,449570.0,0.0085
2000-01-10,19.26,20.23,20.23,19.2,489060.0,-0.042300000000000004
2000-01-11,19.37,19.26,19.43,18.81,405350.0,0.005699999999999999
2000-01-12,19.37,19.15,19.89,19.15,455400.0,0.0
2000-01-13,19.6,20.0,20.21,19.32,1040000.0,0.011899999999999999
2000-01-14,19.94,19.77,20.11,19.6,800250.0,0.0173
2000-01-18,19.26,19.94,20.0,19.03,892100.0,-0.0341
2000-01-19,19.32,19.15,19.72,19.15,1050000.0,0.0031
2000-01-20,18.98,19.37,19.43,18.92,886270.0,-0.0176
2000-01-21,18.64,19.03,19.32,18.52,818290.0,-0.0179
2000-01-24,18.32,18.64,19.03,18.18,453750.0,-0.0172
2000-01-25,18.64,18.3,18.81,18.07,878240.0,0.0175
2000-01-26,18.86,18.64,18.86,18.64,1320000.0,0.0118
2000-01-27,18.69,18.92,19.37,18.47,720940.0,-0.009000000000000001
2000-01-28,17.9,18.69,19.09,17.84,733480.0,-0.042300000000000004
2000-01-31,19.6,18.07,20.0,17.95,1340000.0,0.095
2000-02-01,19.32,19.26,19.37,18.81,475860.0,-0.0143
2000-02-02,19.2,19.37,19.66,18.86,1190000.0,-0.0062
2000-02-03,19.94,19.2,20.0,18.98,1630000.0,0.0385
2000-02-04,19.32,19.91,20.0,18.86,946000.0,-0.0311
2000-02-07,18.98,19.03,19.03,18.41,536360.0,-0.0176
2000-02-08,18.58,18.98,19.15,18.41,574640.0,-0.021099999999999997
2000-02-09,18.86,18.81,19.09,18.75,1130000.0,0.0151
2000-02-10,19.49,18.98,19.55,18.86,1500000.0,0.0334
2000-02-11,19.43,19.26,19.49,19.2,2200000.0,-0.0031
2000-02-14,19.19,19.37,19.55,19.09,1240000.0,-0.0124
2000-02-15,19.6,19.26,20.0,19.15,470250.0,0.021400000000000002
2000-02-16,19.49,19.66,19.66,19.03,374000.0,-0.005600000000000001
2000-02-17,19.2,19.66,19.77,19.2,852280.0,-0.0149
2000-02-18,18.75,18.86,19.18,18.75,1770000.0,-0.023399999999999997
2000-02-22,19.01,18.64,19.55,18.64,791120.0,0.0139
2000-02-23,18.92,18.98,19.32,18.64,808940.0,-0.004699999999999999
2000-02-24,19.09,18.92,19.15,18.52,1900000.0,0.009000000000000001
2000-02-25,18.86,18.98,19.26,18.75,2400000.0,-0.012
2000-02-28,19.32,18.92,19.77,18.81,614460.0,0.024399999999999998
2000-02-29,18.98,19.32,19.32,18.18,664510.0,-0.0176
2000-03-01,18.35,18.92,18.98,18.12,474760.0,-0.0332
2000-03-02,18.07,18.81,18.81,17.95,502260.0,-0.015300000000000001
2000-03-03,17.98,18.12,18.24,17.5,506110.0,-0.005
2000-03-06,17.78,17.95,18.01,17.44,520960.00000000006,-0.0111
2000-03-07,16.82,17.76,17.9,16.53,562980.0,-0.054000000000000006
2000-03-08,16.19,16.93,16.93,16.14,625130.0,-0.0375
2000-03-09,16.93,16.42,17.16,16.14,601920.0,0.045700000000000005
2000-03-10,16.87,16.87,16.99,16.48,413160.0,-0.0034999999999999996
2000-03-13,16.87,16.56,16.93,16.14,543400.0,0.0
2000-03-14,16.42,16.79,16.82,16.25,519640.0,-0.026699999999999998
2000-03-15,17.84,16.59,18.07,16.31,1110000.0,0.08650000000000001
2000-03-16,19.7,18.07,20.0,17.84,1270000.0,0.1043
2000-03-17,19.43,19.77,20.11,19.09,1040000.0,-0.0137
2000-03-20,18.47,19.46,19.49,18.12,525030.0,-0.049400000000000006
2000-03-21,19.2,18.35,19.49,18.3,540760.0,0.0395
2000-03-22,19.09,19.09,19.32,18.64,492800.0,-0.005699999999999999
2000-03-23,19.72,18.98,19.77,18.64,500280.0,0.033
2000-03-24,19.2,19.2,20.23,19.15,552640.0,-0.0264
2000-03-27,18.75,19.18,19.43,18.64,1000000.0,-0.023399999999999997
2000-03-28,19.26,18.75,19.32,18.52,447590.0,0.027200000000000002
2000-03-29,19.89,19.89,20.11,19.55,901340.0,0.0327
2000-03-30,19.2,19.43,19.55,19.2,495660.0,-0.0347
2000-03-31,20.34,19.32,20.68,19.2,678920.0,0.0594
2000-04-03,20.8,20.45,21.02,20.28,582120.0,0.0226
2000-04-04,20.62,20.88,21.31,20.11,896500.0,-0.0087
2000-04-05,20.17,20.0,20.91,19.83,399410.0,-0.0218
