Date,Close,Open,High,Low,Volume,Change
2000-01-03,45.25,47.12,47.12,45.06,571400.0,-0.045
2000-01-04,43.75,44.25,44.5,43.31,856900.0,-0.0331
2000-01-05,42.44,43.75,44.44,42.44,797900.0,-0.029900000000000003
2000-01-06,42.81,42.5,43.0,42.25,975700.0,0.0087
2000-01-07,44.81,43.0,45.0,43.0,1580000.0,0.0467
2000-01-10,44.06,45.06,45.06,44.0,395800.0,-0.0167
2000-01-11,44.38,43.88,44.62,43.62,704000.0,0.0073
2000-01-12,43.56,44.38,44.62,43.31,708800.0,-0.018500000000000003
2000-01-13,43.19,43.12,44.0,42.56,924700.0,-0.0085
2000-01-14,43.69,43.38,44.06,43.25,746200.0,0.0116
2000-01-18,41.81,43.31,43.31,41.62,445700.0,-0.043
2000-01-19,40.5,40.25,41.06,40.25,1200000.0,-0.0313
2000-01-20,39.44,41.0,41.0,39.25,955300.0,-0.0262
2000-01-21,37.94,39.69,39.69,37.62,848000.0,-0.038
2000-01-24,38.69,38.0,39.0,38.0,1340000.0,0.019799999999999998
2000-01-25,38.06,38.69,39.19,37.75,753100.0,-0.0163
2000-01-26,39.0,38.0,39.31,37.25,696100.0,0.024700000000000003
2000-01-27,39.06,39.0,39.56,38.31,750100.0,0.0015
2000-01-28,37.31,39.38,39.38,36.88,1290000.0,-0.044800000000000006
2000-01-31,38.12,37.38,38.5,36.81,1230000.0,0.0217
2000-02-01,38.81,38.12,39.06,37.5,577700.0,0.0181
2000-02-02,39.56,38.81,39.81,38.44,607500.0,0.019299999999999998
2000-02-03,40.75,39.06,41.25,39.0,1340000.0,0.0301
2000-02-04,41.88,40.38,41.94,40.25,1010000.0,0.0277
2000-02-07,39.94,40.38,40.56,39.12,1280000.0,-0.0463
2000-02-08,37.5,39.69,40.0,37.44,641000.0,-0.0611
2000-02-09,35.38,37.75,37.75,35.12,1570000.0,-0.0565
2000-02-10,34.62,35.25,35.31,34.06,1240000.0,-0.0215
2000-02-11,34.62,34.88,34.94,34.31,1580000.0,0.0
