Date,Close,Open,High,Low,Volume,Change
2000-01-03,9.84,10.03,10.08,9.82,2480000.0,-0.026699999999999998
2000-01-04,9.78,9.8,9.92,9.77,2049999.9999999998,-0.0060999999999999995
2000-01-05,9.72,9.77,9.89,9.72,1800000.0,-0.0060999999999999995
2000-01-06,9.66,9.62,9.69,9.58,2000000.0,-0.0062
2000-01-07,9.81,9.64,9.85,9.62,1500000.0,0.0155
2000-01-10,9.76,9.83,9.87,9.65,2600000.0,-0.0051
2000-01-11,9.75,9.73,9.87,9.73,1870000.0,-0.001
2000-01-12,9.87,9.78,9.92,9.78,1210000.0,0.0123
2000-01-13,10.03,9.87,10.11,9.87,1310000.0,0.016200000000000003
2000-01-14,10.06,10.11,10.16,9.94,1130000.0,0.003
2000-01-18,10.1,10.19,10.19,10.06,2150000.0,0.004
2000-01-19,10.0,10.06,10.17,9.99,1430000.0,-0.009899999999999999
2000-01-20,9.73,9.96,9.98,9.7,890400.0,-0.027000000000000003
2000-01-21,9.77,9.73,9.83,9.73,1680000.0,0.0040999999999999995
2000-01-24,9.58,9.78,9.78,9.58,1980000.0,-0.0194
2000-01-25,9.5,9.58,9.64,9.49,1740000.0,-0.0084
2000-01-26,9.52,9.54,9.58,9.46,2650000.0,0.0021
2000-01-27,9.39,9.56,9.56,9.36,1760000.0,-0.0137
2000-01-28,9.27,9.35,9.37,9.25,1550000.0,-0.0128
2000-01-31,9.33,9.2,9.41,9.2,2560000.0,0.006500000000000001
2000-02-01,9.5,9.33,9.5,9.3,1660000.0,0.0182
2000-02-02,9.45,9.46,9.54,9.43,794400.0,-0.0053
2000-02-03,9.55,9.46,9.65,9.44,1750000.0,0.0106
2000-02-04,9.56,9.53,9.64,9.51,1390000.0,0.001
2000-02-07,9.5,9.56,9.66,9.44,7750000.0,-0.0063
2000-02-08,8.8,9.43,9.43,8.77,1940000.0,-0.0737
2000-02-09,8.74,8.8,9.04,8.64,1830000.0,-0.0068000000000000005
2000-02-10,8.68,8.74,8.87,8.68,1870000.0,-0.0069
2000-02-11,8.42,8.68,8.7,8.39,1990000.0,-0.03
2000-02-14,8.25,8.42,8.42,8.25,2210000.0,-0.0202
2000-02-15,8.07,8.22,8.23,8.04,3120000.0,-0.0218
2000-02-16,8.15,8.09,8.15,8.05,2450000.0,0.009899999999999999
2000-02-17,8.07,8.16,8.17,8.05,1980000.0,-0.0098
2000-02-18,7.8,8.0,8.01,7.72,1930000.0,-0.0335
2000-02-22,7.82,7.81,7.89,7.68,1070000.0,0.0026
2000-02-23,7.71,7.82,7.83,7.66,1010000.0,-0.0141
2000-02-24,7.59,7.5,7.62,7.26,4099999.9999999995,-0.015600000000000001
2000-02-25,7.6,7.62,7.74,7.58,3240000.0,0.0013
2000-02-28,7.82,7.65,8.02,7.64,2860000.0,0.028900000000000002
2000-02-29,7.42,7.67,7.69,7.37,5010000.0,-0.0512
2000-03-01,7.44,7.43,7.54,7.29,2400000.0,0.0027
2000-03-02,7.31,7.42,7.45,7.29,2190000.0,-0.0175
2000-03-03,7.28,7.31,7.59,7.17,3730000.0,-0.0040999999999999995
2000-03-06,7.04,7.32,7.32,7.0,1870000.0,-0.033
2000-03-07,6.89,7.04,7.04,6.87,1800000.0,-0.0213
2000-03-08,6.67,6.75,6.98,6.66,2430000.0,-0.0319
2000-03-09,6.82,6.68,6.82,6.67,4720000.0,0.0225
2000-03-10,6.68,6.75,6.77,6.65,2970000.0,-0.020499999999999997
2000-03-13,6.71,6.37,6.74,6.37,3330000.0,0.0045000000000000005
2000-03-14,6.82,6.73,6.98,6.68,3280000.0,0.016399999999999998
2000-03-15,7.14,6.82,7.16,6.82,1500000.0,0.046900000000000004
2000-03-16,7.61,7.23,7.74,7.21,1770000.0,0.0658
2000-03-17,7.58,7.5,7.79,7.48,2000000.0,-0.0039000000000000003
2000-03-20,7.52,7.62,7.75,7.47,1700000.0,-0.0079
2000-03-21,7.85,7.42,8.04,7.42,3080000.0,0.043899999999999995
2000-03-22,7.82,7.82,7.93,7.78,1880000.0,-0.0038
2000-03-23,8.0,7.78,8.02,7.73,2960000.0,0.023
2000-03-24,7.93,8.01,8.03,7.93,1390000.0,-0.0088
2000-03-27,7.77,8.08,8.08,7.75,1170000.0,-0.0202
2000-03-28,7.98,7.73,8.17,7.71,1630000.0,0.027000000000000003
2000-03-29,7.95,7.98,8.15,7.94,1400000.0,-0.0038
2000-03-30,8.17,8.12,8.55,8.1,2630000.0,0.0277
2000-03-31,8.33,8.17,8.52,8.08,2200000.0,0.0196
