Date,Close,Open,High,Low,Volume,Change
2000-01-03,39.06,38.88,39.31,38.25,512000.0,-0.0235
2000-01-04,37.94,38.88,39.06,37.56,729300.0,-0.0287
2000-01-05,36.62,37.94,39.06,36.56,520000.0,-0.0348
2000-01-06,37.0,37.0,37.5,36.19,518400.0,0.0104
2000-01-07,37.94,37.75,39.06,37.19,279700.0,0.0254
2000-01-10,38.0,38.5,38.69,36.38,624700.0,0.0016
2000-01-11,37.44,37.12,37.62,37.12,330800.0,-0.0147
2000-01-12,37.25,37.5,37.5,35.5,794700.0,-0.0051
2000-01-13,39.5,38.0,39.62,37.88,786600.0,0.0604
2000-01-14,38.88,41.38,41.38,38.44,470600.0,-0.015700000000000002
2000-01-18,37.94,38.0,38.44,37.62,335500.0,-0.0242
2000-01-19,36.62,37.0,37.62,35.62,603200.0,-0.0348
2000-01-20,34.75,36.62,36.62,34.38,702600.0,-0.051100000000000007
2000-01-21,35.81,35.0,36.5,33.62,999500.0,0.0305
2000-01-24,34.94,36.5,36.75,34.56,710600.0,-0.024300000000000002
2000-01-25,35.88,34.62,36.0,34.5,1020000.0,0.0269
2000-01-26,36.25,35.62,36.31,34.38,507400.0,0.0103
2000-01-27,36.06,35.75,36.56,35.69,586400.0,-0.0052
2000-01-28,35.81,34.88,36.81,34.88,607300.0,-0.0069
2000-01-31,36.94,35.94,36.94,35.81,347100.0,0.0316
2000-02-01,37.69,38.0,39.38,37.5,964500.0,0.0203
2000-02-02,38.44,37.25,38.81,37.0,911400.0,0.0199
2000-02-03,37.5,37.38,38.12,36.25,610800.0,-0.0245
2000-02-04,36.19,36.75,37.62,35.94,592000.0,-0.0349
2000-02-07,34.25,36.75,36.88,34.12,1180000.0,-0.0536
2000-02-08,35.25,34.69,35.56,34.38,776800.0,0.0292
2000-02-09,33.56,34.44,35.12,33.56,511100.0,-0.0479
2000-02-10,33.06,33.06,33.88,32.5,483800.0,-0.0149
2000-02-11,32.25,32.81,33.88,32.25,387900.0,-0.0245
2000-02-14,32.25,32.75,32.75,31.75,355100.0,0.0
2000-02-15,32.62,32.44,33.06,32.12,503500.0,0.0115
2000-02-16,31.5,30.75,31.94,30.75,551900.0,-0.034300000000000004
2000-02-17,30.94,31.62,32.0,30.88,489700.0,-0.0178
2000-02-18,30.38,30.88,31.69,30.31,537500.0,-0.0181
2000-02-22,29.75,29.5,30.69,28.38,834700.0,-0.0207
2000-02-23,29.69,30.0,30.06,28.75,721600.0,-0.002
2000-02-24,29.56,29.5,29.94,28.5,853200.0,-0.0044
2000-02-25,28.38,29.56,29.69,28.0,1320000.0,-0.039900000000000005
2000-02-28,28.25,27.5,28.69,27.12,1270000.0,-0.0046
2000-02-29,27.62,28.12,28.19,27.62,532800.0,-0.0223
2000-03-01,28.5,27.81,29.38,27.19,774200.0,0.0319
2000-03-02,27.12,28.5,28.5,26.81,3140000.0,-0.0484
2000-03-03,27.06,27.62,27.62,27.0,899800.0,-0.0022
2000-03-06,26.5,27.25,27.38,25.94,790100.0,-0.0207
2000-03-07,24.56,26.25,26.5,24.5,944400.0,-0.0732
2000-03-08,24.19,25.0,25.44,24.0,859600.0,-0.0151
2000-03-09,25.0,25.0,25.94,24.06,818500.0,0.0335
2000-03-10,25.06,25.25,25.69,24.62,545400.0,0.0024
2000-03-13,24.25,25.25,25.25,23.62,625000.0,-0.0323
2000-03-14,23.19,24.25,24.31,22.62,1080000.0,-0.0437
2000-03-15,25.06,23.31,25.5,23.31,1760000.0,0.0806
2000-03-16,28.25,26.38,28.81,26.0,2460000.0,0.1273
2000-03-17,28.0,28.25,29.62,28.0,1250000.0,-0.0088
2000-03-20,28.25,28.31,28.94,27.81,846900.0,0.0089
2000-03-21,29.31,28.62,30.0,27.5,939900.0,0.0375
2000-03-22,29.12,29.0,29.19,28.69,798400.0,-0.006500000000000001
2000-03-23,31.12,29.5,31.38,29.5,947200.0,0.0687
2000-03-24,32.06,31.06,33.0,30.62,1340000.0,0.0302
2000-03-27,30.5,32.31,32.69,30.12,855800.0,-0.0487
2000-03-28,30.19,30.0,30.62,29.38,1090000.0,-0.0102
2000-03-29,31.31,31.0,31.88,30.75,816500.0,0.0371
2000-03-30,35.0,32.25,35.88,32.25,1340000.0,0.11789999999999999
2000-03-31,33.5,35.0,35.0,33.38,1440000.0,-0.0429
2000-04-03,33.06,33.69,33.69,32.12,838000.0,-0.0131
2000-04-04,33.12,34.25,34.25,32.5,1260000.0,0.0018
2000-04-05,32.88,33.06,33.38,31.88,943100.0,-0.0072
2000-04-06,31.44,32.12,32.31,30.81,802500.0,-0.0438
2000-04-07,30.81,32.0,32.06,30.69,520799.99999999994,-0.02
2000-04-10,30.94,31.06,31.12,29.0,1070000.0,0.0042
2000-04-11,31.69,31.75,31.94,30.69,547200.0,0.0242
2000-04-12,32.88,31.62,33.44,31.62,660500.0,0.037599999999999995
2000-04-13,34.69,34.62,35.31,33.62,1300000.0,0.055
2000-04-14,31.44,33.75,33.75,31.0,608900.0,-0.09369999999999999
2000-04-17,31.44,31.75,32.31,30.5,503400.0,0.0
2000-04-18,31.81,31.5,32.06,30.69,461900.0,0.0118
2000-04-19,32.19,32.38,32.75,31.25,731000.0,0.011899999999999999
2000-04-20,33.25,32.75,33.56,31.75,475100.0,0.0329
2000-04-24,34.56,32.81,34.62,32.5,645600.0,0.0394
2000-04-25,33.44,34.62,35.12,32.44,937100.0,-0.032400000000000005
