Date,Close,Open,High,Low,Volume,Change
2018-01-23,57.05,58.17,58.25,56.33,4610000.0,-0.020099999999999996
2018-01-24,55.33,57.63,57.63,54.01,7590000.0,-0.0301
2018-01-25,55.76,55.7,55.81,55.08,4770000.0,0.0078000000000000005
2018-01-26,54.83,55.98,56.76,54.05,5800000.0,-0.0167
2018-01-29,53.13,54.76,54.85,53.09,7820000.0,-0.031
2018-01-30,53.49,53.15,54.47,53.15,5230000.0,0.0068000000000000005
2018-01-31,54.1,53.82,54.5,53.5,6770000.0,0.011399999999999999
2018-02-01,53.58,53.15,54.41,53.1,4500000.0,-0.0096
2018-02-02,53.24,53.56,54.45,53.16,3000000.0,-0.0063
2018-02-05,51.95,52.96,54.37,51.94,4450000.0,-0.0242
2018-02-06,52.87,51.44,53.11,50.79,5950000.0,0.0177
2018-02-07,53.4,52.78,54.1,52.55,4330000.0,0.01
2018-02-08,51.07,53.47,53.51,51.04,5460000.0,-0.0436
2018-02-09,52.22,51.6,52.55,51.22,5110000.0,0.0225
2018-02-12,52.38,52.42,52.79,51.47,2850000.0,0.0031
2018-02-13,53.22,52.11,53.24,51.99,3080000.0,0.016
2018-02-14,56.3,53.77,56.35,53.57,6300000.0,0.0579
2018-02-15,56.78,56.9,57.0,56.24,4210000.0,0.0085
2018-02-16,57.35,56.59,57.53,56.59,3700000.0,0.01
2018-02-20,56.54,57.06,57.29,56.47,3810000.0,-0.0141
2018-02-21,57.17,56.73,58.1,56.59,3650000.0,0.0111
2018-02-22,56.85,57.28,57.79,56.67,3360000.0,-0.005600000000000001
2018-02-23,57.71,56.99,57.76,56.92,1970000.0,0.0151
2018-02-26,58.85,57.8,59.06,57.74,3290000.0,0.019799999999999998
2018-02-27,58.53,58.8,59.26,58.53,4890000.0,-0.0054
2018-02-28,57.58,58.88,59.36,57.57,4030000.0000000005,-0.016200000000000003
2018-03-01,57.79,57.75,58.6,57.28,3160000.0,0.0036
2018-03-02,57.58,57.4,57.84,56.98,4010000.0,-0.0036
2018-03-05,58.79,57.32,58.95,57.02,3180000.0,0.021
2018-03-06,58.62,58.86,58.97,57.68,3360000.0,-0.0029
2018-03-07,58.42,58.2,58.67,58.17,2330000.0,-0.0034000000000000002
2018-03-08,59.02,58.53,59.09,58.4,1460000.0,0.0103
2018-03-09,60.37,59.37,60.38,59.17,1860000.0,0.0229
2018-03-12,59.97,60.35,60.43,59.74,2550000.0,-0.0066
2018-03-13,60.01,60.06,60.69,59.96,3340000.0,0.0007000000000000001
2018-03-14,61.4,61.3,61.63,60.72,3350000.0,0.0232
2018-03-15,61.58,61.55,61.71,60.8,3350000.0,0.0029
2018-03-16,61.92,61.81,62.14,61.63,3090000.0,0.0055000000000000005
2018-03-19,61.87,61.92,62.52,61.4,2320000.0,-0.0008
2018-03-20,62.33,62.06,62.74,62.02,2610000.0,0.0074
2018-03-21,62.01,62.39,62.71,61.73,2380000.0,-0.0051
2018-03-22,60.55,61.49,61.98,60.47,2710000.0,-0.0235
2018-03-23,59.68,60.51,61.0,59.61,3540000.0,-0.0144
2018-03-26,60.85,60.09,60.98,59.51,3700000.0,0.0196
2018-03-27,60.29,61.09,61.43,59.93,3580000.0,-0.0092
2018-03-28,60.44,60.35,60.87,59.78,3400000.0,0.0025
2018-03-29,60.93,60.77,61.46,60.44,3270000.0,0.008100000000000001
2018-04-02,59.81,60.99,61.27,59.17,3480000.0,-0.0184
2018-04-03,60.69,60.07,60.96,59.85,3500000.0,0.0147
2018-04-04,61.41,60.13,61.55,60.04,3840000.0,0.011899999999999999
2018-04-05,61.25,61.65,61.97,61.05,2900000.0,-0.0026
2018-04-06,60.04,60.86,61.39,59.7,3660000.0,-0.019799999999999998
2018-04-09,60.0,60.4,60.9,59.89,2950000.0,-0.0007000000000000001
2018-04-10,60.39,60.81,60.98,60.32,3040000.0,0.006500000000000001
2018-04-11,59.99,59.96,60.33,59.81,2310000.0,-0.0066
2018-04-12,60.5,60.39,60.76,60.22,2160000.0,0.0085
2018-04-13,60.07,60.92,60.98,59.92,2710000.0,-0.0070999999999999995
2018-04-16,60.93,60.58,61.42,60.46,4650000.0,0.0143
2018-04-17,62.28,61.45,62.78,61.01,5130000.0,0.0222
2018-04-18,61.18,62.39,62.43,60.83,3970000.0,-0.0177
2018-04-19,61.13,61.18,61.74,60.86,2990000.0,-0.0008
2018-04-20,61.05,61.23,61.39,60.8,2890000.0,-0.0013
2018-04-23,61.22,61.5,61.59,60.96,2150000.0,0.0028000000000000004
2018-04-24,60.71,61.33,61.49,60.26,2820000.0,-0.0083
2018-04-25,60.3,60.8,60.97,59.96,3370000.0,-0.0068000000000000005
2018-04-26,60.63,60.36,60.88,59.98,1600000.0,0.0055000000000000005
2018-04-27,60.98,60.53,61.01,60.43,1520000.0,0.0058
2018-04-30,60.29,61.1,61.25,60.29,2510000.0,-0.0113
2018-05-01,60.5,60.32,60.53,59.92,1930000.0,0.0034999999999999996
2018-05-02,58.98,60.15,60.24,58.11,3930000.0,-0.025099999999999997
2018-05-03,59.27,58.72,59.62,58.23,3760000.0,0.0049
2018-05-04,59.81,59.03,60.11,58.64,2460000.0,0.0091
2018-05-07,60.7,59.84,61.01,59.81,2680000.0,0.0149
