Date,Close,Open,High,Low,Volume,Change
2000-01-03,42.19,44.0,44.0,41.69,703500.0,-0.0519
2000-01-04,40.88,42.12,42.12,40.0,1320000.0,-0.031
2000-01-05,41.06,40.81,41.56,40.81,1080000.0,0.0044
2000-01-06,43.0,40.88,43.5,40.88,1490000.0,0.0472
2000-01-07,43.06,43.0,43.5,42.56,1130000.0,0.0014000000000000002
2000-01-10,41.56,44.0,44.0,41.5,947000.0,-0.0348
2000-01-11,41.12,41.5,41.62,40.88,548800.0,-0.0106
2000-01-12,42.0,41.25,42.25,41.12,831400.0,0.021400000000000002
2000-01-13,45.81,43.5,46.0,42.94,1700000.0,0.0907
2000-01-14,46.75,47.25,47.38,45.75,1380000.0,0.020499999999999997
2000-01-18,45.94,46.75,46.75,45.81,1060000.0,-0.0173
2000-01-19,45.31,45.94,46.88,45.31,845200.0,-0.0137
2000-01-20,44.0,45.5,45.5,43.62,998900.0,-0.028900000000000002
2000-01-21,43.88,44.06,44.12,42.94,1200000.0,-0.0027
2000-01-24,43.44,44.0,44.12,43.25,1350000.0,-0.01
2000-01-25,44.06,43.69,44.25,43.62,1010000.0,0.0143
2000-01-26,45.19,43.88,45.19,43.75,989300.0,0.0256
2000-01-27,46.69,45.5,46.94,45.06,1420000.0,0.0332
2000-01-28,45.88,46.25,46.5,45.56,1550000.0,-0.0173
2000-01-31,48.0,45.88,48.0,45.75,1290000.0,0.0462
2000-02-01,48.25,48.0,48.5,47.5,802400.0,0.0052
2000-02-02,46.69,48.0,48.19,46.5,1040000.0,-0.0323
2000-02-03,45.5,46.5,46.81,45.25,1150000.0,-0.0255
2000-02-04,44.56,45.62,45.94,44.44,757400.0,-0.0207
2000-02-07,44.12,44.56,44.56,43.06,611800.0,-0.009899999999999999
2000-02-08,45.06,44.38,45.94,44.38,786200.0,0.0213
2000-02-09,44.06,44.88,45.19,44.06,682700.0,-0.0222
2000-02-10,42.69,44.25,44.5,42.25,733400.0,-0.0311
2000-02-11,42.12,42.69,43.5,41.81,554600.0,-0.0134
2000-02-14,41.62,42.12,42.31,41.38,464800.0,-0.011899999999999999
2000-02-15,43.12,41.56,43.25,41.5,570800.0,0.036000000000000004
2000-02-16,42.0,43.06,43.12,41.94,559400.0,-0.026000000000000002
2000-02-17,41.75,43.12,43.12,41.38,635000.0,-0.006
2000-02-18,40.0,41.0,41.19,39.0,1070000.0,-0.04190000000000001
2000-02-22,39.5,39.62,40.0,38.81,854600.0,-0.0125
2000-02-23,39.12,39.56,39.62,38.38,671000.0,-0.0096
2000-02-24,38.0,39.06,39.12,38.0,755000.0,-0.0286
2000-02-25,37.62,38.25,39.25,37.62,847900.0,-0.01
2000-02-28,39.06,38.12,39.69,38.06,922400.0,0.0383
2000-02-29,38.69,39.25,39.25,38.62,955200.0,-0.0095
2000-03-01,38.75,38.62,39.0,37.88,755900.0,0.0016
2000-03-02,38.88,38.69,39.0,38.0,703100.0,0.0034000000000000002
2000-03-03,38.94,39.5,39.5,38.38,565800.0,0.0015
2000-03-06,38.12,39.0,39.25,38.12,442600.0,-0.021099999999999997
2000-03-07,36.69,38.12,38.12,36.5,698800.0,-0.0375
2000-03-08,36.62,36.94,37.25,36.0,862400.0,-0.0019
2000-03-09,37.0,36.81,37.38,36.69,1010000.0,0.0104
2000-03-10,37.44,37.25,37.62,37.0,1010000.0,0.011899999999999999
