Date,Close,Open,High,Low,Volume,Change
2000-01-03,24.67,25.67,26.0,24.58,8740000.0,-0.0325
2000-01-04,24.33,24.67,24.92,23.46,8730000.0,-0.0138
2000-01-05,24.5,24.29,24.58,23.0,6700000.0,0.006999999999999999
2000-01-06,24.5,24.25,25.42,24.21,7570000.0,0.0
2000-01-07,25.92,25.46,25.92,25.08,4290000.0,0.057999999999999996
2000-01-10,26.0,26.54,26.63,25.83,5780000.0,0.0031
2000-01-11,26.08,26.33,26.58,25.96,4010000.0,0.0031
2000-01-12,25.08,26.0,26.0,25.04,4150000.0000000005,-0.0383
2000-01-13,27.0,22.67,27.33,22.58,23540000.0,0.0766
2000-01-14,27.33,27.96,28.83,27.13,14040000.0,0.012199999999999999
2000-01-18,26.0,27.04,27.08,25.88,6590000.0,-0.0487
2000-01-19,26.67,26.63,27.33,26.21,7320000.0,0.0258
2000-01-20,26.17,26.71,26.83,26.04,4690000.0,-0.0187
2000-01-21,25.67,26.17,26.17,24.71,7270000.0,-0.0191
2000-01-24,25.33,25.25,25.33,24.38,3400000.0,-0.0132
2000-01-25,24.54,24.63,25.08,24.17,3940000.0,-0.031200000000000002
2000-01-26,25.42,24.46,25.58,23.92,5630000.0,0.0359
2000-01-27,24.88,25.38,25.63,24.25,4310000.0,-0.0212
2000-01-28,23.46,24.71,24.71,23.46,3850000.0,-0.0571
2000-01-31,23.92,23.5,24.08,23.33,4710000.0,0.0196
2000-02-01,23.75,24.29,24.67,23.21,4330000.0,-0.0070999999999999995
2000-02-02,23.83,23.67,24.17,22.46,8119999.999999999,0.0034000000000000002
2000-02-03,23.75,24.0,24.08,23.0,4780000.0,-0.0034000000000000002
2000-02-04,25.29,23.79,25.42,23.21,11450000.0,0.06480000000000001
2000-02-07,27.0,25.63,27.17,25.08,6970000.0,0.0676
2000-02-08,26.33,26.67,26.67,26.0,6970000.0,-0.0248
2000-02-09,25.17,26.17,26.21,25.04,3770000.0,-0.0441
2000-02-10,25.67,25.75,25.92,25.33,4550000.0,0.0199
2000-02-11,26.0,25.92,26.58,25.67,5230000.0,0.0129
2000-02-14,25.46,26.63,26.63,25.08,3970000.0,-0.0208
2000-02-15,25.63,25.13,25.63,24.71,3460000.0,0.0067
2000-02-16,25.33,25.67,26.17,25.33,3240000.0,-0.011699999999999999
2000-02-17,26.29,25.67,26.5,25.63,5680000.0,0.0379
2000-02-18,25.5,26.29,26.29,25.33,3730000.0,-0.03
2000-02-22,25.0,25.5,25.67,24.04,4560000.0,-0.0196
2000-02-23,26.38,25.13,26.71,24.71,6580000.0,0.0552
2000-02-24,25.29,26.25,26.25,25.13,6330000.0,-0.041299999999999996
2000-02-25,25.25,25.54,25.54,24.38,3820000.0,-0.0016
2000-02-28,24.88,25.67,25.79,24.88,7330000.0,-0.0147
2000-02-29,28.0,26.67,28.13,26.0,15120000.0,0.12539999999999998
2000-03-01,31.0,28.75,31.0,28.21,14020000.0,0.10710000000000001
2000-03-02,30.08,30.92,30.96,29.13,7160000.0,-0.0297
2000-03-03,32.0,30.33,32.0,30.17,7780000.0,0.0638
2000-03-06,31.79,32.0,32.33,31.38,6250000.0,-0.0066
2000-03-07,30.88,31.71,31.96,30.5,4930000.0,-0.0286
2000-03-08,30.0,30.92,30.92,28.96,3880000.0,-0.0285
2000-03-09,30.33,29.67,31.33,29.21,3450000.0,0.011000000000000001
2000-03-10,35.33,31.96,36.13,31.42,16070000.0,0.1649
2000-03-13,33.92,33.04,36.33,32.0,7620000.0,-0.039900000000000005
2000-03-14,32.42,33.58,34.0,32.0,6550000.0,-0.044199999999999996
2000-03-15,32.33,32.0,33.17,31.42,3800000.0,-0.0028000000000000004
2000-03-16,33.33,32.33,33.5,32.08,8170000.0,0.030899999999999997
2000-03-17,36.83,34.17,37.33,34.0,12250000.0,0.105
2000-03-20,36.0,37.25,38.29,35.88,7980000.0,-0.0225
2000-03-21,36.29,36.08,36.29,34.92,6400000.0,0.008100000000000001
2000-03-22,38.38,37.29,39.33,36.92,5870000.0,0.0576
2000-03-23,40.83,38.0,41.33,37.13,8560000.0,0.0638
2000-03-24,43.33,41.33,44.75,40.96,13240000.0,0.061200000000000004
2000-03-27,40.0,42.54,42.54,39.54,6780000.0,-0.07690000000000001
2000-03-28,40.08,39.67,41.0,39.0,5090000.0,0.002
2000-03-29,39.63,41.29,42.0,39.17,5670000.0,-0.011200000000000002
2000-03-30,39.33,39.04,40.25,38.71,6030000.0,-0.0076
2000-03-31,38.0,38.83,39.17,36.88,6210000.0,-0.0338
2000-04-03,37.96,39.5,40.58,36.92,8890000.0,-0.0011
2000-04-04,33.33,38.25,38.25,29.46,18830000.0,-0.122
2000-04-05,35.5,31.83,37.17,31.5,11400000.0,0.06509999999999999
2000-04-06,38.75,36.33,38.83,35.79,6890000.0,0.0915
2000-04-07,36.75,38.83,38.83,35.83,6560000.0,-0.0516
2000-04-10,37.21,36.13,38.13,35.67,4640000.0,0.0125
2000-04-11,36.08,37.21,37.83,35.33,4450000.0,-0.0304
2000-04-12,34.0,35.92,36.67,33.33,6570000.0,-0.0576
2000-04-13,32.67,33.83,33.83,32.0,4880000.0,-0.0391
2000-04-14,27.0,29.5,30.0,25.67,15030000.0,-0.1736
2000-04-17,28.0,26.46,28.83,26.08,13530000.0,0.037000000000000005
2000-04-18,29.92,27.17,31.83,26.67,12010000.0,0.06860000000000001
2000-04-19,29.46,30.25,30.33,28.67,6650000.0,-0.0154
2000-04-20,29.33,28.67,29.92,28.67,4260000.0,-0.0044
2000-04-24,29.42,29.33,29.5,28.25,4120000.0,0.0031
2000-04-25,30.67,29.63,31.21,29.63,5020000.0,0.0425
2000-04-26,30.0,30.83,32.38,29.83,5330000.0,-0.0218
2000-04-27,30.33,29.04,30.58,29.0,4760000.0,0.011000000000000001
2000-04-28,29.67,30.88,31.58,29.42,4870000.0,-0.0218
2000-05-01,30.42,29.75,31.29,29.42,5220000.0,0.0253
2000-05-02,29.83,29.5,30.46,29.13,3980000.0,-0.0194
2000-05-03,30.17,29.17,31.33,27.42,4080000.0,0.011399999999999999
2000-05-04,29.67,30.17,30.17,28.17,4110000.0000000005,-0.0166
2000-05-05,29.17,28.58,29.88,28.33,3970000.0,-0.0169
2000-05-08,28.71,29.75,29.75,28.17,5040000.0,-0.0158
2000-05-09,28.38,29.0,29.33,27.92,5100000.0,-0.0115
2000-05-10,26.88,27.83,27.92,25.33,6550000.0,-0.0529
2000-05-11,26.58,27.33,27.42,25.71,4099999.9999999995,-0.011200000000000002
2000-05-12,27.96,26.42,28.17,26.33,4580000.0,0.0519
2000-05-15,28.92,27.46,29.83,27.38,4350000.0,0.034300000000000004
2000-05-16,30.46,29.08,30.92,29.04,6980000.0,0.0533
2000-05-17,29.17,28.83,29.54,28.33,6860000.0,-0.0424
2000-05-18,29.33,29.67,30.54,29.29,4820000.0,0.0055000000000000005
2000-05-19,27.92,28.67,28.92,27.92,3570000.0,-0.0481
2000-05-22,27.96,27.17,28.54,25.67,6300000.0,0.0014000000000000002
2000-05-23,27.33,27.92,28.29,26.79,2890000.0,-0.0225
2000-05-24,25.67,26.67,27.0,25.13,8010000.0,-0.060700000000000004
2000-05-25,24.67,26.5,26.54,24.67,7630000.0,-0.039
2000-05-26,24.67,25.33,26.0,24.0,5400000.0,0.0
2000-05-30,26.38,25.13,26.38,25.0,3460000.0,0.0693
2000-05-31,28.25,26.62,29.0,26.38,9390000.0,0.0709
2000-06-01,28.5,29.0,29.62,28.28,6200000.0,0.0088
2000-06-02,33.5,32.75,34.0,31.19,8710000.0,0.1754
2000-06-05,32.25,32.75,33.38,32.12,4850000.0,-0.0373
2000-06-06,32.06,32.5,32.75,31.75,3850000.0,-0.0059
2000-06-07,32.31,32.38,32.88,31.5,4880000.0,0.0078000000000000005
2000-06-08,30.5,31.88,32.38,29.12,5470000.0,-0.055999999999999994
2000-06-09,29.62,30.38,30.38,29.44,3830000.0,-0.028900000000000002
2000-06-12,28.88,29.81,29.94,28.62,3030000.0,-0.025
2000-06-13,30.31,29.88,30.31,28.75,2580000.0,0.0495
2000-06-14,32.5,29.56,33.0,29.12,6680000.0,0.0723
2000-06-15,32.94,32.25,33.38,31.06,4560000.0,0.013500000000000002
2000-06-16,33.62,32.5,33.62,32.06,6450000.0,0.0206
2000-06-19,34.5,33.62,34.69,33.06,3500000.0,0.0262
2000-06-20,34.88,34.69,34.94,33.25,3050000.0,0.011000000000000001
2000-06-21,34.19,34.62,34.62,33.62,2040000.0,-0.019799999999999998
2000-06-22,33.38,33.88,34.06,32.75,1980000.0,-0.023700000000000002
2000-06-23,32.75,34.12,34.31,32.56,1690000.0,-0.0189
2000-06-26,33.38,32.56,33.81,32.56,2520000.0,0.0192
2000-06-27,33.0,33.81,33.81,32.88,2089999.9999999998,-0.011399999999999999
2000-06-28,32.5,33.44,33.75,31.88,2430000.0,-0.0152
2000-06-29,33.5,32.0,34.5,31.5,2850000.0,0.0308
2000-06-30,33.62,31.56,33.75,31.31,3800000.0,0.0036
2000-07-03,32.44,32.75,33.31,32.12,1150000.0,-0.0351
2000-07-05,32.69,32.75,33.12,32.19,2060000.0,0.0077
2000-07-06,32.81,32.94,33.0,31.5,2200000.0,0.0037
2000-07-07,32.94,33.31,33.31,32.5,2029999.9999999998,0.004
2000-07-10,32.88,32.94,33.75,32.38,2790000.0,-0.0018
2000-07-11,34.75,32.88,35.0,32.62,4430000.0,0.056900000000000006
2000-07-12,36.25,36.5,36.75,35.88,6070000.0,0.0432
2000-07-13,36.56,36.25,36.56,35.75,2630000.0,0.0086
2000-07-14,39.19,37.0,40.5,36.62,10080000.0,0.0719
2000-07-17,37.25,39.31,39.62,36.56,5670000.0,-0.0495
2000-07-18,38.25,37.0,38.88,35.12,5460000.0,0.0268
2000-07-19,36.38,37.88,38.0,35.62,3900000.0,-0.0489
2000-07-20,37.75,36.5,37.81,35.69,5570000.0,0.0377
2000-07-21,37.12,37.75,37.75,36.38,1840000.0,-0.0167
2000-07-24,36.31,36.94,38.38,36.25,2180000.0,-0.0218
2000-07-25,37.31,36.94,37.56,36.12,2380000.0,0.0275
2000-07-26,36.44,36.69,36.94,36.12,2800000.0,-0.0233
2000-07-27,36.5,36.5,37.19,35.12,2790000.0,0.0016
2000-07-28,34.0,36.38,36.62,34.0,2690000.0,-0.06849999999999999
2000-07-31,38.12,35.12,38.12,34.62,3880000.0,0.12119999999999999
2000-08-01,37.94,36.25,38.0,35.75,2790000.0,-0.004699999999999999
2000-08-02,37.25,36.69,37.69,36.12,2910000.0,-0.0182
2000-08-03,36.31,36.56,37.0,36.06,2180000.0,-0.0252
2000-08-04,38.5,37.12,39.12,36.56,5110000.0,0.0603
2000-08-07,38.38,38.0,38.5,37.25,3540000.0,-0.0031
2000-08-08,38.31,38.44,38.56,37.75,2170000.0,-0.0018
2000-08-09,38.5,38.0,39.0,37.25,2770000.0,0.005
2000-08-10,37.06,38.25,39.19,36.81,2570000.0,-0.0374
2000-08-11,39.0,38.12,39.81,37.56,3760000.0,0.052300000000000006
2000-08-14,40.0,39.12,40.44,38.38,4540000.0,0.0256
2000-08-15,37.75,39.88,39.88,37.38,5060000.0,-0.056299999999999996
2000-08-16,37.5,38.44,39.38,36.94,4150000.0000000005,-0.0066
2000-08-17,39.25,38.0,39.25,37.88,3840000.0,0.0467
2000-08-18,37.31,38.5,39.19,37.31,3110000.0,-0.049400000000000006
2000-08-21,38.06,38.69,38.69,37.5,1930000.0,0.020099999999999996
2000-08-22,37.88,38.69,38.69,37.38,2330000.0,-0.004699999999999999
2000-08-23,37.0,37.69,38.06,36.69,3070000.0,-0.0232
2000-08-24,37.0,37.25,37.44,36.5,3060000.0,0.0
2000-08-25,35.88,36.69,36.81,35.75,3270000.0,-0.030299999999999997
2000-08-28,36.62,36.06,37.0,36.06,2660000.0,0.0206
2000-08-29,37.75,36.69,38.12,36.19,3420000.0,0.030899999999999997
2000-08-30,37.38,37.88,38.81,37.19,3720000.0,-0.0098
2000-08-31,38.44,37.06,38.69,37.0,3650000.0,0.028399999999999998
2000-09-01,37.0,38.5,38.94,37.0,2250000.0,-0.0375
2000-09-05,38.0,38.19,38.31,37.62,2000000.0,0.027000000000000003
2000-09-06,38.88,38.81,39.31,38.56,4240000.0,0.0232
