Date,Close,Open,High,Low,Volume,Change
2014-08-01,23.0,22.9,23.0,22.67,6460000.0,0.0
2014-08-04,23.0,23.1,23.13,22.9,3460000.0,0.0
2014-08-05,23.0,22.99,23.01,22.67,4450000.0,0.0
2014-08-06,22.98,22.8,22.98,22.67,6990000.0,-0.0009
2014-08-07,22.93,22.89,23.0,22.8,3190000.0,-0.0022
2014-08-08,22.95,22.93,23.03,22.8,2860000.0,0.0009
2014-08-11,22.93,22.9,22.93,22.8,1770000.0,-0.0009
2014-08-12,23.0,22.89,23.0,22.83,1550000.0,0.0031
2014-08-13,23.18,23.0,23.23,22.88,1660000.0,0.0078000000000000005
2014-08-14,23.01,23.2,23.22,22.95,1390000.0,-0.0073
2014-08-15,23.0,23.02,23.08,23.0,1950000.0,-0.0004
2014-08-18,23.17,23.06,23.17,23.02,1070000.0,0.0074
2014-08-19,24.41,23.2,24.43,23.2,2850000.0,0.0535
2014-08-20,25.19,24.3,25.59,24.26,3550000.0,0.032
2014-08-21,25.39,25.47,25.52,24.92,2360000.0,0.0079
2014-08-22,25.36,25.25,25.43,25.1,892140.0,-0.0012
2014-08-25,25.12,25.37,25.4,24.88,1190000.0,-0.0095
2014-08-26,25.05,25.0,25.1,24.94,951040.0,-0.0028000000000000004
2014-08-27,25.47,25.0,25.54,24.95,1230000.0,0.0168
2014-08-28,25.69,25.4,25.84,25.31,982630.0,0.0086
2014-08-29,25.79,25.81,25.94,25.45,982180.0,0.0039000000000000003
2014-09-02,25.79,25.7,25.9,25.52,1870000.0,0.0
2014-09-03,25.79,25.99,26.0,25.63,996520.0,0.0
2014-09-04,25.7,25.53,25.75,25.51,1120000.0,-0.0034999999999999996
2014-09-05,25.77,25.7,26.02,25.62,1090000.0,0.0027
2014-09-08,24.84,25.82,25.98,24.62,2540000.0,-0.0361
2014-09-09,25.04,25.3,25.6,24.7,3610000.0,0.008100000000000001
2014-09-10,24.7,25.19,25.3,24.69,1970000.0,-0.013600000000000001
