Date,Close,Open,High,Low,Volume,Change
2001-06-13,43.84,43.84,44.24,43.71,758020.0,-0.003
2001-06-14,42.91,43.71,43.71,42.38,501100.0,-0.021099999999999997
2001-06-15,43.58,42.78,43.58,42.38,382820.0,0.0154
2001-06-18,45.14,45.03,46.09,43.84,358400.0,0.0359
2001-06-19,45.96,45.03,45.96,44.37,232810.0,0.0182
2001-06-20,47.15,46.09,49.01,46.09,176180.0,0.0259
2001-06-21,47.15,47.15,47.68,47.02,79120.0,0.0
2001-06-22,46.31,47.1,47.1,45.96,109850.0,-0.018000000000000002
2001-06-25,46.76,45.69,47.68,43.71,142580.0,0.0097
2001-06-26,45.03,46.57,46.57,44.98,109360.0,-0.0368
2001-06-27,45.83,45.03,46.22,44.37,96150.0,0.0177
2001-06-28,46.36,46.36,47.28,46.09,102570.0,0.0116
2001-06-29,47.02,46.36,47.55,45.69,222880.0,0.0143
2001-07-02,46.36,47.02,47.15,45.69,46320.0,-0.0141
2001-07-03,46.09,46.76,46.76,45.69,54400.0,-0.005699999999999999
2001-07-05,47.07,46.36,47.26,46.09,74860.0,0.0213
2001-07-06,46.97,47.05,47.28,46.76,60590.0,-0.0023
2001-07-09,45.3,46.62,46.62,45.03,117330.0,-0.0355
2001-07-10,44.77,45.43,45.59,44.37,148960.0,-0.011699999999999999
2001-07-11,45.69,45.17,47.02,44.66,151980.0,0.0207
2001-07-12,44.69,45.69,46.36,44.64,198980.0,-0.022000000000000002
2001-07-13,45.69,44.66,45.69,44.66,112270.0,0.0225
2001-07-16,45.96,45.83,46.04,45.69,48850.0,0.0058
2001-07-17,45.96,45.96,46.36,44.77,64970.0,0.0
2001-07-18,45.43,45.83,45.83,45.03,80560.0,-0.0115
2001-07-19,45.03,45.03,45.3,44.5,128280.0,-0.0087
2001-07-20,44.9,44.9,45.03,44.69,38770.0,-0.0029
2001-07-23,44.9,44.9,44.9,44.64,59990.0,0.0
2001-07-24,43.44,44.9,44.9,43.18,221440.0,-0.032400000000000005
2001-07-25,43.05,43.18,43.18,41.06,371760.0,-0.0092
2001-07-26,43.6,43.05,43.97,43.05,96190.0,0.0129
2001-07-27,45.56,43.71,45.56,43.71,118880.0,0.045
2001-07-30,45.03,45.17,46.33,45.03,91200.0,-0.0116
2001-07-31,45.69,46.36,47.02,44.77,267270.0,0.0147
2001-08-01,45.75,45.96,46.36,45.75,139560.0,0.0012
2001-08-02,44.37,45.75,45.83,44.11,153110.0,-0.0301
2001-08-03,46.76,44.37,47.02,44.37,177090.0,0.0537
2001-08-06,47.68,47.02,47.68,46.78,46550.0,0.019799999999999998
2001-08-07,46.36,47.42,47.81,46.36,130009.99999999999,-0.0278
2001-08-08,46.49,46.62,46.62,45.56,67350.0,0.0028000000000000004
2001-08-09,46.12,46.36,46.49,45.69,58630.0,-0.008
2001-08-10,46.89,46.12,46.89,46.12,25750.0,0.0167
2001-08-13,47.44,46.62,48.34,46.49,34990.0,0.011899999999999999
2001-08-14,48.08,47.28,49.01,47.28,72030.0,0.0134
2001-08-15,48.34,48.48,48.48,47.68,61420.0,0.0055000000000000005
2001-08-16,48.77,48.34,48.9,48.11,68780.0,0.0088
2001-08-17,49.27,48.74,49.72,48.74,9250.0,0.0103
2001-08-20,51.66,49.67,51.66,49.67,174930.0,0.0484
2001-08-21,50.46,50.99,51.26,50.33,108080.0,-0.0231
2001-08-22,52.85,50.86,53.51,50.86,180290.0,0.0473
2001-08-23,52.19,52.98,52.98,52.19,44390.0,-0.0125
2001-08-24,50.86,51.52,51.52,50.6,154320.0,-0.0254
2001-08-27,50.33,50.99,51.13,50.07,59530.0,-0.0104
2001-08-28,50.33,50.33,50.46,49.72,99920.0,0.0
2001-08-29,50.33,50.33,50.6,49.67,127070.0,0.0
2001-08-30,49.72,50.46,50.6,49.67,31220.0,-0.0121
2001-08-31,49.83,49.8,50.2,49.8,15740.0,0.0021
2001-09-04,49.4,49.67,49.78,48.74,48810.0,-0.0085
2001-09-05,48.61,49.27,49.27,48.61,55570.0,-0.0161
2001-09-06,47.58,48.37,48.42,47.58,6910.0,-0.0213
2001-09-07,47.05,47.15,48.0,46.89,38730.0,-0.0111
2001-09-10,46.62,47.15,47.15,46.38,74440.0,-0.009000000000000001
2001-09-17,50.99,45.96,54.3,45.96,726090.0,0.09380000000000001
2001-09-18,51.92,51.66,52.19,51.66,319480.0,0.0182
2001-09-19,53.64,52.19,53.64,51.66,222500.0,0.0332
2001-09-20,56.69,53.91,59.6,53.91,409100.0,0.056799999999999996
2001-09-21,55.1,56.95,58.28,54.44,307700.0,-0.027999999999999997
2001-09-24,55.63,55.63,56.16,55.1,167540.0,0.0096
2001-09-25,55.76,56.16,56.95,55.36,120950.0,0.0024
2001-09-26,58.91,56.69,59.31,56.56,345040.0,0.0565
2001-09-27,63.44,61.59,65.14,60.66,369570.0,0.07690000000000001
2001-09-28,61.96,63.84,64.61,61.62,141110.0,-0.023399999999999997
2001-10-01,61.14,60.93,61.85,60.21,102790.0,-0.013300000000000001
2001-10-02,60.13,59.6,61.19,58.83,139450.0,-0.0165
2001-10-03,61.48,60.66,63.44,60.66,320880.0,0.0225
2001-10-04,61.17,61.72,62.25,60.13,148890.0,-0.0052
2001-10-05,62.12,61.19,62.25,60.56,131300.0,0.015600000000000001
2001-10-08,61.24,62.15,62.15,60.66,45560.0,-0.0141
2001-10-09,60.93,61.27,61.72,60.93,80480.0,-0.0052
2001-10-10,62.41,61.19,63.28,61.19,212160.0,0.024300000000000002
2001-10-11,62.22,63.05,63.55,62.12,55270.0,-0.003
2001-10-12,61.99,61.99,62.52,60.13,81650.0,-0.0038
2001-10-15,60.4,61.32,61.35,59.36,40880.0,-0.025699999999999997
2001-10-16,59.47,60.42,63.58,58.99,50660.0,-0.015300000000000001
2001-10-17,59.58,58.28,59.6,58.28,71270.0,0.0018
2001-10-18,61.35,59.1,61.46,58.81,101280.0,0.0298
2001-10-19,61.72,61.35,62.49,61.19,47750.0,0.006
2001-10-22,65.69,62.38,67.05,62.38,110610.0,0.0644
2001-10-23,65.56,66.75,66.75,65.43,81470.0,-0.002
2001-10-24,63.07,65.56,65.56,62.78,130500.0,-0.038
2001-10-25,64.21,63.1,64.21,62.04,145600.0,0.0181
2001-10-26,66.28,65.17,66.49,64.24,141640.0,0.0322
