Date,Close,Open,High,Low,Volume,Change
2000-01-03,3.93,4.16,4.16,3.84,248570.0,-0.027200000000000002
2000-01-04,3.81,4.09,4.09,3.78,671800.0,-0.0305
2000-01-05,3.75,3.78,3.78,3.64,252620.0,-0.015700000000000002
2000-01-06,3.97,3.83,3.97,3.75,271860.0,0.0587
2000-01-07,3.91,3.83,3.93,3.83,839360.0,-0.0151
2000-01-10,3.87,3.87,3.95,3.85,173140.0,-0.0102
2000-01-11,3.81,3.86,3.97,3.8,193890.0,-0.0155
2000-01-12,3.8,3.9,3.9,3.67,191870.0,-0.0026
2000-01-13,3.78,3.72,3.83,3.68,333110.0,-0.0053
2000-01-14,3.7,3.75,3.85,3.7,256160.00000000003,-0.0212
2000-01-18,3.76,3.7,3.82,3.7,217180.0,0.016200000000000003
2000-01-19,3.8,3.83,3.9,3.74,263250.0,0.0106
2000-01-20,3.6,3.8,3.8,3.53,378170.0,-0.0526
2000-01-21,3.51,3.66,3.68,3.49,471830.0,-0.025
2000-01-24,3.58,3.56,3.61,3.46,182250.0,0.0199
2000-01-25,3.29,3.58,3.58,3.29,581180.0,-0.081
2000-01-26,3.47,3.33,3.61,3.33,240470.0,0.0547
2000-01-27,3.53,3.46,3.61,3.46,489040.0,0.0173
2000-01-28,3.4,3.56,3.58,3.34,578650.0,-0.0368
2000-01-31,3.37,3.34,3.38,3.2,756340.0,-0.0088
2000-02-01,3.34,3.24,3.34,3.22,468280.0,-0.0089
2000-02-02,3.34,3.32,3.39,3.29,247560.0,0.0
2000-02-03,3.33,3.39,3.47,3.3,413610.0,-0.003
2000-02-04,3.29,3.37,3.37,3.24,200980.0,-0.012
2000-02-07,3.24,3.39,3.39,3.2,507770.0,-0.0152
2000-02-08,3.21,3.2,3.23,3.12,232370.0,-0.009300000000000001
2000-02-09,3.06,3.2,3.2,3.06,480430.0,-0.0467
2000-02-10,3.0,3.05,3.09,2.95,327540.0,-0.0196
2000-02-11,2.97,2.93,3.12,2.93,440940.0,-0.01
2000-02-14,2.95,3.1,3.11,2.93,1060000.0,-0.0067
2000-02-15,2.91,3.03,3.03,2.91,1390000.0,-0.013600000000000001
2000-02-16,2.91,2.98,2.98,2.91,367030.0,0.0
2000-02-17,2.95,2.98,2.98,2.87,2560000.0,0.0137
2000-02-18,2.97,2.94,3.0,2.91,286030.0,0.0068000000000000005
2000-02-22,3.11,2.95,3.24,2.92,556370.0,0.0471
2000-02-23,3.05,3.17,3.18,3.01,783680.0,-0.019299999999999998
2000-02-24,3.05,3.04,3.09,3.03,230340.0,0.0
2000-02-25,3.17,3.06,3.24,3.04,389810.0,0.0393
2000-02-28,3.11,3.18,3.18,3.04,392340.0,-0.0189
2000-02-29,3.11,3.15,3.15,3.04,360960.0,0.0
2000-03-01,3.03,3.1,3.11,2.99,1810000.0,-0.025699999999999997
2000-03-02,3.03,3.0,3.1,3.0,222750.0,0.0
2000-03-03,2.98,2.99,3.04,2.91,168580.0,-0.0165
2000-03-06,2.98,3.0,3.0,2.95,186810.0,0.0
2000-03-07,2.9,2.91,3.03,2.86,614590.0,-0.0268
2000-03-08,2.83,2.89,2.91,2.76,478410.0,-0.0241
2000-03-09,2.86,2.86,2.91,2.76,624710.0,0.0106
2000-03-10,2.91,2.95,2.98,2.84,812530.0,0.0175
2000-03-13,2.86,2.84,2.91,2.71,947200.0,-0.0172
2000-03-14,2.88,2.93,2.95,2.86,232370.0,0.006999999999999999
2000-03-15,2.89,2.84,2.93,2.83,883410.0,0.0034999999999999996
2000-03-16,3.1,2.87,3.15,2.86,419180.0,0.0727
2000-03-17,3.05,3.05,3.1,3.05,1190000.0,-0.0161
2000-03-20,3.09,3.05,3.1,3.05,260720.00000000003,0.0131
2000-03-21,3.17,3.05,3.24,3.03,579660.0,0.0259
2000-03-22,3.17,3.05,3.24,3.05,328560.0,0.0
2000-03-23,3.27,3.24,3.34,3.12,517390.0,0.0315
2000-03-24,3.43,3.39,3.51,3.29,986180.0,0.0489
2000-03-27,3.46,3.49,3.58,3.39,1500000.0,0.0087
2000-03-28,3.46,3.41,3.53,3.41,688500.0,0.0
2000-03-29,3.72,3.63,3.8,3.49,1330000.0,0.0751
2000-03-30,4.31,3.66,4.41,3.66,1150000.0,0.1586
2000-03-31,4.47,4.38,4.55,4.21,3610000.0,0.0371
2000-04-03,4.45,4.31,4.48,4.31,1370000.0,-0.0045000000000000005
2000-04-04,4.38,4.49,4.49,4.14,1040000.0,-0.015700000000000002
2000-04-05,4.26,4.28,4.28,4.16,183770.0,-0.0274
2000-04-06,4.27,4.27,4.31,4.24,983650.0,0.0023
2000-04-07,4.32,4.26,4.37,4.24,344250.0,0.011699999999999999
2000-04-10,4.28,4.2,4.33,4.19,261730.00000000003,-0.009300000000000001
2000-04-11,4.27,4.21,4.34,4.21,67840.0,-0.0023
2000-04-12,4.2,4.26,4.28,4.19,1260000.0,-0.016399999999999998
2000-04-13,4.19,4.22,4.26,4.18,616610.0,-0.0024
2000-04-14,3.98,4.16,4.16,3.87,152380.0,-0.0501
2000-04-17,4.08,4.07,4.18,3.85,87080.0,0.025099999999999997
2000-04-18,4.07,4.02,4.09,4.01,297680.0,-0.0025
2000-04-19,4.02,4.02,4.07,3.98,148330.0,-0.0123
2000-04-20,4.03,4.02,4.09,3.97,672810.0,0.0025
2000-04-24,4.04,3.97,4.07,3.97,1040000.0,0.0025
2000-04-25,4.16,4.09,4.21,3.99,487010.0,0.0297
2000-04-26,4.1,4.16,4.24,4.1,416640.0,-0.0144
2000-04-27,4.07,4.14,4.14,4.02,225280.0,-0.0073
2000-04-28,4.09,4.04,4.14,4.04,277930.0,0.0049
2000-05-01,4.26,4.09,4.28,4.09,588770.0,0.0416
2000-05-02,4.3,4.22,4.44,4.16,274890.0,0.009399999999999999
2000-05-03,4.27,4.28,4.33,4.07,351340.0,-0.006999999999999999
2000-05-04,4.24,4.12,4.27,4.1,359440.0,-0.006999999999999999
2000-05-05,4.28,4.19,4.32,4.19,176180.0,0.009399999999999999
2000-05-08,4.18,4.26,4.26,4.18,248060.0,-0.023399999999999997
2000-05-09,4.18,4.22,4.22,4.14,268820.0,0.0
2000-05-10,4.07,4.16,4.16,4.07,126560.0,-0.0263
2000-05-11,4.15,4.12,4.16,4.07,284510.0,0.0197
2000-05-12,4.26,4.21,4.38,4.16,314380.0,0.0265
2000-05-15,4.38,4.25,4.39,4.14,109860.0,0.0282
2000-05-16,4.32,4.32,4.39,4.24,135170.0,-0.0137
2000-05-17,4.18,4.21,4.32,4.02,1470000.0,-0.032400000000000005
2000-05-18,4.15,4.16,4.22,4.14,760390.0,-0.0072
2000-05-19,4.12,4.16,4.16,4.07,1070000.0,-0.0072
2000-05-22,4.19,4.1,4.19,3.99,103780.0,0.017
2000-05-23,4.19,4.19,4.21,4.13,41010.0,0.0
2000-05-24,4.18,4.15,4.19,4.12,94670.0,-0.0024
2000-05-25,4.14,4.19,4.19,4.14,64290.00000000001,-0.0096
2000-05-26,4.21,4.14,4.24,4.09,274890.0,0.0169
2000-05-30,4.24,4.24,4.26,4.21,95680.0,0.0070999999999999995
