Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,1.76,1.79,1.8,1.72,54070000.0,0.0414,GILD
2000-01-04,1.68,1.7,1.72,1.66,38960000.0,-0.0455,GILD
2000-01-05,1.67,1.68,1.68,1.64,24040000.0,-0.006,GILD
2000-01-06,1.78,1.66,1.79,1.66,35760000.0,0.0659,GILD
2000-01-07,2.05,1.8,2.1,1.79,67780000.0,0.1517,GILD
2000-01-10,2.32,2.06,2.45,2.05,61220000.0,0.1317,GILD
2000-01-11,2.11,2.32,2.32,2.07,46500000.0,-0.09050000000000001,GILD
2000-01-12,2.09,2.14,2.16,2.04,21920000.0,-0.0095,GILD
2000-01-13,2.2,2.16,2.21,2.09,23810000.0,0.0526,GILD
2000-01-14,2.15,2.22,2.26,2.12,38910000.0,-0.0227,GILD
2000-01-18,2.14,2.15,2.15,1.96,38670000.0,-0.004699999999999999,GILD
2000-01-19,1.96,2.12,2.12,1.87,81690000.0,-0.08410000000000001,GILD
2000-01-20,1.96,2.04,2.05,1.84,39650000.0,0.0,GILD
2000-01-21,1.95,1.96,2.02,1.94,25080000.0,-0.0051,GILD
2000-01-24,1.73,2.0,2.0,1.73,51060000.0,-0.1128,GILD
2000-01-25,1.77,1.75,1.78,1.64,38490000.0,0.0231,GILD
2000-01-26,1.69,1.78,1.78,1.63,29130000.0,-0.0452,GILD
2000-01-27,1.55,1.71,1.72,1.55,23320000.0,-0.0828,GILD
2000-01-28,1.53,1.56,1.6,1.44,44940000.0,-0.0129,GILD
2000-01-31,1.46,1.54,1.63,1.4,23890000.0,-0.0458,GILD
2000-02-01,1.44,1.45,1.52,1.43,31090000.0,-0.0137,GILD
2000-02-02,1.44,1.46,1.53,1.42,40950000.0,0.0,GILD
2000-02-03,1.41,1.47,1.47,1.4,39970000.0,-0.0208,GILD
2000-02-04,1.46,1.44,1.47,1.41,34310000.0,0.0355,GILD
2000-02-07,1.7,1.48,1.75,1.45,55170000.0,0.16440000000000002,GILD
2000-02-08,1.85,1.73,1.87,1.67,42740000.0,0.0882,GILD
2000-02-09,1.72,1.89,1.91,1.7,36940000.0,-0.0703,GILD
2000-02-10,1.73,1.75,1.83,1.67,31880000.0,0.0058,GILD
2000-02-11,1.75,1.73,1.77,1.67,35640000.0,0.0116,GILD
2000-02-14,1.88,1.75,1.89,1.75,34110000.0,0.07429999999999999,GILD
2000-02-15,1.98,1.89,2.0,1.86,52420000.0,0.053200000000000004,GILD
2000-02-16,2.0,2.0,2.12,1.99,65080000.0,0.0101,GILD
2000-02-17,2.33,2.1,2.37,2.1,72720000.0,0.165,GILD
2000-02-18,2.41,2.28,2.52,2.21,75720000.0,0.034300000000000004,GILD
2000-02-22,2.34,2.36,2.39,2.13,44250000.0,-0.028999999999999998,GILD
2000-02-23,2.37,2.39,2.41,2.31,25320000.0,0.0128,GILD
2000-02-24,2.29,2.39,2.43,2.26,22580000.0,-0.0338,GILD
2000-02-25,2.26,2.38,2.39,2.09,35860000.0,-0.0131,GILD
2000-02-28,2.22,2.21,2.29,2.15,28590000.0,-0.0177,GILD
2000-02-29,2.39,2.22,2.4,2.22,23770000.0,0.0766,GILD
2000-03-01,2.5,2.37,2.54,2.37,36840000.0,0.046,GILD
2000-03-02,2.44,2.52,2.56,2.39,16649999.999999998,-0.024,GILD
2000-03-03,2.5,2.47,2.59,2.44,16840000.0,0.0246,GILD
2000-03-06,2.57,2.51,2.64,2.46,22160000.0,0.027999999999999997,GILD
2000-03-07,2.4,2.61,2.66,2.29,19220000.0,-0.0661,GILD
2000-03-08,2.31,2.52,2.53,2.23,15990000.0,-0.0375,GILD
2000-03-09,2.24,2.34,2.38,2.22,14300000.0,-0.030299999999999997,GILD
2000-03-10,2.24,2.28,2.32,2.17,18300000.0,0.0,GILD
2000-03-13,2.12,2.15,2.21,2.08,18230000.0,-0.0536,GILD
2000-03-14,2.12,2.15,2.3,2.0,43180000.0,0.0,GILD
2000-03-15,2.0,2.14,2.19,2.0,23280000.0,-0.056600000000000004,GILD
2000-03-16,2.07,2.19,2.19,2.02,17700000.0,0.035,GILD
2000-03-17,1.99,2.02,2.18,1.94,18880000.0,-0.038599999999999995,GILD
2000-03-20,1.79,1.99,2.16,1.73,29300000.0,-0.1005,GILD
2000-03-21,1.78,1.79,1.91,1.66,48230000.0,-0.005600000000000001,GILD
2000-03-22,2.0,1.86,2.02,1.85,17090000.0,0.12359999999999999,GILD
2000-03-23,2.18,2.11,2.24,2.06,43880000.0,0.09,GILD
2000-03-24,2.2,2.18,2.27,2.17,18470000.0,0.0092,GILD
2000-03-27,2.18,2.25,2.25,2.12,17870000.0,-0.0091,GILD
2000-03-28,2.2,2.24,2.34,2.18,13970000.0,0.0092,GILD
2000-03-29,2.08,2.25,2.34,2.03,21840000.0,-0.0545,GILD
2000-03-30,1.84,2.03,2.03,1.84,29780000.0,-0.11539999999999999,GILD
2000-03-31,1.98,1.93,2.01,1.91,32229999.999999996,0.0761,GILD
2000-04-03,1.88,1.92,1.98,1.88,19640000.0,-0.050499999999999996,GILD
2000-04-04,1.85,1.9,1.92,1.71,23440000.0,-0.016,GILD
2000-04-05,1.95,1.85,2.03,1.79,35940000.0,0.0541,GILD
2000-04-06,2.06,2.05,2.1,1.95,28920000.0,0.0564,GILD
2000-04-07,1.98,2.11,2.11,1.97,24270000.0,-0.0388,GILD
2000-04-10,1.94,1.99,2.04,1.92,15540000.0,-0.0202,GILD
2000-04-11,1.95,1.96,1.97,1.82,18240000.0,0.0052,GILD
2000-04-12,1.82,1.92,1.92,1.75,20840000.0,-0.0667,GILD
2000-04-13,1.9,1.84,1.94,1.71,24280000.0,0.044000000000000004,GILD
2000-04-14,1.73,1.9,1.91,1.71,18460000.0,-0.0895,GILD
2000-04-17,1.59,1.71,1.72,1.58,32430000.0,-0.0809,GILD
2000-04-18,1.71,1.6,1.73,1.57,31930000.0,0.0755,GILD
2000-04-19,1.63,1.76,1.76,1.62,14260000.0,-0.046799999999999994,GILD
2000-04-20,1.6,1.68,1.68,1.52,20830000.0,-0.0184,GILD
2000-04-24,1.54,1.62,1.62,1.46,8730000.0,-0.0375,GILD
2000-04-25,1.5,1.56,1.58,1.5,17950000.0,-0.026000000000000002,GILD
2000-04-26,1.44,1.53,1.53,1.4,23380000.0,-0.04,GILD
2000-04-27,1.36,1.42,1.42,1.35,20280000.0,-0.0556,GILD
2000-04-28,1.69,1.42,1.7,1.39,31240000.0,0.2426,GILD
2000-05-01,1.74,1.69,1.77,1.52,24010000.0,0.0296,GILD
2000-05-02,1.79,1.78,1.88,1.63,22200000.0,0.0287,GILD
2000-05-03,1.68,1.79,1.8,1.66,12620000.0,-0.061500000000000006,GILD
2000-05-04,1.97,1.71,2.02,1.7,32390000.0,0.1726,GILD
2000-05-05,2.16,1.89,2.21,1.84,41790000.0,0.0964,GILD
2000-05-08,2.1,2.12,2.14,2.01,22080000.0,-0.0278,GILD
