Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,17.22,17.69,17.75,17.03,2080000.0,-0.0369,GIS
2000-01-04,16.91,17.03,17.22,16.78,1550000.0,-0.018000000000000002,GIS
2000-01-05,16.81,16.59,17.09,16.59,2020000.0,-0.0059,GIS
2000-01-06,16.78,16.78,17.0,16.47,3290000.0,-0.0018,GIS
2000-01-07,16.81,17.22,17.28,16.75,4530000.0,0.0018,GIS
2000-01-10,16.47,16.81,16.91,16.44,1470000.0,-0.0202,GIS
2000-01-11,16.69,16.5,16.78,16.47,1850000.0,0.0134,GIS
2000-01-12,16.66,16.62,16.97,16.59,2190000.0,-0.0018,GIS
2000-01-13,16.72,16.5,16.94,16.44,1380000.0,0.0036,GIS
2000-01-14,16.34,16.47,16.69,16.22,1520000.0,-0.0227,GIS
2000-01-18,16.5,16.0,16.62,15.91,1880000.0,0.0098,GIS
2000-01-19,16.34,16.44,16.66,16.16,2580000.0,-0.0097,GIS
2000-01-20,16.06,16.19,16.34,15.91,1940000.0,-0.0171,GIS
2000-01-21,15.75,16.06,16.12,15.66,2290000.0,-0.019299999999999998,GIS
2000-01-24,15.59,15.75,16.0,15.5,1960000.0,-0.0102,GIS
2000-01-25,15.09,15.38,15.66,15.09,1160000.0,-0.0321,GIS
2000-01-26,15.5,15.72,15.78,15.28,1390000.0,0.027200000000000002,GIS
2000-01-27,15.19,15.62,15.78,15.16,1320000.0,-0.02,GIS
2000-01-28,15.12,15.44,15.47,15.0,1490000.0,-0.0046,GIS
2000-01-31,15.59,15.06,15.66,15.03,1340000.0,0.0311,GIS
2000-02-01,15.12,15.78,15.81,15.0,3260000.0,-0.0301,GIS
2000-02-02,15.06,15.12,15.41,14.75,2570000.0,-0.004,GIS
2000-02-03,15.31,15.06,15.34,14.69,1990000.0,0.0166,GIS
2000-02-04,15.19,15.25,15.28,15.0,1440000.0,-0.0078000000000000005,GIS
2000-02-07,15.28,15.44,15.56,14.75,2410000.0,0.0059,GIS
2000-02-08,15.41,15.47,15.5,15.28,2360000.0,0.0085,GIS
2000-02-09,15.25,15.41,15.47,15.22,3030000.0,-0.0104,GIS
2000-02-10,15.03,15.19,15.25,14.88,3780000.0,-0.0144,GIS
2000-02-11,15.22,15.22,15.34,15.06,1830000.0,0.0126,GIS
2000-02-14,15.5,15.25,15.5,15.25,2410000.0,0.0184,GIS
2000-02-15,16.22,15.62,16.22,15.62,2800000.0,0.04650000000000001,GIS
2000-02-16,16.03,16.03,16.12,15.78,1730000.0,-0.011699999999999999,GIS
2000-02-17,16.19,16.06,16.28,15.88,1960000.0,0.01,GIS
2000-02-18,16.03,16.06,16.19,15.84,1430000.0,-0.009899999999999999,GIS
2000-02-22,16.72,16.03,16.78,16.03,2340000.0,0.043,GIS
2000-02-23,16.72,16.59,16.91,16.44,3130000.0,0.0,GIS
2000-02-24,16.56,16.69,16.69,16.31,3050000.0,-0.0096,GIS
2000-02-25,16.5,16.47,16.56,16.34,3360000.0,-0.0036,GIS
2000-02-28,16.47,16.47,16.56,16.41,2060000.0,-0.0018,GIS
2000-02-29,16.47,16.47,16.62,16.38,2430000.0,0.0,GIS
2000-03-01,16.59,16.53,16.91,16.47,2860000.0,0.0073,GIS
2000-03-02,16.09,16.41,16.44,15.75,3190000.0,-0.0301,GIS
2000-03-03,16.19,16.09,16.38,15.94,1820000.0,0.0062,GIS
2000-03-06,15.88,16.38,16.38,15.78,2630000.0,-0.0191,GIS
2000-03-07,15.5,16.0,16.0,15.25,4920000.0,-0.0239,GIS
2000-03-08,15.69,15.38,15.84,15.16,3690000.0,0.0123,GIS
2000-03-09,15.78,15.62,15.94,15.53,2850000.0,0.005699999999999999,GIS
2000-03-10,15.69,15.66,15.81,15.44,2440000.0,-0.005699999999999999,GIS
2000-03-13,15.5,15.31,15.72,15.22,2420000.0,-0.0121,GIS
2000-03-14,15.31,15.34,15.62,15.28,1480000.0,-0.0123,GIS
2000-03-15,16.38,15.31,16.47,15.19,2460000.0,0.0699,GIS
2000-03-16,17.59,16.5,17.84,16.44,3380000.0,0.0739,GIS
2000-03-17,17.25,17.56,17.75,17.25,2800000.0,-0.019299999999999998,GIS
