Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,12.58,12.81,12.86,12.44,542470.0,-0.0263,GL
2000-01-04,12.33,12.39,12.47,12.28,645520.0,-0.0199,GL
2000-01-05,12.33,12.5,12.5,12.33,400280.0,0.0,GL
2000-01-06,12.31,12.22,12.5,12.0,327150.0,-0.0016,GL
2000-01-07,12.56,12.33,12.69,12.33,372600.0,0.0203,GL
2000-01-10,12.39,12.67,12.69,12.31,432450.0,-0.013500000000000002,GL
2000-01-11,12.36,12.28,12.44,12.14,1050000.0,-0.0024,GL
2000-01-12,12.31,12.36,12.44,12.17,595120.0,-0.004,GL
2000-01-13,12.42,12.28,12.56,12.19,705150.0,0.0089,GL
2000-01-14,12.17,12.44,12.56,12.08,1360000.0,-0.020099999999999996,GL
2000-01-18,11.44,12.11,12.11,11.44,1970000.0,-0.06,GL
2000-01-19,10.83,11.53,11.56,10.83,1710000.0,-0.0533,GL
2000-01-20,10.5,10.94,10.97,10.39,1650000.0,-0.0305,GL
2000-01-21,10.36,10.61,10.61,10.25,1530000.0,-0.013300000000000001,GL
2000-01-24,10.44,10.47,10.56,10.28,954450.0,0.0077,GL
2000-01-25,10.36,10.58,10.67,10.25,986620.0,-0.0077,GL
2000-01-26,10.53,10.47,10.78,10.06,1750000.0,0.016399999999999998,GL
2000-01-27,10.61,10.67,10.81,10.61,913500.0,0.0076,GL
2000-01-28,10.22,10.61,10.61,10.22,777820.0,-0.0368,GL
2000-01-31,11.19,10.56,11.19,10.39,1000000.0,0.0949,GL
2000-02-01,10.0,11.11,11.11,9.78,1880000.0,-0.1063,GL
2000-02-02,10.31,10.11,10.5,9.94,1500000.0,0.031,GL
2000-02-03,10.33,10.5,10.5,10.14,658800.0,0.0019,GL
2000-02-04,10.25,10.31,10.42,10.0,1680000.0,-0.0077,GL
2000-02-07,10.25,10.25,10.44,10.19,1230000.0,0.0,GL
2000-02-08,9.89,10.19,10.33,9.83,1150000.0,-0.0351,GL
