Date,Close,Open,High,Low,Volume,Change,Symbol
2001-01-16,3.75,3.75,3.75,3.75,3200.0,-0.9773000000000001,GPN
2001-01-17,3.75,3.75,3.75,3.75,122800.0,0.0,GPN
2001-01-18,4.12,3.88,4.12,3.88,167200.0,0.0987,GPN
2001-01-19,4.28,4.19,4.28,4.19,59600.0,0.0388,GPN
2001-01-22,4.56,4.25,4.62,4.25,146800.0,0.0654,GPN
2001-01-23,4.69,4.5,4.78,4.5,76000.0,0.0285,GPN
2001-01-24,4.56,4.62,4.62,4.56,560000.0,-0.0277,GPN
2001-01-25,4.69,4.66,4.69,4.62,143200.0,0.0285,GPN
2001-01-26,4.62,4.62,4.64,4.62,82000.0,-0.0149,GPN
2001-01-29,4.67,4.63,4.69,4.6,262000.0,0.0108,GPN
2001-01-30,4.65,4.67,4.67,4.59,339200.0,-0.0043,GPN
2001-01-31,4.69,4.67,4.76,4.67,326000.0,0.0086,GPN
2001-02-01,5.22,4.75,5.3,4.69,2560000.0,0.113,GPN
2001-02-02,5.21,5.19,5.25,5.15,795600.0,-0.0019,GPN
2001-02-05,4.99,5.21,5.36,4.98,644800.0,-0.042199999999999994,GPN
2001-02-06,4.94,4.97,5.0,4.94,1340000.0,-0.01,GPN
2001-02-07,5.0,4.92,5.0,4.91,1350000.0,0.0121,GPN
2001-02-08,4.88,5.0,5.04,4.88,578800.0,-0.024,GPN
2001-02-09,4.94,4.88,4.94,4.88,441600.0,0.0123,GPN
2001-02-12,4.83,4.94,4.94,4.83,327200.0,-0.0223,GPN
2001-02-13,4.81,4.83,4.88,4.81,648800.0,-0.0040999999999999995,GPN
2001-02-14,4.77,4.81,4.81,4.77,135600.0,-0.0083,GPN
2001-02-15,4.58,4.78,4.79,4.58,454400.0,-0.0398,GPN
2001-02-16,4.52,4.53,4.53,4.35,427200.0,-0.0131,GPN
2001-02-20,4.52,4.52,4.54,4.45,1000000.0,0.0,GPN
2001-02-21,4.52,4.52,4.52,4.47,443600.0,0.0,GPN
2001-02-22,4.51,4.52,4.54,4.47,623600.0,-0.0022,GPN
2001-02-23,4.61,4.53,4.67,4.5,1220000.0,0.0222,GPN
2001-02-26,4.75,4.62,4.78,4.62,1180000.0,0.0304,GPN
2001-02-27,4.72,4.75,4.75,4.72,690000.0,-0.0063,GPN
2001-02-28,4.75,4.72,4.75,4.71,326000.0,0.0064,GPN
2001-03-01,4.67,4.72,4.72,4.67,155200.0,-0.0168,GPN
2001-03-02,4.69,4.69,4.7,4.67,836800.0,0.0043,GPN
2001-03-05,4.75,4.69,4.76,4.69,402800.0,0.0128,GPN
2001-03-06,4.7,4.75,4.78,4.7,610000.0,-0.0105,GPN
2001-03-07,4.75,4.7,4.75,4.7,89600.0,0.0106,GPN
2001-03-08,4.7,4.75,4.75,4.7,211600.0,-0.0105,GPN
2001-03-09,4.7,4.7,4.7,4.67,269600.0,0.0,GPN
2001-03-12,4.67,4.7,4.72,4.66,106400.0,-0.0064,GPN
2001-03-13,4.61,4.71,4.71,4.61,671600.0,-0.0128,GPN
2001-03-14,4.47,4.61,4.64,4.47,455600.0,-0.0304,GPN
2001-03-15,4.36,4.45,4.45,4.29,1160000.0,-0.0246,GPN
2001-03-16,4.34,4.39,4.45,4.34,402800.0,-0.0046,GPN
2001-03-19,4.3,4.29,4.44,4.29,1170000.0,-0.0092,GPN
2001-03-20,4.28,4.31,4.39,4.25,222000.0,-0.004699999999999999,GPN
2001-03-21,4.16,4.28,4.3,4.06,135200.0,-0.027999999999999997,GPN
2001-03-22,4.46,4.31,4.46,4.25,2130000.0,0.0721,GPN
2001-03-23,4.58,4.47,4.58,4.47,757600.0,0.0269,GPN
2001-03-26,4.62,4.61,4.62,4.57,207600.0,0.0087,GPN
2001-03-27,4.59,4.6,4.61,4.53,435200.0,-0.006500000000000001,GPN
2001-03-28,4.46,4.58,4.6,4.46,420800.0,-0.028300000000000002,GPN
2001-03-29,4.33,4.45,4.45,4.33,535200.0,-0.0291,GPN
2001-03-30,4.62,4.33,4.62,4.33,1310000.0,0.067,GPN
2001-04-02,4.45,4.6,4.6,4.42,685600.0,-0.0368,GPN
2001-04-03,4.5,4.45,4.5,4.36,192800.0,0.011200000000000002,GPN
2001-04-04,4.5,4.46,4.5,4.44,606000.0,0.0,GPN
2001-04-05,4.53,4.5,4.53,4.48,629200.0,0.0067,GPN
2001-04-06,4.71,4.52,4.74,4.5,476000.0,0.0397,GPN
2001-04-09,4.65,4.71,4.74,4.61,113600.0,-0.0127,GPN
2001-04-10,4.76,4.68,4.78,4.68,954400.0,0.023700000000000002,GPN
2001-04-11,5.22,4.88,5.22,4.88,1570000.0,0.0966,GPN
2001-04-12,5.59,5.17,5.59,5.17,689200.0,0.0709,GPN
2001-04-16,5.38,5.58,5.58,5.37,368000.0,-0.037599999999999995,GPN
2001-04-17,5.38,5.35,5.44,5.26,581200.0,0.0,GPN
2001-04-18,5.32,5.25,5.35,5.25,285200.0,-0.011200000000000002,GPN
2001-04-19,5.31,5.29,5.32,5.16,121600.0,-0.0019,GPN
2001-04-20,5.25,5.35,5.45,5.24,1140000.0,-0.0113,GPN
2001-04-23,5.22,5.28,5.28,5.21,946400.0,-0.005699999999999999,GPN
2001-04-24,5.22,5.22,5.23,5.19,626000.0,0.0,GPN
2001-04-25,5.26,5.22,5.29,5.22,326000.0,0.0077,GPN
2001-04-26,5.25,5.26,5.29,5.23,469200.0,-0.0019,GPN
2001-04-27,5.25,5.25,5.25,5.23,550800.0,0.0,GPN
2001-04-30,5.29,5.2,5.4,5.19,946800.0,0.0076,GPN
2001-05-01,5.96,5.29,6.09,5.29,889200.0,0.1267,GPN
2001-05-02,6.12,6.0,6.24,5.8,547600.0,0.0268,GPN
2001-05-03,6.0,6.08,6.1,5.95,289200.0,-0.0196,GPN
2001-05-04,6.0,5.96,6.05,5.95,521600.0,0.0,GPN
2001-05-07,6.1,6.03,6.12,6.03,176400.0,0.0167,GPN
2001-05-08,6.29,6.12,6.29,6.12,920000.0,0.0311,GPN
2001-05-09,6.06,6.28,6.28,6.06,213200.0,-0.0366,GPN
2001-05-10,5.92,6.01,6.04,5.92,161600.0,-0.0231,GPN
2001-05-11,5.75,5.95,5.95,5.75,71600.0,-0.0287,GPN
2001-05-14,6.02,5.79,6.03,5.63,136400.0,0.047,GPN
2001-05-15,6.17,6.04,6.25,6.04,244800.0,0.024900000000000002,GPN
2001-05-16,6.26,6.16,6.3,6.12,309600.0,0.0146,GPN
2001-05-17,6.53,6.28,6.55,6.28,278800.0,0.0431,GPN
2001-05-18,6.5,6.5,6.55,6.49,119600.0,-0.0046,GPN
2001-05-21,6.58,6.47,6.58,6.42,113600.0,0.0123,GPN
2001-05-22,6.62,6.62,6.92,6.56,606800.0,0.0060999999999999995,GPN
2001-05-23,6.47,6.61,6.62,6.46,323200.0,-0.0227,GPN
2001-05-24,6.28,6.47,6.47,6.16,375200.0,-0.0294,GPN
2001-05-25,6.35,6.28,6.35,6.28,251600.0,0.0111,GPN
2001-05-29,6.36,6.34,6.44,6.33,271200.0,0.0016,GPN
2001-05-30,6.49,6.36,6.5,6.36,334000.0,0.0204,GPN
2001-05-31,6.58,6.5,6.67,6.5,350400.0,0.0139,GPN
2001-06-01,6.51,6.58,6.6,6.5,77200.0,-0.0106,GPN
2001-06-04,6.7,6.54,6.7,6.54,92800.0,0.0292,GPN
2001-06-05,6.78,6.8,6.8,6.65,513600.0,0.011899999999999999,GPN
2001-06-06,6.78,6.76,6.81,6.73,279200.0,0.0,GPN
2001-06-07,6.88,6.75,6.92,6.75,400000.0,0.0147,GPN
2001-06-08,6.84,6.85,6.86,6.83,111600.0,-0.0058,GPN
2001-06-11,6.74,6.83,6.84,6.72,267200.0,-0.0146,GPN
2001-06-12,6.85,6.72,6.88,6.71,351600.0,0.0163,GPN
2001-06-13,6.94,6.86,7.08,6.86,111600.0,0.0131,GPN
2001-06-14,6.86,6.94,6.97,6.83,155600.0,-0.0115,GPN
2001-06-15,6.78,6.83,6.88,6.75,436000.0,-0.011699999999999999,GPN
2001-06-18,6.85,6.83,6.92,6.78,177600.0,0.0103,GPN
2001-06-19,6.78,6.85,6.86,6.76,145200.0,-0.0102,GPN
2001-06-20,6.9,6.78,6.91,6.78,306400.0,0.0177,GPN
2001-06-21,6.94,6.9,7.15,6.9,946400.0,0.0058,GPN
2001-06-22,6.99,7.02,7.02,6.95,276800.0,0.0072,GPN
2001-06-25,7.15,7.0,7.17,7.0,233600.0,0.0229,GPN
2001-06-26,7.24,7.12,7.28,7.12,731200.0,0.0126,GPN
2001-06-27,7.26,7.26,7.31,7.19,396400.0,0.0028000000000000004,GPN
2001-06-28,7.46,7.33,7.5,7.33,433600.0,0.0275,GPN
2001-06-29,7.53,7.49,7.53,7.46,523200.00000000006,0.009399999999999999,GPN
2001-07-02,7.66,7.53,7.66,7.49,410000.0,0.0173,GPN
2001-07-03,7.79,7.64,7.81,7.6,197200.0,0.017,GPN
2001-07-05,7.96,7.79,8.07,7.79,460400.0,0.0218,GPN
2001-07-06,7.7,7.95,7.97,7.7,181200.0,-0.0327,GPN
2001-07-09,7.5,7.7,7.71,7.47,556400.0,-0.026000000000000002,GPN
2001-07-10,7.1,7.5,7.5,7.1,346800.0,-0.0533,GPN
2001-07-11,7.1,7.1,7.15,7.03,250800.0,0.0,GPN
2001-07-12,7.24,7.1,7.28,7.03,349600.0,0.0197,GPN
2001-07-13,7.31,7.24,7.33,7.22,151200.0,0.0097,GPN
2001-07-16,7.16,7.3,7.31,7.15,93200.0,-0.020499999999999997,GPN
2001-07-17,7.22,7.19,7.26,7.16,190000.0,0.0084,GPN
2001-07-18,6.9,7.22,7.22,6.88,139200.0,-0.0443,GPN
2001-07-19,7.8,7.62,7.84,7.5,2680000.0,0.1304,GPN
2001-07-20,8.78,7.84,8.81,7.84,3270000.0,0.12560000000000002,GPN
2001-07-23,8.53,8.5,8.69,8.22,1520000.0,-0.0285,GPN
2001-07-24,8.5,8.64,8.64,8.46,934800.0,-0.0034999999999999996,GPN
2001-07-25,8.43,8.5,8.5,8.3,184800.0,-0.008199999999999999,GPN
2001-07-26,8.49,8.43,8.5,8.29,294000.0,0.0070999999999999995,GPN
2001-07-27,8.47,8.48,8.5,8.41,732000.0,-0.0024,GPN
2001-07-30,8.24,8.47,8.48,8.2,501200.0,-0.027200000000000002,GPN
2001-07-31,8.07,8.24,8.3,8.06,347200.0,-0.0206,GPN
2001-08-01,8.21,8.07,8.25,8.07,368400.0,0.0173,GPN
2001-08-02,8.18,8.21,8.28,8.18,421200.0,-0.0037,GPN
2001-08-03,7.99,8.11,8.11,7.96,507600.0,-0.0232,GPN
2001-08-06,7.94,7.97,8.09,7.94,564800.0,-0.0063,GPN
2001-08-07,7.99,7.94,8.0,7.86,190400.0,0.0063,GPN
2001-08-08,7.9,7.99,8.0,7.9,264800.0,-0.0113,GPN
2001-08-09,8.0,7.89,8.0,7.8,348400.0,0.0127,GPN
2001-08-10,8.23,8.0,8.24,8.0,366400.0,0.0287,GPN
2001-08-13,8.57,8.24,8.75,8.24,1310000.0,0.041299999999999996,GPN
2001-08-14,8.89,8.53,8.96,8.53,746000.0,0.0373,GPN
2001-08-15,8.78,8.91,9.32,8.74,1170000.0,-0.0124,GPN
2001-08-16,8.75,8.78,8.79,8.65,306800.0,-0.0034000000000000002,GPN
2001-08-17,8.72,8.78,8.8,8.72,667600.0,-0.0034000000000000002,GPN
2001-08-20,8.8,8.72,8.94,8.72,315200.0,0.0092,GPN
2001-08-21,8.55,8.72,8.72,8.54,638800.0,-0.028399999999999998,GPN
2001-08-22,8.8,8.58,8.82,8.58,309200.0,0.0292,GPN
2001-08-23,8.57,8.79,8.88,8.55,356800.0,-0.026099999999999998,GPN
2001-08-24,8.66,8.57,8.69,8.56,189200.0,0.0105,GPN
2001-08-27,8.65,8.66,8.7,8.65,161200.0,-0.0012,GPN
2001-08-28,8.31,8.65,8.69,8.31,242000.0,-0.0393,GPN
2001-08-29,8.43,8.31,8.51,8.05,306000.0,0.0144,GPN
2001-08-30,8.56,8.41,8.6,8.3,229600.0,0.0154,GPN
2001-08-31,8.89,8.55,8.94,8.55,451600.0,0.038599999999999995,GPN
2001-09-04,8.91,8.94,9.25,8.89,513600.0,0.0022,GPN
2001-09-05,8.47,8.93,8.93,8.47,286400.0,-0.049400000000000006,GPN
2001-09-06,7.75,8.46,8.61,7.42,1970000.0,-0.085,GPN
2001-09-07,7.5,7.5,7.62,7.31,1040000.0,-0.0323,GPN
2001-09-10,7.24,7.35,7.37,7.14,315600.0,-0.0347,GPN
2001-09-17,6.21,6.75,6.75,6.05,782400.0,-0.1423,GPN
2001-09-18,6.44,6.16,6.51,6.06,2640000.0,0.037000000000000005,GPN
2001-09-19,6.15,6.5,6.65,6.04,559600.0,-0.045,GPN
2001-09-20,5.85,6.15,6.15,5.78,423600.0,-0.048799999999999996,GPN
2001-09-21,5.76,5.64,6.19,5.53,972000.0,-0.0154,GPN
2001-09-24,6.11,5.9,6.2,5.81,926400.0,0.0608,GPN
2001-09-25,6.51,6.1,6.74,6.1,1120000.0,0.0655,GPN
2001-09-26,6.34,6.5,6.64,6.28,1190000.0,-0.026099999999999998,GPN
2001-09-27,6.76,6.34,6.77,6.34,281600.0,0.0662,GPN
2001-09-28,7.35,6.8,7.49,6.79,975600.0,0.0873,GPN
2001-10-01,7.24,7.34,7.35,7.1,441200.0,-0.015,GPN
2001-10-02,7.41,7.24,7.49,7.24,298400.0,0.0235,GPN
2001-10-03,7.83,7.38,7.97,7.29,298000.0,0.0567,GPN
2001-10-04,7.46,7.8,7.8,7.46,559200.0,-0.0473,GPN
2001-10-05,7.52,7.45,7.62,7.12,409200.0,0.008,GPN
2001-10-08,7.34,7.5,7.5,7.32,155200.0,-0.0239,GPN
2001-10-09,7.41,7.35,7.54,7.35,444400.0,0.0095,GPN
2001-10-10,7.61,7.41,7.61,7.41,288000.0,0.027000000000000003,GPN
2001-10-11,7.68,7.61,7.78,7.61,255200.0,0.0092,GPN
2001-10-12,7.48,7.7,7.76,7.46,170400.0,-0.026000000000000002,GPN
2001-10-15,7.57,7.45,7.62,7.42,240800.0,0.012,GPN
2001-10-16,7.62,7.57,7.67,7.49,678000.0,0.0066,GPN
2001-10-17,7.46,7.63,7.65,7.42,334000.0,-0.021,GPN
2001-10-18,7.4,7.45,7.53,6.95,349600.0,-0.008,GPN
2001-10-19,7.54,7.46,7.54,7.36,266800.0,0.0189,GPN
2001-10-22,7.45,7.54,7.54,7.21,294800.0,-0.011899999999999999,GPN
2001-10-23,7.49,7.47,7.54,7.43,224400.0,0.0054,GPN
2001-10-24,7.55,7.49,7.55,7.49,141600.0,0.008,GPN
2001-10-25,7.44,7.46,7.53,7.28,349600.0,-0.0146,GPN
2001-10-26,7.53,7.42,7.54,7.38,185200.0,0.0121,GPN
2001-10-29,7.08,7.49,7.49,7.06,514000.0,-0.059800000000000006,GPN
2001-10-30,7.1,7.05,7.15,6.9,482400.0,0.0028000000000000004,GPN
2001-10-31,7.49,7.1,7.51,7.1,409200.0,0.054900000000000004,GPN
2001-11-01,7.34,7.47,7.5,7.22,482000.0,-0.02,GPN
2001-11-02,7.18,7.22,7.31,7.11,235200.0,-0.0218,GPN
2001-11-05,7.17,6.94,7.24,6.94,353600.0,-0.0014000000000000002,GPN
2001-11-06,7.35,7.19,7.38,7.16,316800.0,0.025099999999999997,GPN
2001-11-07,7.42,7.31,7.45,7.31,226400.0,0.0095,GPN
2001-11-08,7.34,7.39,7.49,7.32,315600.0,-0.0108,GPN
