Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,45.94,47.62,47.69,45.19,334100.0,-0.0391,GWW
2000-01-04,44.62,45.75,46.0,44.56,216500.0,-0.0287,GWW
2000-01-05,45.25,44.38,45.25,44.38,277100.0,0.0141,GWW
2000-01-06,45.06,45.0,45.12,44.75,206300.0,-0.0042,GWW
2000-01-07,44.38,42.5,45.75,41.25,1690000.0,-0.0151,GWW
2000-01-10,46.31,44.62,46.31,43.56,562100.0,0.0435,GWW
2000-01-11,48.5,46.06,48.88,45.62,942300.0,0.0473,GWW
2000-01-12,50.12,48.44,50.75,48.44,1410000.0,0.0334,GWW
2000-01-13,52.0,50.5,52.0,50.25,892200.0,0.0375,GWW
2000-01-14,55.62,52.75,56.25,52.75,1110000.0,0.0696,GWW
2000-01-18,54.62,55.62,55.69,53.62,582300.0,-0.018000000000000002,GWW
2000-01-19,54.88,53.88,54.88,53.69,305500.0,0.0048,GWW
2000-01-20,54.62,55.0,55.25,53.88,534900.0,-0.004699999999999999,GWW
2000-01-21,54.06,53.38,54.25,53.38,537000.0,-0.0103,GWW
2000-01-24,54.19,54.06,54.5,54.0,890100.0,0.0024,GWW
2000-01-25,51.44,54.19,54.25,49.5,796300.0,-0.0507,GWW
2000-01-26,50.38,50.44,51.38,49.88,617500.0,-0.0206,GWW
2000-01-27,50.25,50.44,52.0,49.25,426300.0,-0.0026,GWW
2000-01-28,48.12,50.0,50.06,48.12,374800.0,-0.0424,GWW
2000-01-31,47.94,48.25,49.44,47.06,595600.0,-0.0037,GWW
2000-02-01,46.94,48.0,48.0,46.62,541300.0,-0.0209,GWW
2000-02-02,47.44,47.0,47.81,47.0,479100.0,0.010700000000000001,GWW
2000-02-03,47.5,47.0,48.88,45.88,695900.0,0.0013,GWW
2000-02-04,48.0,47.38,48.31,47.0,301400.0,0.0105,GWW
2000-02-07,48.0,47.75,48.25,47.62,204400.0,0.0,GWW
2000-02-08,48.0,48.0,48.25,47.81,318100.0,0.0,GWW
2000-02-09,48.75,48.38,49.0,47.62,664300.0,0.015600000000000001,GWW
2000-02-10,50.12,48.62,50.12,48.44,683400.0,0.0281,GWW
2000-02-11,51.56,50.0,51.69,48.88,628700.0,0.0287,GWW
2000-02-14,52.81,51.62,53.06,51.38,718000.0,0.0242,GWW
2000-02-15,51.0,52.81,52.81,50.75,433700.0,-0.034300000000000004,GWW
2000-02-16,50.56,51.0,51.0,49.69,490900.0,-0.0086,GWW
2000-02-17,49.94,50.62,50.62,49.81,371500.0,-0.0123,GWW
2000-02-18,47.62,49.25,49.5,47.0,260000.0,-0.04650000000000001,GWW
2000-02-22,46.75,47.75,47.75,45.5,345300.0,-0.0183,GWW
2000-02-23,47.12,47.0,47.5,46.0,217500.0,0.0079,GWW
2000-02-24,45.75,46.5,46.62,45.06,340800.0,-0.0291,GWW
2000-02-25,43.31,45.69,45.69,42.25,646100.0,-0.0533,GWW
2000-02-28,43.5,43.44,43.81,41.75,510800.0,0.0044,GWW
2000-02-29,42.81,43.62,44.06,42.62,453700.0,-0.0159,GWW
2000-03-01,42.0,42.38,42.38,40.81,422500.0,-0.0189,GWW
2000-03-02,39.69,41.75,41.75,39.69,376000.0,-0.055,GWW
2000-03-03,40.56,39.69,41.25,39.44,429900.0,0.0219,GWW
2000-03-06,40.44,41.0,41.0,39.81,479300.0,-0.003,GWW
2000-03-07,38.88,40.88,41.0,38.81,415300.0,-0.038599999999999995,GWW
2000-03-08,37.75,38.25,38.25,37.25,707200.0,-0.0291,GWW
2000-03-09,40.44,37.62,40.44,37.25,656800.0,0.0713,GWW
2000-03-10,39.62,40.44,40.44,38.5,460900.0,-0.0203,GWW
2000-03-13,38.81,39.62,39.75,38.0,249600.0,-0.0204,GWW
2000-03-14,45.5,40.5,45.81,40.38,1050000.0,0.1724,GWW
2000-03-15,46.94,45.5,49.12,44.38,1260000.0,0.0316,GWW
2000-03-16,51.0,48.0,51.06,47.94,1090000.0,0.08650000000000001,GWW
2000-03-17,50.44,51.06,51.88,49.88,921900.0,-0.011000000000000001,GWW
2000-03-20,50.25,50.19,51.75,49.44,618600.0,-0.0038,GWW
2000-03-21,51.88,50.0,51.94,50.0,486100.0,0.032400000000000005,GWW
2000-03-22,52.88,52.0,52.94,51.06,437500.0,0.019299999999999998,GWW
2000-03-23,55.0,52.88,55.06,52.88,725500.0,0.0401,GWW
2000-03-24,55.38,55.0,55.75,54.75,856600.0,0.0069,GWW
2000-03-27,55.0,55.0,55.5,54.19,612800.0,-0.0069,GWW
2000-03-28,56.0,55.0,56.62,55.0,631900.0,0.0182,GWW
2000-03-29,56.0,55.94,56.88,55.38,401700.0,0.0,GWW
2000-03-30,54.5,55.75,55.75,54.38,737000.0,-0.0268,GWW
2000-03-31,54.25,54.5,55.38,54.25,1090000.0,-0.0046,GWW
2000-04-03,55.38,54.06,55.62,53.75,685100.0,0.0208,GWW
2000-04-04,53.75,55.12,55.69,52.5,698600.0,-0.0294,GWW
2000-04-05,50.75,53.25,53.69,49.88,945000.0,-0.0558,GWW
2000-04-06,51.56,50.88,51.94,50.81,929900.0,0.016,GWW
2000-04-07,49.44,51.69,51.75,49.19,1040000.0,-0.041100000000000005,GWW
2000-04-10,48.69,50.0,50.5,48.31,920900.0,-0.0152,GWW
2000-04-11,49.94,48.88,50.5,48.88,747000.0,0.025699999999999997,GWW
2000-04-12,50.56,49.56,51.75,49.56,849800.0,0.0124,GWW
2000-04-13,50.12,50.62,50.94,49.62,519100.0,-0.0087,GWW
2000-04-14,45.25,49.88,49.88,45.0,1250000.0,-0.09720000000000001,GWW
2000-04-17,46.38,45.62,46.75,45.5,322700.0,0.025,GWW
2000-04-18,45.62,46.44,46.69,45.62,880800.0,-0.016399999999999998,GWW
2000-04-19,44.12,45.88,45.88,43.0,1110000.0,-0.0329,GWW
2000-04-20,43.75,43.75,44.0,43.44,604600.0,-0.0084,GWW
2000-04-24,42.44,43.69,43.69,42.44,381100.0,-0.029900000000000003,GWW
2000-04-25,43.5,43.0,43.62,42.81,318700.0,0.025,GWW
2000-04-26,43.19,43.5,44.25,42.75,363100.0,-0.0070999999999999995,GWW
2000-04-27,43.12,43.19,43.31,42.75,403000.0,-0.0016,GWW
2000-04-28,43.38,43.06,43.5,42.75,359300.0,0.006,GWW
2000-05-01,45.31,43.38,45.81,43.38,345000.0,0.044500000000000005,GWW
