Date,Close,Open,High,Low,Volume,Change,Symbol
2011-03-11,31.12,30.5,31.29,30.5,9530000.0,0.0032,HCA
2011-03-14,30.91,30.96,31.05,30.57,8660000.0,-0.0067,HCA
2011-03-15,31.34,30.39,31.5,30.36,7130000.0,0.0139,HCA
2011-03-16,31.25,31.25,31.95,31.12,6160000.0,-0.0029,HCA
2011-03-17,31.91,31.54,31.93,31.4,3330000.0,0.021099999999999997,HCA
2011-03-18,33.06,32.11,33.08,31.9,5460000.0,0.036000000000000004,HCA
2011-03-21,32.25,33.39,33.39,32.0,3820000.0,-0.0245,HCA
2011-03-22,31.87,32.37,32.39,31.39,3940000.0,-0.0118,HCA
2011-03-23,32.68,31.7,32.68,31.5,4220000.0,0.0254,HCA
2011-03-24,32.69,32.53,32.95,32.5,2130000.0,0.0003,HCA
2011-03-25,32.95,32.71,33.1,32.58,3030000.0,0.008,HCA
2011-03-28,33.04,32.87,33.11,32.75,2110000.0,0.0027,HCA
2011-03-29,33.89,33.44,34.01,33.05,5140000.0,0.025699999999999997,HCA
2011-03-30,34.24,34.57,34.57,33.93,3050000.0,0.0103,HCA
2011-03-31,33.87,34.0,34.11,33.67,1960000.0,-0.0108,HCA
2011-04-01,33.74,33.89,34.1,33.66,1820000.0,-0.0038,HCA
2011-04-04,33.67,33.87,33.87,33.31,2650000.0,-0.0021,HCA
2011-04-05,34.02,33.7,34.05,33.25,3610000.0,0.0104,HCA
2011-04-06,33.3,33.75,34.2,33.24,2720000.0,-0.0212,HCA
2011-04-07,33.66,33.28,33.85,32.85,1950000.0,0.0108,HCA
2011-04-08,33.17,33.52,33.99,32.99,2340000.0,-0.0146,HCA
2011-04-11,32.12,33.34,33.34,30.79,15030000.0,-0.0317,HCA
2011-04-12,31.53,32.11,32.59,31.33,3850000.0,-0.0184,HCA
2011-04-13,32.06,32.0,32.45,31.7,3970000.0,0.0168,HCA
2011-04-14,32.14,31.89,32.5,31.79,1570000.0,0.0025,HCA
