Date,Close,Open,High,Low,Volume,Change,Symbol
2011-03-22,37.49,35.72,37.6,34.0,491310.0,-0.8287,HII
2011-03-23,37.25,37.07,37.8,36.95,601120.0,-0.0064,HII
2011-03-24,37.25,37.5,37.5,37.15,230350.0,0.0,HII
2011-03-25,39.25,37.5,39.25,37.25,497330.0,0.0537,HII
2011-03-28,37.75,39.0,39.0,37.75,53070.0,-0.0382,HII
2011-03-29,37.5,37.76,37.95,37.47,269210.0,-0.0066,HII
2011-03-30,38.2,37.95,38.49,36.58,8570000.0,0.0187,HII
2011-03-31,41.5,38.45,42.74,38.0,2650000.0,0.0864,HII
2011-04-01,40.04,40.99,42.44,39.84,2220000.0,-0.0352,HII
2011-04-04,40.15,39.86,41.02,39.14,1120000.0,0.0027,HII
2011-04-05,40.25,39.53,40.33,38.73,1370000.0,0.0025,HII
2011-04-06,39.68,39.86,40.31,39.12,2080000.0,-0.014199999999999999,HII
2011-04-07,38.8,38.25,39.25,37.51,2130000.0,-0.0222,HII
2011-04-08,38.5,38.33,38.88,38.2,1310000.0,-0.0077,HII
2011-04-11,38.32,38.5,38.58,38.28,1560000.0,-0.004699999999999999,HII
2011-04-12,38.05,37.91,38.42,37.66,1640000.0,-0.006999999999999999,HII
2011-04-13,38.0,37.71,38.37,37.28,1650000.0,-0.0013,HII
2011-04-14,38.77,37.9,39.36,37.85,1230000.0,0.0203,HII
2011-04-15,40.14,38.89,40.75,38.81,1500000.0,0.0353,HII
2011-04-18,40.05,39.45,40.22,38.59,793880.0,-0.0022,HII
2011-04-19,39.78,40.08,40.12,39.49,802340.0,-0.0067,HII
2011-04-20,40.06,40.14,40.36,39.5,358100.0,0.006999999999999999,HII
2011-04-21,39.31,40.03,40.19,39.18,799360.0,-0.0187,HII
2011-04-25,39.07,39.13,39.41,38.61,297990.0,-0.0060999999999999995,HII
2011-04-26,39.34,38.97,39.71,38.7,696610.0,0.0069,HII
2011-04-27,40.01,38.97,40.2,38.1,771990.0,0.017,HII
2011-04-28,39.99,40.0,40.24,39.58,691960.0,-0.0005,HII
2011-04-29,40.0,40.0,40.17,39.94,556450.0,0.0003,HII
2011-05-02,40.98,39.41,41.19,39.05,542060.0,0.0245,HII
2011-05-03,40.5,40.89,41.09,40.38,538960.0,-0.011699999999999999,HII
2011-05-04,39.95,40.4,40.67,39.59,591770.0,-0.013600000000000001,HII
2011-05-05,39.84,39.81,41.2,39.5,635770.0,-0.0028000000000000004,HII
2011-05-06,39.5,40.01,40.15,39.34,413780.0,-0.0085,HII
2011-05-09,39.6,39.33,39.85,38.86,368820.0,0.0025,HII
2011-05-10,40.17,39.79,40.34,39.77,709490.0,0.0144,HII
2011-05-11,38.78,39.48,39.5,38.5,1300000.0,-0.0346,HII
2011-05-12,38.39,38.8,38.9,38.27,383430.0,-0.0101,HII
2011-05-13,38.46,38.31,38.61,37.97,434930.0,0.0018,HII
2011-05-16,38.69,38.2,38.89,38.2,303610.0,0.006,HII
2011-05-17,38.78,38.41,38.88,38.41,369810.0,0.0023,HII
2011-05-18,38.5,38.64,38.65,38.09,560410.0,-0.0072,HII
2011-05-19,38.38,38.45,38.68,38.0,519669.99999999994,-0.0031,HII
2011-05-20,38.06,38.33,38.37,37.85,348940.0,-0.0083,HII
2011-05-23,37.8,37.73,38.15,37.31,283500.0,-0.0068000000000000005,HII
2011-05-24,37.17,37.71,37.86,37.01,368880.0,-0.0167,HII
2011-05-25,36.67,37.02,37.1,36.61,327400.0,-0.013500000000000002,HII
2011-05-26,36.42,36.43,36.64,36.29,481730.0,-0.0068000000000000005,HII
2011-05-27,36.58,36.68,36.9,36.45,241290.0,0.0044,HII
2011-05-31,36.57,36.76,37.38,36.44,835350.0,-0.0003,HII
2011-06-01,36.1,36.57,36.57,35.96,668950.0,-0.0129,HII
2011-06-02,36.05,36.02,36.24,35.86,317440.0,-0.0014000000000000002,HII
2011-06-03,35.8,35.67,36.04,35.24,421500.0,-0.0069,HII
2011-06-06,35.98,35.69,36.13,35.51,355140.0,0.005,HII
2011-06-07,36.44,36.0,36.53,35.89,252050.0,0.0128,HII
2011-06-08,36.97,36.28,37.11,36.28,253980.0,0.014499999999999999,HII
2011-06-09,36.99,36.94,37.41,36.81,986790.0,0.0005,HII
2011-06-10,36.33,36.86,36.86,36.16,462180.0,-0.0178,HII
2011-06-13,36.51,36.33,36.74,36.33,385550.0,0.005,HII
2011-06-14,36.58,36.7,36.75,36.36,231220.0,0.0019,HII
2011-06-15,36.16,36.25,36.35,35.88,289120.0,-0.0115,HII
2011-06-16,36.0,36.11,36.44,35.97,290080.0,-0.0044,HII
2011-06-17,35.95,36.18,36.43,35.86,494240.0,-0.0014000000000000002,HII
2011-06-20,35.99,35.83,36.42,35.81,1960000.0,0.0011,HII
2011-06-21,36.35,36.07,36.45,36.03,198080.0,0.01,HII
2011-06-22,36.15,36.18,36.69,36.0,129710.00000000001,-0.0055000000000000005,HII
2011-06-23,35.9,36.0,36.12,35.72,168930.0,-0.0069,HII
2011-06-24,35.59,35.98,35.98,35.25,538530.0,-0.0086,HII
2011-06-27,35.2,35.5,35.95,35.17,162230.0,-0.011000000000000001,HII
2011-06-28,35.26,35.3,35.72,35.05,160280.0,0.0017000000000000001,HII
2011-06-29,34.82,35.26,35.35,34.72,328580.0,-0.0125,HII
2011-06-30,34.5,34.86,35.05,34.23,600640.0,-0.0092,HII
2011-07-01,34.61,34.51,35.08,34.45,284570.0,0.0032,HII
2011-07-05,34.64,34.56,34.94,34.52,333870.0,0.0009,HII
2011-07-06,35.25,34.55,36.0,34.19,690230.0,0.0176,HII
2011-07-07,34.49,35.4,35.52,34.4,313360.0,-0.0216,HII
2011-07-08,35.0,34.19,35.28,34.17,811170.0,0.0148,HII
2011-07-11,34.84,34.81,35.02,34.43,518450.00000000006,-0.0046,HII
2011-07-12,34.4,34.66,34.66,34.15,799460.0,-0.0126,HII
2011-07-13,34.04,34.39,34.53,33.21,1420000.0,-0.0105,HII
2011-07-14,33.55,34.09,34.09,33.02,482700.0,-0.0144,HII
2011-07-15,33.52,33.48,33.66,33.01,607390.0,-0.0009,HII
2011-07-18,33.2,33.4,33.57,33.02,618950.0,-0.0095,HII
2011-07-19,33.31,33.31,33.33,32.91,389740.0,0.0033,HII
2011-07-20,33.23,33.24,33.71,33.14,314050.0,-0.0024,HII
2011-07-21,33.42,33.32,33.65,33.16,233430.0,0.005699999999999999,HII
2011-07-22,33.91,33.35,34.04,32.97,328420.0,0.0147,HII
2011-07-25,34.28,33.56,34.52,33.36,386840.0,0.0109,HII
2011-07-26,35.16,35.78,35.78,35.14,686440.0,0.025699999999999997,HII
2011-07-27,34.2,34.94,35.22,34.04,426820.0,-0.0273,HII
2011-07-28,34.0,34.1,34.58,33.97,314340.0,-0.0058,HII
2011-07-29,33.48,33.7,34.1,33.34,341670.0,-0.015300000000000001,HII
