Date,Close,Open,High,Low,Volume,Change,Symbol
2013-12-12,21.5,21.3,21.92,21.25,71150000.0,-0.7728,HLT
2013-12-13,22.1,21.99,22.38,21.55,11950000.0,0.0279,HLT
2013-12-16,21.52,23.13,25.95,21.52,9680000.0,-0.0262,HLT
2013-12-17,21.81,21.61,21.99,21.58,4750000.0,0.013500000000000002,HLT
2013-12-18,21.83,21.83,22.18,21.66,5870000.0,0.0009,HLT
2013-12-19,22.28,21.75,22.41,21.55,3020000.0,0.0206,HLT
2013-12-20,21.93,22.5,22.55,21.86,2040000.0,-0.015700000000000002,HLT
2013-12-23,21.56,22.01,22.19,21.56,2510000.0,-0.0169,HLT
2013-12-24,21.51,21.6,21.67,21.15,2530000.0,-0.0023,HLT
2013-12-26,21.7,21.56,21.96,21.55,2690000.0,0.0088,HLT
2013-12-27,21.6,21.6,21.84,21.55,2240000.0,-0.0046,HLT
2013-12-30,21.89,21.72,21.97,21.6,1790000.0,0.0134,HLT
2013-12-31,22.25,22.0,22.47,21.95,2330000.0,0.016399999999999998,HLT
2014-01-02,21.86,22.25,22.35,21.77,3620000.0,-0.0175,HLT
2014-01-03,22.01,21.8,22.09,21.75,946460.0,0.0069,HLT
2014-01-06,22.0,21.99,22.12,21.76,2410000.0,-0.0005,HLT
2014-01-07,22.0,22.0,22.1,21.9,4090000.0,0.0,HLT
2014-01-08,22.03,22.03,22.03,21.8,2370000.0,0.0014000000000000002,HLT
2014-01-09,21.87,22.0,22.02,21.71,943250.0,-0.0073,HLT
2014-01-10,21.69,21.76,21.86,21.57,1670000.0,-0.008199999999999999,HLT
2014-01-13,21.72,21.56,21.83,21.56,1500000.0,0.0014000000000000002,HLT
2014-01-14,22.1,21.71,22.11,21.64,2570000.0,0.0175,HLT
2014-01-15,21.91,22.05,22.17,21.83,1880000.0,-0.0086,HLT
2014-01-16,21.96,21.9,22.03,21.69,2320000.0,0.0023,HLT
2014-01-17,22.25,21.96,22.56,21.8,5550000.0,0.0132,HLT
2014-01-21,21.92,22.51,22.59,21.84,2630000.0,-0.0148,HLT
2014-01-22,22.46,21.99,22.49,21.9,2930000.0,0.0246,HLT
2014-01-23,22.66,22.43,22.66,22.1,1920000.0,0.0089,HLT
2014-01-24,22.45,22.35,22.48,22.09,1830000.0,-0.009300000000000001,HLT
2014-01-27,21.99,22.45,22.45,21.89,2260000.0,-0.020499999999999997,HLT
2014-01-28,21.9,21.84,22.0,21.75,1410000.0,-0.0040999999999999995,HLT
2014-01-29,21.66,21.81,21.88,21.56,898540.0,-0.011000000000000001,HLT
2014-01-30,21.66,21.76,21.82,21.6,1070000.0,0.0,HLT
2014-01-31,21.65,21.51,21.69,21.34,879740.0,-0.0005,HLT
2014-02-03,20.95,21.65,21.7,20.84,2290000.0,-0.0323,HLT
2014-02-04,21.03,21.0,21.08,20.84,1720000.0,0.0038,HLT
2014-02-05,20.8,20.85,20.96,20.55,1430000.0,-0.0109,HLT
2014-02-06,21.2,20.84,21.2,20.82,603470.0,0.0192,HLT
2014-02-07,21.65,21.26,21.87,21.22,1050000.0,0.0212,HLT
