Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,1.5,1.45,1.5,1.45,178000.0,0.0417,HOLX
2000-01-04,1.42,1.48,1.5,1.41,177200.0,-0.0533,HOLX
2000-01-05,1.5,1.45,1.5,1.41,233600.0,0.056299999999999996,HOLX
2000-01-06,1.48,1.5,1.53,1.44,308800.0,-0.013300000000000001,HOLX
2000-01-07,1.55,1.47,1.73,1.47,1050000.0,0.0473,HOLX
2000-01-10,1.69,1.61,1.75,1.59,1360000.0,0.09029999999999999,HOLX
2000-01-11,1.52,1.69,1.7,1.47,669200.0,-0.10060000000000001,HOLX
2000-01-12,1.52,1.56,1.61,1.44,804800.0,0.0,HOLX
2000-01-13,1.53,1.53,1.56,1.5,452800.0,0.0066,HOLX
2000-01-14,1.59,1.53,1.62,1.52,633600.0,0.0392,HOLX
2000-01-18,1.67,1.58,1.72,1.58,499600.0,0.050300000000000004,HOLX
2000-01-19,1.69,1.69,1.77,1.66,846800.0,0.012,HOLX
2000-01-20,1.7,1.75,1.78,1.69,648400.0,0.0059,HOLX
2000-01-21,1.91,1.73,2.0,1.72,1490000.0,0.1235,HOLX
2000-01-24,2.01,1.93,2.12,1.91,1900000.0,0.0524,HOLX
2000-01-25,2.2,2.0,2.22,1.88,1430000.0,0.09449999999999999,HOLX
2000-01-26,2.19,2.3,2.3,2.14,1070000.0,-0.0045000000000000005,HOLX
2000-01-27,1.86,2.14,2.17,1.83,1320000.0,-0.1507,HOLX
2000-01-28,1.75,1.77,1.91,1.59,804800.0,-0.0591,HOLX
2000-01-31,1.72,1.74,1.83,1.67,315600.0,-0.0171,HOLX
2000-02-01,1.81,1.69,1.86,1.69,272400.0,0.052300000000000006,HOLX
2000-02-02,1.94,1.78,1.94,1.7,432400.0,0.0718,HOLX
2000-02-03,1.94,1.91,2.0,1.88,330400.0,0.0,HOLX
2000-02-04,1.81,1.94,2.01,1.8,713600.0,-0.067,HOLX
2000-02-07,1.75,1.81,1.91,1.72,386400.0,-0.0331,HOLX
2000-02-08,1.73,1.76,1.81,1.72,439600.0,-0.011399999999999999,HOLX
2000-02-09,1.67,1.75,1.78,1.62,440400.0,-0.0347,HOLX
2000-02-10,1.64,1.73,1.73,1.62,370000.0,-0.018000000000000002,HOLX
2000-02-11,1.58,1.62,1.67,1.53,811600.0,-0.0366,HOLX
2000-02-14,1.69,1.56,1.69,1.56,313200.0,0.0696,HOLX
2000-02-15,1.75,1.79,1.81,1.62,402400.0,0.0355,HOLX
2000-02-16,1.66,1.75,1.77,1.62,219600.0,-0.051399999999999994,HOLX
2000-02-17,1.64,1.7,1.73,1.59,348800.0,-0.012,HOLX
2000-02-18,1.58,1.62,1.67,1.58,230000.0,-0.0366,HOLX
2000-02-22,1.59,1.62,1.66,1.56,352800.0,0.0063,HOLX
2000-02-23,1.7,1.59,1.72,1.59,162400.0,0.0692,HOLX
2000-02-24,1.64,1.7,1.72,1.62,236800.0,-0.0353,HOLX
2000-02-25,1.64,1.73,1.74,1.61,230800.0,0.0,HOLX
2000-02-28,1.64,1.61,1.75,1.59,218800.0,0.0,HOLX
2000-02-29,1.72,1.67,1.78,1.62,410800.0,0.048799999999999996,HOLX
2000-03-01,1.66,1.73,1.78,1.66,148000.0,-0.0349,HOLX
2000-03-02,1.86,1.67,1.98,1.67,748800.0,0.12050000000000001,HOLX
2000-03-03,1.95,1.94,2.0,1.9,582000.0,0.0484,HOLX
2000-03-06,1.91,1.94,1.94,1.84,794800.0,-0.020499999999999997,HOLX
2000-03-07,2.38,1.9,2.75,1.78,2080000.0,0.24609999999999999,HOLX
2000-03-08,2.45,2.55,2.64,2.36,2100000.0,0.0294,HOLX
2000-03-09,2.34,2.5,2.56,2.03,1110000.0,-0.0449,HOLX
2000-03-10,2.34,2.25,2.39,2.16,556000.0,0.0,HOLX
2000-03-13,2.2,2.31,2.31,1.88,411200.0,-0.059800000000000006,HOLX
2000-03-14,2.12,2.25,2.34,2.02,947600.0,-0.0364,HOLX
2000-03-15,2.0,2.06,2.16,1.81,1050000.0,-0.056600000000000004,HOLX
2000-03-16,1.97,2.06,2.06,1.92,669600.0,-0.015,HOLX
2000-03-17,1.88,1.95,1.98,1.88,801200.0,-0.045700000000000005,HOLX
2000-03-20,1.97,1.9,2.06,1.88,241600.0,0.0479,HOLX
2000-03-21,2.12,1.97,2.12,1.88,576400.0,0.0761,HOLX
2000-03-22,2.11,2.05,2.25,2.05,399600.0,-0.004699999999999999,HOLX
2000-03-23,2.22,2.11,2.25,2.11,468400.0,0.0521,HOLX
2000-03-24,2.25,2.25,2.39,2.19,1130000.0,0.013500000000000002,HOLX
2000-03-27,2.25,2.25,2.33,2.19,490400.0,0.0,HOLX
2000-03-28,2.2,2.25,2.38,2.11,240000.0,-0.0222,HOLX
2000-03-29,2.09,2.19,2.22,2.05,275200.0,-0.05,HOLX
2000-03-30,1.91,2.03,2.07,1.88,224000.0,-0.0861,HOLX
2000-03-31,1.98,1.94,2.09,1.94,101600.0,0.0366,HOLX
2000-04-03,1.94,2.02,2.02,1.84,158400.0,-0.0202,HOLX
2000-04-04,1.81,1.94,2.02,1.69,563200.0,-0.067,HOLX
2000-04-05,1.94,1.75,2.0,1.66,374000.0,0.0718,HOLX
2000-04-06,1.88,1.94,2.0,1.78,308800.0,-0.030899999999999997,HOLX
2000-04-07,1.78,1.88,1.88,1.75,1640000.0,-0.053200000000000004,HOLX
2000-04-10,1.62,1.78,1.83,1.61,647600.0,-0.08990000000000001,HOLX
2000-04-11,1.64,1.64,1.69,1.59,593600.0,0.0123,HOLX
2000-04-12,1.66,1.62,1.67,1.62,154800.0,0.012199999999999999,HOLX
2000-04-13,1.62,1.62,1.75,1.62,274400.0,-0.0241,HOLX
2000-04-14,1.53,1.62,1.64,1.38,443200.0,-0.0556,HOLX
2000-04-17,1.41,1.46,1.5,1.38,512000.0,-0.0784,HOLX
2000-04-18,1.56,1.41,1.56,1.41,214800.0,0.10640000000000001,HOLX
2000-04-19,1.69,1.53,1.69,1.53,164000.0,0.0833,HOLX
2000-04-20,1.73,1.69,1.78,1.69,115200.0,0.023700000000000002,HOLX
2000-04-24,1.58,1.73,1.75,1.5,315600.0,-0.0867,HOLX
2000-04-25,1.69,1.73,1.76,1.67,366000.0,0.0696,HOLX
2000-04-26,1.68,1.66,1.68,1.61,307200.0,-0.0059,HOLX
2000-04-27,1.75,1.62,1.77,1.53,694000.0,0.0417,HOLX
2000-04-28,1.95,1.77,1.98,1.75,1390000.0,0.1143,HOLX
2000-05-01,1.81,1.98,1.98,1.8,433200.0,-0.0718,HOLX
2000-05-02,1.75,1.8,1.81,1.73,261600.00000000003,-0.0331,HOLX
2000-05-03,1.7,1.75,1.77,1.69,207600.0,-0.0286,HOLX
2000-05-04,1.67,1.71,1.72,1.61,302800.0,-0.0176,HOLX
2000-05-05,1.62,1.66,1.73,1.56,747200.0,-0.029900000000000003,HOLX
2000-05-08,1.62,1.59,1.62,1.56,170400.0,0.0,HOLX
2000-05-09,1.7,1.62,1.78,1.56,346400.0,0.049400000000000006,HOLX
2000-05-10,1.56,1.64,1.68,1.53,332800.0,-0.0824,HOLX
2000-05-11,1.61,1.62,1.62,1.53,100400.0,0.0321,HOLX
2000-05-12,1.72,1.62,1.77,1.61,229600.0,0.0683,HOLX
2000-05-15,1.77,1.69,1.77,1.59,189600.0,0.0291,HOLX
2000-05-16,1.62,1.77,1.77,1.62,382400.0,-0.08470000000000001,HOLX
2000-05-17,1.62,1.66,1.66,1.53,720800.0,0.0,HOLX
2000-05-18,1.55,1.62,1.62,1.53,334000.0,-0.0432,HOLX
2000-05-19,1.55,1.56,1.58,1.52,359600.0,0.0,HOLX
2000-05-22,1.62,1.53,1.66,1.5,190000.0,0.0452,HOLX
2000-05-23,1.69,1.67,1.72,1.66,279200.0,0.0432,HOLX
2000-05-24,1.61,1.66,1.72,1.59,651600.0,-0.0473,HOLX
2000-05-25,1.62,1.62,1.67,1.56,280400.0,0.0062,HOLX
2000-05-26,1.56,1.56,1.62,1.5,536000.0,-0.037000000000000005,HOLX
2000-05-30,1.5,1.59,1.59,1.5,881600.0,-0.0385,HOLX
2000-05-31,1.45,1.5,1.52,1.41,437600.0,-0.0333,HOLX
2000-06-01,1.39,1.44,1.44,1.28,981200.0,-0.0414,HOLX
2000-06-02,1.5,1.46,1.52,1.45,604400.0,0.0791,HOLX
2000-06-05,1.44,1.5,1.52,1.34,438800.0,-0.04,HOLX
2000-06-06,1.41,1.39,1.48,1.39,168800.0,-0.0208,HOLX
2000-06-07,1.52,1.41,1.52,1.41,127200.0,0.078,HOLX
2000-06-08,1.47,1.5,1.53,1.41,199200.0,-0.0329,HOLX
2000-06-09,1.42,1.42,1.47,1.41,1660000.0,-0.034,HOLX
2000-06-12,1.5,1.44,1.5,1.42,434800.0,0.056299999999999996,HOLX
2000-06-13,1.56,1.5,1.69,1.44,258000.0,0.04,HOLX
2000-06-14,1.78,1.59,1.81,1.56,565200.0,0.141,HOLX
2000-06-15,1.75,1.77,1.83,1.72,486400.0,-0.0169,HOLX
2000-06-16,1.72,1.75,1.75,1.64,210400.0,-0.0171,HOLX
2000-06-19,1.75,1.69,1.81,1.67,283600.0,0.0174,HOLX
2000-06-20,1.72,1.67,1.81,1.67,195600.0,-0.0171,HOLX
2000-06-21,1.7,1.69,1.73,1.69,92800.0,-0.0116,HOLX
2000-06-22,1.69,1.7,1.78,1.66,52400.0,-0.0059,HOLX
2000-06-23,1.75,1.66,1.77,1.66,101200.0,0.0355,HOLX
2000-06-26,1.75,1.7,1.78,1.7,172800.0,0.0,HOLX
2000-06-27,1.75,1.72,1.75,1.62,133600.0,0.0,HOLX
2000-06-28,1.88,1.75,1.88,1.67,288000.0,0.07429999999999999,HOLX
2000-06-29,1.83,1.75,1.84,1.69,216400.0,-0.026600000000000002,HOLX
2000-06-30,1.69,1.77,1.87,1.69,166400.0,-0.0765,HOLX
2000-07-03,1.84,1.81,1.84,1.7,45200.0,0.0888,HOLX
2000-07-05,1.8,1.8,1.84,1.72,73600.0,-0.0217,HOLX
2000-07-06,1.78,1.77,1.84,1.75,97600.0,-0.0111,HOLX
2000-07-07,1.88,1.78,1.98,1.78,397200.0,0.0562,HOLX
2000-07-10,1.86,1.84,1.91,1.84,54400.0,-0.0106,HOLX
2000-07-11,1.86,1.86,1.91,1.86,107200.0,0.0,HOLX
2000-07-12,1.86,1.86,1.88,1.84,190800.0,0.0,HOLX
2000-07-13,1.84,1.83,1.84,1.81,111200.0,-0.0108,HOLX
2000-07-14,1.77,1.84,1.85,1.77,111200.0,-0.038,HOLX
2000-07-17,1.88,1.77,1.92,1.75,271200.0,0.0621,HOLX
2000-07-18,1.92,1.86,1.98,1.86,206000.0,0.0213,HOLX
2000-07-19,1.92,1.91,1.99,1.91,198800.0,0.0,HOLX
2000-07-20,1.88,1.92,1.94,1.82,85600.0,-0.0208,HOLX
2000-07-21,1.83,1.83,1.86,1.81,39600.0,-0.026600000000000002,HOLX
2000-07-24,1.75,1.81,1.83,1.69,404000.0,-0.0437,HOLX
2000-07-25,1.81,1.7,1.83,1.7,210800.0,0.034300000000000004,HOLX
2000-07-26,1.78,1.8,1.81,1.78,247200.0,-0.0166,HOLX
2000-07-27,1.72,1.75,1.81,1.47,282400.0,-0.0337,HOLX
2000-07-28,1.84,1.7,1.88,1.64,245200.0,0.0698,HOLX
