Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,56.69,57.69,58.5,56.5,2100000.0,-0.0173,HON
2000-01-04,55.69,56.38,56.44,54.06,2670000.0,-0.0176,HON
2000-01-05,54.94,55.75,56.25,54.69,2980000.0,-0.013500000000000002,HON
2000-01-06,56.0,55.5,56.12,54.5,2390000.0,0.019299999999999998,HON
2000-01-07,59.0,56.75,59.38,56.44,3940000.0,0.0536,HON
2000-01-10,59.31,59.44,59.88,58.31,1470000.0,0.0053,HON
2000-01-11,58.88,59.94,60.19,58.75,2640000.0,-0.0073,HON
2000-01-12,59.44,59.38,59.75,59.06,2049999.9999999998,0.0095,HON
2000-01-13,59.88,59.94,60.0,59.5,1540000.0,0.0074,HON
2000-01-14,59.88,60.0,60.5,59.25,2550000.0,0.0,HON
2000-01-18,59.0,59.75,60.38,57.62,3180000.0,-0.0147,HON
2000-01-19,54.25,59.0,59.0,52.5,11410000.0,-0.0805,HON
2000-01-20,52.88,54.5,55.25,52.56,5190000.0,-0.0253,HON
2000-01-21,51.31,53.0,53.12,49.94,5070000.0,-0.0297,HON
2000-01-24,47.75,51.44,51.44,47.0,6940000.0,-0.0694,HON
2000-01-25,47.56,46.25,47.94,45.0,5040000.0,-0.004,HON
2000-01-26,47.62,47.94,48.5,46.12,4770000.0,0.0013,HON
2000-01-27,46.25,47.12,48.19,44.62,4690000.0,-0.0288,HON
2000-01-28,45.19,45.12,46.62,44.81,3140000.0,-0.0229,HON
2000-01-31,48.0,45.19,48.0,45.19,3390000.0,0.0622,HON
2000-02-01,47.5,48.0,48.38,47.12,2850000.0,-0.0104,HON
2000-02-02,48.25,48.0,49.0,47.75,2600000.0,0.0158,HON
2000-02-03,47.5,48.25,49.0,46.75,2450000.0,-0.0155,HON
2000-02-04,47.38,47.5,47.69,46.25,3650000.0,-0.0025,HON
2000-02-07,45.0,47.0,47.0,44.5,2660000.0,-0.050199999999999995,HON
2000-02-08,45.25,46.0,46.94,44.94,4500000.0,0.005600000000000001,HON
2000-02-09,43.75,44.5,44.94,42.5,3710000.0,-0.0331,HON
2000-02-10,43.25,43.25,44.44,42.38,3170000.0,-0.011399999999999999,HON
2000-02-11,42.25,42.5,44.44,42.25,3240000.0,-0.0231,HON
2000-02-14,42.62,43.25,44.88,42.62,3250000.0,0.0088,HON
2000-02-15,46.31,42.88,46.62,42.75,3410000.0,0.0866,HON
2000-02-16,44.88,46.12,46.12,44.62,2730000.0,-0.030899999999999997,HON
2000-02-17,46.44,46.25,46.88,45.44,2390000.0,0.0348,HON
2000-02-18,44.31,46.19,46.38,43.94,2390000.0,-0.045899999999999996,HON
2000-02-22,47.25,44.06,47.25,43.0,2470000.0,0.0664,HON
2000-02-23,45.19,47.25,47.25,43.94,2190000.0,-0.0436,HON
2000-02-24,45.75,45.19,46.06,42.56,3500000.0,0.0124,HON
2000-02-25,46.56,45.75,46.75,44.38,2570000.0,0.0177,HON
2000-02-28,48.0,46.62,48.75,45.44,2910000.0,0.030899999999999997,HON
2000-02-29,48.12,49.0,49.88,47.81,2670000.0,0.0025,HON
2000-03-01,48.12,49.0,49.69,46.56,2280000.0,0.0,HON
2000-03-02,45.88,48.12,48.12,45.0,2280000.0,-0.0466,HON
2000-03-03,45.5,46.12,48.44,44.75,3160000.0,-0.0083,HON
2000-03-06,44.31,45.75,45.75,44.0,2310000.0,-0.0262,HON
2000-03-07,41.81,43.5,43.62,41.19,3170000.0,-0.0564,HON
2000-03-08,42.69,41.69,43.12,40.31,4360000.0,0.021,HON
2000-03-09,44.0,44.38,45.12,42.81,4680000.0,0.030699999999999998,HON
2000-03-10,45.38,45.5,45.62,43.88,3240000.0,0.031400000000000004,HON
2000-03-13,44.62,44.88,45.44,43.88,2150000.0,-0.0167,HON
2000-03-14,45.0,44.69,46.0,44.25,2330000.0,0.0085,HON
2000-03-15,45.94,44.12,46.5,43.5,4000000.0,0.0209,HON
2000-03-16,49.75,47.88,50.31,46.56,3980000.0,0.08289999999999999,HON
2000-03-17,46.88,48.62,49.62,46.88,4360000.0,-0.057699999999999994,HON
2000-03-20,47.5,47.75,49.88,46.25,3410000.0,0.0132,HON
2000-03-21,50.0,47.0,50.0,46.94,3070000.0,0.0526,HON
2000-03-22,46.25,49.38,49.38,46.25,2870000.0,-0.075,HON
2000-03-23,46.25,46.75,47.62,45.88,3260000.0,0.0,HON
2000-03-24,49.62,46.31,49.69,46.0,3010000.0,0.0729,HON
2000-03-27,48.0,48.75,49.31,47.0,2900000.0,-0.0326,HON
2000-03-28,46.81,47.38,48.62,46.62,2310000.0,-0.0248,HON
2000-03-29,49.0,46.62,49.62,46.62,2490000.0,0.046799999999999994,HON
2000-03-30,51.5,49.06,52.25,49.0,4950000.0,0.051,HON
2000-03-31,52.69,53.0,54.0,51.12,4040000.0,0.0231,HON
2000-04-03,54.38,55.0,55.0,53.31,3330000.0,0.0321,HON
2000-04-04,53.75,54.88,55.25,51.88,2850000.0,-0.0116,HON
2000-04-05,52.75,53.5,54.88,52.75,1860000.0,-0.018600000000000002,HON
2000-04-06,52.12,53.25,53.69,51.0,1760000.0,-0.011899999999999999,HON
2000-04-07,51.62,51.75,53.12,51.5,1260000.0,-0.0096,HON
2000-04-10,53.5,51.62,54.81,51.12,2230000.0,0.0364,HON
2000-04-11,56.06,54.25,56.75,54.12,2760000.0,0.0479,HON
2000-04-12,52.88,55.38,55.88,52.5,1980000.0,-0.0567,HON
2000-04-13,55.44,55.75,57.0,53.25,4310000.0,0.0484,HON
2000-04-14,54.12,53.0,56.06,52.56,3210000.0,-0.023799999999999998,HON
2000-04-17,55.0,52.75,55.25,52.75,2210000.0,0.0163,HON
2000-04-18,54.94,54.25,54.94,53.38,2230000.0,-0.0011,HON
2000-04-19,54.31,54.94,55.56,53.94,2220000.0,-0.0115,HON
2000-04-20,57.0,54.31,57.0,54.06,2200000.0,0.0495,HON
2000-04-24,56.25,56.0,58.38,56.0,2840000.0,-0.0132,HON
2000-04-25,57.81,56.88,58.44,56.25,2500000.0,0.0277,HON
2000-04-26,55.69,58.0,58.38,54.94,2230000.0,-0.036699999999999997,HON
2000-04-27,55.31,54.25,56.44,54.06,2130000.0,-0.0068000000000000005,HON
2000-04-28,56.0,55.75,56.94,54.31,1820000.0,0.0125,HON
2000-05-01,55.5,55.12,56.19,54.44,1280000.0,-0.0089,HON
2000-05-02,54.0,54.75,55.19,53.62,1930000.0,-0.027000000000000003,HON
2000-05-03,54.19,54.75,54.88,53.56,1320000.0,0.0034999999999999996,HON
2000-05-04,53.25,53.81,54.44,52.88,2710000.0,-0.0173,HON
2000-05-05,54.31,52.5,55.19,52.38,1530000.0,0.0199,HON
2000-05-08,54.31,53.5,54.88,53.38,798500.0,0.0,HON
2000-05-09,54.0,53.31,54.62,53.31,1160000.0,-0.005699999999999999,HON
2000-05-10,53.81,54.06,54.38,52.75,1160000.0,-0.0034999999999999996,HON
2000-05-11,53.62,54.5,54.69,53.44,1500000.0,-0.0034999999999999996,HON
2000-05-12,53.21,53.25,54.5,53.0,1130000.0,-0.0076,HON
2000-05-15,55.56,53.75,56.44,53.75,2190000.0,0.044199999999999996,HON
2000-05-16,56.12,56.25,57.0,55.81,1820000.0,0.0101,HON
2000-05-17,54.12,54.12,54.88,54.0,1860000.0,-0.0356,HON
2000-05-18,54.99,54.12,55.62,54.12,981200.0,0.0161,HON
2000-05-19,54.25,55.0,55.44,54.12,2110000.0,-0.013500000000000002,HON
2000-05-22,53.25,54.5,54.5,52.5,939900.0,-0.0184,HON
2000-05-23,53.38,54.0,54.75,53.12,2790000.0,0.0024,HON
2000-05-24,54.0,54.0,54.44,53.44,2260000.0,0.0116,HON
2000-05-25,53.44,54.0,54.12,52.5,2060000.0,-0.0104,HON
2000-05-26,53.56,53.5,54.38,52.75,1540000.0,0.0022,HON
2000-05-30,55.19,53.88,55.44,53.75,1900000.0,0.0304,HON
2000-05-31,54.69,55.38,55.81,53.94,1630000.0,-0.0091,HON
2000-06-01,56.56,54.44,57.12,54.44,2130000.0,0.0342,HON
2000-06-02,56.62,58.0,59.12,54.5,3300000.0,0.0011,HON
2000-06-05,56.75,57.25,57.44,55.75,1600000.0,0.0023,HON
2000-06-06,56.5,56.25,56.81,55.0,1540000.0,-0.0044,HON
2000-06-07,53.81,56.5,56.56,53.5,2500000.0,-0.047599999999999996,HON
2000-06-08,51.5,53.81,53.94,49.94,4960000.0,-0.0429,HON
2000-06-09,52.06,52.0,53.12,52.0,1860000.0,0.0109,HON
2000-06-12,51.25,52.19,52.19,51.25,1370000.0,-0.015600000000000001,HON
2000-06-13,50.19,50.75,50.81,50.06,1830000.0,-0.0207,HON
2000-06-14,51.31,51.5,52.25,51.25,2390000.0,0.0223,HON
2000-06-15,50.88,51.38,51.69,50.69,1820000.0,-0.0084,HON
2000-06-16,48.5,50.88,50.94,48.5,2870000.0,-0.046799999999999994,HON
2000-06-19,40.25,48.62,48.75,38.0,20690000.0,-0.17010000000000003,HON
2000-06-20,36.62,37.12,37.75,35.12,24850000.0,-0.0902,HON
2000-06-21,37.0,36.25,37.0,35.25,13100000.0,0.0104,HON
2000-06-22,35.0,37.0,37.5,34.5,15810000.0,-0.0541,HON
2000-06-23,34.69,35.12,35.44,34.25,8240000.0,-0.0089,HON
2000-06-26,34.25,34.88,34.94,33.5,8340000.0,-0.0127,HON
2000-06-27,33.25,33.75,34.56,33.06,8100000.0,-0.0292,HON
2000-06-28,34.09,33.38,34.75,32.12,10890000.0,0.0253,HON
2000-06-29,33.75,33.38,34.75,33.0,5580000.0,-0.01,HON
2000-06-30,33.69,34.31,34.75,33.38,5340000.0,-0.0018,HON
2000-07-03,34.38,34.19,34.69,33.62,1990000.0,0.020499999999999997,HON
2000-07-05,34.0,34.5,35.0,33.62,4720000.0,-0.0111,HON
2000-07-06,35.0,34.0,35.0,33.62,5630000.0,0.0294,HON
2000-07-07,34.62,34.56,35.0,33.88,5730000.0,-0.0109,HON
2000-07-10,35.0,35.0,35.56,33.5,11830000.0,0.011000000000000001,HON
2000-07-11,36.0,34.94,36.0,34.88,10270000.0,0.0286,HON
2000-07-12,35.94,35.5,36.44,35.44,6860000.0,-0.0017000000000000001,HON
2000-07-13,35.81,35.69,36.62,35.62,4210000.0,-0.0036,HON
2000-07-14,36.12,36.12,36.88,35.31,4320000.0,0.0087,HON
2000-07-17,37.75,37.38,37.75,36.56,5460000.0,0.0451,HON
2000-07-18,36.88,37.5,37.69,36.44,5020000.0,-0.023,HON
2000-07-19,37.19,37.0,37.25,36.31,5160000.0,0.0084,HON
2000-07-20,36.25,37.75,37.75,35.81,4720000.0,-0.0253,HON
2000-07-21,34.75,35.5,35.81,34.75,5630000.0,-0.0414,HON
2000-07-24,35.38,35.12,36.5,35.0,5380000.0,0.0181,HON
2000-07-25,36.94,36.5,37.31,36.06,4960000.0,0.0441,HON
2000-07-26,35.12,36.12,36.31,35.0,5610000.0,-0.0493,HON
2000-07-27,34.94,35.5,35.62,34.44,3430000.0,-0.0051,HON
2000-07-28,33.0,34.81,34.88,33.0,5860000.0,-0.0555,HON
2000-07-31,34.0,33.88,34.69,33.44,3870000.0,0.030299999999999997,HON
2000-08-01,34.12,34.0,34.38,33.5,1920000.0,0.0034999999999999996,HON
2000-08-02,33.75,34.12,34.56,33.69,3730000.0,-0.0108,HON
2000-08-03,33.12,34.0,34.06,33.12,3100000.0,-0.0187,HON
2000-08-04,33.56,34.12,34.12,33.25,3450000.0,0.013300000000000001,HON
2000-08-07,35.62,33.56,36.0,33.31,5440000.0,0.061399999999999996,HON
2000-08-08,36.25,35.88,36.38,35.25,5450000.0,0.0177,HON
2000-08-09,35.81,36.88,37.0,35.44,5170000.0,-0.0121,HON
2000-08-10,35.5,36.12,36.31,35.31,3360000.0,-0.0087,HON
2000-08-11,35.12,34.75,36.0,34.75,4790000.0,-0.010700000000000001,HON
2000-08-14,35.19,35.12,35.25,34.56,3540000.0,0.002,HON
2000-08-15,35.38,35.25,36.19,34.94,3250000.0,0.0054,HON
2000-08-16,34.0,35.06,35.25,34.0,3290000.0,-0.039,HON
2000-08-17,34.31,34.5,35.25,34.06,5410000.0,0.0091,HON
2000-08-18,35.44,35.75,35.75,35.12,3500000.0,0.0329,HON
2000-08-21,37.0,36.38,37.0,36.06,3830000.0,0.044000000000000004,HON
2000-08-22,38.62,37.38,39.56,37.19,7060000.0,0.0438,HON
2000-08-23,38.12,38.62,38.88,37.88,4160000.0,-0.0129,HON
2000-08-24,40.0,38.25,40.0,38.12,6510000.0,0.0493,HON
2000-08-25,39.88,40.12,40.88,39.62,5610000.0,-0.003,HON
2000-08-28,39.0,40.0,40.31,39.0,3560000.0,-0.022099999999999998,HON
2000-08-29,38.38,38.5,38.88,38.0,3500000.0,-0.0159,HON
2000-08-30,39.5,38.5,40.31,38.5,4160000.0,0.0292,HON
2000-08-31,38.88,39.5,39.94,38.56,3890000.0,-0.015700000000000002,HON
2000-09-01,39.44,38.88,39.62,38.88,2530000.0,0.0144,HON
2000-09-05,39.75,39.5,40.19,39.12,2780000.0,0.0079,HON
2000-09-06,40.88,40.12,41.75,40.06,4460000.0,0.028399999999999998,HON
2000-09-07,38.25,40.25,40.25,38.25,6430000.0,-0.0643,HON
2000-09-08,35.0,37.0,37.38,35.0,7850000.0,-0.085,HON
2000-09-11,36.56,36.5,37.44,36.38,3580000.0,0.0446,HON
2000-09-12,37.0,36.56,37.0,35.75,4480000.0,0.012,HON
2000-09-13,37.5,37.0,38.44,36.88,5140000.0,0.013500000000000002,HON
2000-09-14,37.56,37.5,38.19,37.31,3650000.0,0.0016,HON
