Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,26.66,25.86,26.97,25.71,8340000.0,0.0325,HPQ
2000-01-04,24.64,25.88,26.22,24.47,7380000.0,-0.0758,HPQ
2000-01-05,24.49,24.33,25.08,23.67,10170000.0,-0.0060999999999999995,HPQ
2000-01-06,22.93,24.26,24.47,22.93,7240000.0,-0.0637,HPQ
2000-01-07,23.58,23.82,24.06,22.94,7400000.0,0.028300000000000002,HPQ
2000-01-10,25.21,24.36,25.37,24.36,6930000.0,0.0691,HPQ
2000-01-11,24.64,24.43,25.37,24.43,4750000.0,-0.0226,HPQ
2000-01-12,25.51,24.6,25.68,24.1,6620000.0,0.0353,HPQ
2000-01-13,25.59,25.65,25.71,24.91,5310000.0,0.0031,HPQ
2000-01-14,25.54,26.09,26.09,25.2,5720000.0,-0.002,HPQ
2000-01-18,25.78,25.2,26.45,25.18,6450000.0,0.009399999999999999,HPQ
2000-01-19,26.33,25.91,26.42,25.28,6960000.0,0.0213,HPQ
2000-01-20,26.36,26.62,26.76,25.62,6150000.0,0.0011,HPQ
2000-01-21,25.68,26.45,26.45,25.64,5860000.0,-0.0258,HPQ
2000-01-24,25.65,25.99,26.03,25.35,5700000.0,-0.0012,HPQ
2000-01-25,25.57,25.59,25.71,24.49,7260000.0,-0.0031,HPQ
2000-01-26,24.69,25.2,25.25,24.29,7410000.0,-0.0344,HPQ
2000-01-27,24.63,25.41,25.86,24.29,9040000.0,-0.0024,HPQ
2000-01-28,24.69,24.57,25.4,24.35,5900000.0,0.0024,HPQ
2000-01-31,24.57,24.73,24.93,23.58,5550000.0,-0.0049,HPQ
2000-02-01,24.02,24.83,24.83,23.61,6550000.0,-0.022400000000000003,HPQ
2000-02-02,25.1,24.33,25.58,24.16,6840000.0,0.045,HPQ
2000-02-03,25.76,25.2,26.45,25.2,7930000.0,0.0263,HPQ
2000-02-04,26.79,25.99,27.16,25.96,9220000.0,0.04,HPQ
2000-02-07,29.17,27.0,29.28,26.6,12580000.0,0.0888,HPQ
2000-02-08,28.19,28.89,28.94,27.81,9440000.0,-0.0336,HPQ
2000-02-09,28.15,27.92,28.83,27.77,8260000.0,-0.0014000000000000002,HPQ
2000-02-10,28.6,28.38,28.72,27.95,5070000.0,0.016,HPQ
2000-02-11,27.55,28.6,28.6,27.21,5580000.0,-0.036699999999999997,HPQ
2000-02-14,27.92,27.52,28.21,27.35,6560000.0,0.0134,HPQ
2000-02-15,28.32,28.23,28.67,27.68,8260000.0,0.0143,HPQ
2000-02-16,29.74,28.66,29.96,28.5,10110000.0,0.0501,HPQ
2000-02-17,29.06,29.06,29.17,28.06,10530000.0,-0.0229,HPQ
2000-02-18,29.28,29.06,29.6,28.96,11210000.0,0.0076,HPQ
2000-02-22,29.06,29.34,29.34,28.39,7650000.0,-0.0075,HPQ
2000-02-23,29.68,28.83,29.74,28.46,6930000.0,0.0213,HPQ
2000-02-24,29.4,29.31,29.61,28.83,7540000.0,-0.009399999999999999,HPQ
2000-02-25,28.29,29.28,29.4,28.28,7650000.0,-0.0378,HPQ
2000-02-28,29.26,28.94,29.34,27.79,9920000.0,0.034300000000000004,HPQ
2000-02-29,30.53,28.99,31.38,28.99,10790000.0,0.0434,HPQ
2000-03-01,30.33,30.02,31.27,30.01,7620000.0,-0.0066,HPQ
2000-03-02,30.42,30.65,30.65,30.02,4910000.0,0.003,HPQ
2000-03-03,31.47,30.53,31.75,30.43,8880000.0,0.0345,HPQ
2000-03-06,33.26,31.1,34.52,31.06,12190000.0,0.056900000000000006,HPQ
2000-03-07,32.46,34.28,34.31,32.23,12070000.0,-0.0241,HPQ
2000-03-08,31.98,32.46,32.73,31.71,8029999.999999999,-0.0148,HPQ
2000-03-09,34.48,32.46,34.92,32.09,9160000.0,0.0782,HPQ
2000-03-10,33.36,34.48,35.3,33.14,6600000.0,-0.0325,HPQ
2000-03-13,33.26,32.23,33.91,32.18,6550000.0,-0.003,HPQ
2000-03-14,31.72,33.48,34.05,31.72,6570000.0,-0.0463,HPQ
2000-03-15,29.96,31.89,31.98,29.47,10590000.0,-0.0555,HPQ
2000-03-16,30.19,29.62,30.19,28.15,15340000.0,0.0077,HPQ
2000-03-17,31.55,30.19,32.49,30.19,13900000.0,0.045,HPQ
2000-03-20,32.69,31.44,33.33,31.4,7380000.0,0.0361,HPQ
2000-03-21,32.21,32.35,32.62,31.51,7330000.0,-0.0147,HPQ
