Date,Close,Open,High,Low,Volume,Change,Symbol
2018-04-06,17.28,17.51,17.62,17.09,3440000.0,-0.023399999999999997,HWM
2018-04-09,17.45,17.49,17.83,17.39,3410000.0,0.0102,HWM
2018-04-10,17.65,17.71,17.85,17.55,2500000.0,0.011399999999999999,HWM
2018-04-11,17.6,17.5,17.76,17.48,1540000.0,-0.003,HWM
2018-04-12,18.0,17.73,18.02,17.64,2200000.0,0.0226,HWM
2018-04-13,17.81,18.15,18.3,17.74,2290000.0,-0.0106,HWM
2018-04-16,18.06,17.99,18.14,17.85,1650000.0,0.014199999999999999,HWM
2018-04-17,18.2,18.13,18.4,18.12,1730000.0,0.008100000000000001,HWM
2018-04-18,18.15,18.32,18.45,18.15,2730000.0,-0.0029,HWM
2018-04-19,18.04,18.14,18.23,17.78,3580000.0,-0.0063,HWM
2018-04-20,17.83,18.07,18.14,17.77,2740000.0,-0.0115,HWM
2018-04-23,16.9,16.94,17.61,16.84,6130000.0,-0.052000000000000005,HWM
2018-04-24,16.85,17.09,17.37,16.5,6180000.0,-0.0032,HWM
2018-04-25,16.98,16.81,17.02,16.51,3370000.0,0.0077,HWM
2018-04-26,17.05,17.01,17.19,16.82,4820000.0,0.0040999999999999995,HWM
2018-04-27,17.2,17.05,17.25,16.94,4620000.0,0.009000000000000001,HWM
2018-04-30,13.65,15.55,15.84,13.49,27060000.0,-0.20629999999999998,HWM
2018-05-01,13.55,13.8,14.1,13.48,14790000.0,-0.0073,HWM
2018-05-02,13.31,13.64,13.87,13.26,11510000.0,-0.0175,HWM
2018-05-03,12.98,13.22,13.28,12.77,8650000.0,-0.0253,HWM
2018-05-04,13.2,12.95,13.31,12.89,5730000.0,0.0171,HWM
2018-05-07,13.46,13.19,13.56,13.15,5400000.0,0.0197,HWM
2018-05-08,13.64,13.41,13.68,13.34,5420000.0,0.0137,HWM
2018-05-09,13.81,13.91,14.06,13.78,5440000.0,0.0124,HWM
2018-05-10,13.9,13.86,14.03,13.73,6560000.0,0.0067,HWM
2018-05-11,13.97,13.84,13.98,13.69,5660000.0,0.0044,HWM
2018-05-14,14.04,13.98,14.08,13.94,3010000.0,0.0055000000000000005,HWM
2018-05-15,13.78,13.97,13.99,13.7,4900000.0,-0.018600000000000002,HWM
2018-05-16,13.8,13.91,13.93,13.76,3200000.0,0.0017000000000000001,HWM
2018-05-17,13.91,13.84,13.94,13.7,3020000.0,0.0078000000000000005,HWM
2018-05-18,13.86,13.88,13.95,13.78,2900000.0,-0.0039000000000000003,HWM
2018-05-21,14.13,13.92,14.18,13.9,3590000.0,0.0199,HWM
2018-05-22,14.23,14.19,14.34,14.07,3400000.0,0.006999999999999999,HWM
2018-05-23,14.29,14.17,14.51,14.17,4430000.0,0.0038,HWM
2018-05-24,14.16,14.29,14.31,14.11,3470000.0,-0.0086,HWM
2018-05-25,14.13,14.14,14.24,14.05,2780000.0,-0.0027,HWM
2018-05-29,13.74,14.0,14.06,13.7,3490000.0,-0.0271,HWM
2018-05-30,13.89,13.76,13.94,13.59,3940000.0,0.0106,HWM
2018-05-31,13.53,13.76,13.9,13.51,5040000.0,-0.0259,HWM
2018-06-01,13.61,13.56,13.69,13.48,4850000.0,0.005699999999999999,HWM
2018-06-04,13.6,13.64,13.85,13.6,2820000.0,-0.0006,HWM
2018-06-05,13.58,13.61,13.66,13.47,4139999.9999999995,-0.0011,HWM
2018-06-06,13.74,13.63,13.78,13.53,3280000.0,0.011899999999999999,HWM
2018-06-07,13.76,13.77,13.96,13.73,2920000.0,0.0011,HWM
2018-06-08,13.75,13.77,13.83,13.59,3180000.0,-0.0006,HWM
2018-06-11,13.92,13.78,14.0,13.74,4450000.0,0.0123,HWM
2018-06-12,13.8,13.9,13.97,13.77,3420000.0,-0.0088,HWM
2018-06-13,13.77,13.77,13.83,13.65,4940000.0,-0.0017000000000000001,HWM
2018-06-14,13.8,13.81,13.83,13.51,5060000.0,0.0017000000000000001,HWM
2018-06-15,13.44,13.64,13.76,13.35,7590000.0,-0.026099999999999998,HWM
2018-06-18,13.52,13.31,13.59,13.31,2780000.0,0.0063,HWM
2018-06-19,13.34,13.36,13.45,13.16,4790000.0,-0.013600000000000001,HWM
2018-06-20,13.28,13.34,13.37,13.25,2640000.0,-0.0046,HWM
2018-06-21,13.0,13.26,13.31,12.96,2930000.0,-0.0208,HWM
2018-06-22,13.06,13.09,13.18,13.0,2990000.0,0.004699999999999999,HWM
2018-06-25,12.93,12.95,12.99,12.62,3910000.0,-0.01,HWM
2018-06-26,13.05,12.91,13.14,12.8,2490000.0,0.0095,HWM
2018-06-27,13.0,13.08,13.38,13.0,3100000.0,-0.0040999999999999995,HWM
2018-06-28,13.02,12.98,13.05,12.85,2640000.0,0.0018,HWM
2018-06-29,13.04,13.07,13.25,13.04,2540000.0,0.0012,HWM
2018-07-02,12.92,12.91,13.0,12.76,3130000.0,-0.0088,HWM
2018-07-03,12.95,13.02,13.15,12.93,1280000.0,0.0024,HWM
2018-07-05,13.08,13.03,13.17,12.95,2330000.0,0.0101,HWM
2018-07-06,13.21,13.11,13.29,12.95,2040000.0,0.009399999999999999,HWM
2018-07-09,13.64,13.31,13.65,13.25,4400000.0,0.0325,HWM
2018-07-10,13.6,13.64,13.69,13.41,2610000.0,-0.0028000000000000004,HWM
2018-07-11,13.1,13.39,13.4,13.07,2240000.0,-0.0366,HWM
2018-07-12,13.26,13.22,13.33,13.03,2780000.0,0.0123,HWM
2018-07-13,13.32,13.25,13.36,13.16,1890000.0,0.0046,HWM
2018-07-16,14.72,15.18,15.18,14.47,15990000.0,0.1047,HWM
2018-07-17,14.75,14.59,14.84,14.51,6900000.0,0.0021,HWM
2018-07-18,15.08,14.73,15.11,14.66,6410000.0,0.0229,HWM
2018-07-19,14.69,14.99,15.11,14.67,5460000.0,-0.0259,HWM
2018-07-20,14.59,14.6,14.72,14.54,2640000.0,-0.0073,HWM
2018-07-23,14.56,14.56,14.62,14.47,2220000.0,-0.0021,HWM
2018-07-24,14.89,14.69,14.95,14.63,3080000.0,0.0232,HWM
2018-07-25,14.76,14.87,14.89,14.53,2470000.0,-0.0087,HWM
2018-07-26,16.39,15.86,16.52,15.71,7080000.0,0.1101,HWM
2018-07-27,16.42,16.35,16.47,16.2,4350000.0,0.0019,HWM
2018-07-30,15.99,16.35,16.54,15.94,5300000.0,-0.026099999999999998,HWM
2018-07-31,16.63,16.33,16.71,15.99,4010000.0,0.0398,HWM
2018-08-01,16.41,16.62,16.63,16.25,6940000.0,-0.0129,HWM
2018-08-02,16.15,16.26,16.34,16.07,3700000.0,-0.0159,HWM
2018-08-03,16.27,16.11,16.31,16.06,1920000.0,0.0076,HWM
2018-08-06,16.23,16.22,16.36,16.16,1780000.0,-0.0024,HWM
2018-08-07,16.06,16.23,16.29,16.03,2450000.0,-0.0109,HWM
2018-08-08,16.03,16.1,16.1,15.93,2300000.0,-0.0019,HWM
2018-08-09,15.92,15.93,16.25,15.91,2069999.9999999998,-0.0067,HWM
2018-08-10,15.95,15.8,16.01,15.7,2100000.0,0.0019,HWM
2018-08-13,15.64,15.94,15.99,15.59,2330000.0,-0.0192,HWM
2018-08-14,15.86,15.71,15.92,15.67,1820000.0,0.0137,HWM
2018-08-15,15.59,15.76,15.76,15.4,3150000.0,-0.0169,HWM
2018-08-16,15.87,15.75,15.95,15.72,1660000.0,0.0177,HWM
2018-08-17,16.0,15.84,16.07,15.81,1560000.0,0.0087,HWM
2018-08-20,16.25,16.09,16.3,16.06,1960000.0,0.015300000000000001,HWM
2018-08-21,16.53,16.22,16.56,16.22,2260000.0,0.017,HWM
2018-08-22,16.43,16.54,16.59,16.41,2230000.0,-0.006,HWM
2018-08-23,16.27,16.43,16.43,16.13,2120000.0,-0.009300000000000001,HWM
2018-08-24,17.04,16.33,17.14,16.29,7380000.0,0.0471,HWM
2018-08-27,16.91,16.89,17.12,16.86,4019999.9999999995,-0.0076,HWM
2018-08-28,16.79,17.02,17.02,16.55,2150000.0,-0.0073,HWM
2018-08-29,16.99,16.82,17.05,16.73,2740000.0,0.0123,HWM
2018-08-30,16.92,16.92,17.22,16.79,3490000.0,-0.0045000000000000005,HWM
2018-08-31,17.15,16.86,17.19,16.86,2660000.0,0.013999999999999999,HWM
2018-09-04,16.93,16.99,17.02,16.83,2530000.0,-0.013000000000000001,HWM
2018-09-05,16.99,16.94,17.01,16.82,1770000.0,0.0032,HWM
2018-09-06,16.8,16.96,17.18,16.75,1770000.0,-0.0108,HWM
2018-09-07,16.8,16.73,16.94,16.66,1810000.0,0.0,HWM
2018-09-10,16.86,16.86,17.02,16.82,2220000.0,0.0032,HWM
