Date,Close,Open,High,Low,Volume,Change
2012-12-10,35.0,37.0,37.0,34.91,749380.0,-0.5077
2012-12-11,35.32,35.05,35.69,34.95,1470000.0,0.0091
2012-12-12,33.36,35.25,35.25,33.09,2530000.0,-0.0555
2012-12-13,33.8,33.5,34.24,32.61,4250000.0,0.0132
2012-12-14,33.0,33.9,34.08,32.65,4010000.0,-0.023700000000000002
2012-12-17,33.4,33.5,37.07,32.51,5520000.0,0.0121
2012-12-18,34.43,33.4,34.68,32.95,3740000.0,0.0308
2012-12-19,34.25,34.8,34.82,33.73,1480000.0,-0.0052
2012-12-20,34.32,34.5,34.5,33.85,1010000.0,0.002
2012-12-21,35.35,34.29,35.35,34.2,1280000.0,0.03
2012-12-24,35.25,35.6,35.6,34.6,286710.0,-0.0028000000000000004
2012-12-26,34.9,35.27,35.51,34.85,559870.0,-0.009899999999999999
2012-12-27,34.97,35.37,35.37,33.2,915780.0,0.002
2012-12-28,34.52,34.67,34.96,34.36,1090000.0,-0.0129
2012-12-31,34.16,34.04,35.05,34.0,5740000.0,-0.0104
2013-01-02,35.12,34.92,35.4,34.1,13770000.0,0.0281
2013-01-03,34.83,35.0,35.0,34.16,16739999.999999998,-0.0083
2013-01-04,34.39,34.62,34.89,34.25,21370000.0,-0.0126
2013-01-07,34.46,34.15,35.45,34.15,17900000.0,0.002
2013-01-08,33.71,34.29,34.64,33.36,17860000.0,-0.0218
2013-01-09,33.9,33.61,33.95,33.61,18800000.0,0.005600000000000001
2013-01-10,34.0,33.66,34.0,33.33,15660000.0,0.0029
2013-01-11,33.85,33.59,33.9,33.35,11190000.0,-0.0044
2013-01-14,34.09,34.01,34.25,33.8,11580000.0,0.0070999999999999995
2013-01-15,34.6,33.71,34.72,33.71,13040000.0,0.015
2013-01-16,35.54,34.47,35.54,34.45,16510000.000000002,0.027200000000000002
2013-01-17,36.42,35.75,36.7,35.75,14430000.0,0.0248
2013-01-18,37.32,36.43,37.32,36.04,17840000.0,0.024700000000000003
2013-01-22,36.42,36.98,37.25,35.93,15810000.0,-0.0241
2013-01-23,37.8,36.91,37.84,36.5,10980000.0,0.0379
2013-01-24,37.46,37.79,38.52,37.23,11330000.0,-0.009000000000000001
2013-01-25,37.6,37.52,37.84,36.64,8940000.0,0.0037
2013-01-28,36.89,37.65,37.87,36.71,7140000.0,-0.0189
2013-01-29,37.31,36.71,37.46,36.25,8840000.0,0.011399999999999999
2013-01-30,36.93,36.81,37.53,36.81,10840000.0,-0.0102
2013-01-31,36.69,36.84,36.93,36.27,10720000.0,-0.006500000000000001
2013-02-01,37.18,36.84,37.2,36.52,9530000.0,0.0134
2013-02-04,37.28,36.64,37.3,36.55,6350000.0,0.0027
2013-02-05,37.2,37.42,37.73,37.18,7280000.0,-0.0021
2013-02-06,37.14,36.96,37.28,36.86,5740000.0,-0.0016
2013-02-07,36.42,37.57,37.57,35.8,9870000.0,-0.0194
2013-02-08,36.25,36.37,36.42,35.83,13860000.0,-0.004699999999999999
2013-02-11,35.85,36.13,36.18,35.75,6030000.0,-0.011000000000000001
2013-02-12,35.42,35.77,35.9,35.2,7470000.0,-0.012
2013-02-13,35.27,35.42,35.57,35.15,4860000.0,-0.0042
2013-02-14,36.57,35.05,36.73,35.01,7570000.0,0.0369
2013-02-15,37.58,36.93,37.81,36.93,13300000.0,0.0276
