Date,Close,Open,High,Low,Volume,Change
2000-01-03,11.31,11.69,11.69,11.31,12000.0,-0.0325
2000-01-04,10.97,11.06,11.06,10.88,13200.0,-0.0301
2000-01-05,10.88,10.97,10.97,10.62,30000.0,-0.008199999999999999
2000-01-06,11.0,10.88,11.0,10.88,19800.0,0.011000000000000001
2000-01-07,11.0,11.0,11.12,11.0,49200.0,0.0
2000-01-10,11.25,11.12,11.25,11.06,12000.0,0.0227
2000-01-11,11.5,11.12,11.69,11.12,35400.0,0.0222
2000-01-12,11.62,11.5,11.62,11.5,13000.0,0.0104
2000-01-13,10.88,11.5,11.56,10.62,95400.0,-0.0637
2000-01-14,11.31,11.0,11.31,11.0,78600.0,0.0395
2000-01-18,11.56,11.19,11.62,11.12,23200.0,0.022099999999999998
2000-01-19,11.38,11.62,11.62,11.38,81200.0,-0.015600000000000001
2000-01-20,11.0,11.38,11.44,11.0,78600.0,-0.0334
2000-01-21,11.06,10.88,11.12,10.88,183200.0,0.0055000000000000005
2000-01-24,11.12,11.12,11.19,11.0,42600.0,0.0054
2000-01-25,11.5,11.12,11.5,11.12,39000.0,0.0342
2000-01-26,11.38,11.56,11.56,11.31,6200.0,-0.0104
2000-01-27,11.56,11.31,11.69,11.25,18600.0,0.0158
2000-01-28,11.5,11.5,11.69,11.5,9000.0,-0.0052
2000-01-31,11.53,11.19,11.62,11.19,37200.0,0.0026
2000-02-01,11.5,11.5,11.69,11.5,19600.0,-0.0026
2000-02-02,11.94,12.0,12.0,11.88,28800.0,0.0383
2000-02-03,12.5,12.06,12.56,12.06,18400.0,0.046900000000000004
2000-02-04,13.0,12.62,13.0,12.62,28400.0,0.04
2000-02-07,13.44,13.12,13.44,13.06,19600.0,0.0338
2000-02-08,12.94,13.5,13.56,12.94,34000.0,-0.037200000000000004
2000-02-09,13.06,13.06,13.16,13.06,2400.0,0.009300000000000001
2000-02-10,13.0,13.06,13.06,12.88,10200.0,-0.0046
2000-02-11,13.19,13.06,13.19,13.0,34800.0,0.0146
2000-02-14,12.38,13.31,13.31,11.94,74800.0,-0.061399999999999996
2000-02-15,12.5,12.44,12.5,12.38,6200.0,0.0097
2000-02-16,13.25,12.56,13.25,12.56,72400.0,0.06
2000-02-17,13.38,13.25,13.5,13.19,41600.0,0.0098
2000-02-18,13.69,13.44,13.69,13.44,41600.0,0.0232
2000-02-22,14.12,13.56,14.12,13.41,38200.0,0.031400000000000004
2000-02-23,14.19,14.38,14.88,14.19,38400.0,0.005
2000-02-24,14.5,14.19,14.5,14.06,74000.0,0.0218
2000-02-25,14.72,14.5,14.75,14.38,51800.0,0.0152
2000-02-28,15.5,14.75,15.75,14.75,80200.0,0.053
2000-02-29,16.44,15.47,16.5,15.38,41400.0,0.060599999999999994
2000-03-01,15.72,16.38,16.5,15.44,71400.0,-0.0438
2000-03-02,15.34,15.62,15.62,15.34,42200.0,-0.0242
2000-03-03,15.5,15.19,15.62,14.88,60000.0,0.0104
2000-03-06,15.75,15.75,16.12,15.25,63000.0,0.0161
2000-03-07,15.25,15.62,15.88,15.25,28000.0,-0.0317
2000-03-08,15.34,15.62,15.69,15.28,22800.0,0.0059
2000-03-09,15.25,15.19,15.25,15.0,26800.0,-0.0059
2000-03-10,14.75,15.12,15.19,14.75,43600.0,-0.032799999999999996
2000-03-13,15.0,14.75,15.0,14.75,17800.0,0.0169
2000-03-14,14.94,15.03,15.25,14.94,227200.0,-0.004
2000-03-15,14.91,14.94,14.97,14.81,95000.0,-0.002
2000-03-16,14.97,14.81,14.97,14.75,5400.0,0.004
2000-03-17,14.5,14.62,14.62,14.38,226600.0,-0.031400000000000004
2000-03-20,14.5,14.5,14.5,14.38,12000.0,0.0
2000-03-21,14.5,14.5,14.5,14.22,18200.0,0.0
2000-03-22,14.41,14.47,14.47,14.38,1400.0,-0.0062
2000-03-23,14.12,14.31,14.44,14.12,14000.0,-0.020099999999999996
2000-03-24,14.06,14.19,14.19,14.06,17000.0,-0.0042
2000-03-27,14.19,14.19,14.19,14.0,36200.0,0.0092
2000-03-28,14.12,14.12,14.31,14.12,11800.0,-0.0049
2000-03-29,14.0,14.06,14.12,13.94,33200.0,-0.0085
2000-03-30,13.94,14.06,14.06,13.88,20000.0,-0.0043
2000-03-31,13.62,13.94,14.0,13.62,63200.0,-0.023
2000-04-03,13.38,13.62,13.62,13.38,11000.0,-0.0176
2000-04-04,12.88,13.31,13.31,12.84,13600.0,-0.0374
2000-04-05,12.94,13.0,13.0,12.81,29000.0,0.004699999999999999
2000-04-06,13.0,13.0,13.0,12.75,15600.0,0.0046
2000-04-07,13.03,13.06,13.06,12.88,21200.0,0.0023
2000-04-10,13.44,13.03,13.62,13.03,15200.0,0.0315
2000-04-11,13.06,13.56,13.56,13.06,20600.0,-0.028300000000000002
2000-04-12,13.0,13.12,13.19,13.0,2800.0,-0.0046
2000-04-13,12.91,13.0,13.0,12.91,19000.0,-0.0069
2000-04-14,13.12,13.0,13.12,13.0,7400.0,0.0163
2000-04-17,12.94,13.0,13.0,12.81,7800.0,-0.0137
2000-04-18,12.59,12.88,12.88,12.56,6200.0,-0.027000000000000003
2000-04-19,12.69,12.5,12.81,12.5,13000.0,0.0079
2000-04-20,12.56,12.72,12.72,12.44,15400.0,-0.0102
2000-04-24,12.56,12.5,12.62,12.38,11000.0,0.0
2000-04-25,12.56,12.5,12.56,12.38,5200.0,0.0
2000-04-26,12.72,12.53,12.72,12.5,8600.0,0.0127
2000-04-27,12.94,12.62,13.0,12.62,24200.0,0.0173
2000-04-28,12.75,12.88,12.88,12.75,22000.0,-0.0147
2000-05-01,13.38,12.88,13.56,12.88,30200.0,0.049400000000000006
2000-05-02,13.25,13.38,13.38,13.19,6600.0,-0.0097
2000-05-03,13.0,13.12,13.12,13.0,2400.0,-0.0189
2000-05-04,13.06,13.0,13.06,13.0,8600.0,0.0046
2000-05-05,12.94,13.06,13.12,12.94,31000.0,-0.0092
2000-05-08,12.97,12.88,12.97,12.81,7200.0,0.0023
2000-05-09,12.88,12.94,12.94,12.88,16600.0,-0.0069
2000-05-10,12.69,12.81,12.86,12.62,19600.0,-0.0148
2000-05-11,12.84,12.81,12.84,12.78,2200.0,0.0118
2000-05-12,13.0,12.81,13.0,12.81,19600.0,0.0125
2000-05-15,13.19,13.06,13.19,13.06,34600.0,0.0146
