Date,Close,Open,High,Low,Volume,Change
2001-12-14,1.39,1.43,1.44,1.37,11310000.0,-0.027999999999999997
2001-12-17,1.42,1.39,1.43,1.38,1760000.0,0.0216
2001-12-18,1.44,1.41,1.45,1.39,3590000.0,0.0141
2001-12-19,1.73,1.44,1.78,1.43,3350000.0,0.2014
2001-12-20,1.65,1.7,1.9,1.65,3860000.0,-0.0462
2001-12-21,1.66,1.67,1.68,1.65,3250000.0,0.0060999999999999995
2001-12-24,1.66,1.66,1.69,1.63,968400.0,0.0
2001-12-26,1.69,1.66,1.72,1.65,2120000.0,0.0181
2001-12-27,1.73,1.71,1.74,1.69,2370000.0,0.023700000000000002
2001-12-28,1.79,1.72,1.82,1.72,1110000.0,0.0347
2001-12-31,1.83,1.82,1.93,1.77,451200.0,0.0223
2002-01-02,1.83,1.89,1.89,1.82,1450000.0,0.0
2002-01-03,1.83,1.82,1.84,1.82,328800.0,0.0
2002-01-04,1.81,1.84,1.84,1.78,549600.0,-0.0109
2002-01-07,1.71,1.79,1.81,1.7,789600.0,-0.0552
2002-01-08,1.77,1.72,1.77,1.71,1180000.0,0.0351
2002-01-09,1.73,1.77,1.77,1.73,697200.0,-0.0226
2002-01-10,1.71,1.74,1.74,1.65,552000.0,-0.0116
2002-01-11,1.77,1.69,1.81,1.69,194400.0,0.0351
2002-01-14,1.75,1.78,1.78,1.73,129600.0,-0.0113
2002-01-15,1.75,1.75,1.75,1.73,94800.0,0.0
2002-01-16,1.67,1.75,1.76,1.67,150000.0,-0.045700000000000005
2002-01-17,1.63,1.67,1.71,1.52,1040000.0,-0.024
2002-01-18,1.63,1.61,1.64,1.59,834000.0,0.0
2002-01-22,1.68,1.61,1.68,1.6,470400.0,0.030699999999999998
2002-01-23,1.81,1.66,1.81,1.66,231600.0,0.0774
2002-01-24,1.8,1.8,1.82,1.75,108000.0,-0.0055000000000000005
2002-01-25,1.8,1.8,1.8,1.76,253200.0,0.0
2002-01-28,1.69,1.79,1.79,1.65,1380000.0,-0.0611
2002-01-29,1.71,1.69,1.75,1.69,742800.0,0.0118
2002-01-30,1.68,1.71,1.71,1.68,1070000.0,-0.0175
2002-01-31,1.54,1.67,1.7,1.51,3240000.0,-0.0833
2002-02-01,1.62,1.6,1.67,1.58,1820000.0,0.0519
2002-02-04,1.57,1.62,1.63,1.55,7310000.0,-0.030899999999999997
2002-02-05,1.59,1.57,1.59,1.57,45600.0,0.0127
2002-02-06,1.68,1.59,1.68,1.59,571200.0,0.056600000000000004
2002-02-07,1.6,1.66,1.68,1.6,98400.0,-0.047599999999999996
2002-02-08,1.6,1.6,1.6,1.6,8400.0,0.0
2002-02-11,1.6,1.63,1.65,1.6,36000.0,0.0
2002-02-12,1.61,1.6,1.62,1.59,49200.0,0.0062
2002-02-13,1.57,1.6,1.6,1.56,837600.0,-0.0248
2002-02-14,1.61,1.58,1.61,1.58,139200.0,0.0255
2002-02-15,1.58,1.6,1.6,1.55,963600.0,-0.018600000000000002
2002-02-19,1.56,1.59,1.59,1.56,31200.0,-0.0127
2002-02-20,1.57,1.56,1.59,1.56,363600.0,0.0064
2002-02-21,1.58,1.58,1.6,1.56,554400.0,0.0064
2002-02-22,1.57,1.58,1.59,1.57,571200.0,-0.0063
2002-02-25,1.58,1.58,1.59,1.56,2069999.9999999998,0.0064
2002-02-26,1.58,1.58,1.6,1.57,225600.0,0.0
2002-02-27,1.57,1.57,1.58,1.56,1330000.0,-0.0063
2002-02-28,1.56,1.57,1.57,1.56,1430000.0,-0.0064
2002-03-01,1.57,1.58,1.58,1.56,1160000.0,0.0064
2002-03-04,1.57,1.57,1.58,1.55,664800.0,0.0
2002-03-05,1.57,1.57,1.59,1.57,310800.0,0.0
2002-03-06,1.58,1.58,1.6,1.56,268800.0,0.0064
2002-03-07,1.58,1.6,1.6,1.58,73200.0,0.0
2002-03-08,1.59,1.57,1.59,1.55,158400.0,0.0063
2002-03-11,1.57,1.56,1.59,1.54,178800.0,-0.0126
2002-03-12,1.63,1.59,1.63,1.57,693600.0,0.0382
2002-03-13,1.73,1.63,1.73,1.63,726000.0,0.0613
2002-03-14,1.83,1.71,1.84,1.71,1500000.0,0.057800000000000004
2002-03-15,1.88,1.83,1.9,1.83,874800.0,0.0273
2002-03-18,1.91,1.92,1.96,1.9,752400.0,0.016
2002-03-19,1.93,1.93,1.93,1.9,403200.0,0.0105
2002-03-20,1.92,1.91,1.93,1.9,236400.0,-0.0052
2002-03-21,1.92,1.92,1.92,1.89,972000.0,0.0
2002-03-22,1.92,1.9,1.93,1.89,420000.0,0.0
2002-03-25,1.91,1.92,1.92,1.89,61200.0,-0.0052
2002-03-26,1.92,1.9,1.92,1.89,140400.0,0.0052
2002-03-27,1.91,1.92,1.93,1.91,247200.0,-0.0052
2002-03-28,1.91,1.92,1.94,1.78,1670000.0,0.0
2002-04-01,1.91,1.91,1.91,1.89,326400.0,0.0
2002-04-02,1.91,1.91,1.91,1.9,108000.0,0.0
2002-04-03,1.91,1.91,1.92,1.91,576000.0,0.0
2002-04-04,1.91,1.91,1.92,1.88,62400.0,0.0
2002-04-05,1.91,1.91,1.91,1.91,56400.0,0.0
2002-04-08,1.91,1.9,1.91,1.89,225600.0,0.0
2002-04-09,2.09,1.91,2.09,1.9,1050000.0,0.0942
2002-04-10,2.21,2.1,2.22,2.1,709200.0,0.0574
2002-04-11,2.37,2.21,2.39,2.15,188400.0,0.0724
2002-04-12,2.41,2.35,2.44,2.35,344400.0,0.0169
2002-04-15,2.38,2.41,2.42,2.36,84000.0,-0.0124
2002-04-16,2.42,2.38,2.42,2.38,192000.0,0.0168
2002-04-17,2.32,2.42,2.42,2.32,404400.0,-0.041299999999999996
2002-04-18,2.42,2.32,2.42,2.23,794400.0,0.0431
2002-04-19,2.44,2.42,2.47,2.39,524400.0,0.0083
2002-04-22,2.44,2.46,2.49,2.42,498000.0,0.0
2002-04-23,2.5,2.41,2.5,2.35,380400.0,0.0246
2002-04-24,2.47,2.47,2.5,2.41,292800.0,-0.012
2002-04-25,2.39,2.5,2.52,2.39,168000.0,-0.032400000000000005
2002-04-26,2.29,2.39,2.39,2.22,690000.0,-0.0418
2002-04-29,2.25,2.31,2.31,2.25,112800.0,-0.0175
2002-04-30,2.15,2.23,2.25,2.12,598800.0,-0.0444
2002-05-01,1.99,2.12,2.12,1.99,375600.0,-0.07440000000000001
2002-05-02,2.03,1.99,2.04,1.97,123600.0,0.020099999999999996
2002-05-03,2.1,2.03,2.1,2.03,55200.0,0.0345
2002-05-06,2.03,2.07,2.07,2.02,282000.0,-0.0333
2002-05-07,2.01,2.03,2.03,2.01,159600.0,-0.009899999999999999
2002-05-08,1.99,2.02,2.02,1.99,112800.0,-0.01
2002-05-09,2.17,2.0,2.18,2.0,663600.0,0.09050000000000001
2002-05-10,2.16,2.16,2.16,2.13,38400.0,-0.0046
2002-05-13,2.1,2.13,2.13,2.02,206400.0,-0.0278
2002-05-14,2.08,2.13,2.23,2.08,306000.0,-0.0095
2002-05-15,2.08,2.11,2.12,2.04,390000.0,0.0
2002-05-16,2.13,2.12,2.13,2.08,688800.0,0.024
2002-05-17,2.06,2.08,2.15,2.05,39510000.0,-0.0329
2002-05-20,1.98,2.05,2.06,1.98,4450000.0,-0.0388
2002-05-21,1.94,1.98,1.99,1.9,2640000.0,-0.0202
2002-05-22,2.01,1.91,2.05,1.91,2720000.0,0.0361
2002-05-23,2.06,2.0,2.06,2.0,1910000.0,0.024900000000000002
2002-05-24,2.0,2.06,2.06,1.98,1360000.0,-0.0291
2002-05-28,2.05,2.0,2.07,2.0,2590000.0,0.025
2002-05-29,2.09,2.04,2.09,2.04,3780000.0,0.0195
2002-05-30,2.24,2.09,2.32,2.07,1920000.0,0.0718
2002-05-31,2.18,2.27,2.27,2.18,820800.0,-0.0268
2002-06-03,2.08,2.21,2.21,2.08,2490000.0,-0.045899999999999996
2002-06-04,2.04,2.08,2.1,2.04,958800.0,-0.0192
2002-06-05,2.0,2.04,2.08,2.0,1300000.0,-0.0196
2002-06-06,1.99,2.02,2.04,1.99,1230000.0,-0.005
2002-06-07,2.06,1.99,2.12,1.98,655200.0,0.0352
2002-06-10,2.03,2.06,2.07,2.03,1340000.0,-0.0146
2002-06-11,2.05,2.06,2.08,2.05,376800.0,0.009899999999999999
2002-06-12,2.06,2.07,2.08,2.04,1360000.0,0.0049
2002-06-13,2.27,2.08,2.28,2.05,3380000.0,0.10189999999999999
2002-06-14,2.38,2.25,2.38,2.21,620400.0,0.048499999999999995
2002-06-17,2.37,2.37,2.4,2.27,1330000.0,-0.0042
2002-06-18,2.42,2.37,2.46,2.34,2670000.0,0.021099999999999997
2002-06-19,2.39,2.43,2.43,2.39,1200000.0,-0.0124
2002-06-20,2.34,2.41,2.42,2.33,618000.0,-0.0209
2002-06-21,2.35,2.34,2.41,2.34,224400.0,0.0043
2002-06-24,2.34,2.35,2.39,2.29,2570000.0,-0.0043
2002-06-25,2.39,2.32,2.4,2.31,1760000.0,0.021400000000000002
2002-06-26,2.31,2.34,2.4,2.18,1550000.0,-0.0335
2002-06-27,2.49,2.35,2.51,2.35,2770000.0,0.0779
2002-06-28,2.58,2.47,2.59,2.42,6100000.0,0.0361
2002-07-01,2.38,2.54,2.56,2.26,1290000.0,-0.0775
2002-07-02,2.22,2.36,2.36,2.2,2200000.0,-0.0672
2002-07-03,2.25,2.22,2.26,2.2,777600.0,0.013500000000000002
2002-07-05,2.26,2.26,2.27,2.21,254400.0,0.0044
2002-07-08,2.24,2.25,2.25,2.22,571200.0,-0.0088
2002-07-09,2.25,2.24,2.3,2.19,1720000.0,0.0045000000000000005
2002-07-10,2.28,2.28,2.34,2.24,2440000.0,0.013300000000000001
2002-07-11,2.25,2.28,2.29,2.18,368400.0,-0.0132
2002-07-12,2.25,2.25,2.26,2.19,518400.0,0.0
2002-07-15,2.23,2.24,2.27,2.2,316800.0,-0.0089
2002-07-16,2.18,2.19,2.22,2.15,379200.0,-0.022400000000000003
2002-07-17,2.24,2.2,2.27,2.14,877200.0,0.0275
2002-07-18,2.19,2.25,2.25,2.18,244800.0,-0.0223
2002-07-19,2.15,2.19,2.2,2.14,2049999.9999999998,-0.0183
2002-07-22,1.92,2.15,2.15,1.81,3130000.0,-0.107
2002-07-23,1.89,1.95,2.01,1.88,948340.0,-0.015600000000000001
2002-07-24,2.0,1.89,2.02,1.89,1170000.0,0.0582
2002-07-25,2.1,2.03,2.29,2.03,1930000.0,0.05
2002-07-26,2.06,2.14,2.14,1.98,1310000.0,-0.019
2002-07-29,2.08,2.05,2.11,2.04,1290000.0,0.0097
2002-07-30,1.95,2.08,2.14,1.93,1270000.0,-0.0625
