Date,Close,Open,High,Low,Volume,Change
2000-01-03,2.29,2.25,2.31,2.17,1030000.0,0.0269
2000-01-04,2.25,2.25,2.27,2.12,518400.0,-0.0175
2000-01-05,2.06,2.21,2.21,2.06,1800000.0,-0.08439999999999999
2000-01-06,2.0,2.04,2.06,1.96,2560000.0,-0.0291
2000-01-07,2.21,2.0,2.21,1.98,2150000.0,0.105
2000-01-10,2.25,2.33,2.35,2.25,1210000.0,0.0181
2000-01-11,2.23,2.23,2.33,2.21,783000.0,-0.0089
2000-01-12,2.21,2.27,2.33,2.19,772200.0,-0.009000000000000001
2000-01-13,2.31,2.23,2.31,2.23,1610000.0,0.0452
2000-01-14,2.4,2.35,2.54,2.35,2370000.0,0.039
2000-01-18,2.4,2.33,2.5,2.27,963300.0,0.0
2000-01-19,1.62,2.21,2.21,1.58,10570000.0,-0.325
2000-01-20,1.77,1.65,1.79,1.62,5780000.0,0.0926
2000-01-21,1.92,1.79,1.96,1.77,6080000.0,0.08470000000000001
2000-01-24,1.67,1.9,1.92,1.67,3580000.0,-0.13019999999999998
2000-01-25,1.65,1.71,1.79,1.65,1850000.0,-0.012
2000-01-26,1.65,1.67,1.75,1.65,1550000.0,0.0
2000-01-27,1.58,1.67,1.67,1.56,1990000.0,-0.0424
2000-01-28,1.52,1.58,1.58,1.52,1330000.0,-0.038
2000-01-31,1.54,1.54,1.58,1.5,1050000.0,0.0132
2000-02-01,1.52,1.58,1.58,1.52,2380000.0,-0.013000000000000001
2000-02-02,1.56,1.54,1.6,1.54,1450000.0,0.0263
2000-02-03,1.52,1.56,1.56,1.48,4990000.0,-0.0256
2000-02-04,1.46,1.5,1.52,1.46,2920000.0,-0.0395
2000-02-07,1.46,1.46,1.5,1.42,1460000.0,0.0
2000-02-08,1.46,1.48,1.5,1.44,873000.0,0.0
2000-02-09,1.42,1.46,1.48,1.4,1520000.0,-0.0274
2000-02-10,1.33,1.42,1.44,1.27,1790000.0,-0.0634
2000-02-11,1.35,1.33,1.4,1.31,2530000.0,0.015
2000-02-14,1.25,1.35,1.4,1.23,2810000.0,-0.0741
2000-02-15,1.29,1.25,1.33,1.25,2350000.0,0.032
2000-02-16,1.29,1.31,1.33,1.29,1060000.0,0.0
2000-02-17,1.31,1.31,1.33,1.29,2710000.0,0.0155
2000-02-18,1.27,1.27,1.31,1.27,1060000.0,-0.0305
2000-02-22,1.27,1.27,1.31,1.25,988200.0,0.0
2000-02-23,1.29,1.31,1.33,1.29,888600.0,0.015700000000000002
2000-02-24,1.29,1.31,1.31,1.25,910500.0,0.0
2000-02-25,1.17,1.31,1.31,1.17,2390000.0,-0.09300000000000001
2000-02-28,1.04,1.17,1.17,0.92,4960000.0,-0.11109999999999999
2000-02-29,1.0,1.08,1.12,0.96,2100000.0,-0.0385
2000-03-01,0.96,1.0,1.04,0.96,2490000.0,-0.04
2000-03-02,1.04,0.83,1.04,0.69,12600000.0,0.0833
2000-03-03,1.0,1.06,1.08,0.96,2180000.0,-0.0385
2000-03-06,1.17,1.08,1.25,1.08,2400000.0,0.17
2000-03-07,1.17,1.17,1.21,1.15,1960000.0,0.0
2000-03-08,1.15,1.17,1.19,1.1,1110000.0,-0.0171
2000-03-09,1.1,1.12,1.25,1.06,2440000.0,-0.0435
2000-03-10,1.04,1.1,1.1,1.02,759300.0,-0.0545
2000-03-13,0.96,1.02,1.06,0.94,1880000.0,-0.07690000000000001
2000-03-14,1.0,0.98,1.0,0.98,1670000.0,0.0417
2000-03-15,0.9,1.0,1.0,0.81,5960000.0,-0.1
2000-03-16,0.96,0.9,0.96,0.87,1360000.0,0.0667
2000-03-17,0.96,0.92,0.96,0.92,974100.0,0.0
2000-03-20,0.9,0.94,0.96,0.85,2580000.0,-0.0625
2000-03-21,0.85,0.87,0.92,0.75,3790000.0,-0.0556
2000-03-22,0.85,0.85,0.87,0.81,2760000.0,0.0
2000-03-23,0.85,0.85,0.9,0.83,3480000.0,0.0
2000-03-24,1.0,0.87,1.08,0.87,4530000.0,0.1765
2000-03-27,0.87,0.98,0.98,0.87,2180000.0,-0.13
2000-03-28,0.87,0.87,0.92,0.85,3160000.0,0.0
2000-03-29,0.9,0.87,0.9,0.85,1090000.0,0.0345
2000-03-30,0.98,0.92,1.02,0.92,1830000.0,0.0889
2000-03-31,1.04,1.0,1.08,1.0,1780000.0,0.061200000000000004
2000-04-03,1.0,1.06,1.06,1.0,899400.0,-0.0385
2000-04-04,1.02,1.04,1.04,0.92,1100000.0,0.02
2000-04-05,1.02,1.02,1.04,1.0,950400.0,0.0
2000-04-06,1.04,1.04,1.06,1.02,1060000.0,0.0196
2000-04-07,1.06,1.04,1.08,1.02,488100.0,0.0192
2000-04-10,1.17,1.12,1.17,1.1,1350000.0,0.1038
2000-04-11,1.48,1.17,1.48,1.15,2560000.0,0.265
2000-04-12,1.17,1.4,1.4,1.15,3280000.0,-0.2095
2000-04-13,1.1,1.17,1.17,1.06,2260000.0,-0.059800000000000006
2000-04-14,0.9,1.06,1.12,0.81,11780000.0,-0.1818
2000-04-17,0.92,0.92,0.98,0.9,2560000.0,0.0222
2000-04-18,1.0,0.96,1.02,0.96,2130000.0,0.087
2000-04-19,1.04,1.0,1.04,0.98,2100000.0,0.04
2000-04-20,0.98,1.04,1.08,0.98,1420000.0,-0.057699999999999994
2000-04-24,0.96,1.0,1.0,0.87,984300.0,-0.0204
2000-04-25,0.92,1.0,1.0,0.9,1030000.0,-0.0417
2000-04-26,0.94,0.92,1.0,0.9,822300.0,0.0217
2000-04-27,0.9,0.9,0.96,0.9,956100.0,-0.0426
2000-04-28,0.96,0.92,0.98,0.9,772500.0,0.0667
2000-05-01,1.0,0.98,1.0,0.92,1220000.0,0.0417
2000-05-02,0.98,1.0,1.02,0.98,492000.0,-0.02
2000-05-03,0.96,1.0,1.0,0.92,608100.0,-0.0204
2000-05-04,0.94,0.94,0.96,0.94,965100.0,-0.0208
2000-05-05,0.98,0.94,0.98,0.92,421200.0,0.0426
2000-05-08,0.92,0.94,0.96,0.9,987000.0,-0.061200000000000004
2000-05-09,0.87,0.94,0.94,0.85,1100000.0,-0.054299999999999994
2000-05-10,0.92,0.87,0.92,0.83,1030000.0,0.0575
2000-05-11,1.37,1.08,1.37,1.08,6360000.0,0.4891
2000-05-12,1.37,1.42,1.48,1.33,3800000.0,0.0
2000-05-15,1.44,1.35,1.54,1.33,1890000.0,0.051100000000000007
2000-05-16,1.46,1.42,1.48,1.4,2350000.0,0.0139
2000-05-17,1.42,1.46,1.46,1.33,780900.0,-0.0274
2000-05-18,1.44,1.42,1.44,1.33,486300.0,0.0141
2000-05-19,1.44,1.44,1.44,1.4,400500.0,0.0
2000-05-22,1.33,1.44,1.44,1.29,912900.0,-0.0764
2000-05-23,1.21,1.33,1.33,1.19,715500.0,-0.0902
2000-05-24,1.23,1.19,1.23,1.12,624600.0,0.0165
2000-05-25,1.21,1.23,1.25,1.19,748800.0,-0.0163
2000-05-26,1.29,1.19,1.31,1.19,697800.0,0.0661
2000-05-30,1.37,1.29,1.37,1.29,813900.0,0.062
2000-05-31,1.31,1.33,1.4,1.31,594600.0,-0.0438
2000-06-01,1.31,1.33,1.33,1.29,655800.0,0.0
2000-06-02,1.33,1.31,1.33,1.31,381900.0,0.015300000000000001
2000-06-05,1.33,1.33,1.35,1.29,332700.0,0.0
2000-06-06,1.4,1.35,1.44,1.33,1450000.0,0.0526
2000-06-07,1.46,1.4,1.48,1.4,866400.0,0.0429
2000-06-08,1.33,1.48,1.48,1.23,676800.0,-0.08900000000000001
2000-06-09,1.31,1.33,1.33,1.27,757200.0,-0.015
2000-06-12,1.29,1.33,1.35,1.29,1470000.0,-0.015300000000000001
2000-06-13,1.42,1.33,1.42,1.29,1450000.0,0.1008
2000-06-14,1.69,1.46,1.73,1.46,3900000.0,0.19010000000000002
2000-06-15,1.81,1.71,1.81,1.71,2120000.0,0.071
2000-06-16,1.77,1.81,1.83,1.75,852300.0,-0.022099999999999998
2000-06-19,1.96,1.77,1.98,1.77,994500.0,0.1073
2000-06-20,1.85,2.0,2.0,1.77,1750000.0,-0.056100000000000004
2000-06-21,1.79,1.85,1.9,1.75,563700.0,-0.032400000000000005
2000-06-22,1.85,1.81,1.98,1.77,930600.0,0.0335
2000-06-23,1.81,1.83,1.85,1.75,618900.0,-0.0216
2000-06-26,1.79,1.81,1.83,1.77,509400.0,-0.011000000000000001
2000-06-27,1.94,1.81,1.94,1.79,805500.0,0.08380000000000001
2000-06-28,1.92,1.94,1.94,1.83,430500.0,-0.0103
2000-06-29,1.9,1.92,1.94,1.79,1710000.0,-0.0104
2000-06-30,2.0,1.87,2.0,1.81,1190000.0,0.0526
