Date,Close,Open,High,Low,Volume,Change
2005-04-14,11.74,12.08,12.2,10.81,1900000.0,-0.8765000000000001
2005-04-15,10.25,11.65,11.7,10.23,282270.0,-0.12689999999999999
2005-04-18,10.5,10.5,10.82,10.4,53380.0,0.024399999999999998
2005-04-19,10.58,11.0,11.0,10.56,137400.0,0.0076
2005-04-20,10.6,10.55,10.7,10.5,8570.0,0.0019
2005-04-21,10.5,10.6,10.63,10.5,33950.0,-0.009399999999999999
2005-04-22,10.52,10.76,10.97,10.5,23090.0,0.0019
2005-04-25,10.55,10.66,10.75,10.51,69300.0,0.0029
2005-04-26,10.5,10.51,10.65,10.5,33200.0,-0.004699999999999999
2005-04-27,9.79,10.5,10.54,9.61,68040.0,-0.0676
2005-04-28,9.9,9.67,10.16,9.67,37640.0,0.011200000000000002
2005-04-29,10.0,10.0,10.3,10.0,20440.0,0.0101
2005-05-02,9.91,9.88,10.1,9.87,15720.0,-0.009000000000000001
2005-05-03,10.0,9.98,10.1,9.9,21360.0,0.0091
2005-05-04,10.1,10.0,10.1,9.9,15840.0,0.01
2005-05-05,9.9,10.01,10.09,9.9,15180.0,-0.019799999999999998
2005-05-06,10.0,9.9,10.0,9.9,18130.0,0.0101
2005-05-09,9.9,10.09,10.1,9.9,43090.0,-0.01
2005-05-10,11.39,10.47,11.75,10.1,129300.00000000001,0.1505
2005-05-11,11.47,11.41,11.75,11.3,64650.00000000001,0.006999999999999999
2005-05-12,11.31,11.5,11.7,10.95,56360.0,-0.0139
2005-05-13,11.63,11.59,11.66,11.36,29060.0,0.028300000000000002
2005-05-16,12.57,11.6,12.9,11.51,303140.0,0.0808
2005-05-17,13.95,12.74,14.74,12.43,197740.0,0.10980000000000001
2005-05-18,13.99,14.23,14.3,13.65,235740.0,0.0029
2005-05-19,13.99,14.0,14.03,13.93,31380.0,0.0
2005-05-20,13.88,14.0,14.04,13.79,41210.0,-0.0079
2005-05-23,14.0,14.0,14.02,13.37,99190.0,0.0086
2005-05-24,14.0,14.03,14.2,13.9,85040.0,0.0
2005-05-25,14.05,13.85,14.15,13.5,56430.0,0.0036
2005-05-26,14.01,13.95,14.6,13.95,56990.0,-0.0028000000000000004
2005-05-27,14.2,14.22,14.25,14.0,17710.0,0.013600000000000001
2005-05-31,14.0,14.32,14.32,13.69,827960.0,-0.0141
2005-06-01,13.91,14.25,14.26,13.58,22100.0,-0.0064
2005-06-02,13.56,13.84,13.84,13.5,51360.0,-0.0252
2005-06-03,13.74,13.54,13.81,13.5,25930.0,0.013300000000000001
2005-06-06,14.0,13.84,14.0,13.75,39480.0,0.0189
2005-06-07,14.59,14.05,14.59,14.02,43470.0,0.0421
2005-06-08,14.9,14.58,15.08,14.58,75960.0,0.0212
2005-06-09,14.89,14.9,15.29,14.46,101900.0,-0.0007000000000000001
2005-06-10,15.08,14.96,15.58,14.65,31430.0,0.0128
2005-06-13,15.4,15.59,15.99,15.2,49580.0,0.0212
2005-06-14,15.08,15.9,15.9,14.95,53920.0,-0.0208
2005-06-15,15.39,14.92,15.5,14.92,31670.0,0.0206
2005-06-16,15.25,15.39,15.5,15.07,32290.0,-0.0091
2005-06-17,15.2,15.5,15.5,15.0,38430.0,-0.0033
2005-06-20,15.01,15.3,15.3,14.9,32910.0,-0.0125
2005-06-21,14.44,14.95,15.0,14.01,47490.0,-0.038
2005-06-22,13.53,14.25,14.26,13.23,43480.0,-0.063
2005-06-23,12.73,13.28,13.45,12.5,22120.0,-0.0591
2005-06-24,12.0,12.48,12.98,12.0,335690.0,-0.057300000000000004
2005-06-27,11.95,12.16,12.2,11.51,36320.0,-0.0042
