Date,Close,Open,High,Low,Volume,Change
2000-01-03,65.56,65.0,67.44,65.0,2650000.0,-0.0141
2000-01-04,63.5,64.25,65.44,62.75,3700000.0,-0.031400000000000004
2000-01-05,64.31,63.12,65.31,63.0,3410000.0,0.0128
2000-01-06,66.19,65.0,66.19,64.31,2460000.0,0.0292
2000-01-07,71.06,68.0,71.06,67.5,5860000.0,0.0736
2000-01-10,68.12,71.06,71.06,67.94,2830000.0,-0.0414
2000-01-11,68.5,67.0,69.38,67.0,3310000.0,0.005600000000000001
2000-01-12,67.5,67.62,68.31,66.94,3570000.0,-0.0146
2000-01-13,66.69,65.75,68.38,65.62,3640000.0,-0.012
2000-01-14,68.31,68.94,69.25,68.0,3750000.0,0.024300000000000002
2000-01-18,67.31,69.38,69.38,66.5,2080000.0,-0.0146
2000-01-19,67.75,66.0,68.0,65.75,2190000.0,0.006500000000000001
2000-01-20,66.78,67.69,68.25,65.56,2140000.0,-0.0143
2000-01-21,64.75,65.12,65.62,64.12,4050000.0,-0.0304
2000-01-24,62.12,64.62,64.81,61.56,4210000.0,-0.0406
2000-01-25,62.31,62.38,63.25,61.75,3150000.0,0.0031
2000-01-26,62.75,62.94,63.38,62.12,2230000.0,0.0070999999999999995
2000-01-27,64.25,62.0,64.38,61.5,3050000.0,0.0239
2000-01-28,65.31,65.0,67.38,64.88,4280000.0,0.0165
2000-01-31,66.88,65.94,67.0,62.38,3330000.0,0.024
2000-02-01,65.56,65.88,66.5,64.69,2980000.0,-0.0197
2000-02-02,65.06,65.5,66.06,63.88,2069999.9999999998,-0.0076
2000-02-03,65.25,65.31,65.81,63.62,2640000.0,0.0029
2000-02-04,64.88,64.94,65.25,64.5,1720000.0,-0.005699999999999999
2000-02-07,63.31,65.44,65.44,62.75,1960000.0,-0.0242
2000-02-08,63.31,62.62,63.75,62.62,2540000.0,0.0
2000-02-09,61.75,64.38,64.38,61.69,3210000.0,-0.0246
2000-02-10,62.31,61.88,63.0,61.81,2080000.0,0.0091
2000-02-11,61.62,62.5,62.56,61.06,3270000.0,-0.0111
2000-02-14,60.75,61.38,62.0,60.44,2760000.0,-0.0141
2000-02-15,61.19,60.88,61.69,60.62,2990000.0,0.0072
2000-02-16,61.25,62.0,62.44,61.19,3290000.0,0.001
2000-02-17,60.19,61.75,61.94,60.19,3290000.0,-0.0173
2000-02-18,58.5,60.31,60.38,58.25,3680000.0,-0.0281
2000-02-22,59.5,59.75,60.38,57.62,2720000.0,0.0171
2000-02-23,60.31,59.75,60.88,58.31,2490000.0,0.013600000000000001
2000-02-24,58.56,59.94,60.25,57.88,2610000.0,-0.028999999999999998
2000-02-25,56.69,58.44,58.81,56.12,2550000.0,-0.0319
2000-02-28,57.5,57.0,58.44,57.0,3830000.0,0.0143
2000-02-29,59.44,58.5,60.5,58.38,4139999.9999999995,0.0337
2000-03-01,58.88,59.44,60.25,58.0,4190000.0000000005,-0.009399999999999999
2000-03-02,57.69,57.88,59.38,57.19,2100000.0,-0.0202
2000-03-03,58.0,58.62,59.0,57.56,2089999.9999999998,0.0054
2000-03-06,57.62,57.25,58.69,57.12,2550000.0,-0.0066
2000-03-07,54.5,57.88,57.94,54.0,4000000.0,-0.0541
2000-03-08,55.5,55.0,57.38,54.5,4280000.0,0.0183
2000-03-09,60.06,56.44,60.06,56.44,3850000.0,0.08220000000000001
2000-03-10,61.19,60.12,61.94,60.0,3540000.0,0.018799999999999997
2000-03-13,59.25,61.0,61.0,57.62,2130000.0,-0.0317
2000-03-14,57.44,58.25,58.69,57.38,2130000.0,-0.0305
2000-03-15,62.75,57.44,63.5,57.38,4360000.0,0.0924
2000-03-16,64.75,63.88,65.94,63.0,5320000.0,0.0319
2000-03-17,61.38,63.88,63.94,61.0,4840000.0,-0.052000000000000005
2000-03-20,60.75,61.38,61.44,59.62,2270000.0,-0.0103
2000-03-21,61.69,59.75,62.0,59.69,2990000.0,0.0155
2000-03-22,63.56,62.38,64.31,61.62,3350000.0,0.030299999999999997
2000-03-23,64.38,64.19,64.81,63.56,3160000.0,0.0129
2000-03-24,62.12,64.12,64.19,61.12,2060000.0,-0.0351
2000-03-27,60.5,62.0,62.31,59.94,2009999.9999999998,-0.026099999999999998
2000-03-28,60.25,59.81,61.0,59.5,2110000.0,-0.0040999999999999995
