Date,Close,Open,High,Low,Volume,Change
2000-01-03,23.44,23.0,23.62,22.19,1810000.0,0.0418
2000-01-04,21.94,23.12,23.12,21.75,1150000.0,-0.064
2000-01-05,22.19,22.06,22.38,21.5,1310000.0,0.011399999999999999
2000-01-06,23.75,22.12,24.25,22.06,2029999.9999999998,0.0703
2000-01-07,23.5,23.94,24.25,23.25,1200000.0,-0.0105
2000-01-10,24.0,25.5,25.88,24.0,2480000.0,0.0213
2000-01-11,27.0,25.25,28.06,25.0,5370000.0,0.125
2000-01-12,25.94,27.44,27.44,25.5,2049999.9999999998,-0.0393
2000-01-13,26.38,26.0,26.69,25.62,1130000.0,0.017
2000-01-14,26.38,27.0,27.0,26.06,1060000.0,0.0
2000-01-18,26.81,26.31,27.0,25.94,1330000.0,0.0163
2000-01-19,26.19,26.62,26.88,26.0,889100.0,-0.0231
2000-01-20,25.25,26.06,26.12,25.25,1540000.0,-0.0359
2000-01-21,25.12,25.94,25.94,25.0,1620000.0,-0.0051
2000-01-24,24.88,25.12,25.38,24.81,799200.0,-0.0096
2000-01-25,22.0,22.0,22.75,21.25,4930000.0,-0.1158
2000-01-26,21.69,21.94,22.0,21.38,1740000.0,-0.0141
2000-01-27,20.88,21.88,21.94,20.12,3100000.0,-0.0373
2000-01-28,20.12,20.94,20.94,20.12,1080000.0,-0.0364
2000-01-31,20.56,20.06,20.94,20.0,952200.0,0.0219
2000-02-01,20.88,20.88,21.06,20.5,1240000.0,0.015600000000000001
2000-02-02,20.38,20.88,21.19,20.31,1530000.0,-0.0239
2000-02-03,20.56,20.75,20.94,20.38,1380000.0,0.0088
2000-02-04,20.5,20.5,20.88,20.38,550300.0,-0.0029
2000-02-07,20.31,20.5,20.69,20.25,574200.0,-0.009300000000000001
2000-02-08,20.38,20.69,21.19,20.38,973700.0,0.0034000000000000002
2000-02-09,20.38,20.44,20.56,20.25,918900.0,0.0
2000-02-10,19.12,20.5,20.5,18.94,2520000.0,-0.061799999999999994
2000-02-11,18.88,19.44,19.44,18.81,3990000.0,-0.0126
2000-02-14,18.94,18.69,19.19,18.62,622200.0,0.0032
2000-02-15,18.62,18.88,18.94,18.31,1200000.0,-0.0169
