Date,Close,Open,High,Low,Volume,Change
2000-01-03,31.88,32.06,32.38,31.62,12210000.0,-0.0173
2000-01-04,30.69,31.25,31.5,30.0,13480000.0,-0.0373
2000-01-05,31.19,30.88,31.88,30.81,12320000.0,0.0163
2000-01-06,32.31,31.25,32.75,31.19,10550000.0,0.0359
2000-01-07,34.5,34.0,34.88,32.31,17040000.0,0.0678
2000-01-10,34.44,35.0,35.0,34.06,9880000.0,-0.0017000000000000001
2000-01-11,34.0,34.25,35.0,34.0,9250000.0,-0.0128
2000-01-12,35.12,34.5,35.31,34.44,10840000.0,0.0329
2000-01-13,37.0,34.94,37.12,34.62,26290000.0,0.0535
2000-01-14,37.0,37.44,37.62,37.0,16180000.0,0.0
2000-01-18,36.5,37.12,37.25,35.81,10870000.0,-0.013500000000000002
2000-01-19,37.0,36.75,37.06,36.31,10050000.0,0.0137
2000-01-20,36.39,36.75,36.88,35.81,7980000.0,-0.0165
2000-01-21,35.06,36.56,36.56,35.0,12360000.0,-0.0365
2000-01-24,34.38,35.0,35.25,33.38,13030000.0,-0.0194
2000-01-25,34.88,34.5,35.44,34.31,9400000.0,0.014499999999999999
2000-01-26,34.88,34.81,35.0,34.38,7330000.0,0.0
2000-01-27,34.5,34.56,35.44,34.5,8590000.0,-0.0109
2000-01-28,35.19,34.5,35.69,33.88,11230000.0,0.02
2000-01-31,36.19,34.0,36.5,34.0,10170000.0,0.028399999999999998
2000-02-01,37.0,35.56,37.19,35.5,11710000.0,0.022400000000000003
2000-02-02,36.0,36.94,37.0,35.75,7140000.0,-0.027000000000000003
2000-02-03,35.62,36.06,36.62,35.31,8800000.0,-0.0106
2000-02-04,35.75,36.12,36.12,35.31,6610000.0,0.0036
2000-02-07,37.0,35.88,37.0,35.56,12710000.0,0.035
2000-02-08,37.81,37.06,37.94,36.88,15360000.0,0.0219
2000-02-09,36.12,37.62,37.69,36.12,11210000.0,-0.0447
2000-02-10,35.0,36.5,36.5,35.0,10580000.0,-0.031
2000-02-11,35.0,35.56,35.56,34.0,10170000.0,0.0
2000-02-14,35.0,33.56,35.31,33.56,8390000.0,0.0
2000-02-15,35.56,35.06,35.88,34.75,7830000.0,0.016
2000-02-16,33.75,35.0,35.06,33.75,9870000.0,-0.0509
2000-02-17,34.0,34.12,34.38,33.62,8500000.0,0.0074
2000-02-18,34.0,34.0,34.0,32.88,10310000.0,0.0
2000-02-22,33.5,33.44,33.81,33.12,8740000.0,-0.0147
2000-02-23,34.0,33.81,34.0,32.94,9090000.0,0.0149
2000-02-24,33.06,32.88,33.31,32.56,9290000.0,-0.0276
2000-02-25,32.38,33.0,33.25,32.0,8260000.0,-0.0206
2000-02-28,32.19,32.12,32.44,31.94,8109999.999999999,-0.0059
2000-02-29,32.12,32.88,32.88,31.62,11810000.0,-0.0022
2000-03-01,31.88,32.12,32.44,31.5,10990000.0,-0.0075
2000-03-02,32.0,32.0,32.0,31.5,8350000.0,0.0038
2000-03-03,32.62,33.5,33.5,31.5,10050000.0,0.0194
2000-03-06,31.69,32.06,32.56,31.5,10580000.0,-0.0285
2000-03-07,30.0,31.38,31.5,30.0,14540000.0,-0.0533
2000-03-08,32.44,31.0,33.12,30.19,18810000.0,0.08130000000000001
2000-03-09,34.38,32.62,34.38,32.25,18200000.0,0.059800000000000006
2000-03-10,35.0,35.12,35.25,34.0,19470000.0,0.018000000000000002
2000-03-13,34.31,35.12,35.12,33.5,11670000.0,-0.0197
2000-03-14,33.25,34.19,34.19,33.0,8640000.0,-0.030899999999999997
2000-03-15,35.25,33.88,35.62,33.75,15510000.0,0.0602
2000-03-16,36.5,36.19,36.56,35.62,18350000.0,0.0355
2000-03-17,35.81,36.06,36.31,35.5,12780000.0,-0.0189
2000-03-20,35.0,36.0,36.06,34.0,7860000.0,-0.0226
2000-03-21,36.69,36.06,37.0,35.81,13600000.0,0.0483
2000-03-22,35.62,35.75,36.12,34.62,17390000.0,-0.0292
2000-03-23,35.25,34.81,35.94,34.81,10120000.0,-0.0104
2000-03-24,34.88,35.25,35.88,34.81,9000000.0,-0.0105
2000-03-27,34.75,34.88,35.5,34.69,9270000.0,-0.0037
2000-03-28,35.06,34.25,35.56,34.25,8810000.0,0.0089
2000-03-29,36.38,35.25,36.75,35.1,13950000.0,0.037599999999999995
2000-03-30,36.5,36.44,36.81,36.06,9920000.0,0.0033
2000-03-31,36.56,36.56,36.88,35.69,8660000.0,0.0016
2000-04-03,38.0,37.0,38.62,36.75,19050000.0,0.0394
2000-04-04,39.75,38.69,40.0,38.0,33560000.0,0.0461
2000-04-05,38.62,38.5,39.19,38.38,9550000.0,-0.028399999999999998
2000-04-06,38.38,38.12,38.62,37.75,9530000.0,-0.0062
2000-04-07,38.81,38.5,39.44,38.44,9320000.0,0.011200000000000002
2000-04-10,39.81,38.94,40.31,38.75,15380000.0,0.0258
2000-04-11,39.81,39.75,40.5,39.56,13080000.0,0.0
2000-04-12,40.38,39.5,41.0,39.25,16950000.0,0.0143
2000-04-13,39.62,40.19,40.38,38.94,12540000.0,-0.018799999999999997
2000-04-14,37.94,38.94,39.06,36.88,13730000.0,-0.0424
2000-04-17,38.0,37.25,38.88,37.0,13850000.0,0.0016
2000-04-18,39.56,38.0,39.62,38.0,14220000.0,0.041100000000000005
2000-04-19,41.31,39.69,42.5,39.38,20080000.0,0.044199999999999996
2000-04-20,41.5,42.12,42.12,40.75,10860000.0,0.0046
2000-04-24,43.5,41.5,44.25,41.25,14900000.0,0.0482
2000-04-25,43.44,43.12,43.75,42.19,10370000.0,-0.0014000000000000002
2000-04-26,43.5,42.75,43.5,42.5,10410000.0,0.0014000000000000002
2000-04-27,42.75,42.0,43.56,42.0,10270000.0,-0.0172
