Date,Close,Open,High,Low,Volume,Change
2000-01-03,5.11,5.28,5.28,5.06,770400.0,-0.021099999999999997
2000-01-04,5.09,5.06,5.12,5.05,620800.0,-0.0039000000000000003
2000-01-05,5.09,5.08,5.11,4.99,845600.0,0.0
2000-01-06,5.09,5.09,5.12,5.06,265600.0,0.0
2000-01-07,5.11,5.11,5.15,5.09,1010000.0,0.0039000000000000003
2000-01-10,5.17,5.14,5.17,5.06,973600.0,0.011699999999999999
2000-01-11,5.2,5.28,5.38,5.17,300800.0,0.0058
2000-01-12,5.11,5.22,5.22,5.06,419200.0,-0.0173
2000-01-13,5.42,5.11,5.44,5.11,1070000.0,0.060700000000000004
2000-01-14,5.3,5.38,5.5,5.3,999200.0,-0.022099999999999998
2000-01-18,5.61,5.38,5.61,5.38,903200.0,0.058499999999999996
2000-01-19,5.73,5.62,5.74,5.62,996800.0,0.021400000000000002
2000-01-20,6.05,5.83,6.05,5.8,563200.0,0.0558
2000-01-21,6.81,6.12,6.89,6.12,1500000.0,0.12560000000000002
2000-01-24,6.86,6.81,7.12,6.78,1000000.0,0.0073
2000-01-25,6.24,6.88,6.88,6.17,2020000.0,-0.0904
2000-01-26,5.98,6.26,6.26,5.83,1250000.0,-0.0417
2000-01-27,5.59,5.98,5.98,5.5,848800.0,-0.0652
2000-01-28,5.5,5.59,5.8,5.41,2180000.0,-0.0161
2000-01-31,5.38,5.5,5.5,5.27,964800.0,-0.0218
2000-02-01,5.55,5.34,5.56,5.31,1070000.0,0.0316
2000-02-02,5.34,5.54,5.7,5.31,312000.0,-0.0378
2000-02-03,6.38,6.23,6.5,6.0,2490000.0,0.1948
2000-02-04,6.82,6.5,6.97,6.48,2260000.0,0.069
2000-02-07,6.94,6.83,7.47,6.83,1300000.0,0.0176
2000-02-08,7.0,6.94,7.09,6.72,1020000.0,0.0086
2000-02-09,7.32,7.12,7.47,7.12,1650000.0,0.045700000000000005
2000-02-10,7.62,7.32,7.62,7.32,823200.0,0.040999999999999995
2000-02-11,7.19,7.62,7.62,7.09,446400.0,-0.0564
2000-02-14,7.21,7.19,7.25,7.19,395200.0,0.0028000000000000004
2000-02-15,7.08,7.23,7.23,7.07,536000.0,-0.018000000000000002
2000-02-16,7.07,7.11,7.14,7.0,235200.0,-0.0014000000000000002
2000-02-17,7.11,7.14,7.17,7.06,860000.0,0.005699999999999999
2000-02-18,7.16,7.11,7.2,7.09,677600.0,0.006999999999999999
2000-02-22,7.42,7.23,7.45,7.14,747200.0,0.0363
2000-02-23,7.46,7.39,7.5,7.27,1540000.0,0.0054
2000-02-24,8.58,7.55,8.75,7.55,1710000.0,0.1501
2000-02-25,8.52,8.62,9.12,8.3,2540000.0,-0.006999999999999999
2000-02-28,9.25,8.97,9.27,8.84,1040000.0,0.0857
2000-02-29,9.33,9.59,9.59,9.23,2190000.0,0.0086
2000-03-01,9.88,9.62,9.91,9.5,1720000.0,0.058899999999999994
2000-03-02,9.81,10.02,10.05,9.66,1100000.0,-0.0070999999999999995
2000-03-03,9.7,9.72,9.84,9.69,696800.0,-0.011200000000000002
2000-03-06,9.87,9.7,9.87,9.62,707200.0,0.0175
2000-03-07,9.65,9.88,9.94,9.56,768000.0,-0.0223
2000-03-08,9.64,9.52,9.64,9.13,1140000.0,-0.001
2000-03-09,9.88,9.75,9.92,9.75,623200.0,0.024900000000000002
2000-03-10,9.41,9.88,9.88,9.38,586400.0,-0.047599999999999996
2000-03-13,9.09,9.28,9.36,9.02,680000.0,-0.034
2000-03-14,7.5,8.86,8.86,7.25,2540000.0,-0.17489999999999997
2000-03-15,8.31,7.5,8.44,7.47,1610000.0,0.10800000000000001
2000-03-16,9.19,8.5,9.19,8.5,720000.0,0.1059
2000-03-17,9.12,9.09,9.16,9.0,553600.0,-0.0076
2000-03-20,9.09,9.06,9.13,9.04,345600.0,-0.0033
2000-03-21,9.23,9.06,9.23,8.97,534400.0,0.0154
2000-03-22,9.91,9.23,9.92,9.23,686400.0,0.0737
2000-03-23,9.88,9.91,10.17,9.86,1520000.0,-0.003
2000-03-24,8.88,9.84,9.84,8.78,1370000.0,-0.1012
2000-03-27,8.5,9.05,9.16,8.5,1790000.0,-0.042800000000000005
2000-03-28,9.09,8.72,9.16,8.72,1620000.0,0.0694
2000-03-29,8.62,9.09,9.19,8.61,860000.0,-0.051699999999999996
2000-03-30,8.7,8.44,8.87,8.44,1350000.0,0.009300000000000001
2000-03-31,8.92,8.78,8.97,8.78,804000.0,0.0253
2000-04-03,9.22,9.03,9.75,9.03,407200.0,0.0336
2000-04-04,7.91,9.22,9.22,7.5,595200.0,-0.1421
2000-04-05,8.75,8.19,8.97,7.98,1260000.0,0.10619999999999999
2000-04-06,8.34,8.75,8.77,8.28,311600.0,-0.046900000000000004
2000-04-07,8.55,8.56,8.62,8.41,170800.0,0.0252
2000-04-10,9.11,8.52,9.44,8.52,539600.0,0.0655
2000-04-11,8.31,9.41,9.66,8.19,672400.0,-0.08779999999999999
2000-04-12,8.06,8.44,8.69,8.06,326000.0,-0.0301
2000-04-13,7.28,8.06,8.16,7.19,734000.0,-0.0968
2000-04-14,7.38,7.31,7.41,7.28,1760000.0,0.0137
2000-04-17,7.36,7.06,7.62,7.06,695600.0,-0.0027
2000-04-18,8.59,7.45,8.59,7.45,335200.0,0.1671
2000-04-19,8.31,8.31,8.56,8.19,311200.0,-0.0326
2000-04-20,7.95,8.31,8.47,7.92,163600.0,-0.0433
2000-04-24,6.75,7.95,7.95,6.69,734000.0,-0.1509
2000-04-25,7.61,7.12,7.69,7.12,664400.0,0.1274
2000-04-26,8.47,7.75,8.47,7.75,862800.0,0.113
2000-04-27,8.47,8.41,8.62,8.25,522000.0,0.0
2000-04-28,8.5,8.66,8.94,8.5,438800.0,0.0034999999999999996
2000-05-01,9.52,8.88,9.66,8.88,456800.0,0.12
2000-05-02,9.0,9.53,9.53,8.94,670400.0,-0.0546
2000-05-03,6.97,7.25,7.41,6.59,3590000.0,-0.2256
2000-05-04,6.97,7.25,7.31,6.83,2600000.0,0.0
2000-05-05,7.19,6.97,7.19,6.92,2060000.0,0.0316
2000-05-08,7.09,7.31,7.38,7.0,1140000.0,-0.0139
2000-05-09,6.94,7.12,7.12,6.84,457600.0,-0.0212
2000-05-10,6.62,6.88,6.88,6.62,487200.0,-0.0461
2000-05-11,6.25,6.56,6.62,6.25,626800.0,-0.0559
2000-05-12,6.03,6.25,6.34,6.0,1310000.0,-0.0352
2000-05-15,6.53,6.02,6.53,5.86,1880000.0,0.08289999999999999
2000-05-16,6.17,6.5,6.5,6.16,1350000.0,-0.055099999999999996
2000-05-17,6.25,6.22,6.3,6.17,1870000.0,0.013000000000000001
2000-05-18,6.25,6.22,6.36,6.22,1300000.0,0.0
2000-05-19,6.25,6.2,6.25,6.19,405200.0,0.0
2000-05-22,6.0,6.25,6.34,6.0,1070000.0,-0.04
2000-05-23,5.94,6.06,6.06,5.81,573600.0,-0.01
2000-05-24,5.73,5.94,5.94,5.72,311600.0,-0.0354
2000-05-25,5.53,5.8,5.88,5.5,343200.0,-0.0349
2000-05-26,5.5,5.5,5.66,4.94,800800.0,-0.0054
2000-05-30,5.97,5.69,6.03,5.62,528400.0,0.0855
2000-05-31,6.0,5.94,6.0,5.78,758000.0,0.005
2000-06-01,6.09,6.12,6.22,6.09,319600.0,0.015
2000-06-02,6.33,6.31,6.5,6.25,1110000.0,0.0394
2000-06-05,6.72,6.45,6.73,6.45,384400.0,0.0616
2000-06-06,6.91,6.94,7.2,6.89,314400.0,0.028300000000000002
2000-06-07,6.59,7.0,7.03,6.41,930800.0,-0.0463
2000-06-08,6.48,6.66,6.69,6.47,331600.0,-0.0167
2000-06-09,6.55,6.53,6.66,6.5,405200.0,0.0108
2000-06-12,6.36,6.53,6.53,6.31,143200.0,-0.028999999999999998
2000-06-13,6.78,6.38,6.78,6.38,452800.0,0.066
2000-06-14,7.5,7.0,7.81,7.0,1260000.0,0.10619999999999999
2000-06-15,7.64,7.5,7.78,7.47,626000.0,0.0187
2000-06-16,7.25,7.62,7.64,7.19,637200.0,-0.051
2000-06-19,7.56,7.31,7.72,7.31,835200.0,0.042800000000000005
2000-06-20,7.64,7.66,7.81,7.5,629600.0,0.0106
2000-06-21,7.48,7.66,7.75,7.47,1150000.0,-0.0209
2000-06-22,7.3,7.48,7.48,7.17,668000.0,-0.0241
