Date,Close,Open,High,Low,Volume,Change
2000-01-03,10.06,10.25,10.31,10.0,383100.0,-0.018500000000000003
2000-01-04,9.75,10.06,10.12,9.69,321700.0,-0.0308
2000-01-05,9.69,9.75,9.88,9.5,327600.0,-0.0062
2000-01-06,9.88,9.56,9.88,9.12,663900.0,0.0196
2000-01-07,9.75,9.75,9.88,9.38,313000.0,-0.0132
2000-01-10,9.88,9.81,10.0,9.62,401000.0,0.013300000000000001
2000-01-11,9.69,9.88,10.25,9.69,448000.0,-0.0192
2000-01-12,11.0,9.69,11.19,9.69,751200.0,0.1352
2000-01-13,11.62,11.38,11.94,11.25,851500.0,0.0564
2000-01-14,11.38,11.69,11.75,11.12,422400.0,-0.0207
2000-01-18,11.12,11.56,11.69,11.0,216600.0,-0.022799999999999997
2000-01-19,10.62,11.0,11.0,10.62,232600.0,-0.045
2000-01-20,10.56,10.62,10.75,10.31,233200.0,-0.005600000000000001
2000-01-21,10.31,10.56,10.62,10.25,272200.0,-0.023700000000000002
2000-01-24,10.0,10.19,10.44,10.0,268300.0,-0.0301
2000-01-25,10.0,10.0,10.19,9.81,274700.0,0.0
2000-01-26,10.75,10.12,10.94,9.94,648500.0,0.075
2000-01-27,10.5,10.5,10.62,10.25,274600.0,-0.0233
2000-01-28,10.19,10.56,10.56,10.19,321200.0,-0.029500000000000002
2000-01-31,10.5,10.06,10.56,10.0,309100.0,0.0304
2000-02-01,11.12,10.56,11.38,10.56,347900.0,0.059000000000000004
2000-02-02,11.75,11.25,12.12,11.25,908500.0,0.0567
2000-02-03,11.25,11.81,12.0,11.12,555600.0,-0.0426
2000-02-04,11.38,11.5,11.62,11.0,348700.0,0.0116
2000-02-07,11.0,11.25,11.31,10.94,292300.0,-0.0334
2000-02-08,11.19,11.12,11.25,10.94,196700.0,0.0173
2000-02-09,11.19,11.19,11.25,11.06,326700.0,0.0
2000-02-10,11.31,11.19,11.5,10.94,943200.0,0.010700000000000001
2000-02-11,11.12,11.38,11.5,11.12,1690000.0,-0.0168
2000-02-14,10.88,11.0,11.06,10.75,242400.0,-0.0216
2000-02-15,10.81,10.81,11.0,10.62,405200.0,-0.0064
2000-02-16,10.75,10.94,10.94,10.62,277300.0,-0.005600000000000001
2000-02-17,10.5,10.75,10.81,10.5,197600.0,-0.0233
2000-02-18,10.5,10.69,10.75,10.38,176000.0,0.0
2000-02-22,10.38,10.69,10.81,10.25,355000.0,-0.011399999999999999
2000-02-23,10.31,10.38,10.38,10.19,242400.0,-0.0067
2000-02-24,10.19,10.38,10.38,10.0,187700.0,-0.0116
2000-02-25,10.06,10.31,10.38,10.0,187100.0,-0.0128
2000-02-28,9.88,10.06,10.06,9.88,171700.0,-0.0179
2000-02-29,9.69,10.0,10.06,9.69,264700.0,-0.0192
2000-03-01,9.75,9.69,9.81,9.5,273400.0,0.0062
2000-03-02,9.69,9.75,10.31,9.44,337300.0,-0.0062
2000-03-03,10.12,9.62,10.19,9.62,261300.0,0.0444
2000-03-06,9.81,10.0,10.12,9.81,170000.0,-0.030600000000000002
2000-03-07,9.75,9.81,10.12,9.72,733100.0,-0.0060999999999999995
2000-03-08,9.5,9.69,9.88,9.31,273800.0,-0.0256
2000-03-09,9.5,9.5,9.62,9.31,242300.0,0.0
2000-03-10,10.44,9.44,10.44,9.44,404800.0,0.0989
2000-03-13,10.25,10.0,10.25,9.69,270700.0,-0.0182
2000-03-14,10.0,10.19,10.25,9.88,242000.0,-0.024399999999999998
2000-03-15,10.0,9.94,10.31,9.81,279600.0,0.0
2000-03-16,10.06,10.0,10.12,9.88,921200.0,0.006
2000-03-17,9.94,10.0,10.0,9.81,451100.0,-0.011899999999999999
2000-03-20,9.94,9.94,10.12,9.75,342200.0,0.0
2000-03-21,9.5,10.0,10.0,9.38,538000.0,-0.0443
2000-03-22,10.44,9.62,10.44,9.56,2230000.0,0.0989
2000-03-23,10.06,10.38,10.38,9.88,1140000.0,-0.0364
2000-03-24,9.88,10.0,10.06,9.75,421500.0,-0.0179
2000-03-27,9.88,9.94,10.06,9.75,285800.0,0.0
2000-03-28,9.88,9.75,10.06,9.75,1060000.0,0.0
2000-03-29,9.75,9.94,10.0,9.75,340600.0,-0.0132
2000-03-30,9.88,9.88,10.06,9.62,622300.0,0.013300000000000001
2000-03-31,10.25,9.81,10.25,9.25,692300.0,0.0374
2000-04-03,10.38,10.12,10.38,9.75,441400.0,0.0127
2000-04-04,11.38,10.31,11.38,10.25,842600.0,0.09630000000000001
2000-04-05,11.56,11.19,11.88,11.12,598400.0,0.0158
2000-04-06,11.31,11.56,11.62,11.0,277500.0,-0.0216
2000-04-07,11.12,11.56,11.56,10.94,346200.0,-0.0168
2000-04-10,11.81,11.75,12.06,11.62,493100.0,0.0621
2000-04-11,11.44,11.81,11.88,11.12,235500.0,-0.0313
2000-04-12,11.06,11.56,11.62,11.0,179400.0,-0.0332
2000-04-13,10.69,11.06,11.25,10.56,213200.0,-0.0335
2000-04-14,10.19,10.75,10.75,10.12,418900.0,-0.046799999999999994
2000-04-17,10.12,10.06,10.19,9.81,335800.0,-0.0069
2000-04-18,10.12,9.88,10.19,9.88,240000.0,0.0
2000-04-19,9.94,10.06,10.19,9.88,191600.0,-0.0178
2000-04-20,10.25,10.06,10.25,9.94,214200.0,0.031200000000000002
2000-04-24,9.94,10.12,10.25,9.75,259000.0,-0.0302
2000-04-25,10.06,10.06,10.19,10.0,312200.0,0.0121
2000-04-26,9.75,9.88,10.0,9.38,643600.0,-0.0308
2000-04-27,8.75,9.62,9.62,8.69,684300.0,-0.1026
2000-04-28,9.0,8.94,9.31,8.88,341700.0,0.0286
2000-05-01,9.0,9.0,9.19,8.88,283200.0,0.0
2000-05-02,8.75,8.94,9.06,8.75,347500.0,-0.0278
2000-05-03,8.56,8.75,8.75,8.5,266300.0,-0.0217
2000-05-04,8.81,8.62,8.81,8.56,228500.0,0.0292
2000-05-05,9.12,8.81,9.12,8.81,492100.0,0.0352
2000-05-08,8.94,9.0,9.12,8.88,266600.0,-0.0197
2000-05-09,8.94,8.88,9.12,8.88,343000.0,0.0
2000-05-10,8.75,9.0,9.0,8.62,161500.0,-0.0213
2000-05-11,8.62,8.62,8.69,8.5,280200.0,-0.0149
2000-05-12,8.62,8.62,8.81,8.62,97800.0,0.0
2000-05-15,8.69,8.5,8.75,8.44,259200.0,0.008100000000000001
2000-05-16,8.75,8.69,9.06,8.69,196300.0,0.0069
2000-05-17,8.62,8.69,8.75,8.62,222900.0,-0.0149
2000-05-18,8.56,8.62,8.69,8.56,153500.0,-0.006999999999999999
2000-05-19,8.62,8.56,8.69,8.5,220800.0,0.006999999999999999
2000-05-22,8.44,8.69,8.75,8.25,156700.0,-0.0209
2000-05-23,8.44,8.44,8.5,8.31,230500.0,0.0
2000-05-24,8.44,8.38,8.56,8.38,238800.0,0.0
2000-05-25,8.31,8.44,8.56,8.31,178300.0,-0.0154
2000-05-26,8.06,8.38,8.38,7.94,289900.0,-0.0301
2000-05-30,8.81,8.06,8.81,8.06,244700.0,0.0931
2000-05-31,9.06,8.69,9.19,8.5,206300.0,0.028399999999999998
2000-06-01,8.81,9.0,9.25,8.56,326900.0,-0.0276
2000-06-02,8.19,8.94,9.0,8.12,352000.0,-0.0704
2000-06-05,8.56,8.31,8.56,8.25,207900.0,0.0452
2000-06-06,8.31,8.5,8.5,8.25,117200.0,-0.0292
2000-06-07,8.94,8.31,8.94,8.31,432700.0,0.0758
2000-06-08,9.19,8.94,9.31,8.94,213700.0,0.027999999999999997
2000-06-09,9.56,9.19,9.75,9.12,631400.0,0.0403
2000-06-12,8.88,9.62,9.62,8.81,190600.0,-0.0711
2000-06-13,8.88,9.0,9.0,8.75,286800.0,0.0
2000-06-14,8.94,8.81,9.0,8.81,139400.0,0.0068000000000000005
2000-06-15,9.0,9.0,9.06,8.88,162700.0,0.0067
2000-06-16,8.62,8.88,8.94,8.62,302900.0,-0.042199999999999994
2000-06-19,8.94,8.75,8.94,8.62,165900.0,0.0371
2000-06-20,8.75,8.81,8.81,8.62,177800.0,-0.0213
2000-06-21,8.94,8.75,9.0,8.75,174700.0,0.0217
2000-06-22,9.31,8.94,9.31,8.94,208000.0,0.0414
2000-06-23,8.94,9.31,9.31,8.81,168900.0,-0.0397
2000-06-26,9.31,9.0,9.38,9.0,141000.0,0.0414
2000-06-27,9.12,9.31,9.5,9.12,292800.0,-0.0204
2000-06-28,9.12,9.19,9.19,9.0,148200.0,0.0
2000-06-29,9.0,9.0,9.12,8.88,120400.0,-0.0132
2000-06-30,8.88,9.0,9.19,8.88,165500.0,-0.013300000000000001
2000-07-03,9.06,8.94,9.12,8.94,131200.0,0.0203
2000-07-05,9.06,9.06,9.31,9.0,189100.0,0.0
2000-07-06,9.25,9.06,9.25,9.06,167300.0,0.021
2000-07-07,9.44,9.19,9.5,9.06,130600.0,0.020499999999999997
2000-07-10,9.81,9.5,10.12,9.5,257100.00000000003,0.0392
2000-07-11,9.75,9.94,10.0,9.69,164400.0,-0.0060999999999999995
2000-07-12,9.75,9.75,9.94,9.56,115700.0,0.0
2000-07-13,9.25,9.94,9.94,9.06,164500.0,-0.0513
2000-07-14,8.75,9.25,9.38,8.69,224400.0,-0.0541
2000-07-17,8.75,8.75,8.88,8.56,142300.0,0.0
2000-07-18,8.69,8.75,8.81,8.56,78300.0,-0.0069
2000-07-19,8.69,8.75,8.75,8.5,223700.0,0.0
2000-07-20,8.69,8.62,8.81,8.38,169000.0,0.0
2000-07-21,8.56,8.62,8.69,8.31,197100.0,-0.015
2000-07-24,8.44,8.56,8.69,8.31,197300.0,-0.013999999999999999
2000-07-25,8.06,8.44,8.5,7.94,319800.0,-0.045
2000-07-26,8.88,8.12,9.0,8.12,318300.0,0.1017
2000-07-27,9.31,8.88,9.62,8.81,454600.0,0.0484
2000-07-28,9.12,9.38,9.5,9.06,156700.0,-0.0204
2000-07-31,9.0,9.0,9.06,8.81,178500.0,-0.0132
2000-08-01,8.88,8.94,8.94,8.56,573400.0,-0.013300000000000001
2000-08-02,9.0,8.75,9.06,8.56,279400.0,0.013500000000000002
2000-08-03,9.25,9.0,9.25,8.62,189500.0,0.0278
2000-08-04,8.94,9.12,9.19,8.94,94700.0,-0.0335
2000-08-07,8.75,8.88,8.94,8.69,101400.0,-0.0213
2000-08-08,8.56,8.75,8.75,8.56,114800.0,-0.0217
2000-08-09,8.56,8.62,8.62,8.56,123900.0,0.0
2000-08-10,8.62,8.56,8.62,8.56,124800.0,0.006999999999999999
2000-08-11,9.12,8.56,9.12,8.56,154400.0,0.057999999999999996
2000-08-14,9.06,9.06,9.19,9.0,94100.0,-0.0066
2000-08-15,8.75,9.0,9.06,8.69,76100.0,-0.0342
2000-08-16,8.88,8.88,9.06,8.75,203100.0,0.0149
2000-08-17,9.0,8.94,9.12,8.88,361500.0,0.013500000000000002
2000-08-18,8.94,8.88,9.06,8.75,380500.0,-0.0067
2000-08-21,9.0,9.0,9.19,8.94,423700.0,0.0067
2000-08-22,9.0,8.88,9.06,8.69,688300.0,0.0
2000-08-23,9.06,8.94,9.19,8.88,274600.0,0.0067
2000-08-24,9.06,9.0,9.12,8.94,197700.0,0.0
2000-08-25,9.25,9.06,9.38,9.0,201400.0,0.021
2000-08-28,9.94,9.25,9.94,9.25,290700.0,0.0746
2000-08-29,9.88,9.94,10.12,9.69,279900.0,-0.006
2000-08-30,9.88,9.94,9.94,9.75,177300.0,0.0
2000-08-31,10.25,9.81,10.44,9.81,596000.0,0.0374
2000-09-01,10.38,10.44,10.44,10.12,162000.0,0.0127
2000-09-05,10.38,10.38,10.44,10.12,229500.0,0.0
2000-09-06,11.12,10.31,11.31,10.25,418400.0,0.0713
2000-09-07,11.69,11.25,11.75,11.19,588000.0,0.0513
2000-09-08,11.88,11.75,12.06,11.75,934800.0,0.0163
2000-09-11,11.75,11.94,11.94,11.75,388900.0,-0.0109
2000-09-12,11.81,11.75,11.88,11.69,148100.0,0.0051
2000-09-13,12.19,11.88,12.19,11.88,279600.0,0.0322
2000-09-14,12.31,12.19,12.38,12.06,226400.0,0.0098
2000-09-15,12.19,12.0,12.38,11.88,235000.0,-0.0097
2000-09-18,11.88,12.12,12.19,11.62,131800.0,-0.0254
2000-09-19,12.12,11.88,12.25,11.75,266800.0,0.0202
2000-09-20,12.44,12.19,12.5,12.19,216900.0,0.0264
2000-09-21,11.75,12.38,12.38,11.75,122200.0,-0.0555
2000-09-22,11.94,11.81,12.06,11.0,371600.0,0.016200000000000003
2000-09-25,12.0,11.88,12.12,11.88,118400.0,0.005
2000-09-26,11.88,11.94,11.94,11.81,189500.0,-0.01
2000-09-27,11.94,11.88,12.0,11.75,135100.0,0.0051
2000-09-28,11.88,11.88,11.94,11.81,190900.0,-0.005
2000-09-29,12.0,11.88,12.06,11.88,292400.0,0.0101
2000-10-02,13.25,11.88,13.25,11.81,366700.0,0.1042
2000-10-03,13.56,12.94,14.38,12.88,606900.0,0.023399999999999997
2000-10-04,13.81,13.69,14.0,13.56,482000.0,0.0184
2000-10-05,13.88,13.75,13.94,13.56,302100.0,0.0051
2000-10-06,14.0,13.94,14.31,13.94,923300.0,0.0086
2000-10-09,13.62,13.88,13.94,13.19,180100.0,-0.0271
2000-10-10,13.75,13.62,14.0,13.62,173800.0,0.0095
2000-10-11,13.88,13.69,14.75,13.44,455100.0,0.0095
2000-10-12,13.5,13.88,13.88,13.5,154300.0,-0.0274
2000-10-13,13.75,13.38,13.75,13.0,146100.0,0.018500000000000003
2000-10-16,13.56,13.56,13.69,13.44,151500.0,-0.0138
2000-10-17,13.44,13.62,13.69,13.19,207100.0,-0.0088
2000-10-18,13.88,13.38,13.88,12.88,212800.0,0.0327
2000-10-19,14.5,14.0,15.0,14.0,594900.0,0.0447
2000-10-20,14.75,14.62,15.12,14.44,424900.0,0.0172
2000-10-23,15.44,14.62,15.5,14.56,447800.0,0.046799999999999994
2000-10-24,15.06,15.31,15.5,14.88,340100.0,-0.0246
2000-10-25,14.88,14.94,15.06,14.56,201400.0,-0.012
2000-10-26,15.12,14.88,15.12,14.75,308400.0,0.0161
2000-10-27,15.5,15.06,15.62,14.94,840200.0,0.025099999999999997
2000-10-30,14.44,15.56,15.56,14.38,366600.0,-0.0684
2000-10-31,15.0,14.38,15.0,14.0,577400.0,0.0388
2000-11-01,14.88,14.88,15.06,14.56,829300.0,-0.008
2000-11-02,15.0,14.81,15.31,14.81,737000.0,0.008100000000000001
2000-11-03,15.62,14.88,15.62,14.88,512500.0,0.041299999999999996
2000-11-06,16.12,15.94,16.44,15.81,606800.0,0.032
2000-11-07,15.94,16.0,16.06,15.5,335500.0,-0.011200000000000002
2000-11-08,16.75,15.94,16.94,15.88,728300.0,0.0508
2000-11-09,16.5,16.62,16.69,16.44,347100.0,-0.0149
2000-11-10,16.31,16.44,16.5,15.81,240600.0,-0.0115
2000-11-13,15.5,16.12,16.12,15.38,198600.0,-0.049699999999999994
2000-11-14,15.62,15.62,15.75,15.5,197200.0,0.0077
2000-11-15,16.0,15.62,16.0,15.5,294900.0,0.024300000000000002
2000-11-16,15.25,16.0,16.19,15.25,195700.0,-0.046900000000000004
2000-11-17,15.56,15.31,15.62,15.12,203500.0,0.0203
2000-11-20,15.5,15.5,15.62,15.31,312600.0,-0.0039000000000000003
2000-11-21,15.56,15.56,15.94,15.38,196000.0,0.0039000000000000003
2000-11-22,15.31,15.44,15.5,14.75,138900.0,-0.0161
2000-11-24,15.5,15.31,15.5,15.19,77500.0,0.0124
2000-11-27,15.25,15.38,15.75,15.0,191100.0,-0.0161
2000-11-28,15.12,15.25,15.31,14.88,231000.0,-0.0085
2000-11-29,15.5,15.12,15.5,15.06,177200.0,0.025099999999999997
2000-11-30,15.0,15.38,15.44,14.56,185400.0,-0.0323
2000-12-01,15.25,14.88,15.38,14.88,136800.0,0.0167
2000-12-04,14.88,15.06,15.25,14.88,184000.0,-0.024300000000000002
2000-12-05,15.25,14.94,15.5,14.88,249700.0,0.024900000000000002
2000-12-06,14.81,15.12,15.19,14.75,117400.0,-0.028900000000000002
2000-12-07,15.0,14.81,15.0,14.81,138500.0,0.0128
2000-12-08,14.75,14.88,15.06,14.62,274200.0,-0.0167
2000-12-11,15.38,14.81,15.5,14.75,363200.0,0.042699999999999995
2000-12-12,15.81,15.25,16.0,15.12,387000.0,0.027999999999999997
2000-12-13,15.44,15.69,15.75,15.25,147400.0,-0.023399999999999997
2000-12-14,15.06,15.38,15.44,14.75,169800.0,-0.0246
2000-12-15,14.5,14.94,14.94,14.5,191600.0,-0.037200000000000004
2000-12-18,14.25,14.56,14.75,14.25,203300.0,-0.0172
2000-12-19,14.06,14.12,14.38,13.81,449900.0,-0.013300000000000001
2000-12-20,14.56,14.0,14.56,13.44,215600.0,0.0356
2000-12-21,15.56,14.56,15.56,14.56,429000.0,0.0687
2000-12-22,15.5,15.5,15.62,15.38,207600.0,-0.0039000000000000003
2000-12-26,15.94,15.5,16.12,15.5,204500.0,0.028399999999999998
2000-12-27,16.38,15.81,16.62,15.75,190200.0,0.0276
2000-12-28,16.75,16.38,16.81,16.38,222000.0,0.0226
2000-12-29,16.12,16.88,17.19,16.12,370900.0,-0.037599999999999995
2001-01-02,16.38,16.0,16.75,15.88,266800.0,0.0161
2001-01-03,15.94,16.25,16.62,15.88,433500.0,-0.0269
2001-01-04,15.69,15.81,15.94,15.25,136200.0,-0.015700000000000002
2001-01-05,15.12,15.62,15.62,14.81,143900.0,-0.0363
2001-01-08,15.38,15.0,15.38,14.88,120400.0,0.0172
2001-01-09,14.69,15.38,15.38,14.38,160500.0,-0.0449
2001-01-10,14.81,14.69,14.88,14.5,425400.0,0.008199999999999999
2001-01-11,14.5,14.81,15.0,14.44,153500.0,-0.0209
2001-01-12,14.75,14.5,15.0,14.44,124800.0,0.0172
2001-01-16,15.19,14.62,15.19,14.5,79000.0,0.0298
2001-01-17,14.75,15.06,15.12,14.5,71200.0,-0.028999999999999998
2001-01-18,15.0,14.62,15.0,14.5,75000.0,0.0169
2001-01-19,14.62,14.88,14.94,14.5,102600.0,-0.0253
2001-01-22,14.38,14.56,14.75,14.31,240300.0,-0.016399999999999998
2001-01-23,13.94,14.38,14.5,13.75,236900.0,-0.030600000000000002
2001-01-24,13.56,13.94,14.06,13.25,202000.0,-0.0273
2001-01-25,14.44,13.88,14.5,13.88,637300.0,0.0649
2001-01-26,17.25,15.12,18.19,15.12,1200000.0,0.1946
2001-01-29,18.01,17.75,19.25,17.7,1230000.0,0.0441
2001-01-30,18.01,18.1,18.64,17.2,703100.0,0.0
2001-01-31,18.0,18.0,18.25,17.13,545100.0,-0.0006
2001-02-01,17.93,18.05,18.25,17.74,290000.0,-0.0039000000000000003
2001-02-02,17.86,17.8,18.0,17.69,204100.0,-0.0039000000000000003
2001-02-05,17.25,17.8,17.8,17.05,422000.0,-0.0342
2001-02-06,17.32,17.25,17.5,17.1,322200.0,0.0040999999999999995
2001-02-07,17.23,17.0,17.28,16.95,306700.0,-0.0052
2001-02-08,16.98,17.23,17.23,16.81,183600.0,-0.014499999999999999
2001-02-09,18.19,16.98,18.2,16.98,493500.0,0.0713
2001-02-12,19.04,18.19,19.1,18.1,406800.0,0.0467
2001-02-13,18.4,19.0,19.01,18.39,234700.0,-0.0336
2001-02-14,18.62,18.2,18.64,18.05,302700.0,0.012
2001-02-15,19.05,18.6,19.1,18.5,250000.0,0.0231
2001-02-16,18.71,18.8,18.84,18.4,162900.0,-0.0178
2001-02-20,18.45,18.5,18.84,18.25,176700.0,-0.0139
2001-02-21,18.22,18.45,18.5,17.9,251400.0,-0.0125
2001-02-22,18.13,18.15,18.4,17.86,224300.0,-0.0049
2001-02-23,18.06,18.2,18.5,17.95,375100.0,-0.0039000000000000003
2001-02-26,18.09,18.06,18.25,17.8,313200.0,0.0017000000000000001
2001-02-27,18.06,18.15,18.22,18.06,186800.0,-0.0017000000000000001
2001-02-28,18.7,18.15,18.74,18.1,249300.0,0.0354
2001-03-01,17.84,18.65,18.65,17.77,201000.0,-0.046
2001-03-02,18.1,17.8,18.15,17.8,322400.0,0.0146
2001-03-05,18.25,18.05,18.55,18.05,248100.0,0.0083
2001-03-06,17.95,18.1,18.28,17.76,171400.0,-0.016399999999999998
2001-03-07,17.73,17.9,18.4,17.67,174300.0,-0.0123
2001-03-08,18.01,17.73,18.01,17.6,202300.0,0.0158
2001-03-09,18.01,17.8,18.02,17.53,242700.0,0.0
2001-03-12,18.0,17.95,18.32,17.63,286100.0,-0.0006
