Date,Close,Open,High,Low,Volume,Change
2000-01-03,17.09,17.38,17.38,16.78,1080000.0,-0.0184
2000-01-04,16.91,17.03,17.06,16.83,1140000.0,-0.0105
2000-01-05,17.42,16.91,17.5,16.84,1240000.0,0.0302
2000-01-06,17.8,17.38,17.94,17.25,1440000.0,0.0218
2000-01-07,19.44,17.78,19.62,17.78,3120000.0,0.09210000000000002
2000-01-10,19.22,19.44,20.33,19.12,2230000.0,-0.0113
2000-01-11,19.41,19.12,20.0,18.94,722000.0,0.009899999999999999
2000-01-12,19.0,19.41,19.41,18.88,815600.0,-0.021099999999999997
2000-01-13,18.98,19.0,19.05,18.84,914400.0,-0.0011
2000-01-14,19.3,19.11,19.38,18.94,895200.0,0.0169
2000-01-18,19.66,19.23,20.19,19.0,1210000.0,0.0187
2000-01-19,19.91,19.67,20.0,19.66,706400.0,0.0127
2000-01-20,19.62,19.88,20.0,19.5,1150000.0,-0.0146
2000-01-21,19.59,19.61,19.66,19.42,666800.0,-0.0015
2000-01-24,19.66,19.59,20.06,19.52,2410000.0,0.0036
2000-01-25,19.25,19.66,19.75,19.12,1370000.0,-0.0209
2000-01-26,19.17,19.23,19.23,19.0,947200.0,-0.0042
2000-01-27,19.09,19.12,19.12,18.98,588400.0,-0.0042
2000-01-28,15.75,18.38,18.38,15.2,8199999.999999999,-0.175
2000-01-31,15.81,15.84,16.06,14.58,6080000.0,0.0038
2000-02-01,16.12,15.77,16.36,15.52,2480000.0,0.0196
2000-02-02,16.31,16.75,16.75,15.98,2570000.0,0.0118
2000-02-03,16.2,16.25,16.44,15.75,1840000.0,-0.0067
2000-02-04,16.45,16.25,16.8,16.25,1460000.0,0.0154
2000-02-07,16.66,16.44,16.66,15.8,1580000.0,0.0128
2000-02-08,17.19,17.12,17.41,17.0,1640000.0,0.0318
2000-02-09,17.42,17.12,17.47,17.12,1750000.0,0.0134
2000-02-10,16.55,17.42,17.44,16.38,1170000.0,-0.0499
2000-02-11,15.88,16.55,16.61,15.88,808800.0,-0.0405
2000-02-14,16.22,15.94,16.5,15.94,1810000.0,0.021400000000000002
2000-02-15,16.64,16.5,16.8,16.19,1340000.0,0.0259
2000-02-16,16.72,16.61,16.81,16.56,938800.0,0.0048
2000-02-17,16.88,16.75,17.0,16.54,695200.0,0.0096
2000-02-18,15.8,16.88,16.88,15.69,1100000.0,-0.064
2000-02-22,15.17,15.8,15.8,15.09,1400000.0,-0.039900000000000005
