Date,Close,Open,High,Low,Volume,Change
2000-01-03,9.31,9.03,9.47,9.03,535200.0,0.0344
2000-01-04,9.12,9.27,9.27,9.05,290800.0,-0.0204
2000-01-05,9.5,9.16,9.5,9.16,532000.0,0.0417
2000-01-06,10.2,9.47,10.23,9.45,1080000.0,0.0737
2000-01-07,11.05,10.25,11.25,10.25,1450000.0,0.0833
2000-01-10,11.58,11.16,11.75,11.16,1230000.0,0.048
2000-01-11,11.12,11.55,11.55,11.12,1100000.0,-0.0397
2000-01-12,11.08,11.14,11.17,11.0,360400.0,-0.0036
2000-01-13,11.5,11.06,11.5,11.06,556800.0,0.0379
2000-01-14,11.45,11.5,11.67,11.34,858800.0,-0.0043
2000-01-18,11.44,11.52,11.62,11.41,230400.0,-0.0009
2000-01-19,11.14,11.41,11.42,10.88,782800.0,-0.0262
2000-01-20,12.0,12.0,12.14,11.88,1220000.0,0.07719999999999999
2000-01-21,12.0,12.02,12.28,11.97,1680000.0,0.0
2000-01-24,12.0,11.97,12.05,11.94,1110000.0,0.0
2000-01-25,11.86,12.02,12.25,11.84,998400.0,-0.011699999999999999
2000-01-26,11.64,11.86,11.98,11.64,775200.0,-0.018500000000000003
2000-01-27,11.5,11.64,11.88,11.5,813200.0,-0.012
2000-01-28,11.25,11.5,11.64,11.19,526800.0,-0.0217
2000-01-31,11.17,11.28,11.39,11.06,377600.0,-0.0070999999999999995
2000-02-01,11.27,11.2,11.3,10.94,574800.0,0.009000000000000001
2000-02-02,11.5,11.27,11.59,11.22,538000.0,0.0204
2000-02-03,12.02,11.5,12.09,11.5,812000.0,0.0452
2000-02-04,12.12,11.98,12.36,11.98,808800.0,0.0083
2000-02-07,11.94,12.12,12.12,11.88,238000.0,-0.0149
2000-02-08,11.78,11.94,12.23,11.77,426400.0,-0.0134
2000-02-09,11.5,11.81,11.98,11.47,371600.0,-0.023799999999999998
2000-02-10,11.39,11.44,11.44,10.83,766800.0,-0.0096
2000-02-11,11.31,11.36,11.52,11.25,342400.0,-0.006999999999999999
2000-02-14,11.05,11.22,11.25,11.02,300800.0,-0.023
2000-02-15,11.56,11.0,11.75,10.91,1030000.0,0.0462
2000-02-16,10.78,11.55,11.55,10.78,565600.0,-0.0675
2000-02-17,10.62,10.84,10.84,10.55,774000.0,-0.0148
2000-02-18,10.22,10.62,10.62,10.14,958400.0,-0.0377
2000-02-22,10.08,10.22,10.22,9.81,1110000.0,-0.0137
2000-02-23,9.97,10.08,10.08,9.81,770000.0,-0.0109
2000-02-24,9.72,10.0,10.0,9.55,694400.0,-0.025099999999999997
2000-02-25,9.88,9.75,9.88,9.62,568400.0,0.0165
2000-02-28,9.58,9.84,9.86,9.58,874400.0,-0.0304
2000-02-29,9.72,9.58,9.92,9.56,568400.0,0.0146
2000-03-01,10.02,9.73,10.06,9.73,452800.0,0.030899999999999997
2000-03-02,10.44,10.08,10.48,10.08,520799.99999999994,0.04190000000000001
2000-03-03,10.34,10.47,10.47,10.3,584800.0,-0.0096
2000-03-06,10.08,10.31,10.34,10.05,392000.0,-0.025099999999999997
2000-03-07,9.78,10.11,10.11,9.78,443200.0,-0.0298
2000-03-08,9.78,9.81,9.81,9.59,510800.0,0.0
2000-03-09,10.03,9.84,10.06,9.73,545200.0,0.0256
2000-03-10,9.88,10.0,10.0,9.84,250800.0,-0.015
2000-03-13,9.86,9.91,9.91,9.78,413600.0,-0.002
2000-03-14,9.92,9.88,10.06,9.88,345600.0,0.0060999999999999995
2000-03-15,9.95,9.94,9.97,9.83,475200.0,0.003
2000-03-16,10.44,10.02,10.5,10.02,1470000.0,0.0492
2000-03-17,10.42,10.44,10.58,10.23,433200.0,-0.0019
2000-03-20,10.47,10.42,10.53,10.34,408400.0,0.0048
2000-03-21,10.69,10.59,10.73,10.55,198000.0,0.021
2000-03-22,11.05,10.75,11.16,10.75,788000.0,0.0337
2000-03-23,10.97,11.03,11.03,10.94,220800.0,-0.0072
2000-03-24,11.12,10.94,11.14,10.92,442000.0,0.0137
2000-03-27,10.92,11.09,11.09,10.81,489600.0,-0.018000000000000002
2000-03-28,10.8,10.89,10.91,10.78,423600.0,-0.011000000000000001
2000-03-29,10.84,10.81,10.98,10.78,548000.0,0.0037
2000-03-30,11.33,10.88,11.33,10.88,429200.0,0.0452
2000-03-31,12.25,11.3,12.53,11.3,1280000.0,0.0812
2000-04-03,12.25,12.22,12.25,12.12,462000.0,0.0
2000-04-04,12.38,12.16,12.59,12.16,1650000.0,0.0106
2000-04-05,12.52,12.31,12.55,12.31,870000.0,0.0113
2000-04-06,12.69,12.64,12.69,12.59,758400.0,0.013600000000000001
2000-04-07,12.67,12.69,12.69,12.56,389600.0,-0.0016
2000-04-10,12.92,12.64,12.98,12.62,765200.0,0.0197
2000-04-11,13.0,12.88,13.02,12.81,532000.0,0.0062
2000-04-12,13.48,12.91,13.53,12.89,1600000.0,0.0369
2000-04-13,13.28,13.56,13.62,13.23,610000.0,-0.0148
2000-04-14,12.8,13.25,13.25,12.62,821600.0,-0.0361
2000-04-17,12.59,12.78,13.05,12.53,1040000.0,-0.016399999999999998
2000-04-18,13.0,12.59,13.0,12.25,1210000.0,0.0326
2000-04-19,13.11,13.03,13.14,12.94,616800.0,0.0085
2000-04-20,13.47,13.23,13.56,13.23,944400.0,0.0275
2000-04-24,13.42,13.44,13.45,13.22,637600.0,-0.0037
2000-04-25,13.98,13.41,14.08,13.41,975600.0,0.0417
2000-04-26,13.72,14.44,14.44,13.61,972400.0,-0.018600000000000002
2000-04-27,13.3,13.73,13.73,13.14,643600.0,-0.030600000000000002
2000-04-28,13.69,13.33,13.69,13.19,499600.0,0.029300000000000003
2000-05-01,13.75,13.66,13.86,13.52,914800.0,0.0044
2000-05-02,13.8,13.69,13.94,13.67,502800.0,0.0036
2000-05-03,13.2,13.86,13.86,13.19,374400.0,-0.0435
2000-05-04,13.72,13.17,13.84,13.16,921200.0,0.0394
2000-05-05,13.62,13.66,13.94,13.59,287600.0,-0.0073
2000-05-08,13.66,13.69,13.69,13.42,190400.0,0.0029
2000-05-09,13.88,13.69,13.91,13.69,243600.0,0.0161
2000-05-10,13.19,13.84,13.86,13.11,456000.0,-0.049699999999999994
2000-05-11,13.91,13.22,13.94,13.22,493200.0,0.0546
2000-05-12,13.56,13.88,14.12,13.39,360000.0,-0.0252
2000-05-15,13.95,13.5,14.05,13.5,388800.0,0.0288
2000-05-16,13.77,14.05,14.08,13.7,391200.0,-0.0129
2000-05-17,13.41,13.58,13.92,13.31,576800.0,-0.026099999999999998
2000-05-18,13.66,13.42,13.67,13.23,565600.0,0.018600000000000002
2000-05-19,13.44,13.75,13.84,13.28,469200.0,-0.0161
2000-05-22,13.22,13.38,13.44,12.94,367600.0,-0.016399999999999998
2000-05-23,13.73,13.25,13.81,13.23,726800.0,0.038599999999999995
2000-05-24,13.89,13.73,14.12,13.73,930000.0,0.011699999999999999
2000-05-25,13.97,13.94,14.14,13.89,1070000.0,0.0058
2000-05-26,13.81,13.97,14.0,13.75,196800.0,-0.0115
2000-05-30,14.0,13.88,14.09,13.75,596800.0,0.0138
2000-05-31,13.28,14.0,14.0,13.28,995600.0,-0.051399999999999994
2000-06-01,13.69,13.33,13.84,13.33,575600.0,0.030899999999999997
2000-06-02,14.11,13.75,14.22,13.72,782400.0,0.030699999999999998
2000-06-05,14.12,14.2,14.27,14.0,823200.0,0.0007000000000000001
2000-06-06,14.05,14.11,14.16,14.02,447600.0,-0.005
2000-06-07,14.06,14.14,14.14,14.0,534800.0,0.0007000000000000001
2000-06-08,14.05,14.12,14.25,14.02,508400.0,-0.0007000000000000001
2000-06-09,14.06,14.06,14.17,14.06,465600.0,0.0007000000000000001
2000-06-12,14.75,14.16,14.75,14.16,399200.0,0.049100000000000005
2000-06-13,14.11,14.75,14.75,13.8,1760000.0,-0.0434
2000-06-14,14.86,14.11,14.94,14.11,2850000.0,0.053200000000000004
2000-06-15,16.28,14.8,16.28,14.77,3610000.0,0.0956
2000-06-16,16.06,16.28,16.53,15.84,3240000.0,-0.013500000000000002
2000-06-19,15.58,15.94,15.94,15.25,4560000.0,-0.029900000000000003
2000-06-20,16.12,15.64,16.16,15.62,4120000.0,0.0347
2000-06-21,16.02,16.22,16.28,16.02,2330000.0,-0.0062
2000-06-22,16.78,15.95,17.02,15.86,3350000.0,0.047400000000000005
2000-06-23,16.52,16.64,16.66,16.27,2260000.0,-0.0155
2000-06-26,16.66,16.64,17.17,16.64,1530000.0,0.0085
2000-06-27,17.25,16.95,17.38,16.95,1160000.0,0.0354
2000-06-28,17.48,17.31,17.5,17.02,1750000.0,0.013300000000000001
2000-06-29,17.52,17.36,17.56,17.25,1350000.0,0.0023
2000-06-30,16.38,17.45,17.47,16.38,2410000.0,-0.06509999999999999
2000-07-03,16.66,16.44,16.69,16.39,728000.0,0.0171
2000-07-05,17.0,16.41,17.02,16.3,1140000.0,0.0204
2000-07-06,17.03,17.06,17.17,16.94,1080000.0,0.0018
2000-07-07,16.95,17.09,17.19,16.88,428800.0,-0.004699999999999999
2000-07-10,16.97,16.92,17.06,16.86,1040000.0,0.0012
2000-07-11,16.95,16.95,17.0,16.86,754800.0,-0.0012
2000-07-12,16.98,16.98,17.0,16.86,623200.0,0.0018
2000-07-13,16.47,16.92,16.97,16.44,631600.0,-0.03
2000-07-14,16.23,16.53,16.56,16.23,412800.0,-0.0146
2000-07-17,16.95,16.23,17.06,16.23,986000.0,0.0444
2000-07-18,17.19,16.53,17.25,15.84,3310000.0,0.014199999999999999
2000-07-19,16.86,17.19,17.19,16.83,822800.0,-0.0192
2000-07-20,16.86,16.83,17.06,16.78,674000.0,0.0
2000-07-21,16.77,16.83,16.83,16.7,624800.0,-0.0053
2000-07-24,16.62,16.8,17.06,16.62,991200.0,-0.0089
2000-07-25,16.08,16.64,16.64,16.06,728800.0,-0.0325
2000-07-26,16.53,16.11,16.59,16.11,719600.0,0.027999999999999997
2000-07-27,16.58,16.52,16.72,16.42,488000.0,0.003
2000-07-28,16.83,16.55,16.84,16.53,729200.0,0.0151
2000-07-31,16.84,16.86,17.06,16.42,1270000.0,0.0006
2000-08-01,17.02,17.0,17.17,16.86,2880000.0,0.010700000000000001
2000-08-02,16.97,17.0,17.0,16.78,319200.0,-0.0029
2000-08-03,16.98,16.91,17.09,16.81,1190000.0,0.0006
2000-08-04,17.03,16.98,17.06,16.92,2440000.0,0.0029
2000-08-07,16.92,17.0,17.0,16.86,348400.0,-0.006500000000000001
2000-08-08,16.75,16.89,17.06,16.55,597600.0,-0.01
2000-08-09,16.66,16.72,16.73,16.66,185600.0,-0.0054
