Date,Close,Open,High,Low,Volume,Change
2000-01-03,18.78,17.75,18.78,16.81,1010000.0,0.0731
2000-01-04,17.28,18.25,18.31,17.25,265400.0,-0.0799
2000-01-05,17.0,17.12,17.12,16.5,202000.0,-0.016200000000000003
2000-01-06,16.75,16.62,16.94,16.56,270800.0,-0.0147
2000-01-07,18.22,16.5,18.5,16.5,813200.0,0.08779999999999999
2000-01-10,18.78,18.45,19.12,18.19,1310000.0,0.030699999999999998
2000-01-11,19.78,18.69,20.06,18.44,1210000.0,0.053200000000000004
2000-01-12,19.56,19.88,19.94,19.0,842400.0,-0.0111
2000-01-13,19.56,19.31,19.81,19.31,925600.0,0.0
2000-01-14,22.0,19.52,23.0,19.47,550800.0,0.1247
2000-01-18,21.22,21.72,22.0,20.72,268000.0,-0.0355
2000-01-19,21.09,21.3,21.31,19.81,638000.0,-0.0060999999999999995
2000-01-20,22.14,21.06,23.06,21.06,550000.0,0.049800000000000004
2000-01-21,24.59,22.03,25.25,22.0,1100000.0,0.1107
2000-01-24,24.09,24.0,24.62,23.94,549200.0,-0.0203
2000-01-25,22.12,24.69,24.88,21.5,620800.0,-0.0818
2000-01-26,22.12,22.12,23.56,22.0,777200.0,0.0
2000-01-27,21.03,21.89,23.25,20.62,560600.0,-0.0493
2000-01-28,20.86,21.12,21.12,20.31,312600.0,-0.008100000000000001
2000-01-31,20.5,20.64,20.94,19.94,492400.0,-0.0173
2000-02-01,19.8,20.41,20.44,18.88,769800.0,-0.0341
2000-02-02,21.0,19.78,21.12,19.75,551400.0,0.060599999999999994
2000-02-03,22.22,22.38,22.75,21.28,523799.99999999994,0.0581
2000-02-04,23.75,22.0,24.0,21.19,615400.0,0.0689
2000-02-07,24.75,23.81,26.88,23.31,792000.0,0.0421
2000-02-08,25.78,25.06,25.81,23.88,594200.0,0.0416
2000-02-09,24.12,25.5,26.0,24.0,286000.0,-0.0644
2000-02-10,24.12,24.12,25.0,23.56,560800.0,0.0
2000-02-11,25.47,24.06,25.56,24.0,634800.0,0.055999999999999994
2000-02-14,25.81,25.47,25.81,24.94,264400.0,0.013300000000000001
2000-02-15,26.41,25.62,27.19,25.62,434600.0,0.0232
2000-02-16,27.0,26.25,27.19,26.25,441600.0,0.0223
2000-02-17,33.0,27.75,33.49,27.56,1690000.0,0.22219999999999998
2000-02-18,30.75,33.25,33.25,29.75,1380000.0,-0.0682
2000-02-22,28.53,30.81,30.81,27.5,980200.0,-0.0722
2000-02-23,30.17,28.53,30.47,27.88,852000.0,0.0575
2000-02-24,30.19,30.25,31.19,29.75,1290000.0,0.0007000000000000001
2000-02-25,30.5,30.31,30.88,30.09,1490000.0,0.0103
2000-02-28,31.0,31.38,32.81,30.0,793800.0,0.016399999999999998
2000-02-29,36.31,32.75,38.25,32.75,1450000.0,0.17129999999999998
2000-03-01,41.28,37.81,41.56,36.56,1780000.0,0.1369
2000-03-02,37.86,41.25,41.66,33.94,1120000.0,-0.0828
2000-03-03,40.0,38.0,40.06,37.94,1550000.0,0.0565
2000-03-06,44.0,42.56,45.19,41.62,2240000.0,0.1
2000-03-07,42.09,44.56,44.62,38.62,2470000.0,-0.0434
2000-03-08,36.03,42.5,42.53,35.5,2800000.0,-0.14400000000000002
2000-03-09,32.5,33.88,34.62,31.38,1520000.0,-0.098
2000-03-10,33.03,33.94,34.25,31.75,1450000.0,0.0163
2000-03-13,30.78,31.75,32.44,30.0,775200.0,-0.0681
2000-03-14,26.31,31.0,31.0,24.06,3480000.0,-0.1452
2000-03-15,24.12,26.38,27.38,24.0,2110000.0,-0.0832
2000-03-16,28.38,25.0,28.5,24.5,1470000.0,0.1766
2000-03-17,30.11,27.91,30.12,27.12,910400.0,0.061
2000-03-20,28.44,30.31,32.53,28.44,1390000.0,-0.0555
2000-03-21,26.72,28.47,28.53,25.25,764400.0,-0.0605
2000-03-22,29.94,27.62,31.5,27.5,1090000.0,0.12050000000000001
2000-03-23,30.0,30.56,31.0,28.84,774000.0,0.002
2000-03-24,28.88,30.09,31.0,26.0,861600.0,-0.0373
2000-03-27,28.66,28.88,29.38,27.12,635200.0,-0.0076
2000-03-28,27.72,28.5,29.0,26.0,780600.0,-0.032799999999999996
2000-03-29,26.09,27.66,28.16,25.44,1130000.0,-0.0588
2000-03-30,24.0,26.25,26.34,23.16,892600.0,-0.0801
2000-03-31,23.41,24.25,24.78,21.34,1580000.0,-0.0246
2000-04-03,22.81,23.97,24.0,22.44,824400.0,-0.0256
2000-04-04,21.44,23.03,23.25,19.75,945800.0,-0.0601
2000-04-05,24.38,20.75,24.81,20.75,1640000.0,0.1371
2000-04-06,27.78,25.19,27.8,25.19,1050000.0,0.13949999999999999
2000-04-07,27.16,27.75,27.81,26.08,611400.0,-0.0223
