Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,4.02,4.01,4.06,3.98,1220000.0,-0.0025,IDXX
2000-01-04,3.66,3.95,3.98,3.62,4200000.0,-0.08960000000000001,IDXX
2000-01-05,3.77,3.75,3.81,3.69,3570000.0,0.0301,IDXX
2000-01-06,3.75,3.77,3.78,3.72,2870000.0,-0.0053,IDXX
2000-01-07,3.95,3.76,3.97,3.69,2340000.0,0.0533,IDXX
2000-01-10,4.09,3.95,4.11,3.92,620400.0,0.0354,IDXX
2000-01-11,4.44,4.11,4.45,4.09,2500000.0,0.08560000000000001,IDXX
2000-01-12,4.38,4.34,4.44,4.3,1570000.0,-0.013500000000000002,IDXX
2000-01-13,4.44,4.42,4.44,4.31,1150000.0,0.0137,IDXX
2000-01-14,4.42,4.39,4.55,4.31,1020000.0,-0.0045000000000000005,IDXX
2000-01-18,4.28,4.39,4.41,4.28,3670000.0,-0.0317,IDXX
2000-01-19,4.22,4.29,4.3,4.19,2110000.0,-0.013999999999999999,IDXX
2000-01-20,4.12,4.19,4.22,3.97,1270000.0,-0.023700000000000002,IDXX
2000-01-21,4.09,4.12,4.17,4.07,461600.0,-0.0073,IDXX
2000-01-24,4.02,4.09,4.11,4.0,758400.0,-0.0171,IDXX
2000-01-25,3.78,4.01,4.03,3.77,5470000.0,-0.059699999999999996,IDXX
2000-01-26,3.98,3.84,4.12,3.8,2130000.0,0.0529,IDXX
2000-01-27,3.91,3.97,4.0,3.91,740400.0,-0.0176,IDXX
2000-01-28,4.0,4.02,4.22,3.89,723600.0,0.023,IDXX
2000-01-31,3.77,3.91,3.94,3.66,1910000.0,-0.0575,IDXX
2000-02-01,4.06,3.84,4.16,3.73,1810000.0,0.07690000000000001,IDXX
2000-02-02,4.11,3.99,4.16,3.94,1840000.0,0.0123,IDXX
2000-02-03,4.38,4.17,4.38,4.12,1960000.0,0.06570000000000001,IDXX
2000-02-04,4.42,4.32,4.48,4.31,1970000.0,0.0091,IDXX
2000-02-07,4.48,4.47,4.5,4.44,1440000.0,0.013600000000000001,IDXX
2000-02-08,4.72,4.5,4.81,4.47,1370000.0,0.0536,IDXX
2000-02-09,4.48,4.59,4.64,4.48,709600.0,-0.0508,IDXX
