Date,Close,Open,High,Low,Volume,Change,Symbol
2000-07-31,17.5,19.12,19.34,15.75,2480000.0,-0.1067,ILMN
2000-08-01,17.75,17.41,20.06,16.5,1220000.0,0.0143,ILMN
2000-08-02,19.06,16.81,19.5,16.78,856400.0,0.0738,ILMN
2000-08-03,22.12,19.06,23.88,18.5,1370000.0,0.1605,ILMN
2000-08-04,20.47,22.74,22.75,19.88,1280000.0,-0.0746,ILMN
2000-08-07,21.12,21.47,24.12,19.5,565600.0,0.0318,ILMN
2000-08-08,20.49,21.09,22.25,20.28,329600.0,-0.0298,ILMN
2000-08-09,21.41,20.84,21.41,20.0,326800.0,0.0449,ILMN
2000-08-10,22.5,21.31,23.62,20.75,657800.0,0.0509,ILMN
2000-08-11,20.94,22.47,22.5,20.94,394800.0,-0.0693,ILMN
2000-08-14,20.0,21.31,21.38,19.81,473400.0,-0.0449,ILMN
2000-08-15,20.0,20.22,20.5,19.5,307000.0,0.0,ILMN
2000-08-16,21.31,21.03,21.88,20.88,554200.0,0.0655,ILMN
2000-08-17,20.94,21.19,21.94,20.94,487200.0,-0.0174,ILMN
2000-08-18,22.0,20.94,23.5,20.94,164800.0,0.0506,ILMN
2000-08-21,22.59,22.0,23.88,22.0,314400.0,0.0268,ILMN
2000-08-22,21.06,22.62,22.62,21.06,362600.0,-0.0677,ILMN
2000-08-23,20.56,21.25,22.0,20.38,332400.0,-0.023700000000000002,ILMN
2000-08-24,20.01,20.62,20.94,19.94,214000.0,-0.0268,ILMN
2000-08-25,20.88,20.03,21.19,20.03,558400.0,0.0435,ILMN
2000-08-28,20.81,21.81,21.88,20.38,319200.0,-0.0034000000000000002,ILMN
2000-08-29,21.25,20.81,21.25,20.69,172400.0,0.021099999999999997,ILMN
2000-08-30,20.0,20.88,21.0,19.72,842800.0,-0.0588,ILMN
2000-08-31,22.38,19.94,23.62,19.94,890600.0,0.11900000000000001,ILMN
2000-09-01,23.31,23.0,23.5,21.75,376200.0,0.0416,ILMN
2000-09-05,22.88,23.56,23.72,21.5,192000.0,-0.0184,ILMN
2000-09-06,21.0,23.41,23.41,20.88,443000.0,-0.08220000000000001,ILMN
2000-09-07,22.5,21.88,22.5,20.56,324800.0,0.07139999999999999,ILMN
2000-09-08,21.47,22.5,22.5,21.19,353000.0,-0.0458,ILMN
2000-09-11,20.56,21.5,22.0,20.19,601600.0,-0.0424,ILMN
2000-09-12,20.38,20.62,20.81,19.5,247800.0,-0.0088,ILMN
2000-09-13,18.25,19.95,20.5,17.56,617400.0,-0.1045,ILMN
2000-09-14,18.5,18.45,18.81,17.94,275800.0,0.0137,ILMN
2000-09-15,18.88,18.5,19.0,18.25,232200.0,0.020499999999999997,ILMN
2000-09-18,17.0,17.75,18.5,16.09,342000.0,-0.09960000000000001,ILMN
2000-09-19,16.66,17.0,17.59,16.5,567800.0,-0.02,ILMN
2000-09-20,17.0,16.94,17.59,16.31,483200.0,0.0204,ILMN
2000-09-21,17.69,17.72,17.81,17.44,72400.0,0.0406,ILMN
2000-09-22,19.62,17.03,19.94,17.03,174400.0,0.1091,ILMN
2000-09-25,19.94,20.27,20.44,19.75,534800.0,0.0163,ILMN
2000-09-26,19.91,20.0,20.0,19.5,599200.0,-0.0015,ILMN
2000-09-27,20.81,19.69,21.38,19.69,148200.0,0.0452,ILMN
2000-09-28,21.88,20.38,21.94,20.38,109800.0,0.051399999999999994,ILMN
2000-09-29,22.69,21.88,25.81,21.5,470000.0,0.037000000000000005,ILMN
2000-10-02,22.88,23.62,24.38,22.0,91600.0,0.0084,ILMN
2000-10-03,20.0,22.78,23.16,18.69,161800.0,-0.1259,ILMN
2000-10-04,18.06,19.81,19.81,17.62,388000.0,-0.09699999999999999,ILMN
2000-10-05,17.81,18.25,18.69,17.75,286200.0,-0.0138,ILMN
2000-10-06,15.03,18.0,18.0,15.0,543200.0,-0.1561,ILMN
2000-10-09,15.38,16.0,16.47,14.62,1150000.0,0.0233,ILMN
2000-10-10,16.25,15.45,16.38,15.12,689000.0,0.056600000000000004,ILMN
2000-10-11,16.0,16.04,16.75,15.75,149000.0,-0.0154,ILMN
2000-10-12,16.12,16.25,16.38,15.5,310600.0,0.0075,ILMN
2000-10-13,17.56,16.0,17.56,15.88,56600.0,0.08929999999999999,ILMN
2000-10-16,17.75,18.0,20.0,17.66,255600.0,0.0108,ILMN
2000-10-17,18.09,17.62,18.56,17.56,228400.0,0.0192,ILMN
2000-10-18,17.38,17.25,17.75,16.5,92200.0,-0.0392,ILMN
2000-10-19,17.31,17.84,18.44,16.25,64400.00000000001,-0.004,ILMN
2000-10-20,16.5,16.75,17.25,16.5,108000.0,-0.046799999999999994,ILMN
2000-10-23,17.0,17.12,17.19,16.06,132200.0,0.030299999999999997,ILMN
2000-10-24,17.06,17.25,17.31,16.62,415200.0,0.0034999999999999996,ILMN
2000-10-25,18.0,17.06,19.0,16.41,124200.0,0.055099999999999996,ILMN
2000-10-26,19.38,17.56,19.44,17.56,502400.0,0.0767,ILMN
2000-10-27,18.25,20.0,20.12,18.25,463600.0,-0.0583,ILMN
2000-10-30,16.25,18.25,18.25,15.5,160200.0,-0.1096,ILMN
2000-10-31,16.25,16.25,16.5,15.94,117000.0,0.0,ILMN
2000-11-01,16.78,16.38,16.94,16.0,512400.0,0.0326,ILMN
2000-11-02,17.81,17.0,18.19,16.69,337000.0,0.061399999999999996,ILMN
2000-11-03,18.25,17.12,18.62,17.12,119600.0,0.024700000000000003,ILMN
2000-11-06,20.31,19.06,21.0,18.94,512200.00000000006,0.11289999999999999,ILMN
2000-11-07,20.5,20.37,20.5,20.0,181200.0,0.009399999999999999,ILMN
2000-11-08,20.31,20.56,20.56,20.25,46000.0,-0.009300000000000001,ILMN
2000-11-09,19.44,20.31,20.5,19.22,347000.0,-0.042800000000000005,ILMN
2000-11-10,19.0,19.12,19.59,19.0,159200.0,-0.0226,ILMN
2000-11-13,18.5,19.01,19.01,16.12,170800.0,-0.0263,ILMN
