Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,43.5,41.63,43.69,41.62,57710000.0,0.056900000000000006,INTC
2000-01-04,41.47,42.72,43.94,41.12,51010000.0,-0.0467,INTC
2000-01-05,41.81,41.5,42.94,40.25,52390000.0,0.008199999999999999,INTC
2000-01-06,39.38,40.88,41.69,39.09,55170000.0,-0.0581,INTC
2000-01-07,41.0,38.75,41.0,38.69,41100000.0,0.041100000000000005,INTC
2000-01-10,42.88,42.88,43.62,42.06,53620000.0,0.045899999999999996,INTC
2000-01-11,44.84,44.28,46.19,44.14,105510000.0,0.045700000000000005,INTC
2000-01-12,45.62,45.44,47.38,44.62,97330000.0,0.0174,INTC
2000-01-13,45.53,46.34,46.5,44.66,76100000.0,-0.002,INTC
2000-01-14,51.53,49.25,53.31,49.12,184410000.0,0.1318,INTC
2000-01-18,51.06,50.15,52.88,50.12,102100000.0,-0.0091,INTC
2000-01-19,50.03,50.5,51.06,49.94,45570000.0,-0.0202,INTC
2000-01-20,47.81,49.88,50.41,47.72,70000000.0,-0.0444,INTC
2000-01-21,48.97,48.0,49.12,47.81,55560000.0,0.024300000000000002,INTC
2000-01-24,49.41,51.12,52.44,49.12,74840000.0,0.009000000000000001,INTC
2000-01-25,50.78,49.69,50.91,48.72,51380000.0,0.0277,INTC
2000-01-26,48.25,50.38,50.59,48.19,49310000.0,-0.049800000000000004,INTC
2000-01-27,49.06,49.69,50.56,47.75,61480000.0,0.0168,INTC
2000-01-28,47.0,48.62,49.38,46.53,53920000.0,-0.042,INTC
2000-01-31,49.47,46.81,49.53,46.44,68450000.0,0.0526,INTC
2000-02-01,50.72,49.19,50.75,48.31,48050000.0,0.0253,INTC
2000-02-02,50.03,50.5,51.47,49.84,52080000.0,-0.013600000000000001,INTC
2000-02-03,52.09,50.84,52.31,50.38,56130000.0,0.0412,INTC
2000-02-04,52.38,52.19,54.12,52.12,55950000.0,0.005600000000000001,INTC
2000-02-07,53.97,52.47,54.06,52.06,42800000.0,0.0304,INTC
2000-02-08,54.41,54.41,55.03,54.0,38030000.0,0.008199999999999999,INTC
2000-02-09,52.31,54.06,54.44,52.25,38620000.0,-0.038599999999999995,INTC
2000-02-10,53.81,52.19,54.06,51.59,43540000.0,0.0287,INTC
2000-02-11,52.94,53.62,54.38,52.62,37760000.0,-0.016200000000000003,INTC
2000-02-14,54.94,53.16,54.97,52.82,34370000.0,0.0378,INTC
2000-02-15,56.0,54.97,56.44,52.62,62770000.0,0.019299999999999998,INTC
2000-02-16,53.59,55.69,56.44,53.5,46050000.0,-0.043,INTC
2000-02-17,55.0,54.44,56.19,53.94,48670000.0,0.0263,INTC
2000-02-18,52.69,55.0,55.25,52.59,50370000.0,-0.042,INTC
2000-02-22,53.38,52.44,53.41,50.78,45790000.0,0.0131,INTC
2000-02-23,54.53,52.66,55.56,52.16,40840000.0,0.0215,INTC
2000-02-24,57.12,56.22,58.25,55.12,85350000.0,0.0475,INTC
2000-02-25,56.62,56.94,57.69,56.41,46300000.0,-0.0088,INTC
2000-02-28,56.19,55.81,57.28,54.12,47420000.0,-0.0076,INTC
2000-02-29,56.5,56.59,57.81,55.66,44410000.0,0.0055000000000000005,INTC
2000-03-01,57.94,56.44,58.44,56.25,40810000.0,0.0255,INTC
2000-03-02,57.88,57.69,58.53,57.06,36470000.0,-0.001,INTC
2000-03-03,59.62,58.5,59.88,57.81,34290000.0,0.0301,INTC
2000-03-06,58.69,59.0,59.44,58.34,28030000.0,-0.015600000000000001,INTC
2000-03-07,57.88,58.91,60.0,57.59,39920000.0,-0.0138,INTC
2000-03-08,57.47,58.06,58.22,56.12,46390000.0,-0.0070999999999999995,INTC
2000-03-09,59.19,56.84,59.25,56.0,38380000.0,0.029900000000000003,INTC
2000-03-10,60.09,58.94,60.31,58.69,43500000.0,0.0152,INTC
2000-03-13,61.06,59.41,62.75,59.38,67440000.0,0.0161,INTC
2000-03-14,58.94,62.12,62.81,58.91,56790000.0,-0.0347,INTC
2000-03-15,60.09,59.53,61.56,59.34,48900000.0,0.0195,INTC
2000-03-16,62.53,61.62,62.69,59.81,54970000.0,0.0406,INTC
