Date,Close,Open,High,Low,Volume,Change,Symbol
2000-01-03,22.3,22.5,22.5,22.3,11250.0,-0.013300000000000001,IVZ
2000-01-04,21.93,22.4,22.62,21.93,40750.0,-0.0166,IVZ
2000-01-05,21.0,20.9,21.0,20.6,28000.0,-0.0424,IVZ
2000-01-06,20.75,21.05,21.18,20.7,38750.0,-0.011899999999999999,IVZ
2000-01-07,21.52,21.05,21.52,21.0,33500.0,0.0371,IVZ
2000-01-10,21.4,21.52,22.05,21.4,37250.0,-0.005600000000000001,IVZ
2000-01-11,21.95,22.4,22.6,21.8,50500.0,0.025699999999999997,IVZ
2000-01-12,22.2,22.0,22.2,21.98,8500.0,0.011399999999999999,IVZ
2000-01-13,23.2,22.9,23.3,22.9,45250.0,0.045,IVZ
2000-01-14,23.38,23.35,23.6,23.3,34250.0,0.0078000000000000005,IVZ
2000-01-18,24.2,24.7,25.4,24.2,56250.0,0.0351,IVZ
2000-01-19,23.6,23.9,23.9,23.4,18750.0,-0.0248,IVZ
2000-01-20,22.7,23.1,23.1,22.4,9000.0,-0.0381,IVZ
2000-01-21,22.62,22.6,22.7,22.3,33250.0,-0.0034999999999999996,IVZ
2000-01-24,23.18,22.9,23.18,22.9,33000.0,0.0248,IVZ
2000-01-25,22.77,22.85,22.85,22.4,25000.0,-0.0177,IVZ
2000-01-26,21.77,22.2,22.2,21.6,25000.0,-0.043899999999999995,IVZ
2000-01-27,21.6,21.75,21.75,21.35,29000.0,-0.0078000000000000005,IVZ
2000-01-28,21.4,21.5,21.5,21.4,4000.0,-0.009300000000000001,IVZ
2000-01-31,21.68,21.3,21.8,21.3,18750.0,0.0131,IVZ
2000-02-01,22.0,21.6,22.0,21.55,12750.0,0.0148,IVZ
2000-02-02,22.55,21.75,22.9,21.5,70750.0,0.025,IVZ
2000-02-03,22.2,22.15,22.3,21.9,45500.0,-0.0155,IVZ
2000-02-04,22.65,22.3,22.8,22.3,13750.0,0.0203,IVZ
2000-02-07,23.15,22.7,23.3,22.7,22500.0,0.022099999999999998,IVZ
2000-02-08,23.9,23.25,24.1,23.25,44250.0,0.032400000000000005,IVZ
2000-02-09,24.1,24.3,24.3,23.82,26000.0,0.0084,IVZ
2000-02-10,22.88,23.9,23.9,22.8,43000.0,-0.0506,IVZ
2000-02-11,22.5,22.82,22.82,22.5,5500.0,-0.0166,IVZ
2000-02-14,22.45,22.4,22.45,22.35,26500.0,-0.0022,IVZ
2000-02-15,21.5,21.6,21.6,20.9,31750.0,-0.042300000000000004,IVZ
2000-02-16,22.6,22.25,22.8,22.25,35750.0,0.0512,IVZ
2000-02-17,23.2,23.0,23.2,23.0,10750.0,0.0265,IVZ
2000-02-18,23.5,23.9,23.9,23.4,31000.0,0.0129,IVZ
2000-02-22,23.62,23.5,23.62,23.48,21000.0,0.0051,IVZ
2000-02-23,23.1,23.4,23.4,23.05,28250.0,-0.022000000000000002,IVZ
2000-02-24,23.4,23.1,23.4,23.1,14000.0,0.013000000000000001,IVZ
2000-02-25,23.38,23.4,23.4,23.3,6000.0,-0.0009,IVZ
2000-02-28,22.77,22.4,22.77,22.4,19750.0,-0.026099999999999998,IVZ
2000-02-29,22.82,22.73,22.82,22.55,10000.0,0.0022,IVZ
2000-03-01,23.0,22.82,23.2,22.7,20250.0,0.0079,IVZ
2000-03-02,23.6,22.9,23.8,22.9,11000.0,0.026099999999999998,IVZ
2000-03-03,24.0,24.2,24.5,24.0,25250.0,0.0169,IVZ
2000-03-06,24.65,24.75,25.1,24.65,29250.0,0.0271,IVZ
2000-03-07,24.2,24.98,25.4,24.2,36250.0,-0.0183,IVZ
2000-03-08,24.8,24.93,25.1,24.77,30250.0,0.0248,IVZ
2000-03-09,25.45,24.82,25.7,24.82,30250.0,0.0262,IVZ
2000-03-10,24.9,25.4,25.4,24.9,22500.0,-0.0216,IVZ
2000-03-13,23.8,24.3,24.3,23.8,17000.0,-0.044199999999999996,IVZ
2000-03-14,24.25,23.9,24.27,23.9,22500.0,0.0189,IVZ
2000-03-15,23.95,23.98,23.98,23.8,20500.0,-0.0124,IVZ
2000-03-16,24.65,23.95,24.8,23.9,18000.0,0.0292,IVZ
2000-03-17,25.0,25.38,25.45,25.0,35750.0,0.014199999999999999,IVZ
2000-03-20,25.12,25.27,25.6,25.12,28000.0,0.0048,IVZ
2000-03-21,27.5,25.75,27.75,25.75,139750.0,0.0947,IVZ
2000-03-22,27.4,27.5,27.5,27.1,20500.0,-0.0036,IVZ
2000-03-23,27.0,27.15,27.15,26.8,18500.0,-0.0146,IVZ
2000-03-24,27.4,27.05,27.5,27.05,10500.0,0.0148,IVZ
2000-03-27,27.6,27.5,28.0,27.5,35750.0,0.0073,IVZ
2000-03-28,27.35,27.6,27.65,27.35,9750.0,-0.0091,IVZ
2000-03-29,27.25,27.4,27.4,27.25,4250.0,-0.0037,IVZ
2000-03-30,27.0,27.2,27.35,26.85,15250.0,-0.0092,IVZ
2000-03-31,28.4,27.1,29.3,27.1,129500.0,0.0519,IVZ
2000-04-03,28.5,27.7,28.8,27.7,44000.0,0.0034999999999999996,IVZ
2000-04-04,27.02,28.0,28.0,26.88,79750.0,-0.0519,IVZ
2000-04-05,27.2,26.85,27.2,26.85,8250.0,0.0067,IVZ
2000-04-06,26.75,27.0,27.0,26.75,9500.0,-0.0165,IVZ
2000-04-07,26.8,26.77,26.8,26.77,2000.0,0.0019,IVZ
2000-04-10,26.8,27.0,27.2,26.8,37250.0,0.0,IVZ
2000-04-11,26.9,27.2,27.8,26.88,40000.0,0.0037,IVZ
2000-04-12,27.4,27.1,28.0,27.1,60250.0,0.018600000000000002,IVZ
2000-04-13,26.5,27.3,27.3,26.5,34750.0,-0.032799999999999996,IVZ
2000-04-14,23.8,25.9,25.9,23.8,130750.0,-0.10189999999999999,IVZ
2000-04-17,23.3,23.82,23.82,23.15,23750.0,-0.021,IVZ
2000-04-18,23.45,23.3,23.5,23.1,26250.0,0.0064,IVZ
2000-04-19,25.23,25.2,26.0,25.2,65000.0,0.0759,IVZ
2000-04-20,25.98,25.9,26.1,25.9,15750.0,0.0297,IVZ
2000-04-24,25.93,25.9,26.0,25.85,2250.0,-0.0019,IVZ
2000-04-25,27.0,26.15,27.1,26.15,33750.0,0.041299999999999996,IVZ
2000-04-26,27.8,28.2,28.4,27.8,51750.0,0.0296,IVZ
2000-04-27,27.6,27.7,27.7,27.57,11000.0,-0.0072,IVZ
2000-04-28,28.5,27.7,28.8,27.7,22000.0,0.0326,IVZ
2000-05-01,28.82,28.65,28.82,28.5,18250.0,0.011200000000000002,IVZ
2000-05-02,29.18,29.85,29.98,29.05,39250.0,0.0125,IVZ
2000-05-03,28.95,29.3,29.6,28.9,15500.0,-0.0079,IVZ
2000-05-04,28.43,28.85,28.85,28.43,13000.0,-0.018000000000000002,IVZ
2000-05-05,28.6,28.5,28.93,28.5,46500.0,0.006,IVZ
2000-05-08,27.2,26.8,27.2,26.62,14750.0,-0.049,IVZ
2000-05-09,26.48,27.2,27.2,26.3,240250.0,-0.0265,IVZ
2000-05-10,25.9,26.38,26.38,25.8,61000.0,-0.0219,IVZ
2000-05-11,26.1,25.82,26.1,25.1,59250.0,0.0077,IVZ
2000-05-12,24.9,25.8,25.8,24.8,54750.0,-0.046,IVZ
2000-05-15,25.93,25.0,25.93,25.0,36000.0,0.0414,IVZ
2000-05-16,25.6,25.82,25.82,24.95,46500.0,-0.0127,IVZ
2000-05-17,25.1,25.2,25.2,25.0,16000.0,-0.0195,IVZ
2000-05-18,26.35,26.1,26.4,25.9,42250.0,0.049800000000000004,IVZ
2000-05-19,25.38,26.1,26.1,25.35,16000.0,-0.0368,IVZ
2000-05-22,24.5,25.27,25.27,24.5,14000.0,-0.0347,IVZ
2000-05-23,24.27,24.4,24.4,24.07,18500.0,-0.009399999999999999,IVZ
2000-05-24,24.7,24.0,24.7,23.85,44500.0,0.0177,IVZ
2000-05-25,24.43,24.4,24.55,24.3,36500.0,-0.0109,IVZ
2000-05-26,24.85,24.43,25.0,24.43,35500.0,0.0172,IVZ
2000-05-30,25.4,25.4,25.6,25.4,9500.0,0.022099999999999998,IVZ
2000-05-31,26.0,25.4,26.2,25.4,40500.0,0.0236,IVZ
2000-06-01,25.8,26.1,26.18,25.75,55750.0,-0.0077,IVZ
2000-06-02,26.23,26.2,26.45,26.2,21750.0,0.0167,IVZ
2000-06-05,26.6,26.7,26.9,26.6,41250.0,0.0141,IVZ
2000-06-06,26.95,26.85,27.0,26.85,53750.0,0.0132,IVZ
2000-06-07,27.32,27.35,27.6,27.32,16750.0,0.0137,IVZ
2000-06-08,27.4,27.8,27.82,27.4,17000.0,0.0029,IVZ
2000-06-09,27.6,27.5,27.75,27.35,33750.0,0.0073,IVZ
2000-06-12,27.7,27.7,28.2,27.7,42750.0,0.0036,IVZ
2000-06-13,27.27,28.0,28.0,27.27,35500.0,-0.0155,IVZ
2000-06-14,27.32,27.4,27.48,27.3,12250.0,0.0018,IVZ
2000-06-15,28.77,28.7,29.0,28.6,58000.0,0.053099999999999994,IVZ
2000-06-16,29.8,29.4,30.05,29.4,51000.0,0.0358,IVZ
2000-06-19,29.4,29.5,29.5,29.35,10750.0,-0.0134,IVZ
2000-06-20,29.52,29.5,29.6,29.4,12000.0,0.0040999999999999995,IVZ
2000-06-21,29.68,29.6,29.85,29.6,8500.0,0.0054,IVZ
2000-06-22,29.9,29.82,30.1,29.82,16250.0,0.0074,IVZ
2000-06-23,30.32,30.1,30.7,30.1,65250.0,0.013999999999999999,IVZ
2000-06-26,30.45,30.2,30.6,30.2,25750.0,0.0043,IVZ
2000-06-27,30.98,30.8,31.05,30.75,47500.0,0.0174,IVZ
2000-06-28,30.77,30.5,30.8,30.2,32000.0,-0.0068000000000000005,IVZ
2000-06-29,31.23,30.8,31.3,30.7,29500.0,0.0149,IVZ
2000-06-30,31.35,31.6,31.7,31.0,115750.0,0.0038,IVZ
2000-07-03,32.2,31.45,32.2,31.45,27000.0,0.0271,IVZ
2000-07-05,31.62,31.9,31.9,31.5,39750.0,-0.018000000000000002,IVZ
2000-07-06,31.6,31.62,31.7,31.5,19250.0,-0.0006,IVZ
2000-07-07,31.7,31.52,31.7,31.52,8250.0,0.0032,IVZ
2000-07-10,32.12,31.7,32.6,31.7,45250.0,0.0132,IVZ
2000-07-11,32.5,32.6,32.7,32.1,61000.0,0.0118,IVZ
2000-07-12,32.52,32.95,32.95,32.45,41500.0,0.0006,IVZ
