Date,Close,Open,High,Low,Volume,Change
2000-01-03,7.23,7.27,7.29,7.15,56700.0,-0.008199999999999999
2000-01-04,7.13,7.21,7.33,7.13,82200.0,-0.0138
2000-01-05,7.1,7.17,7.17,6.98,94200.0,-0.0042
2000-01-06,7.0,7.08,7.1,7.0,80700.0,-0.0141
2000-01-07,7.29,7.04,7.29,7.04,53100.0,0.0414
2000-01-10,7.38,7.38,7.38,7.25,64200.0,0.0123
2000-01-11,7.29,7.35,7.38,7.29,63600.0,-0.012199999999999999
2000-01-12,7.04,7.25,7.25,7.04,61500.0,-0.034300000000000004
2000-01-13,7.15,7.04,7.19,7.0,53100.0,0.015600000000000001
2000-01-14,7.29,7.19,7.29,7.17,27600.0,0.0196
2000-01-18,7.19,7.25,7.25,7.17,15000.0,-0.0137
2000-01-19,7.31,7.33,7.33,7.21,48600.0,0.0167
2000-01-20,7.19,7.35,7.35,7.13,72900.0,-0.016399999999999998
2000-01-21,7.44,7.17,7.44,7.08,286500.0,0.0348
2000-01-24,7.5,7.48,7.71,7.46,90000.0,0.008100000000000001
2000-01-25,7.13,7.42,7.42,7.1,125700.0,-0.0493
2000-01-26,6.98,7.13,7.13,6.98,70500.0,-0.021
2000-01-27,6.77,6.94,6.94,6.75,111900.0,-0.0301
2000-01-28,6.63,6.77,6.85,6.63,96300.0,-0.0207
2000-01-31,6.58,6.63,6.75,6.56,134100.0,-0.0075
2000-02-01,6.48,6.56,6.56,6.46,84000.0,-0.0152
2000-02-02,6.54,6.52,6.56,6.48,85800.0,0.009300000000000001
2000-02-03,6.31,6.58,6.58,6.29,98700.0,-0.0352
2000-02-04,6.29,6.27,6.38,6.15,170400.0,-0.0032
2000-02-07,6.38,6.44,6.44,6.25,201300.0,0.0143
2000-02-08,6.02,6.38,6.4,6.0,257700.0,-0.0564
2000-02-09,5.92,6.0,6.0,5.81,111300.0,-0.0166
2000-02-10,5.85,5.98,5.98,5.77,103800.0,-0.0118
2000-02-11,5.85,5.81,5.94,5.81,94800.0,0.0
2000-02-14,5.77,5.83,5.83,5.73,36900.0,-0.0137
2000-02-15,5.73,5.75,5.75,5.56,156000.0,-0.0069
2000-02-16,5.73,5.73,5.73,5.63,87600.0,0.0
2000-02-17,5.79,5.79,5.98,5.79,136200.0,0.0105
2000-02-18,5.71,5.81,5.81,5.67,53100.0,-0.0138
2000-02-22,5.83,5.79,5.85,5.73,91800.0,0.021
2000-02-23,5.88,5.83,5.92,5.81,216000.0,0.0086
2000-02-24,5.9,5.88,5.92,5.79,175800.0,0.0034000000000000002
2000-02-25,5.88,5.96,6.0,5.85,113400.0,-0.0034000000000000002
2000-02-28,5.85,5.92,5.92,5.77,50700.0,-0.0051
2000-02-29,5.75,5.83,5.96,5.75,73800.0,-0.0171
2000-03-01,5.56,5.75,5.77,5.56,150000.0,-0.033
2000-03-02,5.46,5.56,5.58,5.29,320100.0,-0.018000000000000002
2000-03-03,5.46,5.5,5.5,5.4,131100.0,0.0
2000-03-06,5.42,5.42,5.44,5.4,65700.0,-0.0073
2000-03-07,5.35,5.42,5.42,5.33,48000.0,-0.0129
2000-03-08,5.46,5.44,5.46,5.17,190800.0,0.0206
2000-03-09,5.33,5.44,5.44,5.25,114600.0,-0.023799999999999998
2000-03-10,5.31,5.29,5.33,5.25,84600.0,-0.0038
2000-03-13,5.29,5.38,5.38,5.29,92700.0,-0.0038
2000-03-14,5.0,5.33,5.38,5.0,243000.0,-0.0548
2000-03-15,5.08,5.21,5.23,4.98,268500.0,0.016
2000-03-16,5.46,5.38,5.5,5.38,254400.0,0.0748
2000-03-17,5.44,5.42,5.5,5.4,211800.0,-0.0037
2000-03-20,5.6,5.5,5.67,5.5,53700.0,0.0294
2000-03-21,5.71,5.63,5.71,5.56,74400.0,0.0196
2000-03-22,5.75,5.75,5.92,5.73,178800.0,0.006999999999999999
2000-03-23,5.77,5.77,5.79,5.63,84600.0,0.0034999999999999996
2000-03-24,5.71,5.75,5.75,5.63,157800.0,-0.0104
2000-03-27,5.73,5.67,5.73,5.67,59100.0,0.0034999999999999996
2000-03-28,5.75,5.79,5.85,5.75,73200.0,0.0034999999999999996
2000-03-29,5.77,5.75,5.79,5.71,106200.0,0.0034999999999999996
2000-03-30,5.92,5.75,6.0,5.75,85200.0,0.026000000000000002
2000-03-31,6.0,5.98,6.04,5.98,113100.0,0.013500000000000002
2000-04-03,6.13,6.06,6.19,6.04,78900.0,0.0217
2000-04-04,6.04,6.13,6.21,6.02,153600.0,-0.0147
2000-04-05,6.0,6.06,6.06,5.94,71700.0,-0.0066
2000-04-06,6.02,6.0,6.23,5.98,93000.0,0.0033
2000-04-07,6.21,6.04,6.21,6.04,37200.0,0.0316
2000-04-10,6.17,6.19,6.23,6.15,60300.0,-0.0064
2000-04-11,6.17,6.15,6.19,6.08,38400.0,0.0
2000-04-12,6.17,6.13,6.31,6.13,79800.0,0.0
2000-04-13,6.38,6.15,6.38,6.13,145500.0,0.034
2000-04-14,6.88,6.42,6.96,6.4,265800.0,0.0784
2000-04-17,6.83,6.83,6.92,6.71,147900.0,-0.0073
2000-04-18,6.35,6.77,6.77,6.35,219600.0,-0.0703
2000-04-19,6.15,6.29,6.35,6.08,144900.0,-0.0315
2000-04-20,6.42,6.15,6.42,6.08,104100.0,0.043899999999999995
2000-04-24,6.08,6.48,6.5,6.08,102600.0,-0.053
