Date,Close,Open,High,Low,Volume,Change
2000-01-03,9.78,10.0,10.0,9.72,1030000.0,-0.0161
2000-01-04,9.45,9.62,9.62,9.45,805600.0,-0.0337
2000-01-05,9.33,9.38,9.44,9.27,809600.0,-0.0127
2000-01-06,9.38,9.25,9.38,9.25,1070000.0,0.0054
2000-01-07,9.5,9.39,9.5,9.3,554800.0,0.0128
2000-01-10,9.92,9.56,9.97,9.5,300800.0,0.044199999999999996
2000-01-11,9.77,9.88,9.97,9.7,247600.0,-0.0151
2000-01-12,9.84,9.78,9.97,9.75,482800.0,0.0072
2000-01-13,9.94,9.81,9.97,9.81,122800.0,0.0102
2000-01-14,10.0,9.88,10.03,9.86,304000.0,0.006
2000-01-18,9.92,9.95,10.0,9.91,208000.0,-0.008
2000-01-19,10.22,9.89,10.23,9.88,353200.0,0.0302
2000-01-20,10.11,10.2,10.2,10.05,262400.0,-0.0108
2000-01-21,9.83,10.1,10.1,9.81,538000.0,-0.0277
2000-01-24,10.3,9.88,10.34,9.81,606000.0,0.0478
2000-01-25,10.12,10.28,10.52,10.05,1130000.0,-0.0175
2000-01-26,10.19,10.22,10.22,9.89,794800.0,0.0069
2000-01-27,9.98,10.19,10.19,9.97,111600.0,-0.0206
2000-01-28,10.38,9.97,10.38,9.94,488400.0,0.0401
2000-01-31,10.17,10.27,10.53,10.0,376000.0,-0.0202
2000-02-01,10.31,10.19,10.31,9.84,411200.0,0.0138
2000-02-02,10.64,10.2,10.75,10.12,793600.0,0.032
2000-02-03,10.62,10.64,10.66,10.5,184000.0,-0.0019
2000-02-04,10.7,10.62,10.77,10.58,290400.0,0.0075
2000-02-07,10.88,10.66,10.88,10.51,422400.0,0.0168
2000-02-08,11.05,10.88,11.31,10.86,686000.0,0.015600000000000001
2000-02-09,11.97,11.06,12.25,11.06,1470000.0,0.0833
2000-02-10,11.8,12.06,12.09,11.78,696000.0,-0.014199999999999999
2000-02-11,10.89,11.91,11.91,10.89,972800.0,-0.0771
2000-02-14,10.81,11.03,11.06,10.44,484400.0,-0.0073
2000-02-15,10.44,10.81,10.88,10.28,718000.0,-0.0342
2000-02-16,10.66,10.56,10.72,10.56,266800.0,0.021099999999999997
2000-02-17,10.53,10.68,10.73,10.47,282400.0,-0.012199999999999999
2000-02-18,10.19,10.62,10.62,10.19,224000.0,-0.0323
2000-02-22,10.38,10.16,10.53,10.0,488800.0,0.018600000000000002
2000-02-23,11.17,11.12,11.56,10.97,2730000.0,0.0761
2000-02-24,11.31,11.12,11.62,11.09,1460000.0,0.0125
2000-02-25,11.48,11.34,11.59,11.31,938400.0,0.015
2000-02-28,12.38,11.5,12.53,11.39,1350000.0,0.0784
2000-02-29,12.75,12.38,12.84,12.22,11690000.0,0.029900000000000003
2000-03-01,12.56,12.6,12.64,12.45,3230000.0,-0.0149
2000-03-02,12.41,12.59,12.61,12.41,2400000.0,-0.011899999999999999
2000-03-03,12.41,12.5,12.51,12.39,1910000.0,0.0
2000-03-06,12.39,12.42,12.42,12.38,714800.0,-0.0016
2000-03-07,12.73,12.38,12.73,12.34,859200.0,0.0274
2000-03-08,12.72,12.59,12.97,12.59,812000.0,-0.0008
2000-03-09,12.59,12.81,12.81,12.59,338400.0,-0.0102
2000-03-10,12.36,12.59,12.61,12.34,488000.0,-0.0183
2000-03-13,12.16,12.31,12.31,11.88,560400.0,-0.016200000000000003
2000-03-14,11.52,12.16,12.22,10.84,1620000.0,-0.0526
2000-03-15,11.36,11.56,11.62,11.34,2360000.0,-0.0139
2000-03-16,11.02,11.41,11.5,10.72,1010000.0,-0.029900000000000003
2000-03-17,10.42,10.55,10.77,10.42,960400.0,-0.054400000000000004
2000-03-20,10.03,10.84,10.88,10.0,976400.0,-0.0374
2000-03-21,10.27,10.16,10.28,9.83,604800.0,0.0239
2000-03-22,10.52,10.39,10.52,10.28,574800.0,0.024300000000000002
2000-03-23,10.52,10.5,10.56,10.42,1060000.0,0.0
2000-03-24,10.5,10.62,10.62,10.5,573600.0,-0.0019
2000-03-27,10.47,10.59,10.59,10.36,228000.0,-0.0029
2000-03-28,10.47,10.49,10.52,10.47,491600.0,0.0
2000-03-29,10.12,10.47,10.53,10.06,425600.0,-0.0334
2000-03-30,9.89,10.16,10.53,9.88,551200.0,-0.0227
2000-03-31,9.31,10.03,10.22,9.31,2130000.0,-0.058600000000000006
2000-04-03,8.75,9.5,9.56,8.58,711600.0,-0.0602
2000-04-04,10.09,8.89,10.84,8.75,3250000.0,0.1531
2000-04-05,9.84,9.94,10.34,9.69,2910000.0,-0.0248
2000-04-06,10.09,9.88,10.53,9.77,540000.0,0.0254
2000-04-07,10.86,10.27,10.95,10.16,763200.0,0.07629999999999999
2000-04-10,10.42,10.72,11.0,10.42,771600.0,-0.0405
2000-04-11,10.53,10.39,11.28,10.16,438400.0,0.0106
2000-04-12,11.5,10.53,11.56,10.53,639600.0,0.09210000000000002
2000-04-13,11.02,11.5,11.53,10.97,713200.0,-0.0417
2000-04-14,10.31,10.95,10.95,9.69,308400.0,-0.0644
2000-04-17,10.33,10.25,10.5,9.61,1000000.0,0.0019
2000-04-18,11.25,10.31,11.88,10.27,1580000.0,0.0891
2000-04-19,11.73,11.42,11.75,10.94,599200.0,0.042699999999999995
2000-04-20,12.0,11.75,12.3,11.48,1030000.0,0.023
2000-04-24,12.22,12.0,12.48,11.86,724400.0,0.0183
2000-04-25,12.36,12.31,12.39,11.88,299200.0,0.0115
2000-04-26,12.05,12.44,12.44,12.0,256800.0,-0.025099999999999997
2000-04-27,12.31,11.94,12.42,11.69,384400.0,0.0216
