Date,Close,Open,High,Low,Volume,Change
2000-01-03,11.83,11.98,12.03,11.5,772000.0,-0.0207
2000-01-04,11.5,11.81,11.81,11.38,667600.0,-0.0279
2000-01-05,11.52,11.5,11.72,11.34,857600.0,0.0017000000000000001
2000-01-06,11.92,11.12,12.0,10.41,3070000.0,0.0347
2000-01-07,12.23,11.92,12.5,11.88,2009999.9999999998,0.026000000000000002
2000-01-10,12.41,12.17,12.47,11.95,1010000.0,0.0147
2000-01-11,11.7,12.31,12.31,11.59,769200.0,-0.0572
2000-01-12,11.75,11.7,11.97,11.62,677600.0,0.0043
2000-01-13,11.95,11.81,12.25,11.8,608400.0,0.017
2000-01-14,11.67,12.02,12.06,11.67,443200.0,-0.023399999999999997
2000-01-18,11.56,11.55,11.64,11.38,511200.0,-0.009399999999999999
2000-01-19,11.3,11.56,11.56,11.27,1150000.0,-0.0225
2000-01-20,11.05,11.36,11.36,10.97,572400.0,-0.022099999999999998
2000-01-21,10.75,11.11,11.25,10.58,1080000.0,-0.0271
2000-01-24,10.42,10.8,10.81,10.28,1030000.0,-0.030699999999999998
2000-01-25,10.14,10.38,10.42,10.05,1260000.0,-0.0269
2000-01-26,10.17,10.2,10.3,10.0,2250000.0,0.003
2000-01-27,9.95,10.11,10.11,9.75,1250000.0,-0.0216
2000-01-28,9.66,10.12,10.16,9.5,1690000.0,-0.0291
2000-01-31,9.56,9.59,9.73,9.44,1200000.0,-0.0104
2000-02-01,9.31,9.38,9.56,9.3,1050000.0,-0.0262
2000-02-02,9.14,9.31,9.45,9.14,979600.0,-0.0183
2000-02-03,9.34,9.27,9.42,9.14,2490000.0,0.0219
2000-02-04,9.39,9.34,9.45,9.34,1190000.0,0.0054
2000-02-07,9.28,9.41,9.48,9.09,1340000.0,-0.011699999999999999
2000-02-08,9.23,9.34,9.5,9.16,1170000.0,-0.0054
2000-02-09,9.14,9.25,9.34,9.14,909600.0,-0.0098
2000-02-10,9.16,9.14,9.23,9.06,1580000.0,0.0022
2000-02-11,8.77,9.25,9.25,8.72,1280000.0,-0.0426
2000-02-14,8.84,8.78,8.97,8.75,1260000.0,0.008
2000-02-15,8.98,8.84,9.08,8.84,1910000.0,0.0158
2000-02-16,9.27,9.25,9.27,9.11,1790000.0,0.0323
2000-02-17,9.02,9.0,9.09,8.91,1060000.0,-0.027000000000000003
2000-02-18,10.19,9.16,10.5,9.05,2430000.0,0.1297
2000-02-22,10.17,10.12,10.17,9.64,2060000.0,-0.002
2000-02-23,9.56,10.16,10.16,9.56,720000.0,-0.06
2000-02-24,8.75,9.55,9.55,8.69,2080000.0,-0.08470000000000001
2000-02-25,8.66,8.56,8.69,8.44,2150000.0,-0.0103
2000-02-28,8.41,8.52,8.52,8.28,1170000.0,-0.028900000000000002
2000-02-29,8.33,8.47,8.47,8.25,1360000.0,-0.0095
2000-03-01,8.47,8.39,8.62,8.34,996400.0,0.0168
2000-03-02,8.23,8.25,8.31,8.09,1190000.0,-0.028300000000000002
2000-03-03,8.66,8.3,8.67,8.2,1090000.0,0.052199999999999996
2000-03-06,8.25,8.53,8.59,8.25,849600.0,-0.0473
2000-03-07,7.83,8.39,8.41,7.81,852400.0,-0.0509
2000-03-08,7.77,7.95,8.0,7.53,1100000.0,-0.0077
2000-03-09,8.0,7.86,8.06,7.69,651600.0,0.0296
2000-03-10,8.0,7.75,8.06,7.7,1120000.0,0.0
2000-03-13,7.86,7.88,7.88,7.64,747200.0,-0.0175
2000-03-14,7.88,7.92,8.11,7.81,1020000.0,0.0025
2000-03-15,8.38,7.77,8.5,7.75,1500000.0,0.0635
