Date,Close,Open,High,Low,Volume,Change
2000-01-03,6.5,7.19,7.32,5.77,702600.0,-0.10339999999999999
2000-01-04,5.69,6.19,6.21,5.56,1010000.0,-0.1246
2000-01-05,5.65,5.71,5.85,5.58,1110000.0,-0.006999999999999999
2000-01-06,5.25,5.65,5.81,5.15,993000.0,-0.0708
2000-01-07,5.85,5.26,5.94,5.24,324000.0,0.1143
2000-01-10,5.94,5.96,6.04,5.82,610800.0,0.0154
2000-01-11,5.7,5.9,5.94,5.7,298200.0,-0.0404
2000-01-12,5.71,5.85,5.85,5.67,1780000.0,0.0018
2000-01-13,5.77,5.81,5.81,5.67,493200.0,0.0105
2000-01-14,5.84,5.77,5.85,5.75,1150000.0,0.0121
2000-01-18,5.89,5.85,5.9,5.83,1040000.0,0.0086
2000-01-19,6.02,5.88,6.19,5.85,1210000.0,0.022099999999999998
2000-01-20,6.55,6.21,6.56,6.17,1010000.0,0.08800000000000001
2000-01-21,6.5,6.58,6.64,6.32,1010000.0,-0.0076
2000-01-24,6.49,6.36,6.58,6.35,790800.0,-0.0015
2000-01-25,6.51,6.67,6.67,5.17,645900.0,0.0031
2000-01-26,6.0,6.08,6.33,5.67,725100.0,-0.0783
2000-01-27,5.92,6.32,6.33,5.46,360300.0,-0.013300000000000001
2000-01-28,6.03,5.92,6.12,5.87,207000.0,0.018600000000000002
2000-01-31,5.67,6.05,6.06,5.42,665400.0,-0.059699999999999996
2000-02-01,5.83,5.92,6.12,5.75,277500.0,0.0282
2000-02-02,6.06,6.0,6.17,5.92,169200.0,0.0395
2000-02-03,6.29,6.15,6.33,6.0,466500.0,0.038
2000-02-04,6.29,6.29,6.29,6.17,726000.0,0.0
2000-02-07,6.46,6.42,6.46,6.31,448500.0,0.027000000000000003
2000-02-08,6.44,6.5,6.6,6.42,534900.0,-0.0031
2000-02-09,6.67,6.45,6.75,6.44,420000.0,0.035699999999999996
2000-02-10,7.35,6.65,7.35,6.62,1310000.0,0.10189999999999999
2000-02-11,6.94,7.36,7.37,6.83,1410000.0,-0.0558
2000-02-14,7.12,6.93,7.17,6.83,1330000.0,0.0259
2000-02-15,7.12,7.21,7.21,7.06,459600.0,0.0
2000-02-16,7.19,7.09,7.25,7.08,256200.0,0.0098
2000-02-17,7.08,7.24,7.29,6.98,630900.0,-0.015300000000000001
2000-02-18,7.0,7.07,7.08,6.96,564000.0,-0.0113
2000-02-22,7.12,6.96,7.12,6.79,1250000.0,0.0171
2000-02-23,6.95,7.12,7.15,6.83,548700.0,-0.0239
2000-02-24,6.67,6.92,7.0,6.33,847200.0,-0.0403
2000-02-25,6.56,6.79,6.79,6.46,463200.0,-0.0165
2000-02-28,7.25,7.67,7.92,6.69,1730000.0,0.1052
2000-02-29,7.01,7.42,7.58,6.33,938700.0,-0.0331
2000-03-01,6.99,6.97,7.1,6.83,842400.0,-0.0029
2000-03-02,6.25,6.71,7.0,5.83,1200000.0,-0.1059
2000-03-03,5.76,6.3,6.33,5.67,1200000.0,-0.0784
2000-03-06,5.62,5.75,5.92,5.0,3830000.0,-0.024300000000000002
2000-03-07,5.5,5.75,5.75,5.35,933600.0,-0.021400000000000002
2000-03-08,5.87,5.52,6.12,5.52,560100.0,0.0673
2000-03-09,5.83,5.87,5.92,5.62,410400.0,-0.0068000000000000005
2000-03-10,5.65,5.83,5.96,5.65,581100.0,-0.030899999999999997
2000-03-13,6.0,5.67,6.21,5.58,506100.0,0.061900000000000004
2000-03-14,5.81,6.08,6.08,5.65,687000.0,-0.0317
2000-03-15,5.56,5.77,5.79,5.33,642900.0,-0.043
2000-03-16,5.83,5.69,5.83,5.25,509700.0,0.048600000000000004
2000-03-17,5.94,5.0,6.0,5.0,478500.0,0.0189
2000-03-20,6.08,5.92,6.17,5.87,1720000.0,0.0236
2000-03-21,6.46,6.15,6.46,6.06,1140000.0,0.0625
2000-03-22,6.33,6.4,6.52,6.15,388800.0,-0.020099999999999996
2000-03-23,6.12,6.32,6.33,6.0,1030000.0,-0.0332
2000-03-24,5.9,6.04,6.46,5.9,1400000.0,-0.0359
2000-03-27,5.94,5.99,6.1,5.92,516299.99999999994,0.0068000000000000005
2000-03-28,5.94,5.95,6.0,5.92,252300.0,0.0
2000-03-29,5.9,5.95,6.33,5.9,351600.0,-0.0067
2000-03-30,5.67,5.92,5.98,5.65,510300.0,-0.039
2000-03-31,5.83,5.85,5.96,5.75,505500.0,0.0282
2000-04-03,6.08,5.92,6.17,5.77,335100.0,0.0429
2000-04-04,5.98,5.95,6.33,5.46,505500.0,-0.016399999999999998
2000-04-05,5.81,6.0,6.08,5.67,223800.0,-0.028399999999999998
2000-04-06,6.21,5.79,6.5,5.79,462900.0,0.0688
2000-04-07,6.33,6.37,6.5,6.29,604800.0,0.019299999999999998
2000-04-10,6.23,6.37,6.4,6.17,249000.0,-0.0158
2000-04-11,6.11,6.04,6.19,5.96,203400.0,-0.019299999999999998
2000-04-12,6.33,6.21,6.5,6.12,318000.0,0.036000000000000004
2000-04-13,6.29,6.21,6.5,6.21,431100.0,-0.0063
2000-04-14,6.15,6.44,6.45,5.92,577500.0,-0.0223
2000-04-17,6.0,5.96,6.02,5.79,732600.0,-0.024399999999999998
2000-04-18,5.9,6.0,6.33,5.71,423600.0,-0.0167
2000-04-19,5.83,6.02,6.08,5.83,286800.0,-0.011899999999999999
